# Bräker - Jussy JU - PPTM - ITRDB SWIT263
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14099
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14099.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit263-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit263-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit263.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit263.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Jussy JU - PPTM - ITRDB SWIT263
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Jussy JU
#   Location: Switzerland
#   Northernmost_Latitude: 46.2358
#   Southernmost_Latitude: 46.2358
#   Easternmost_Longitude: 6.2669
#   Westernmost_Longitude: 6.2669
#   Elevation_m: 480
#--------------------
# Data_Collection
#   Collection_Name: SWIT263
#   First_Year: 1938
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Populus tremula L.
#   Common_Name: European aspen
#   Tree_Species_Code: PPTM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## juppt01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## juppt01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## juppt02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## juppt02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## juppt03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## juppt03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: juppt03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	juppt01a_raw	juppt01b_raw	juppt02a_raw	juppt02b_raw	juppt03a_raw	juppt03b_raw
1938	2.75	NA	NA	NA	NA	NA
1939	2.31	NA	NA	NA	NA	NA
1940	1.65	NA	NA	NA	NA	NA
1941	1.83	NA	NA	NA	NA	NA
1942	2.09	NA	NA	NA	NA	NA
1943	3.14	NA	NA	NA	NA	NA
1944	1.87	NA	NA	1.56	NA	NA
1945	1.7	NA	NA	1.66	NA	3.19
1946	1.64	NA	NA	1.24	NA	3.14
1947	2.28	NA	NA	1.99	1.97	2.45
1948	3.03	NA	NA	2.39	2.7	3.96
1949	1.29	NA	NA	3.15	2.17	3.18
1950	2.4	NA	NA	1.47	1.84	2.64
1951	3.44	NA	NA	1.58	1.34	2.93
1952	3.86	NA	NA	1.88	1.95	1.87
1953	1.36	NA	NA	1.78	1.67	1.69
1954	1.5	3.11	NA	2.8	2.88	3.1
1955	2.41	2.67	NA	2.99	2.8	2.88
1956	1.35	3.29	3.35	3.55	3.39	3.32
1957	1.01	4.14	4.25	3.78	3.68	3.94
1958	0.89	2.75	3.41	2.96	3.13	3.12
1959	2.13	4.52	4.29	3.94	3.26	4.39
1960	1.97	3.95	5.49	3.94	2.65	3.71
1961	2.91	4.55	4.11	2.76	2.77	3.34
1962	2.15	4.93	3.49	4.07	2.66	3.76
1963	0.83	2.73	2.17	1.8	1.91	2.05
1964	1.75	2.53	1.93	1.79	1.8	2.15
1965	1.83	2.51	2.8	2.76	2.49	2.69
1966	1.15	2.6	2.54	2.49	2.09	2.81
1967	0.7	2.9	2.76	2.03	2.43	2.81
1968	1.12	2.34	2.26	1.63	1.71	1.98
1969	1.11	3.29	3.36	2.36	2.99	3.42
1970	0.9	2.98	3.78	2.78	3.01	3.49
1971	0.79	2.13	2.72	2.59	2.4	2.93
1972	2.06	2.26	3.33	2.13	2.09	3.13
1973	1.64	0.81	1.27	0.57	1.26	0.67
1974	2.05	1.41	1.52	0.98	1.97	1.55
1975	1.86	1.32	1.86	1.23	1.74	2.49
1976	1.23	3.53	1.93	0.78	2.62	2.57
1977	1.32	2	1.17	0.93	0.77	1.28
1978	1.23	3.19	1.65	1.35	1	0.42
1979	1.59	3.71	3.16	2.79	3.08	1.45
1980	1.99	3.11	3	3.4	2.99	2.64
1981	1.32	3.69	1.99	2.6	3.8	2.51
1982	2.07	4.01	2.55	3	3.23	1.88
1983	1.76	3.93	1.53	2.05	2.28	1.79
1984	1.38	2.67	0.94	0.94	1.04	0.87
1985	0.99	0.93	0.39	0.56	0.7	0.3
1986	1.03	2.35	0.46	0.82	1.04	0.74
1987	0.72	2.03	0.85	1.15	1.07	1.22
1988	0.93	1.63	0.29	1.48	0.94	1.2
1989	1.23	2.05	0.86	2.07	1.75	2.24
1990	1.45	1.52	0.63	1.18	1.57	1.68
1991	1.92	0.69	0.32	0.71	0.59	0.71
1992	0.97	1.68	0.25	1.05	0.7	0.77
1993	1.3	1.14	0.21	0.47	0.54	0.69
1994	1.21	1.08	0.21	0.46	0.47	0.47
1995	0.8	2.23	0.85	0.99	1.37	0.81
1996	0.88	1.21	0.92	0.92	1.65	0.67
1997	1.09	NA	0.44	0.53	0.76	0.39
1998	0.7	NA	0.26	0.45	0.67	0.19
