# Bräker - Le Crêt rond - ABAL - ITRDB SWIT205
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/10776
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-10776.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit205-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit205-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit205.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit205.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Le Crêt rond - ABAL - ITRDB SWIT205
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Purpose of Collection: 
# # Plentering
# # 
# # Cores and cross-sections are stored at: 
# # disposed
# # 
# # References:
# # Zingg, A., (1996): 
# # Diameter and Basal Area Increment in Permanent Growth 
# # and Yield Plots in Switzerland. In: Spiecker, H.; 
# # Mielikainen, K.; Kohl, M.; Skovsgaard, J.P. (eds) 
# # Growth Trends in European Forests. 
# # European Forest Institute Research Report No.5.
# # 
# # 
# # Notes: 
# # Slope N 30% 
# # Formerly Buttes_Tanne_n2_1990.fh
# #  NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Le Crêt rond
#   Location: Switzerland
#   Northernmost_Latitude: 46.8833
#   Southernmost_Latitude: 46.8833
#   Easternmost_Longitude: 6.5667
#   Westernmost_Longitude: 6.5667
#   Elevation_m: 970
#--------------------
# Data_Collection
#   Collection_Name: SWIT205
#   First_Year: 1830
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BUT0235N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUT0235N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUT0235S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUT0235S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BUT0235N_raw	BUT0235S_raw
1830	2.19	2.25
1831	2.36	3.04
1832	2.11	1.86
1833	2.07	2.14
1834	2.85	2.79
1835	2.24	2.3
1836	2.14	2.03
1837	2.03	2.04
1838	2.11	2.2
1839	1.89	1.44
1840	2.36	1.7
1841	1.84	1.85
1842	2.33	1.97
1843	2.44	2.54
1844	1.83	1.84
1845	2.55	2.59
1846	2.43	2.32
1847	1.65	1.59
1848	2.06	2.02
1849	1.94	1.99
1850	2.04	2
1851	2.06	1.68
1852	1.74	1.22
1853	2.3	1.79
1854	2.29	1.65
1855	1.61	1.79
1856	1.97	2.21
1857	1.63	1.84
1858	1.56	1.49
1859	1.89	2.04
1860	1.1	1.29
1861	1.48	1.84
1862	1.29	1.37
1863	1.76	1.54
1864	1.33	1.52
1865	0.84	0.89
1866	1.36	1.81
1867	1.62	1.86
1868	1.62	1.53
1869	2.25	2
1870	1.36	1.5
1871	2.02	1.91
1872	1.87	1.51
1873	2.58	2.26
1874	1.92	1.74
1875	2.64	1.89
1876	2.49	2.22
1877	2.49	2.27
1878	3.01	2.38
1879	3.2	2.88
1880	2.68	2.34
1881	2.49	2.57
1882	3.05	2.74
1883	3.33	3.06
1884	3.21	2.99
1885	2.81	2.38
1886	2.46	2.01
1887	2.34	1.94
1888	1.83	1.64
1889	2.99	2.3
1890	2.94	2.27
1891	2.47	1.76
1892	2.19	1.61
1893	1.65	1.24
1894	2.18	1.31
1895	2.52	1.87
1896	2.18	1.91
1897	2.5	2.14
1898	2.63	1.77
1899	2.63	2.14
1900	2.28	2.3
1901	2.64	2.76
1902	2.24	2.29
1903	2.43	2.87
1904	2.43	2.97
1905	2.33	3.05
1906	1.92	2.62
1907	1.62	1.77
1908	1.75	2.28
1909	1.76	1.8
1910	2.04	2.44
1911	2.11	2.3
1912	2.14	2.15
1913	2.88	2.74
1914	3.04	2.68
1915	2.16	2.04
1916	2.75	1.97
1917	2.37	1.81
1918	2.06	1.74
1919	1.82	1.35
1920	2.4	1.4
1921	2.11	1.74
1922	1.41	0.89
1923	1.97	1.11
1924	2.4	1.34
1925	3.11	1.89
1926	2.72	2.05
1927	3.04	1.71
1928	2.99	2.2
1929	2.61	1.79
1930	3.14	1.91
1931	2.85	2.04
1932	2.96	2.56
1933	2.37	1.98
1934	1.75	1.36
1935	2.17	1.69
1936	2.31	1.88
1937	2.27	1.83
1938	2.3	1.79
1939	2.31	1.84
1940	1.89	1.73
1941	2.05	1.69
1942	1.7	1.65
1943	1.66	1.53
1944	1.37	1.42
1945	1.42	1.37
1946	1.47	0.71
1947	1.79	1.62
1948	1.4	1.27
1949	1.92	1.87
1950	2.16	2.4
1951	3.01	2.93
1952	3.31	3.43
1953	2.45	2.76
1954	2.77	3.08
1955	2.96	3.03
1956	2.03	2.19
1957	2.34	2.77
1958	2.26	2.35
1959	2.66	2.55
1960	1.95	1.46
1961	2.2	1.36
1962	1.99	1.37
1963	2.57	1.76
1964	3.06	1.94
1965	2.61	1.53
1966	2.87	1.93
1967	2.97	1.91
1968	2.92	1.92
1969	3.33	2.17
1970	3.76	2.33
1971	3.57	2.67
1972	3.63	3.17
1973	2.42	2.01
1974	2.36	2.2
1975	2.22	1.43
1976	1.66	1.3
1977	1.98	1.84
1978	2.48	1.57
1979	2.47	1.85
1980	2.75	1.86
1981	2.7	2.06
1982	3.57	2.33
1983	4.11	2.57
1984	4.04	2.26
1985	4.1	2.86
1986	3.41	2.6
1987	3.28	2.6
1988	3.95	2.92
1989	3.56	2.72
1990	3.15	2.72
