# Fischer - Nordrhein-Westfalen/Siebengebirge drb05 - FASY - ITRDB GERM164
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16680
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16680.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ164-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ164-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ164.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ164.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-02-27
#--------------------
# File_Last_Modified_Date
#   Date: 2014-02-27
#--------------------
# Title
#   Study_Name: Fischer - Nordrhein-Westfalen/Siebengebirge drb05 - FASY - ITRDB GERM164
#--------------------
# Investigators
#   Investigators: Fischer, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: Purpose of Collection:
# # climate/growth relationship NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: Stefanie Fischer and Burkhard Neuwirth
#   Journal_Name: ISRN Forestry
#   Published_Title: Vulnerability of Trees to Climate Events in Temperate Forests of West Germany
#   Published_Date_or_Year: 2013
#   Volume: 2013
#   Pages: 
#   Issue: 201360
#   Report_Number: 
#   DOI: 10.1155/2013/201360
#   Full_Citation: None
#   Abstract: An improved understanding of the spatiotemporal climate/growth relationship of our forests is of particular importance for assessing the consequences of climate warming. A total of 67 stands of beech (Fagus sylvatica L.), pedunculate oak (Quercus robur L.), sessile oak (Quercus petraea (Matt.) Liebl.), Scots pine (Pinus sylvestris L.), and spruce (Picea abies Karst.) from sites located in the transition zone from the lowlands to the low mountain ranges of West Germany have been analysed. A combination of pointer year and cluster analysis was used to find groups with similar growth anomaly patterns over the 1941-2000 period. Shifted reaction patterns especially characterise differences in the growth behaviour of the clusters. These are controlled by different reactions to the climate conditions in winter and spring and are determined by a complex system of forcing factors. Results of this study reflect the enormous importance of the length of the growing season. Increasing the duration of the vegetation period climate warming can change the climate/growth relationship of trees, thereby confounding climate reconstructions which use tree rings. Since forcing factors have been detected that are more important than the tree species, we recommend the application of growth-specific approaches for the analysis of tree species' vulnerability to climate.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nordrhein-Westfalen/Siebengebirge drb05
#   Location: Germany
#   Northernmost_Latitude: 50.6667
#   Southernmost_Latitude: 50.6667
#   Easternmost_Longitude: 7.2333
#   Westernmost_Longitude: 7.2333
#   Elevation_m: 360
#--------------------
# Data_Collection
#   Collection_Name: GERM164
#   First_Year: 1851
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## drb0517m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0517m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0515m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0515m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0514m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0514m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0513m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0513m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0512m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0512m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0511m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0511m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0510m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0510m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0509m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0509m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0508m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0508m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0507m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0507m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0506m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0506m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0505m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0505m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0504m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0504m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0503m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0503m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## drb0502m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: drb0502m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	drb0517m_raw	drb0515m_raw	drb0514m_raw	drb0513m_raw	drb0512m_raw	drb0511m_raw	drb0510m_raw	drb0509m_raw	drb0508m_raw	drb0507m_raw	drb0506m_raw	drb0505m_raw	drb0504m_raw	drb0503m_raw	drb0502m_raw
1851	NA	NA	NA	NA	NA	NA	2.07	NA	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	1.91	NA	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	3.05	NA	NA	NA	NA	NA	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	1.72	NA	NA	NA	NA	NA	NA	NA	NA
1865	NA	NA	NA	NA	NA	2.6	1.46	NA	NA	NA	NA	NA	NA	NA	NA
1866	NA	NA	NA	NA	NA	1.24	1.14	NA	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	NA	NA	1.12	0.42	NA	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	NA	NA	1.25	0.86	NA	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	NA	NA	0.9	1.3	NA	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	1.52	0.95	NA	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	NA	NA	1.72	0.95	NA	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	NA	NA	1.73	0.44	NA	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	NA	NA	1.51	0.56	NA	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	0.58	0.7	NA	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	NA	NA	0.53	0.12	NA	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	NA	NA	1.14	0.25	NA	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	NA	NA	NA	1.28	0.48	NA	NA	NA	NA	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	3.49	2.32	NA	NA	NA	NA	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	2.79	2.79	NA	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	NA	NA	NA	2.96	2.89	NA	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	NA	NA	NA	1.65	1.6	NA	NA	1.65	NA	NA	NA	NA	NA
1882	NA	NA	NA	NA	NA	2.7	1.16	NA	NA	2.81	NA	NA	2.67	NA	NA
1883	NA	NA	NA	NA	NA	2.82	1.94	NA	NA	2.3	NA	NA	3.2	NA	NA
1884	NA	NA	NA	NA	NA	2.71	2.38	NA	NA	2.31	NA	NA	4.54	NA	NA
1885	NA	NA	NA	NA	NA	2.96	2.44	NA	NA	1.74	NA	NA	2.51	NA	NA
1886	NA	NA	NA	NA	NA	4.04	1.93	NA	NA	1.87	NA	NA	2.67	NA	NA
1887	NA	2.39	NA	NA	NA	3.21	1.94	NA	NA	1.3	NA	NA	1.89	NA	NA
1888	NA	1.71	NA	NA	NA	3.2	2.04	NA	NA	1.22	2.65	NA	1.8	NA	3.18
1889	NA	1.55	NA	NA	NA	3.5	2.48	NA	NA	1.52	3.28	NA	2.78	NA	3.7
1890	4.65	0.99	NA	NA	NA	3.32	2.4	NA	NA	1.98	3.21	NA	3.04	NA	4.6
1891	4.75	1.14	2.51	NA	NA	3.28	2.32	NA	2.24	2.19	2.48	2.4	1.88	NA	3.86
1892	4.45	1.48	2.09	NA	NA	2.48	2.42	NA	1.7	2.26	2.1	2.08	1.69	NA	4.66
1893	3.21	0.94	0.71	NA	NA	1.52	1.65	NA	0.76	1.33	1.21	1.33	0.95	NA	2.32
1894	4.75	3.41	1.21	NA	NA	3.42	1.47	NA	1.33	2.32	2.67	2.77	2.58	NA	4.04
1895	4.84	3.74	1.59	NA	NA	3.62	2.03	1.9	1.73	2.36	3.39	2.76	3.22	NA	3.72
1896	4.71	2.18	1.35	NA	NA	4.02	2.1	1.71	1.13	1.61	2.23	2.38	2.52	NA	3.49
1897	5.09	2.9	1.73	NA	NA	4.41	2.39	2.34	1.13	2.08	2.31	2.56	2.68	NA	4.05
1898	4.05	3.14	1.9	NA	NA	4.56	2.04	2.76	0.98	2.52	2.98	2.52	2.15	NA	4.26
1899	3.7	3.23	2.19	NA	NA	3.76	1.72	1.67	1.39	1.84	2.3	2.48	1.96	1.76	3.73
1900	4.24	3.19	1.77	NA	NA	3.85	1.76	2.86	1.35	2.09	2.16	2.96	1.68	1.59	3.66
1901	3.97	2.02	2.15	NA	NA	2.59	1.48	1.68	0.73	1.4	1.52	1.93	2.02	1.06	3.73
1902	3.7	2.7	1.07	NA	NA	2.6	1.17	2.02	0.79	1.33	1.73	2.06	3.58	1.58	3.22
1903	4.53	3.02	2.33	NA	NA	3.68	1.13	2.94	1.77	2.28	2.36	2.46	4.62	2.4	3.76
1904	3.62	2.44	2.58	NA	NA	2.75	1.62	2.2	1.24	2.02	2.29	2.44	3.19	1.77	3.4
1905	3.85	2.52	2.64	NA	NA	3.2	1.5	2.22	1.81	1.92	2.47	2.58	3.74	3.27	4.04
1906	4	3.26	3.3	NA	NA	3.28	1.71	3.24	2.72	2.31	2.98	3.72	4.46	3.55	3.54
1907	4.33	2.94	2.91	NA	NA	3.1	1.5	3.39	2.82	2.42	3.08	3.32	5	3.89	3.89
1908	4.34	3.26	2.79	NA	NA	3.57	1.72	2.89	2.57	2.38	2.49	3.42	4.48	3.45	3.62
1909	4.19	3.54	3.17	NA	NA	3.66	1.58	3	2.72	2.52	2.53	3.07	5.62	3.06	3.49
1910	4.43	2.56	2.86	NA	NA	3.48	1.64	3.34	2.74	2.74	3	2.33	5.2	3.57	3.17
1911	4.73	2.36	2.5	NA	NA	3.48	1.99	3.14	2.6	2.69	3.45	3	3.97	3.03	3.44
1912	4.7	1.99	1.48	NA	NA	3	1.57	1.72	1.58	2.26	1.75	2.17	3.24	2.59	2.68
1913	4.51	2.63	2.4	NA	NA	2.29	1.4	2.23	2.08	2.16	3.17	2.26	3.69	3.39	2.1
1914	5.8	3.2	2.06	NA	NA	4.13	1.63	2.52	1.6	2.02	2.83	1.95	3.16	3.58	2.42
1915	4.69	2.48	3.87	NA	NA	3.5	2.02	2.61	2.18	2.17	2.99	1.64	4.56	3.87	1.76
1916	4.12	2.58	2	3.31	NA	3.32	2.22	2.44	3.12	2.23	3.36	2.08	4.07	4.66	1.36
1917	4.02	1.92	1.66	2.78	NA	2.96	1.78	1.76	2.86	2.16	2.54	2.69	3.29	3.89	1.15
