# Hartl - Traunstein, Schiffahrtswald - ABAL - ITRDB DEU418
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37617
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37617.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu418-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu418.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu418.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-02-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-02-17
#--------------------
# Title
#   Study_Name: Hartl - Traunstein, Schiffahrtswald - ABAL - ITRDB DEU418
#--------------------
# Investigators
#   Investigators: Hartl, Claudia; Dittmar, Christoph; Zang, Christian; Rothe, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Hartl-Meier, Claudia; Christoph Dittmar; Christian Zang; Andreas Rothe
#   Published_Date_or_Year: 2014
#   Published_Title: Mountain forest growth response to climate change in the Northern Limestone Alps
#   Journal_Name: Trees
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s00468-014-0994-1
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Zang, Christian; Claudia Hartl-Meier; Christoph Dittmar; Andreas Rothe; Annette Menzel
#   Published_Date_or_Year: 2014
#   Published_Title: Patterns of drought tolerance in major European temperate forest trees: climatic drivers and levels of variability
#   Journal_Name: Glob Change Biol
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.12637
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Bavarian State Minister of the Environment and Consumer Protection
#   Grant: FO 03/5/16
#--------------------
# Funding_Agency
#   Funding_Agency_Name:  Berchtesgaden National Park
#   Grant:   J00183
#--------------------
# Site_Information
#   Site_Name: Traunstein, Schiffahrtswald
#   Location: Germany
#   Northernmost_Latitude: 47.589
#   Southernmost_Latitude: 47.589
#   Easternmost_Longitude: 12.995
#   Westernmost_Longitude: 12.995
#   Elevation_m: 690
#--------------------
# Data_Collection
#   Collection_Name: DEU418
#   First_Year: 1841
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TSSW302G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW302G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW302K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW302K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW303G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW303G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW303K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW303K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW304G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW304G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW304K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW304K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW306G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW306G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW306K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW306K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW307G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW307G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW307K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW307K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW308G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW308G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW308K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW308K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW309G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW309G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW309K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW309K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW310G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW310G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW310K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW310K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW313G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW313G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW313K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW313K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW314G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW314G_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TSSW314K_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TSSW314K_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TSSW302G_raw	TSSW302K_raw	TSSW303G_raw	TSSW303K_raw	TSSW304G_raw	TSSW304K_raw	TSSW306G_raw	TSSW306K_raw	TSSW307G_raw	TSSW307K_raw	TSSW308G_raw	TSSW308K_raw	TSSW309G_raw	TSSW309K_raw	TSSW310G_raw	TSSW310K_raw	TSSW313G_raw	TSSW313K_raw	TSSW314G_raw	TSSW314K_raw
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.37	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08	1.22	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	1.76	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	1.69	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42	1.37	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	1.69	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.59	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.88	1.86	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.83	1.55	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59	1.46	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	0.89	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.18	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57	1.69	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58	1.39	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.82	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01	0.63	NA	NA	NA	NA
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.06	NA	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.17	NA	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15	1.39	NA	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.51	NA	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	1.83	NA	NA	NA	1.65
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	1.28	NA	NA	NA	1.97
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	0.73	NA	NA	0.84	0.69
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.8	NA	NA	1.7	1.33
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.34	NA	NA	2.02	1.25
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.88	NA	NA	1.22	0.79
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.89	NA	0.77	1.16	0.74
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.82	NA	0.67	0.72	0.67
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.29	NA	0.83	0.98	0.92
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1	NA	0.66	0.76	0.9
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.3	NA	0.91	1.26	1.26
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	0.78	NA	0.63	0.88	0.98
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.93	NA	0.67	0.75	0.83
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.07	NA	0.9	1.04	1.06
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.1	NA	0.91	0.95	0.9
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	1.21	0.92	NA	0.78	1.18	1.03
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA	NA	NA	1.08	0.92	NA	0.83	1.18	1.09
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	0.97	0.92	NA	0.72	1.24	0.94
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	1.42	1.3	NA	0.96	1.24	1.32
1882	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	1.15	1	NA	0.89	1.34	1.47
1883	NA	NA	NA	0.41	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	1.18	1.12	NA	0.79	1.29	1.34
1884	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	1.12	0.75	NA	0.85	1.24	1.19
1885	NA	NA	NA	0.43	NA	NA	NA	NA	NA	NA	0.9	NA	NA	NA	1.06	0.9	NA	0.88	1.01	1.09
1886	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	0.57	0.48	NA	0.49	0.46	0.47
1887	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA	0.68	0.28	NA	0.68	0.64	0.66
1888	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	0.85	NA	NA	NA	0.66	0.52	NA	0.71	0.61	0.54
1889	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	0.7	0.55	NA	0.59	0.63	0.59
1890	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	0.8	0.81	NA	0.7	0.75	0.73
1891	NA	NA	NA	0.2	NA	NA	NA	NA	NA	NA	0.74	0.67	NA	NA	0.94	0.74	NA	0.73	0.5	0.55
1892	NA	NA	NA	0.2	NA	NA	NA	NA	NA	NA	0.46	0.52	NA	NA	1.03	0.78	NA	0.58	0.41	0.34
1893	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.4	0.46	NA	NA	0.89	0.78	NA	0.47	0.32	0.28
1894	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.56	0.56	NA	NA	0.85	1.04	NA	0.46	0.21	0.22
1895	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	0.57	0.62	NA	NA	1.16	1.09	NA	0.52	0.3	0.34
1896	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	0.57	0.53	NA	NA	1.45	1.14	NA	0.64	0.22	0.24
1897	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	0.73	0.7	NA	NA	1.7	1.37	NA	0.93	0.52	0.45
1898	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	0.76	0.59	NA	NA	1.42	1.4	NA	0.85	0.33	0.28
1899	NA	NA	NA	0.34	NA	NA	NA	NA	NA	NA	0.51	0.41	NA	NA	1.26	1.22	NA	0.89	0.63	0.57
1900	NA	NA	NA	0.27	NA	NA	0.57	0.49	NA	NA	0.57	0.5	NA	NA	1.15	1.22	NA	0.82	0.52	0.53
