# Bigler - Brigels GR Scatle - PCAB - ITRDB SWIT180
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2735
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2735.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit180-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit180-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit180.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit180.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-10-04
#--------------------
# File_Last_Modified_Date
#   Date: 2006-10-04
#--------------------
# Title
#   Study_Name: Bigler - Brigels GR Scatle - PCAB - ITRDB SWIT180
#--------------------
# Investigators
#   Investigators: Bigler, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Brigels GR Scatle
#   Location: Switzerland
#   Northernmost_Latitude: 46.78
#   Southernmost_Latitude: 46.78
#   Easternmost_Longitude: 9.05
#   Westernmost_Longitude: 9.05
#   Elevation_m: 1600
#--------------------
# Data_Collection
#   Collection_Name: SWIT180
#   First_Year: 1750
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SCA108B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA108B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA110A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA110A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA112A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA112A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA116B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA116B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA119A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA119A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA120A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA120A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA122B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA122B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA124B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA124B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA126A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA126A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA128A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA128A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA130B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA130B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA132A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA132A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA134A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA134A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA136A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA136A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SCA144A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SCA144A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SCA108B_raw	SCA110A_raw	SCA112A_raw	SCA116B_raw	SCA119A_raw	SCA120A_raw	SCA122B_raw	SCA124B_raw	SCA126A_raw	SCA128A_raw	SCA130B_raw	SCA132A_raw	SCA134A_raw	SCA136A_raw	SCA144A_raw
1750	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	0.35	NA	NA	NA
1751	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.41	NA	NA	NA
1752	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	NA	0.36	NA	NA	NA
1753	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA	0.47	NA	NA	NA
1754	NA	NA	NA	NA	NA	NA	NA	NA	0.43	NA	NA	0.46	NA	NA	NA
1755	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.36	NA	NA	NA
1756	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.29	NA	NA	NA
1757	NA	NA	NA	NA	NA	NA	NA	NA	0.39	NA	NA	0.26	NA	NA	NA
1758	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA	0.34	NA	NA	NA
1759	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA	NA	0.36	NA	NA	NA
1760	NA	NA	NA	NA	NA	NA	NA	NA	0.39	NA	NA	0.36	NA	NA	NA
1761	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	0.37	NA	NA	NA
1762	NA	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA	0.43	NA	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA	0.4	NA	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	0.54	NA	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	0.5	NA	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	0.51	NA	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	0.49	NA	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	0.42	NA	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	0.43	NA	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	0.47	NA	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	0.42	NA	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	0.32	1.1	NA	NA	0.42	NA	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	0.34	1.06	NA	NA	0.35	NA	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	0.42	1.17	NA	NA	0.37	NA	NA	NA
1775	NA	NA	0.65	NA	NA	NA	NA	0.36	1.17	NA	NA	0.38	NA	NA	NA
1776	NA	NA	0.63	NA	NA	NA	NA	0.39	1.01	NA	NA	0.28	NA	NA	NA
1777	NA	NA	0.62	NA	NA	NA	NA	0.37	0.88	NA	NA	0.22	NA	NA	NA
1778	NA	NA	0.68	NA	NA	NA	NA	0.56	1.25	NA	NA	0.26	NA	NA	NA
1779	NA	NA	0.59	NA	NA	NA	NA	0.45	0.79	NA	NA	0.25	NA	NA	NA
1780	NA	NA	0.59	NA	NA	NA	NA	0.5	0.89	NA	NA	0.21	NA	NA	NA
1781	NA	NA	0.57	NA	NA	NA	NA	0.74	1.07	NA	NA	0.29	NA	NA	NA
1782	NA	NA	0.46	NA	NA	NA	NA	0.54	0.93	NA	NA	0.23	NA	NA	NA
1783	NA	NA	0.45	NA	NA	NA	NA	0.66	0.81	NA	NA	0.32	NA	NA	NA
1784	NA	NA	0.43	NA	NA	NA	NA	0.8	0.88	NA	NA	0.29	NA	NA	NA
1785	NA	NA	0.32	NA	NA	NA	NA	0.69	0.84	NA	NA	0.33	NA	NA	NA
1786	NA	NA	0.44	NA	NA	NA	NA	0.65	0.95	NA	NA	0.36	NA	NA	NA
1787	NA	NA	0.4	NA	NA	NA	NA	0.59	0.81	NA	NA	0.4	NA	NA	NA
1788	NA	NA	0.36	NA	NA	NA	NA	0.59	0.77	NA	NA	0.39	NA	NA	NA
1789	NA	NA	0.24	NA	NA	NA	NA	0.46	0.58	NA	NA	0.39	NA	NA	NA
1790	NA	NA	0.35	NA	NA	NA	NA	0.41	0.6	NA	NA	0.38	NA	NA	NA
1791	NA	NA	0.56	NA	NA	NA	NA	0.59	0.61	NA	NA	0.52	NA	NA	NA
1792	NA	NA	0.5	NA	NA	NA	NA	0.54	0.54	NA	NA	0.52	NA	NA	NA
1793	NA	NA	0.47	NA	NA	NA	NA	0.54	0.64	NA	NA	0.44	NA	NA	NA
1794	NA	NA	0.46	NA	NA	NA	NA	0.65	0.59	NA	NA	0.44	NA	NA	NA
1795	NA	NA	0.36	NA	NA	NA	NA	0.62	0.51	NA	NA	0.42	NA	NA	NA
1796	NA	NA	0.39	NA	NA	NA	NA	0.43	0.52	NA	NA	0.41	NA	NA	NA
1797	NA	NA	0.35	NA	NA	NA	NA	0.35	0.38	NA	NA	0.27	NA	NA	NA
1798	NA	NA	0.57	NA	NA	NA	NA	0.5	0.6	NA	NA	0.4	NA	NA	NA
1799	NA	NA	0.54	NA	NA	NA	NA	0.56	0.58	NA	NA	0.47	NA	NA	NA
1800	NA	NA	0.47	NA	NA	NA	NA	0.37	0.47	NA	NA	0.45	NA	NA	NA
1801	NA	NA	0.56	NA	NA	NA	NA	0.49	0.6	NA	NA	0.5	NA	NA	NA
1802	NA	NA	0.58	NA	NA	NA	NA	0.62	0.9	NA	NA	0.52	NA	NA	NA
1803	NA	NA	0.35	NA	NA	NA	NA	0.39	0.84	NA	NA	0.44	NA	NA	NA
1804	NA	NA	0.41	NA	NA	NA	NA	0.44	0.71	NA	NA	0.41	NA	NA	NA
1805	NA	NA	0.37	NA	NA	NA	NA	0.36	0.51	NA	NA	0.45	NA	NA	NA
1806	NA	NA	0.41	NA	NA	NA	NA	0.46	0.51	NA	NA	0.42	NA	NA	NA
1807	NA	NA	0.43	NA	NA	NA	NA	0.41	0.57	NA	NA	0.36	NA	NA	NA
1808	NA	NA	0.36	NA	NA	NA	NA	0.56	0.42	NA	NA	0.31	NA	NA	NA
1809	NA	NA	0.42	NA	NA	NA	NA	0.54	0.43	NA	NA	0.32	NA	NA	NA
