# Schweingruber - Arosa GR Arlenwald South - PCAB - ITRDB SWIT108
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4315
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4315.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit108e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit108e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit108e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit108e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Arosa GR Arlenwald South - PCAB - ITRDB SWIT108
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Arosa GR Arlenwald South
#   Location: Switzerland
#   Northernmost_Latitude: 46.8
#   Southernmost_Latitude: 46.8
#   Easternmost_Longitude: 9.68
#   Westernmost_Longitude: 9.68
#   Elevation_m: 2000
#--------------------
# Data_Collection
#   Collection_Name: SWIT108
#   First_Year: 1785
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 223006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 223007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 223008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 223009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 223010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 223012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 223012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	223006_raw	223007_raw	223008_raw	223009_raw	223010_raw	223012_raw
1785	NA	NA	0.18	NA	NA	NA
1786	NA	NA	0.15	NA	NA	NA
1787	NA	NA	0.14	NA	NA	NA
1788	NA	NA	0.13	NA	NA	NA
1789	NA	NA	0.01	NA	0.88	NA
1790	NA	NA	0.16	NA	0.92	NA
1791	NA	NA	0.19	NA	0.63	NA
1792	NA	NA	0.17	NA	1.11	NA
1793	0.54	NA	0.14	NA	0.99	NA
1794	1.39	NA	0.22	NA	1.32	NA
1795	0.95	NA	0.16	NA	0.35	NA
1796	1.15	NA	0.24	1.22	1.17	0.85
1797	0.92	NA	0.28	1.27	0.75	0.55
1798	1.08	NA	0.22	1.37	0.97	0.74
1799	1.1	NA	0.21	1.23	0.77	0.84
1800	0.9	NA	0.07	1.41	0.29	0.52
1801	0.68	NA	0.13	0.85	0.5	0.6
1802	1.28	NA	0.08	1.07	0.98	0.74
1803	1.34	NA	0.1	1.74	0.99	1
1804	0.88	NA	0.11	1.45	0.81	1.12
1805	1.44	NA	0.18	1.7	0.93	1.04
1806	1.55	NA	0.2	1.73	0.91	0.83
1807	1.43	NA	0.2	1.95	0.61	0.76
1808	1.24	NA	0.25	1.62	0.7	0.56
1809	1.11	NA	0.18	1.22	0.59	0.45
1810	0.91	NA	0.31	0.84	0.36	0.55
1811	0.72	NA	0.31	1.14	0.68	0.63
1812	0.54	NA	0.28	0.99	0.51	0.65
1813	0.4	NA	0.19	1.02	0.44	0.47
1814	0.49	NA	0.25	1.07	0.46	0.38
1815	0.38	NA	0.18	1.03	0.38	0.41
1816	0.22	NA	0.22	0.86	0.43	0.32
1817	0.28	NA	0.2	0.84	0.51	0.17
1818	0.2	NA	0.09	0.56	0.42	0.07
1819	0.31	NA	0.23	0.67	0.51	0.16
1820	0.37	NA	0.25	0.74	0.5	0.23
1821	0.4	NA	0.07	0.59	0.26	0.17
1822	0.57	NA	0.2	0.86	0.56	0.27
1823	0.43	NA	0.19	0.79	0.54	0.45
1824	0.71	NA	0.25	0.8	0.9	0.39
1825	0.58	NA	0.21	0.81	0.82	0.29
1826	0.54	NA	0.2	0.75	0.72	0.27
1827	0.55	NA	0.24	0.75	0.73	0.28
1828	0.63	NA	0.36	0.94	0.76	0.27
1829	0.67	NA	0.31	1.28	0.89	0.46
1830	0.54	NA	0.38	1.25	0.79	0.4
1831	0.52	NA	0.33	1.65	0.79	0.5
1832	0.48	NA	0.31	1.36	0.66	0.43
1833	0.65	NA	0.41	1.47	0.95	0.56
1834	0.81	NA	0.44	1.41	0.99	0.51
1835	0.57	NA	0.22	1.13	0.94	0.58
1836	0.61	NA	0.17	0.98	0.77	0.44
1837	0.65	NA	0.26	1.04	0.79	0.48
1838	0.59	NA	0.27	0.92	0.78	0.49
1839	0.73	NA	0.32	1.21	0.76	0.61
1840	0.75	NA	0.42	1.2	1.01	0.78
1841	0.72	NA	0.32	0.99	1.1	0.83
1842	0.75	NA	0.28	1.27	0.97	0.74
1843	0.69	NA	0.28	0.89	0.69	0.69
1844	1.01	NA	0.37	1.09	0.79	0.68
1845	0.81	NA	0.29	0.91	0.76	0.62
1846	0.71	NA	0.24	1.05	0.64	0.78
1847	0.54	NA	0.25	0.81	0.75	0.68
1848	0.63	NA	0.28	0.81	0.7	0.8
1849	0.56	NA	0.23	0.84	0.86	0.76
1850	0.45	NA	0.22	0.75	0.72	0.7
1851	0.4	NA	0.25	0.93	0.7	0.66
1852	0.55	NA	0.29	0.92	0.69	0.82
1853	0.51	NA	0.39	1.08	0.57	1
1854	0.41	NA	0.39	0.84	0.48	0.9
1855	0.6	NA	0.39	1.14	0.85	0.94
1856	0.7	NA	0.31	1.22	0.95	0.74
1857	0.66	NA	0.31	1.06	0.78	0.77
1858	0.6	0.61	0.26	0.99	0.71	0.69
1859	0.59	0.86	0.27	1.01	0.67	0.82
1860	0.47	0.95	0.25	0.8	0.69	0.61
1861	0.48	1.42	0.29	0.82	0.82	0.88
1862	0.28	1.01	0.2	0.62	0.57	0.58
1863	0.38	1.31	0.21	0.81	0.79	0.62
1864	0.41	1.38	0.27	1.07	0.73	0.59
1865	0.37	1.03	0.23	0.82	0.71	0.53
1866	0.38	1.12	0.16	0.84	0.75	0.6
1867	0.36	1.2	0.25	0.98	0.76	0.62
1868	0.41	0.95	0.28	0.83	1.02	0.57
1869	0.41	0.87	0.17	0.79	0.86	0.53
1870	0.43	0.77	0.16	0.69	0.62	0.61
1871	0.45	0.85	0.27	0.77	0.71	0.53
