# Cherubini - Jussy JS - PPTM - ITRDB SWIT261
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14097
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14097.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit261-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit261-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit261.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit261.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Cherubini - Jussy JS - PPTM - ITRDB SWIT261
#--------------------
# Investigators
#   Investigators: Cherubini, P.(https://orcid.org/0000-0002-9809-250X)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Jussy JS
#   Location: Switzerland
#   Northernmost_Latitude: 46.2311
#   Southernmost_Latitude: 46.2311
#   Easternmost_Longitude: 6.2914
#   Westernmost_Longitude: 6.2914
#   Elevation_m: 500
#--------------------
# Data_Collection
#   Collection_Name: SWIT261
#   First_Year: 1944
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Populus tremula L.
#   Common_Name: European aspen
#   Tree_Species_Code: PPTM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pt01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pt01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pt02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pt02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pt02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pt02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pt03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pt03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pt03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pt03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pt01b_raw	pt02a_raw	pt02b_raw	pt03a_raw	pt03b_raw
1944	NA	NA	1.56	NA	NA
1945	NA	NA	1.66	NA	3.19
1946	NA	NA	1.24	NA	3.14
1947	NA	NA	1.99	1.97	2.45
1948	NA	NA	2.39	2.7	3.96
1949	NA	NA	3.15	2.17	3.18
1950	NA	NA	1.47	1.84	2.64
1951	NA	NA	1.58	1.34	2.93
1952	NA	NA	1.88	1.95	1.87
1953	NA	NA	1.78	1.67	1.69
1954	3.11	NA	2.8	2.88	3.1
1955	2.67	NA	2.99	2.8	2.88
1956	3.29	3.35	3.55	3.39	3.32
1957	4.14	4.25	3.78	3.68	3.94
1958	2.75	3.41	2.96	3.13	3.12
1959	4.52	4.29	3.94	3.26	4.39
1960	3.95	5.49	3.94	2.65	3.71
1961	4.55	4.11	2.76	2.77	3.34
1962	4.93	3.49	4.07	2.66	3.76
1963	2.73	2.17	1.8	1.91	2.05
1964	2.53	1.93	1.79	1.8	2.15
1965	2.51	2.8	2.76	2.49	2.69
1966	2.6	2.54	2.49	2.09	2.81
1967	2.9	2.76	2.03	2.43	2.81
1968	2.34	2.26	1.63	1.71	1.98
1969	3.29	3.36	2.36	2.99	3.42
1970	2.98	3.78	2.78	3.01	3.49
1971	2.13	2.72	2.59	2.4	2.93
1972	2.26	3.33	2.13	2.09	3.13
1973	0.81	1.27	0.57	1.26	0.67
1974	1.41	1.52	0.98	1.97	1.55
1975	1.32	1.86	1.23	1.74	2.49
1976	3.53	1.93	0.78	2.62	2.57
1977	2	1.17	0.93	1.77	1.28
1978	3.19	1.65	1.35	3.01	0.42
1979	3.71	3.16	2.79	3	1.45
1980	3.11	3	3.4	2.99	2.64
1981	3.69	1.99	2.6	3.8	2.51
1982	4.01	2.55	3	3.23	1.88
1983	3.93	1.53	2.05	2.28	1.79
1984	2.67	0.94	0.94	1.04	0.87
1985	0.93	0.39	0.56	0.7	0.3
1986	2.35	0.46	0.82	1.04	0.74
1987	2.03	0.85	1.15	1.07	1.22
1988	1.63	0.29	1.48	0.94	1.2
1989	2.05	0.86	2.07	1.75	2.24
1990	1.52	0.63	1.18	1.57	1.68
1991	0.69	0.32	0.71	0.59	0.71
1992	1.68	0.25	1.05	0.7	0.77
1993	1.14	0.21	0.47	0.54	0.69
1994	1.08	0.21	0.46	0.47	0.47
1995	2.23	0.85	0.99	1.37	0.81
1996	1.21	0.92	0.92	1.65	0.67
1997	0	0.44	0.53	0.76	0.39
1998	0	0.26	0.45	0.67	0.19
