# Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4410
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4410.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ049e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ049e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-29
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-29
#--------------------
# Title
#   Study_Name: Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Feldberg (D), EU-Pr.
#   Location: Germany
#   Northernmost_Latitude: 47.85
#   Southernmost_Latitude: 47.85
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: GERM049
#   First_Year: 1851
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1030001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1030001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1030001_raw
1851	2.1
1852	1.89
1853	0.66
1854	1.15
1855	0.15
1856	0.42
1857	0.66
1858	0.3
1859	0.78
1860	0.2
1861	0.26
1862	0.6
1863	0.56
1864	0.13
1865	0.07
1866	0.27
1867	0.35
1868	0.35
1869	0.78
1870	0.63
1871	0.7
1872	0.9
1873	1.73
1874	2.08
1875	2.07
1876	2.38
1877	2.57
1878	2.92
1879	2.86
1880	2.89
1881	2.95
1882	1.94
1883	2.65
1884	2.51
1885	2.41
1886	2.16
1887	2.73
1888	2.36
1889	2.19
1890	1.82
1891	1.68
1892	1.4
1893	1.27
1894	1.07
1895	1.09
1896	0.62
1897	0.92
1898	0.77
1899	0.91
1900	1.02
1901	1.34
1902	1.07
1903	1.25
1904	1.29
1905	1.15
1906	1.1
1907	0.79
1908	1.17
1909	0.77
1910	1.2
1911	1.46
1912	0.98
1913	1.05
1914	0.92
1915	1.06
1916	1.08
1917	1.17
1918	1.24
1919	1.26
1920	1.22
1921	1.2
1922	1.17
1923	1.22
1924	1.6
1925	0.94
1926	0.61
1927	0.93
1928	1.21
1929	0.86
1930	0.65
1931	0.77
1932	0.61
1933	0.47
1934	0.92
1935	1.25
1936	0.94
1937	1
1938	1.06
1939	1.19
1940	1.51
1941	1.17
1942	1.07
1943	1.13
1944	1.3
1945	1.25
1946	1.12
1947	0.91
1948	0.56
1949	0.71
1950	0.62
1951	0.86
1952	1.01
1953	1.08
1954	0.79
1955	1.2
1956	1.04
1957	1.05
1958	1.28
1959	1.36
1960	1.45
1961	1.38
1962	1.08
1963	1.12
1964	1.2
1965	1.05
1966	0.98
1967	1.02
1968	1.21
1969	1.31
1970	1.13
1971	0.96
1972	1.02
1973	1.29
1974	0.75
1975	0.95
1976	0.85
1977	1.4
1978	1.46
1979	1.27
1980	1.03
1981	1.21
1982	1.49
1983	1.5
1984	1.27
1985	1.03
1986	0.75
1987	0.83
1988	1.23
1989	1.23
1990	1.15
1991	0.96
1992	1.23
1993	1.1
1994	0.94
1995	1.24
