# Bräker - Breuleux Paturage Communal - PCAB - ITRDB SWIT300
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16866
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16866.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit300-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit300-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit300.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit300.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Breuleux Paturage Communal - PCAB - ITRDB SWIT300
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Notes: 
# # Formerly Les_Breuleux_Fichte_Bestand_n10_1995.fh NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Breuleux Paturage Communal
#   Location: Switzerland
#   Northernmost_Latitude: 47.1975
#   Southernmost_Latitude: 47.1975
#   Easternmost_Longitude: 6.8667
#   Westernmost_Longitude: 6.8667
#   Elevation_m: 1025
#--------------------
# Data_Collection
#   Collection_Name: SWIT300
#   First_Year: 1852
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BREF1011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BREF1101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BREF1101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BREF1011_raw	BREF1021_raw	BREF1031_raw	BREF1041_raw	BREF1051_raw	BREF1061_raw	BREF1071_raw	BREF1081_raw	BREF1091_raw	BREF1101_raw
1852	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	2.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	2.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	2.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
1857	1.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	1.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
1861	2.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	3.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
1863	3.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
1864	3.36	NA	NA	NA	NA	NA	NA	NA	NA	NA
1865	2.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
1866	2.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	2.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
1868	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1869	3.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
1870	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1871	1.72	NA	NA	NA	NA	NA	NA	NA	NA	NA
1872	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
1873	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	2.35	NA	1.11	NA	NA	NA	NA	NA	NA	NA
1875	3.08	NA	0.69	NA	NA	NA	NA	NA	NA	NA
1876	1.92	NA	0.42	NA	NA	NA	NA	NA	NA	NA
1877	2.19	NA	0.61	NA	NA	NA	NA	NA	NA	NA
1878	2.55	NA	0.71	NA	NA	NA	NA	NA	NA	NA
1879	2.34	NA	0.69	NA	NA	NA	NA	NA	NA	NA
1880	2.39	NA	0.59	NA	NA	NA	NA	NA	NA	NA
1881	2.58	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1882	1.73	NA	0.47	NA	NA	NA	NA	NA	NA	NA
1883	1.34	NA	0.48	NA	NA	NA	NA	NA	NA	NA
1884	1.38	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1885	1.52	NA	0.42	NA	NA	NA	NA	NA	NA	NA
1886	1.47	NA	0.31	NA	NA	NA	NA	NA	NA	NA
1887	1.64	NA	0.15	NA	NA	NA	NA	NA	NA	NA
1888	2.12	NA	0.25	NA	NA	NA	NA	NA	NA	NA
1889	1.67	NA	0.1	NA	NA	NA	NA	NA	NA	NA
1890	1.72	NA	0.07	NA	NA	NA	NA	NA	NA	NA
1891	1.6	NA	0.13	NA	NA	NA	NA	NA	NA	NA
1892	1.58	NA	0.1	NA	NA	NA	NA	NA	NA	NA
1893	1.13	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1894	1.06	NA	1.25	NA	NA	NA	NA	NA	NA	NA
1895	1.24	NA	0.78	NA	NA	NA	NA	NA	NA	NA
1896	1.29	NA	0.31	NA	NA	NA	NA	NA	NA	NA
1897	1.2	NA	0.36	NA	NA	NA	NA	NA	NA	NA
1898	1.38	NA	0.28	NA	NA	NA	NA	NA	NA	NA
1899	1.37	NA	0.3	NA	NA	NA	NA	NA	NA	NA
1900	1.02	NA	0.28	NA	NA	NA	NA	NA	NA	NA
1901	1.3	NA	0.37	0.43	NA	NA	NA	NA	NA	NA
1902	1.01	NA	0.4	0.37	NA	NA	NA	NA	NA	NA
1903	1.09	NA	0.45	0.34	NA	NA	NA	NA	NA	NA
1904	1.18	NA	0.51	0.46	NA	NA	NA	NA	NA	NA
1905	1.17	NA	0.63	1.19	NA	NA	NA	NA	2.12	NA
1906	1.6	NA	0.65	1.84	NA	NA	NA	NA	1.55	NA
1907	1.38	NA	0.79	1.42	NA	NA	NA	NA	1.54	NA
1908	1.57	2.23	0.75	0.94	NA	NA	NA	NA	1.44	NA
1909	1.44	2.64	0.79	1.14	NA	NA	NA	NA	1.83	NA
1910	1.28	1.54	0.84	1.23	NA	NA	NA	NA	1.88	NA
1911	1.2	1.68	0.74	1.23	NA	NA	NA	NA	1.47	NA
1912	1.27	1.82	0.84	1.75	NA	NA	NA	NA	1.73	NA
1913	1.02	1.94	1.3	1.57	NA	NA	NA	NA	2	NA
1914	0.7	1.6	1.08	1.32	NA	NA	NA	NA	1.93	NA
1915	0.82	1.87	1.19	1.75	NA	NA	NA	NA	2.25	NA
1916	1	2.49	0.7	1.73	NA	NA	NA	NA	2.45	NA
1917	0.98	1.54	0.95	1.61	NA	NA	NA	NA	3.44	NA
1918	0.67	1.53	0.88	1.74	NA	NA	2.28	NA	1.77	NA
1919	0.9	0.8	1	1.33	NA	NA	1.15	2.72	2.36	NA
1920	0.42	0.39	0.83	1.05	NA	NA	1.5	2.04	1.91	NA
1921	0.58	0.86	0.83	1.19	NA	NA	1.97	1.19	2.98	NA
1922	0.67	0.83	0.51	1.51	NA	NA	2.65	1.42	2.98	NA
1923	0.87	0.65	0.79	1.39	NA	NA	1.89	1.93	2.59	NA
1924	0.86	0.68	1.35	1.77	NA	NA	1.46	1.74	3	NA
1925	1.17	0.91	2.07	2.27	NA	NA	1.38	2.64	3.47	NA
1926	1.18	1.16	2.18	2.48	NA	NA	1.39	2.22	3.23	NA
