# Hogholt - Morimondo - QURO - ITRDB ITAL052
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27076
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27076.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital052-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital052-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital052.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital052.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-06-18
#--------------------
# File_Last_Modified_Date
#   Date: 2019-06-18
#--------------------
# Title
#   Study_Name: Hogholt - Morimondo - QURO - ITRDB ITAL052
#--------------------
# Investigators
#   Investigators: Hogholt, I.; Passini, E.; Vacchiano, G.; Vaglieri, T.
#--------------------
# Description_Notes_and_Keywords
#   Description: Climate response of two oak species in northern Italy in the last 60 years NOAA Template Raw Measurements file added 2019-08-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Morimondo
#   Location: Italy
#   Northernmost_Latitude: 45.3459
#   Southernmost_Latitude: 45.3459
#   Easternmost_Longitude: 8.9451
#   Westernmost_Longitude: 8.9451
#   Elevation_m: 109
#--------------------
# Data_Collection
#   Collection_Name: ITAL052
#   First_Year: 1961
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus robur L. = Quercus pendunculata Ehrl.
#   Common_Name: English oak
#   Tree_Species_Code: QURO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## F1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F19_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F19; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## F8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: F8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	F1_raw	F11_raw	F16_raw	F18_raw	F19_raw	F21_raw	F3_raw	F5_raw	F6_raw	F7_raw	F8_raw
1961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28
1962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99
1963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.49
1964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.63
1965	NA	NA	NA	NA	NA	NA	4.54	NA	NA	NA	6.48
1966	NA	NA	NA	NA	NA	NA	4.61	NA	NA	NA	7.88
1967	NA	NA	NA	NA	NA	NA	7.93	NA	NA	NA	10.72
1968	NA	NA	NA	NA	NA	NA	10.22	NA	NA	NA	12.06
1969	NA	NA	NA	NA	NA	NA	8.2	NA	NA	4.72	11.18
1970	NA	NA	NA	NA	NA	NA	6.87	NA	NA	5.58	10.07
1971	NA	NA	NA	NA	NA	NA	6.94	NA	NA	7.46	12.1
1972	NA	NA	NA	NA	NA	NA	5.74	NA	NA	5.41	8.92
1973	3.43	NA	NA	NA	NA	NA	7.15	NA	NA	8.09	10.67
1974	8.08	NA	NA	NA	NA	NA	6.69	NA	NA	7.02	9
1975	3.97	NA	NA	NA	NA	NA	8.12	NA	NA	8.58	4.88
1976	3.95	NA	NA	NA	NA	NA	5.39	NA	NA	7.9	4.48
1977	6.83	NA	NA	NA	NA	NA	8.83	NA	NA	19.78	6.61
1978	3.9	NA	NA	NA	NA	NA	9.39	NA	NA	18.14	6.97
1979	4	NA	NA	NA	6.86	NA	6.92	NA	NA	9.39	6.24
1980	7.75	NA	NA	8.19	9.29	NA	7.15	NA	NA	9.25	7.26
1981	9.13	NA	NA	9	9.62	NA	6.96	NA	NA	11.3	7.96
1982	5.52	NA	NA	8.77	9.93	NA	6.05	NA	NA	8.02	6.89
1983	6.44	NA	NA	8.95	9.3	NA	5.18	10.39	NA	8.33	6.11
1984	4.91	5.8	NA	8.49	8.61	NA	4.35	9.07	NA	4.31	4.93
1985	4.56	8	NA	8.97	6.28	NA	4.82	8.62	NA	2.96	3.74
1986	4.74	9.04	NA	7.27	5.25	5.6	4.68	7.89	NA	6.16	6.32
1987	5.47	9.17	13.31	10.86	6.18	7.04	4.09	6.11	NA	6.28	5.9
1988	4.86	7.6	11.08	7.22	9.38	5.95	5.86	7.7	2.31	6.39	5.41
1989	6.43	9.29	11.11	9.98	6.82	8.51	5.16	4.58	4.55	7.59	4.49
1990	5.45	7.54	9.83	10.87	4.3	10.56	4.02	5.36	1.48	5.16	6.6
1991	5.39	6.5	9.32	8.66	4.72	8.24	3.08	6.04	1.3	6.41	6.58
1992	6.24	9.04	9.98	8.15	6.66	9.07	6.33	8.84	3.62	5.73	6.84
1993	5.26	7.13	9.48	7.57	5.72	6.78	5.77	6.91	3.46	6.12	6.9
1994	5.84	7.73	12.35	6.1	6.23	7.41	6.58	4.23	3.34	5.78	6.27
1995	4.62	8.26	12.1	8.36	6.75	7.73	7.83	5.36	3.28	8.25	7.1
1996	4.69	7.03	9.11	6.97	6.36	7	6.65	4.35	4.32	9.38	4.87
1997	4.54	4.67	10.43	3.64	6.69	6.72	4.19	3.78	3.39	5.04	3.82
1998	6.09	6.74	10.63	7.66	7.3	6.68	6.15	3.67	2.93	9.89	6.73
1999	5.59	4.59	10.35	6.23	7.04	5.46	4.93	4.43	3.75	8.87	6
2000	2.89	3.22	9.15	4.29	6.29	7.45	4.62	5.24	3.08	5.78	6.47
2001	2.8	2.23	9.67	5.61	7.72	6.16	3.45	4.13	2.84	6.25	3.9
2002	3.41	3.01	9.88	5.8	9.09	5.98	5.18	4.94	3.29	8.21	5.6
2003	2.74	4.13	6.99	6.69	7.28	4.99	3.45	3.75	5.22	6.23	5.11
2004	4.03	6.35	11.46	6.9	9.98	5.06	6.35	4.24	12.29	7.56	5.84
2005	1.82	4.53	9.44	4.48	6.33	3.63	4.52	3.87	7.23	4.69	4.03
2006	1.8	4.85	8.2	6.4	12.99	5.16	3.25	3.33	5.75	8.27	4.33
2007	4.26	6.73	8.1	6.62	8.21	3.94	4.14	3.63	5.83	6.06	4.09
2008	5.77	5.57	10.02	7.71	8.2	7.18	4.79	3.86	5.07	5.12	4.18
2009	3.65	5.25	9.13	9.05	9.8	8.83	4	3.64	5.52	6.38	3.2
2010	2.47	3.41	10.71	5.86	8.98	7.82	4.4	3.07	5.18	6.71	4.04
2011	4.55	2.63	6.77	6.46	7.6	10.74	4.37	3.3	5.76	5.59	3.11
2012	4.26	2.95	7.97	5.88	7.63	6.52	5.32	2.7	3.6	3.54	2.33
2013	2.22	2.69	8.62	7.93	7.77	9.14	3.86	2.67	3.44	2.87	1.9
2014	5.58	2.88	8.36	4.36	11.31	6.45	3.37	3.53	6.69	3.92	2.37
2015	6.81	4.66	7.42	7.07	7.13	4.82	3.1	3.65	7.26	3.71	2.58
2016	3.65	3.13	10.58	5.88	12.61	5.17	3.98	3.08	7.21	4.07	2.8
2017	2.35	2.76	7.5	3.6	5.82	1.37	2.84	2.36	5.13	2.88	1.96
2018	4.14	2.75	9.93	6.22	9.08	1.19	3.55	3.29	3.66	3.27	2.17
