# Hartl - Bad Tölz, Seinsberg außen - PCAB - ITRDB DEU420
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37619
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37619.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu420-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu420.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu420.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-02-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-02-17
#--------------------
# Title
#   Study_Name: Hartl - Bad Tölz, Seinsberg außen - PCAB - ITRDB DEU420
#--------------------
# Investigators
#   Investigators: Hartl, Claudia; Dittmar, Christoph; Zang, Christian; Rothe, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Hartl-Meier, C; C Zang; C Dittmar; J Esper; A Göttlein; A Rothe
#   Published_Date_or_Year: 2014
#   Published_Title: Vulnerability of Norway spruce to climate change in mountain forests of the European Alps
#   Journal_Name: Clim. Res.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3354/cr01226
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Zang, Christian; Claudia Hartl-Meier; Christoph Dittmar; Andreas Rothe; Annette Menzel
#   Published_Date_or_Year: 2014
#   Published_Title: Patterns of drought tolerance in major European temperate forest trees: climatic drivers and levels of variability
#   Journal_Name: Glob Change Biol
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.12637
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Bavarian State Ministry for Food, Agriculture and Forestry
#   Grant: B 69
#--------------------
# Site_Information
#   Site_Name: Bad Tölz, Seinsberg außen
#   Location: Germany
#   Northernmost_Latitude: 47.476
#   Southernmost_Latitude: 47.476
#   Easternmost_Longitude: 11.308
#   Westernmost_Longitude: 11.308
#   Elevation_m: 1240
#--------------------
# Data_Collection
#   Collection_Name: DEU420
#   First_Year: 1805
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TZSB101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB101C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB101O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB101O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB102C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB102C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB102O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB102O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB104C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB104O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB104O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB105C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB105C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB105O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB105O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB106C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB106C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB106O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB106O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB107C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB107C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB107O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB107O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB111C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB111C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB111O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB111O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB112C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB112C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB112O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB112O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB113C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB113C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB113O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB113O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB114C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB114C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TZSB114O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TZSB114O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TZSB101C_raw	TZSB101O_raw	TZSB102C_raw	TZSB102O_raw	TZSB104C_raw	TZSB104O_raw	TZSB105C_raw	TZSB105O_raw	TZSB106C_raw	TZSB106O_raw	TZSB107C_raw	TZSB107O_raw	TZSB111C_raw	TZSB111O_raw	TZSB112C_raw	TZSB112O_raw	TZSB113C_raw	TZSB113O_raw	TZSB114C_raw	TZSB114O_raw
1805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	NA	NA
1806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87	NA	NA
1807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	NA	NA
1808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81	NA	NA
1809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.46	NA	NA
1810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA	2.41	NA	NA
1811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.56	NA	NA	NA	NA	NA	NA	2.31	1.61	NA
1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.14	NA	NA	NA	NA	NA	1.99	1.73	2.05	NA
1813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	1.63	1.44	1.76	NA
1814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74	NA	1.58	NA	NA	NA	1.39	1.37	1.34	NA
1815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	1.14	NA	NA	NA	1.14	1.09	1.34	NA
1816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69	NA	1.07	NA	NA	NA	1.14	0.96	1.36	NA
1817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45	NA	1.05	1.07	NA	NA	1.26	1.08	1.3	NA
1818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA	1.19	1.79	NA	NA	1.52	1.4	1.48	NA
1819	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.2	1.15	NA	1.09	1.46	NA	NA	1.58	1.22	1.28	NA
1820	NA	NA	NA	NA	NA	NA	NA	NA	1.59	1.62	1.23	NA	1.24	1.54	NA	NA	1.55	1.33	1.47	NA
1821	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.5	0.96	NA	1.28	1.42	NA	NA	1.07	1.06	1.07	1.34
1822	NA	NA	NA	NA	NA	NA	NA	NA	1.67	2.19	1.12	NA	0.94	0.88	NA	NA	1.11	0.96	1.05	0.85
1823	NA	NA	NA	NA	NA	NA	NA	NA	1.55	1.87	1.37	NA	1.38	1.42	NA	NA	1.49	1.06	1.82	1.21
1824	NA	NA	NA	NA	NA	1.35	1.09	NA	1.52	1.52	1.45	NA	1.29	1.48	NA	NA	1.44	1.16	1.26	1.17
1825	NA	NA	NA	NA	NA	1.07	0.89	NA	1.32	1.21	1.39	NA	1.55	1.58	NA	NA	1.34	1.29	1.27	1.2
1826	NA	NA	NA	NA	NA	1.1	1.01	NA	1.62	1.39	1.13	NA	1.2	1.16	NA	NA	1.24	0.96	1.07	0.91
1827	NA	NA	NA	NA	NA	1.49	1.32	1.47	1.65	1.46	1.14	NA	1.61	1.4	NA	NA	1.67	1.29	1.23	1.45
1828	NA	NA	NA	NA	NA	1.44	1.07	0.86	1.77	1.43	1.42	NA	1.5	1.47	NA	NA	1.59	1.28	1.45	1.28
1829	NA	NA	NA	NA	NA	1.65	0.93	0.93	1.56	1.33	1.7	NA	1.24	0.93	NA	NA	1.42	1.24	1.1	1.34
1830	NA	NA	NA	NA	1.25	1.46	1.11	1.32	1.14	1.32	1.4	NA	1.18	1.05	NA	NA	1.18	1.23	1.02	1.19
1831	NA	NA	NA	NA	1.37	1.47	0.97	0.88	1.23	1.29	1.49	NA	1.18	1.18	NA	1.83	0.91	1.07	1.17	1.46
1832	NA	NA	NA	NA	1.44	1.14	0.98	0.98	1.08	1.2	1.14	NA	1.07	0.83	NA	1.38	1.01	0.9	0.96	1.08
1833	NA	NA	NA	NA	1.65	1.43	1.08	0.84	1.16	1.32	1.27	NA	1.1	1.07	NA	1.38	1.09	0.89	1.28	1.33
1834	NA	NA	NA	NA	0.87	1	1.16	0.83	1.25	1.25	1.24	NA	0.91	0.79	NA	1.34	1.03	1.06	0.68	0.84
1835	NA	NA	NA	NA	0.81	1.09	0.56	0.44	1.17	1.31	0.86	NA	1.24	1.11	NA	1.38	1.08	0.92	0.68	0.88
1836	NA	NA	NA	NA	0.65	0.75	0.54	0.44	0.9	1.02	0.71	NA	0.86	1.07	NA	1.03	0.83	0.82	0.63	0.78
1837	NA	NA	NA	NA	0.71	0.82	0.87	0.57	1.13	1.39	0.78	NA	0.94	1.04	NA	1.24	0.87	0.9	0.65	0.9
1838	NA	NA	NA	NA	0.65	0.76	0.87	0.62	1.24	1.25	0.94	NA	1.06	1.1	NA	1.19	1.06	0.94	0.61	0.89
1839	NA	NA	NA	NA	0.79	0.82	0.99	0.56	1.36	1.57	1.03	0.56	0.9	0.92	1.31	1.09	0.96	1.01	0.74	0.91
1840	NA	NA	NA	1.79	0.94	0.72	1.04	0.76	0.7	0.98	0.82	0.49	1.01	0.93	1.17	0.87	0.41	0.59	1.07	1.41
1841	NA	NA	NA	1.7	0.81	0.43	0.8	0.48	0.86	0.9	0.69	0.5	0.87	0.72	1.21	0.82	0.52	0.96	0.89	0.9
1842	NA	NA	NA	2.11	1.04	0.7	1.04	0.71	1.23	1.31	0.78	0.57	1.28	1.18	1.1	1.06	1.4	1.46	1.05	1.16
1843	NA	NA	NA	1.57	0.82	0.68	1.13	1.02	0.82	1.1	0.83	0.66	1.17	1.07	0.96	0.96	1.28	0.99	1.03	1.09
1844	NA	NA	NA	1.8	1.01	0.89	0.86	0.7	1.01	1.22	0.7	0.65	0.97	1.08	1	1.04	1.27	1.19	0.86	1.2
1845	NA	NA	NA	1.28	1.03	0.86	1	0.82	0.95	1.07	0.66	0.54	0.83	0.73	0.82	1.27	1.24	1.13	0.83	1.17
1846	NA	NA	1.87	1.61	0.89	0.83	0.81	0.66	1.01	1.29	0.76	0.61	0.95	0.82	0.96	1.07	1.21	1.24	0.78	1.08
1847	NA	1.59	2.19	2.26	1.34	1.04	0.75	0.86	0.92	1.02	0.75	0.72	0.96	0.76	0.88	1.04	0.86	0.91	0.99	1.34
1848	NA	1.22	1.78	1.56	1.12	0.89	0.59	0.66	0.79	0.86	0.68	0.51	0.61	0.59	0.74	1.07	0.63	0.64	0.79	0.96
1849	NA	1.17	2.01	1.97	1.35	1.09	0.82	0.76	1.21	1.13	0.66	0.59	0.78	0.62	0.73	0.76	0.69	0.82	0.82	1.09
1850	NA	1.24	1.81	1.75	1.21	1.33	0.92	1.12	1.28	0.95	0.71	0.65	0.72	0.62	0.74	0.87	0.58	0.88	0.66	0.94
1851	NA	1.14	2	2.34	1.41	1.62	1.08	1.04	1.11	1.13	0.71	0.71	0.94	0.77	0.83	1.1	0.65	0.75	0.89	1.09
1852	NA	1.14	1.66	1.8	1.02	1.15	0.78	0.77	1.04	1.25	0.77	0.65	0.68	0.62	0.55	0.9	0.5	0.69	0.76	0.89
1853	NA	1.28	1.4	1.69	0.99	1.24	0.74	0.86	1.17	1.24	0.69	0.72	0.87	0.88	0.56	0.86	0.47	0.75	0.82	1.24
1854	NA	0.79	1.02	1.51	0.89	1.05	0.56	0.64	0.67	0.88	0.75	0.65	0.8	0.78	0.42	0.59	0.32	0.51	0.96	1.12
1855	NA	1.25	1.24	1.85	0.78	1.17	0.48	0.7	1.03	1.04	0.79	0.75	0.76	0.65	0.54	0.83	0.52	0.65	0.89	1.38
1856	NA	1.35	1	1.58	0.56	0.78	0.36	0.51	0.93	1.18	0.61	0.62	0.61	0.49	0.37	0.6	0.58	0.7	0.69	0.9
1857	NA	1.11	1.34	1.81	0.4	0.98	0.46	0.65	0.73	1.08	0.59	0.63	0.77	0.64	0.56	0.71	0.79	0.82	0.79	1
