# Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4410
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4410.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049t-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ049t-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049t.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ049t.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-29
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-29
#--------------------
# Title
#   Study_Name: Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Feldberg (D), EU-Pr.
#   Location: Germany
#   Northernmost_Latitude: 47.85
#   Southernmost_Latitude: 47.85
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: GERM049
#   First_Year: 1851
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1030001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1030001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1030001_raw
1851	4.69
1852	7.31
1853	7.03
1854	7.16
1855	6.42
1856	7.96
1857	6.66
1858	7.54
1859	6.3
1860	7.05
1861	7.56
1862	7.97
1863	6.2
1864	6.01
1865	6.04
1866	7.42
1867	7.02
1868	7.41
1869	7.77
1870	7.19
1871	7.31
1872	7.13
1873	6.91
1874	7.34
1875	7.38
1876	6.31
1877	5.81
1878	6.89
1879	6.55
1880	7.15
1881	6.33
1882	5.58
1883	7.62
1884	7.02
1885	7.24
1886	7.19
1887	6.47
1888	7.11
1889	6.67
1890	7.45
1891	7.14
1892	8.05
1893	7.97
1894	6.44
1895	6.93
1896	6.11
1897	6.97
1898	7.33
1899	7.27
1900	7.81
1901	7.04
1902	6.76
1903	7.05
1904	8.06
1905	6
1906	7.42
1907	7.36
1908	6.75
1909	5.42
1910	6.35
1911	6.32
1912	4.15
1913	7.48
1914	7.17
1915	6.84
1916	6.53
1917	7.5
1918	6.66
1919	7.93
1920	6.83
1921	8.77
1922	6.31
1923	7.42
1924	6.12
1925	5.45
1926	7.57
1927	6.91
1928	8.42
1929	8.15
1930	6.74
1931	6.22
1932	7.97
1933	8.13
1934	7.44
1935	7.4
1936	6.82
1937	7.48
1938	6.75
1939	6.61
1940	6.94
1941	6.58
1942	7.36
1943	7.98
1944	7.14
1945	8.07
1946	7.57
1947	8.04
1948	7.25
1949	8.33
1950	6.97
1951	7.13
1952	7.2
1953	7.63
1954	5.23
1955	6.86
1956	6.94
1957	6.14
1958	7.51
1959	7.15
1960	6.7
1961	7.22
1962	5.91
1963	5.72
1964	6.84
1965	5.78
1966	6.42
1967	5.17
1968	5.88
1969	6.15
1970	6.5
1971	7.58
1972	4.46
1973	7.3
1974	6.41
1975	7.15
1976	5.6
1977	5.99
1978	5.59
1979	6.03
1980	6.55
1981	7.03
1982	6.62
1983	7.81
1984	5.29
1985	7.86
1986	6.75
1987	7.13
1988	5.72
1989	7.1
1990	6.58
1991	7.93
1992	7.33
1993	6.83
1994	6.1
1995	4.91
