# Schmid - Baerschwil Landsberg 2 (moist) - FASY - ITRDB SWIT385
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33033
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33033.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit385-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit385-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit385.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit385.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-03-05
#--------------------
# Title
#   Study_Name: Schmid - Baerschwil Landsberg 2 (moist) - FASY - ITRDB SWIT385
#--------------------
# Investigators
#   Investigators: Schmid, L.; Bigler, C.; Weber, P.; Fonti, P.
#--------------------
# Description_Notes_and_Keywords
#   Description: Reference: 
# # Schmid, L. (2010). 
# # Vergleich der Gefasse der Buche an einem trockenen und einem mesischen Standort. 
# # Master thesis. ETH Zurich, Zurich. NOAA Template Raw Measurements file added 2021-05-03.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Baerschwil Landsberg 2 (moist)
#   Location: Switzerland
#   Northernmost_Latitude: 47.39016
#   Southernmost_Latitude: 47.39016
#   Easternmost_Longitude: 7.45224
#   Westernmost_Longitude: 7.45224
#   Elevation_m: 717
#--------------------
# Data_Collection
#   Collection_Name: SWIT385
#   First_Year: 1891
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAT Bu01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT Bu10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAT Bu01_raw	BAT Bu02_raw	BAT Bu03_raw	BAT Bu05_raw	BAT Bu06_raw	BAT Bu11_raw	BAT Bu08_raw	BAT Bu04_raw	BAT Bu07_raw	BAT Bu10_raw
1891	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA
1892	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA
1893	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA
1894	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA
1895	NA	3.09	NA	2	NA	NA	NA	0.97	NA	NA
1896	1.9	4.57	NA	2.86	NA	NA	NA	1.73	NA	NA
1897	2.06	4.05	NA	3.72	NA	NA	NA	2.96	NA	NA
1898	2.14	2.84	NA	2.51	NA	1.95	NA	2.19	NA	NA
1899	1.64	2.94	NA	2.67	2.08	1.81	NA	1.43	NA	NA
1900	1.7	2.73	NA	1.74	2.16	1.72	NA	1.11	NA	NA
1901	2.4	2.32	NA	1.45	2.72	1.82	NA	1.09	NA	NA
1902	2.16	2.32	NA	1.1	2.16	1.36	NA	0.85	NA	NA
1903	2.96	2.78	NA	1.28	3.24	1.9	NA	1.36	NA	NA
1904	2.3	2.38	NA	1.05	2.03	1.31	NA	1.61	1.26	NA
1905	2.26	3.65	NA	1.36	2.36	1.61	NA	1.65	1.83	NA
1906	2.02	2.74	NA	1.28	1.99	1.52	NA	1.78	1.68	NA
1907	1.72	2.52	NA	1.34	1.56	1.43	NA	1.86	2.13	NA
1908	1.74	3.07	NA	1.35	1.9	1.66	NA	1.65	2.26	NA
1909	1.49	3.57	NA	1.03	2.03	1.43	NA	1.21	1.77	NA
1910	2.97	3.72	NA	1.38	3.91	1.54	NA	2.01	2.34	NA
1911	2.1	2.5	NA	1.59	2.91	1.37	NA	1.47	1.79	NA
1912	1.89	2.41	NA	1.98	2.95	1.8	NA	1.8	1.76	NA
1913	1.45	1.84	NA	1.41	3.56	1.51	NA	1.49	1.8	NA
1914	1.45	1.93	3.6	1.27	4.47	1.65	NA	1.48	1.55	NA
1915	1.56	1.88	2.75	0.89	3.2	1.76	NA	1.17	1.49	NA
1916	1.81	2.72	3.08	1.34	3.39	2.44	2.86	1.26	1.95	NA
1917	2.42	3.41	2.55	1.56	3.07	2.48	2.39	1.02	1.8	NA
1918	2.08	3.59	2.09	1.57	2.49	2.41	2.19	1.05	1.81	NA
1919	1.64	2.86	1.73	1.27	1.91	1.84	2.22	1.17	1.61	NA
1920	1.88	3.15	2.04	1.33	2.42	2.14	2.78	1.48	1.79	NA
1921	1.64	2.45	1.64	1.17	2.62	2.1	2.11	1.19	1.73	NA
1922	1.48	2.69	2.45	1.25	2.73	1.84	2.2	1.23	1.85	NA
1923	1.65	2.68	2.02	1.57	2.01	1.79	2.05	1.2	1.9	NA
1924	1.66	2.07	2.28	1.7	2.91	1.56	2.07	1.46	1.95	NA
1925	1.68	2.11	2.57	1.78	3.43	1.6	2.06	1.51	2.11	NA
1926	1.66	1.79	2.75	1.6	3.69	1.76	1.95	1.41	1.45	NA
1927	1.51	1.89	3.09	1.65	3.18	1.65	2.5	1.34	1.99	NA
1928	1.4	2.19	1.9	0.98	2.06	1.56	2.35	1.03	1.52	NA
1929	1.71	2.93	2.25	1.07	2.69	1.91	2.53	1.25	1.84	NA
1930	1.67	3.54	2.13	1.18	2.75	1.93	2.6	1.34	1.79	NA
1931	1.97	3.19	2.54	1.27	4.39	1.91	2.87	1.3	1.89	NA
1932	1.92	2.32	2.62	1.01	4.03	1.8	2.4	1.28	1.65	NA
1933	2.09	1.78	2.19	1.42	2.9	1.9	2.1	1.35	1.53	NA
1934	1.45	1.42	1.24	1.02	2.21	1.32	1.7	1.33	1.17	NA
1935	1.47	1.72	1.08	1.25	2	1.02	1.16	1.09	1.24	NA
1936	1.49	1.25	1.17	1.39	2.4	1.01	1.25	1.29	1.45	NA
1937	1.71	1.39	0.87	1.11	2.78	0.9	1.28	1.21	1.38	NA
1938	1.84	1.67	0.77	1.33	2.67	1.44	1.05	1.52	1.22	NA
1939	1.7	2.18	0.73	1.08	3.2	1.55	1.27	1.11	1.11	NA
1940	1.42	1.67	0.66	0.93	1.82	1.41	1.81	1.01	1.02	NA
1941	1.72	2.07	0.77	0.74	1.84	1.63	1.91	1.14	1.29	NA
1942	1.68	1.93	0.98	0.62	2.25	1.56	1.92	1.25	1.24	NA
1943	1.68	1.67	1.06	0.58	2.32	1.82	2.57	1.12	1.63	NA
1944	1.61	1.36	1.56	0.84	2.05	1.41	3.12	1.22	1.77	NA
1945	1.32	1.04	1.53	0.78	1.75	1.56	2.25	1.25	2.13	NA
1946	1.69	1.23	1.57	1.5	1.98	1.77	1.71	1.32	1.41	NA
1947	2	1.04	1.33	1.48	1.68	1.6	1.25	0.99	1.71	NA
1948	1.18	0.57	0.76	1.29	1.32	1.28	1.85	0.84	2.96	NA
1949	2.1	1.52	1.38	1.63	1.99	1.56	2.2	0.86	2.33	NA
1950	1.59	1.21	0.69	1.23	1.56	1.43	1.92	0.69	2.57	NA
1951	2.28	1.75	1.75	2.18	3.7	2.07	3.01	0.99	3.54	NA
1952	1.72	1.72	1.19	1.15	2.34	1.63	2.51	0.77	2.32	1.88
1953	1.06	2.06	0.93	1.41	2.39	1.23	3.46	1.24	3.35	2.01
1954	1.17	1.71	1.12	1.4	2.03	1.34	1.96	1.02	2.59	1.91
1955	2.19	2.36	1.67	1.84	4.45	2.27	2.75	1.28	3.44	3.15
1956	1.67	1.81	1.91	1.68	3.42	1.64	1.9	1.09	2.4	2.12
1957	2.03	1.94	1.96	1.4	3.35	1.43	1.93	1.08	2.73	2.4
1958	2.26	2.14	2.81	1.55	2.74	1.8	2.31	1.33	2.82	3.15
