# Hillam - Bradfield - QUSP - ITRDB BRIT031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3490
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3490.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-02-12
#--------------------
# File_Last_Modified_Date
#   Date: 1996-02-12
#--------------------
# Title
#   Study_Name: Hillam - Bradfield - QUSP - ITRDB BRIT031
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bradfield
#   Location: United Kingdom
#   Northernmost_Latitude: 52.2046
#   Southernmost_Latitude: 52.2046
#   Easternmost_Longitude: 0.8157
#   Westernmost_Longitude: 0.8157
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT031
#   First_Year: 1879
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BRAD01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BRAD22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BRAD22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BRAD01_raw	BRAD02_raw	BRAD03_raw	BRAD05_raw	BRAD06_raw	BRAD07_raw	BRAD10_raw	BRAD12_raw	BRAD16_raw	BRAD22_raw
1879	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	2.7	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	2.98	NA	NA	NA	NA	NA	NA	NA
1882	NA	NA	2.66	NA	NA	NA	NA	NA	NA	NA
1883	NA	1.54	4.18	NA	NA	NA	NA	NA	NA	NA
1884	NA	1.74	4.04	NA	NA	NA	NA	NA	NA	NA
1885	NA	1.12	1.92	NA	NA	NA	NA	NA	NA	NA
1886	NA	2	2.32	NA	NA	NA	NA	NA	NA	NA
1887	3.3	1.34	1.54	NA	NA	NA	NA	NA	NA	NA
1888	2.76	2.36	1.98	NA	NA	NA	NA	NA	NA	NA
1889	2.32	2.46	2.88	NA	NA	NA	NA	NA	NA	NA
1890	2.6	3.94	3.66	NA	NA	NA	NA	NA	NA	NA
1891	1.92	2.24	2.1	NA	NA	NA	NA	NA	NA	NA
1892	2.58	2.88	2.82	NA	NA	NA	NA	NA	NA	3.1
1893	2.08	2.5	2.06	NA	NA	NA	2.12	NA	NA	1.54
1894	2.4	3.04	1.72	NA	NA	NA	3.14	NA	NA	1.12
1895	2.9	2.2	1.4	NA	NA	NA	2.66	NA	NA	1.44
1896	2.26	2.04	1.48	NA	NA	NA	1.86	NA	NA	1.76
1897	2.04	1.46	1.6	NA	NA	NA	2.48	NA	NA	1.44
1898	2.02	1.26	1.66	NA	NA	NA	2.76	NA	NA	1.14
1899	2.8	2.22	2.36	NA	NA	NA	2.66	NA	NA	2.24
1900	3.3	2.46	1.78	NA	NA	NA	2.74	NA	NA	2.94
1901	2.54	2.38	1.46	NA	NA	NA	1.72	NA	NA	1.56
1902	2.3	1.2	0.74	NA	NA	NA	1.56	NA	NA	2.58
1903	3.54	2	1.58	NA	NA	NA	1.58	1.42	NA	2.34
1904	3.38	3.12	2.42	NA	NA	NA	2.42	1.16	NA	2.84
1905	2.2	1.8	2.12	NA	NA	NA	1.9	2.62	NA	3.22
1906	2.6	1.38	2.28	NA	NA	NA	2.14	1.92	NA	3.46
1907	1.44	0.54	0.7	NA	NA	NA	1.96	1.44	NA	3.5
1908	1.58	0.74	1.28	NA	NA	NA	1.14	1.12	NA	1.82
1909	1.48	0.94	1.42	NA	NA	NA	1.12	1.2	NA	1.68
1910	2.22	2.82	2.18	NA	NA	NA	1.3	1.66	NA	2.94
1911	2.54	2.48	1.78	NA	NA	NA	1.34	2	NA	4.22
1912	2.52	2.36	1	NA	NA	NA	1.48	2.14	NA	4.56
1913	2.2	2.3	1.12	NA	NA	NA	1.18	2	NA	3.8
1914	1.14	1.24	0.92	NA	NA	NA	0.24	1.14	NA	2.04
1915	1.4	0.54	0.74	NA	1.08	NA	2	0.76	NA	3.22
1916	2.3	1.72	1.24	NA	1.92	NA	1.8	2	NA	3.54
1917	3.52	2.34	2.28	NA	2.84	NA	2.1	2.78	NA	3.62
1918	3.22	1.72	0.82	NA	2.52	NA	1.56	2.06	NA	2.58
1919	0.88	0.56	0.66	NA	1.04	NA	1.2	0.66	NA	0.9
1920	2.08	0.58	0.54	NA	2.18	NA	2.52	1.16	NA	2.1
1921	1.06	0.42	0.48	NA	1.24	NA	1.08	1.06	NA	1.56
1922	0.82	0.66	0.62	NA	1.1	NA	1.46	1.08	NA	2.36
1923	0.6	0.54	0.52	NA	1.44	NA	2.12	1.98	NA	2.1
1924	0.86	0.56	0.62	NA	1.16	NA	2.08	1.6	NA	1.2
1925	1.46	1	1.26	NA	1.32	NA	3.02	2.74	NA	1.66
1926	2.52	1.88	1.84	NA	2.08	NA	2.76	3.12	NA	2.54
1927	3.04	2.16	1.68	NA	3.02	NA	1.84	2.38	NA	3.02
1928	2.02	1.24	1.22	NA	2.54	0.38	1	1.22	NA	2.2
1929	2.36	2.42	1.92	NA	1.92	0.36	0.92	2.32	NA	1.92
1930	2.9	3.32	2.56	NA	3.38	0.92	3.14	3.52	NA	1.32
1931	3.04	2.84	3.7	NA	3.36	1.68	3.76	3.82	NA	3.48
1932	2.72	2.18	2.24	NA	2.84	1.8	2.68	4.28	NA	4.7
1933	2.36	2.5	1.52	NA	2.58	1.5	2.52	3.66	NA	4.2
1934	2.34	1.9	1.54	NA	2.5	2.56	1.86	2.38	2.42	3.46
1935	2.78	2.42	1.96	NA	3.86	3.22	2.34	2.46	1.82	4.18
1936	3.68	2.72	3.02	NA	3.9	4.48	2.9	2.5	3.24	5.3
1937	2.82	2.26	2.02	NA	3.58	3.9	1.84	3.02	2.28	3.44
1938	1.7	1.6	1.42	NA	3.48	2.78	3.08	2.64	1.76	2.34
1939	2.26	1.86	2.94	NA	4.52	4.52	4.02	4.26	2.72	3.2
1940	1.88	1.04	1.14	NA	3.66	2.82	1.7	3.4	1.54	1.9
1941	1.56	1.18	1.22	3.04	2.8	3	3.5	2.74	2.64	2.24
1942	2	1.46	1.58	2.72	2.56	2.68	1.42	3.74	3.44	2.86
1943	1.28	0.98	1.2	2.3	2.24	2.68	2.36	1.92	1.96	2.22
1944	1.98	1.38	1.2	2.38	2.5	2.92	1.84	1.4	3.88	2.58
1945	1.36	1.04	0.94	3.4	3.08	3.48	1.82	2.72	4.54	3.36
