# Axelson - Lerbäck, Askersund - PISY - ITRDB SWED307
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2668
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2668.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed307-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed307-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed307.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed307.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-01-26
#--------------------
# File_Last_Modified_Date
#   Date: 2005-01-26
#--------------------
# Title
#   Study_Name: Axelson - Lerbäck, Askersund - PISY - ITRDB SWED307
#--------------------
# Investigators
#   Investigators: Axelson, T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lerbäck, Askersund
#   Location: Sweden
#   Northernmost_Latitude: 58.95
#   Southernmost_Latitude: 58.95
#   Easternmost_Longitude: 15.03
#   Westernmost_Longitude: 15.03
#   Elevation_m: 130
#--------------------
# Data_Collection
#   Collection_Name: SWED307
#   First_Year: 1778
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Lerb11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb11b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb11b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb12b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb12b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb13a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb13a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb13b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb13b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb14b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb14b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb21a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb21a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb21b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb21b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb22a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb22a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb22b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb22b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb23a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb23a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb24a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb24a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb25a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb25a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb26a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb26a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb31a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb31a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb31b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb31b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb32a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb32a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb33a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb33a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb34a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb34a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb34b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb34b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb34c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb34c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Lerb34d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Lerb34d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Lerb11a_raw	Lerb11b_raw	Lerb12a_raw	Lerb12b_raw	Lerb13a_raw	Lerb13b_raw	Lerb14a_raw	Lerb14b_raw	Lerb21a_raw	Lerb21b_raw	Lerb22a_raw	Lerb22b_raw	Lerb23a_raw	Lerb24a_raw	Lerb25a_raw	Lerb26a_raw	Lerb31a_raw	Lerb31b_raw	Lerb32a_raw	Lerb33a_raw	Lerb34a_raw	Lerb34b_raw	Lerb34c_raw	Lerb34d_raw
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.31	1.85	1.34
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	1.56	2.19	1.55
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.01	1.25	1.02
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	1.49	1.44	0.47
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.56	1.34	0.72
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	0.48	0.38	0.59
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	0.49	0.42	0.45
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	0.63	0.77	0.56
1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.35	0.32	0.23
1787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	0.49	0.47	0.61
1788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	0.28	0.32	0.31
1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	0.42	0.57	0.15
1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.17	0.12	0.77
1791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	0.62	0.14	0.55
1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.16	1.88	1.44	1.51
1793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.83	2.48	2.24	2.26
1794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	1.99	2.08	1.65
1795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.68	1.44	1.44
1796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.83	1.76	1.54	1.42
1797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57	2.36	2.52	2.09
1798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	2.62	2.21	1.75
1799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	2.41	2.77	2.26
1800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.95	2.88	2.79	2.31
1801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	1.8	1.89	1.87
1802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22	1.69	1.5	1.48
1803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	0.86	0.7	0.94
1804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41	0.86	0.57	1.05
1805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.97	0.78	0.81
1806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.08	0.83	1.01
1807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	1.58	1.47	1.25
1808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.57	1.41	1.16
1809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51	0.96	1.12	1.63
1810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34	0.92	0.81	0.99
1811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.33	NA	NA	NA	1.8	0.93	0.95	1.35
1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA	NA	2.68	2.88	NA	NA	1.5	0.8	0.81	0.96
1813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12	NA	NA	2.46	2.02	NA	2.4	1.77	1.35	1.42	1.66
1814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64	NA	NA	1.81	1.71	NA	2.19	1.6	1.34	1.38	1.51
1815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78	NA	NA	1.63	1.62	NA	2.39	1.39	1.56	1.54	NA
1816	NA	NA	NA	NA	NA	1.66	NA	NA	NA	NA	NA	NA	1.61	2.37	NA	NA	1.17	1.52	NA	1.9	1.05	0.99	1.34	NA
1817	NA	NA	NA	NA	NA	1.66	NA	NA	NA	NA	NA	NA	2.14	2.65	NA	NA	1.31	1.77	NA	2.04	1.24	1.57	1.48	NA
1818	NA	NA	NA	NA	NA	1.16	NA	NA	NA	NA	NA	NA	1.77	2	NA	NA	1.5	1.51	NA	1.52	0.54	0.9	0.74	NA
1819	NA	NA	NA	NA	1.49	1.29	NA	NA	NA	NA	NA	NA	1.61	2.24	NA	NA	1.13	1.21	NA	2.1	0.61	0.96	0.9	NA
1820	NA	2.63	NA	NA	2.04	1.66	NA	NA	NA	NA	NA	NA	1.87	2.55	NA	NA	1.19	1.02	NA	1.73	0.2	0.31	0.43	NA
1821	NA	3.05	NA	NA	2.8	2.54	NA	NA	NA	NA	1.87	1.84	2.3	3.01	4.36	NA	1.04	1.27	NA	1.78	0.4	0.22	0.16	NA
1822	NA	2.24	NA	NA	2.71	1.98	2.05	NA	NA	NA	1.58	1.14	1.17	2.06	3.01	NA	0.99	1.12	NA	1.69	0.31	0.2	0.15	NA
1823	NA	3.23	NA	NA	2.33	2.23	1.58	NA	NA	NA	1.73	1.62	1.5	2.21	2.23	NA	1.04	1.47	NA	1.73	0.23	0.33	0.11	NA
1824	NA	2.68	NA	NA	2.49	2.18	1.97	2.01	NA	NA	2.78	1.97	1.98	2.04	2.96	3.03	1.44	1.97	NA	2.3	0.3	0.26	0.19	NA
1825	1.07	2.47	NA	NA	2.09	2.12	1.4	1.31	NA	NA	2.09	1.88	1.85	1.72	2.19	2.68	1.02	1.55	NA	1.46	0.25	0.4	0.28	NA
1826	1.81	2.17	NA	NA	2.36	1.86	1.74	1.92	NA	NA	1.86	1.51	1.75	1.89	2.58	3.05	1.27	1.74	NA	2.02	0.22	0.24	0.26	NA
