# Schweingruber - Riederalp Vs Aletschwald - LADE - ITRDB SWIT140
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4608
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4608.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit140x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit140x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit140x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit140x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-28
#--------------------
# Title
#   Study_Name: Schweingruber - Riederalp Vs Aletschwald - LADE - ITRDB SWIT140
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-09. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Riederalp Vs Aletschwald
#   Location: Switzerland
#   Northernmost_Latitude: 46.4
#   Southernmost_Latitude: 46.4
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 2000
#--------------------
# Data_Collection
#   Collection_Name: SWIT140
#   First_Year: 1792
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 226015_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226015; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226016_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226016; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226017_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226017; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226039_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226039; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226043_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226043; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 226045_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 226045; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	226015_raw	226016_raw	226017_raw	226020_raw	226039_raw	226041_raw	226043_raw	226045_raw
1792	NA	NA	0.79	NA	NA	NA	NA	NA
1793	NA	NA	0.85	NA	NA	NA	NA	NA
1794	NA	NA	0.81	NA	NA	NA	NA	NA
1795	NA	NA	0.89	NA	NA	NA	NA	NA
1796	NA	NA	0.9	NA	NA	NA	NA	NA
1797	NA	NA	0.83	NA	NA	NA	NA	NA
1798	NA	NA	0.78	NA	NA	NA	NA	NA
1799	NA	NA	0.85	NA	NA	NA	NA	NA
1800	NA	NA	0.82	NA	NA	NA	NA	NA
1801	NA	NA	0.9	NA	NA	NA	NA	NA
1802	NA	NA	0.81	NA	NA	NA	NA	NA
1803	NA	NA	0.85	NA	NA	NA	NA	NA
1804	NA	NA	0.76	NA	NA	NA	NA	NA
1805	NA	NA	0.78	NA	NA	NA	NA	NA
1806	NA	NA	0.79	NA	NA	NA	NA	NA
1807	NA	NA	0.79	NA	NA	NA	NA	NA
1808	NA	NA	0.83	NA	NA	NA	NA	NA
1809	NA	NA	0.86	NA	NA	NA	NA	NA
1810	NA	NA	0.86	NA	NA	NA	NA	NA
1811	NA	NA	0.93	NA	NA	NA	NA	NA
1812	NA	NA	0.89	NA	NA	NA	NA	NA
1813	0.97	NA	0.85	NA	NA	NA	NA	NA
1814	0.83	NA	0.84	NA	NA	NA	NA	NA
1815	0.94	NA	0.9	NA	NA	NA	NA	NA
1816	0.94	NA	0.73	NA	NA	NA	NA	NA
1817	0.82	NA	0.71	NA	NA	NA	NA	NA
1818	0.94	NA	0.78	NA	NA	NA	NA	NA
1819	1.03	NA	0.82	NA	NA	NA	NA	NA
1820	1.02	NA	0.84	NA	NA	NA	NA	NA
1821	1	NA	0.77	NA	NA	NA	NA	NA
1822	1.08	NA	0.9	NA	NA	NA	NA	NA
1823	1.03	NA	0.91	NA	NA	NA	NA	NA
1824	1.02	NA	0.91	NA	NA	NA	NA	NA
1825	1.06	NA	0.94	NA	NA	NA	NA	NA
1826	1.06	NA	0.94	NA	NA	NA	NA	NA
1827	1.04	NA	0.94	NA	NA	NA	NA	NA
1828	1.01	NA	0.93	NA	NA	NA	NA	NA
1829	0.93	NA	0.75	NA	NA	NA	NA	NA
1830	0.99	NA	0.92	NA	NA	NA	NA	NA
1831	1	NA	0.87	NA	NA	NA	NA	NA
1832	1.05	NA	0.94	NA	NA	NA	NA	0.98
1833	0.96	NA	0.8	NA	NA	NA	NA	0.86
1834	1.13	NA	0.96	NA	NA	NA	NA	1.02
1835	0.94	NA	0.84	NA	NA	NA	NA	0.96
1836	0.98	NA	0.86	NA	NA	NA	NA	0.97
1837	1.01	NA	0.81	NA	NA	NA	NA	0.98
1838	0.92	NA	0.84	NA	NA	NA	NA	0.93
1839	1.05	NA	0.88	NA	NA	NA	NA	0.98
1840	1.02	NA	0.84	NA	NA	NA	NA	0.97
1841	1.05	NA	0.91	NA	NA	NA	NA	0.94
1842	1.1	NA	0.9	NA	NA	NA	NA	1.01
1843	0.95	NA	0.85	NA	NA	NA	NA	0.9
1844	1.03	NA	0.89	NA	NA	NA	NA	0.91
1845	0.96	NA	0.85	NA	NA	NA	NA	0.88
1846	1.11	0.93	0.97	NA	NA	NA	NA	1.08
1847	0.95	0.69	0.72	NA	NA	NA	NA	0.9
1848	1.03	0.84	0.87	NA	NA	NA	NA	1
1849	1.05	0.85	0.93	NA	NA	1.1	1.05	1.03
1850	0.87	0.72	0.76	NA	NA	0.98	0.97	0.9
1851	0.84	0.68	0.7	NA	NA	0.97	0.97	0.86
1852	0.81	0.78	0.84	NA	NA	1.02	0.97	0.91
1853	0.82	0.8	0.81	NA	NA	1	1	0.97
1854	0.9	0.85	0.92	NA	NA	1.09	1.03	0.92
1855	0.99	0.88	0.79	NA	NA	1.05	1.04	1
1856	0.96	0.9	0.8	NA	NA	1.05	1.07	1.07
1857	0.98	0.84	0.84	NA	NA	1.07	1.07	0.98
1858	1.04	0.77	0.83	NA	NA	1.04	1.03	0.97
1859	1.11	0.92	0.78	NA	0.99	1.04	1.07	0.99
1860	0.88	0.78	0.76	NA	0.92	0.94	0.89	0.86
1861	1.08	0.89	0.84	NA	0.97	1.05	1.06	0.96
1862	0.96	0.97	0.88	NA	1.03	1.09	1	1.04
1863	1.01	0.9	0.78	NA	1.03	1.07	1.03	0.97
1864	1.05	0.85	0.85	NA	1.02	0.98	1.03	0.99
1865	1.11	0.87	0.93	NA	1.06	1.09	1.11	1.09
1866	0.89	0.76	0.83	0.9	0.97	0.93	0.98	0.88
1867	1.06	0.8	0.89	1.06	1.02	1.03	1.13	1.02
1868	1.09	0.89	0.92	1.1	1.05	1.09	1.03	1.06
1869	1.05	0.89	0.92	1	1.02	1.07	0.97	1.01
1870	1	0.88	0.89	1.02	0.97	1.02	0.96	0.98
1871	1.02	0.79	0.98	0.93	0.99	1.03	1	1
