# Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4410
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4410.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049w-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ049w-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ049w.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ049w.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-29
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-29
#--------------------
# Title
#   Study_Name: Schweingruber - Feldberg (D), EU-Pr. - PCAB - ITRDB GERM049
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Feldberg (D), EU-Pr.
#   Location: Germany
#   Northernmost_Latitude: 47.85
#   Southernmost_Latitude: 47.85
#   Easternmost_Longitude: 8.02
#   Westernmost_Longitude: 8.02
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: GERM049
#   First_Year: 1851
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1030001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1030001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1030001_raw
1851	2.6
1852	2.05
1853	0.97
1854	1.52
1855	0.2
1856	0.87
1857	0.73
1858	1.26
1859	0.95
1860	0.3
1861	0.53
1862	0.82
1863	0.67
1864	0.17
1865	0.1
1866	0.43
1867	0.5
1868	0.54
1869	0.93
1870	0.8
1871	0.88
1872	1.2
1873	2.07
1874	2.44
1875	2.41
1876	2.68
1877	3.19
1878	3.33
1879	3.39
1880	3.25
1881	3.46
1882	2.58
1883	2.99
1884	2.96
1885	2.77
1886	2.58
1887	3.1
1888	2.61
1889	2.61
1890	2.22
1891	1.96
1892	1.63
1893	1.54
1894	1.38
1895	1.32
1896	0.77
1897	1.07
1898	0.97
1899	1.1
1900	1.15
1901	1.55
1902	1.35
1903	1.44
1904	1.49
1905	1.54
1906	1.28
1907	0.99
1908	1.39
1909	1.32
1910	1.7
1911	1.67
1912	1.46
1913	1.21
1914	1.11
1915	1.46
1916	1.45
1917	1.48
1918	1.55
1919	1.57
1920	1.56
1921	1.49
1922	1.77
1923	1.64
1924	1.74
1925	1.4
1926	0.73
1927	1.14
1928	1.64
1929	0.99
1930	0.73
1931	0.87
1932	0.69
1933	0.61
1934	1.11
1935	1.37
1936	1.04
1937	1.17
1938	1.31
1939	1.35
1940	1.73
1941	1.35
1942	1.18
1943	1.34
1944	1.54
1945	1.47
1946	1.31
1947	1.04
1948	0.66
1949	0.81
1950	0.7
1951	1.06
1952	1.19
1953	1.24
1954	1.02
1955	1.33
1956	1.2
1957	1.19
1958	1.47
1959	1.66
1960	1.68
1961	1.56
1962	1.28
1963	1.39
1964	1.49
1965	1.22
1966	1.12
1967	1.27
1968	1.4
1969	1.61
1970	1.36
1971	1.15
1972	1.27
1973	1.42
1974	0.9
1975	1.09
1976	1.11
1977	1.63
1978	1.59
1979	1.5
1980	1.18
1981	1.39
1982	1.71
1983	1.62
1984	1.39
1985	1.14
1986	0.87
1987	0.93
1988	1.53
1989	1.47
1990	1.4
1991	1.1
1992	1.49
1993	1.32
1994	1.28
1995	1.56
