# Morgan - Padley Wood - QUPE - ITRDB BRIT12
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4035
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4035.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit12-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit12-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit12.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit12.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Morgan - Padley Wood - QUPE - ITRDB BRIT12
#--------------------
# Investigators
#   Investigators: Morgan, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Padley Wood
#   Location: United Kingdom
#   Northernmost_Latitude: 53.32
#   Southernmost_Latitude: 53.32
#   Easternmost_Longitude: -1.62
#   Westernmost_Longitude: -1.62
#   Elevation_m: 300
#--------------------
# Data_Collection
#   Collection_Name: BRIT12
#   First_Year: 1873
#   Last_Year: 1976
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus petraea (Matt.) Liebl. = Quercus sessiliflora Salisb.
#   Common_Name: durmast oak
#   Tree_Species_Code: QUPE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PWS011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PWS011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PWS021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PWS021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PWS031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PWS031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PWS011_raw	PWS021_raw	PWS031_raw
1873	0.21	NA	NA
1874	0.17	NA	NA
1875	0.22	NA	NA
1876	0.12	NA	NA
1877	0.17	NA	NA
1878	0.15	NA	0.27
1879	0.17	NA	0.12
1880	0.13	NA	0.15
1881	0.14	NA	0.2
1882	0.16	NA	0.25
1883	0.12	NA	0.3
1884	0.16	NA	0.2
1885	0.12	NA	0.2
1886	0.12	NA	0.19
1887	0.1	NA	0.26
1888	0.09	NA	0.16
1889	0.08	NA	0.07
1890	0.2	NA	0.05
1891	0.15	NA	0.15
1892	0.14	NA	0.2
1893	0.13	NA	0.2
1894	0.12	NA	0.17
1895	0.09	NA	0.12
1896	0.14	NA	0.17
1897	0.13	NA	0.18
1898	0.17	NA	0.16
1899	0.21	NA	0.22
1900	0.16	0.19	0.22
1901	0.17	0.23	0.14
1902	0.12	0.16	0.15
1903	0.14	0.24	0.12
1904	0.15	0.2	0.19
1905	0.08	0.25	0.23
1906	0.11	0.36	0.13
1907	0.18	0.16	0.16
1908	0.11	0.14	0.12
1909	0.08	0.1	0.09
1910	0.06	0.05	0.06
1911	0.08	0.17	0.07
1912	0.08	0.15	0.1
1913	0.15	0.15	0.1
1914	0.09	0.13	0.12
1915	0.12	0.22	0.14
1916	0.14	0.19	0.11
1917	0.09	0.24	0.13
1918	0.08	0.14	0.08
1919	0.07	0.11	0.06
1920	0.06	0.18	0.08
1921	0.07	0.27	0.19
1922	0.07	0.2	0.08
1923	0.1	0.21	0.05
1924	0.08	0.23	0.07
1925	0.08	0.23	0.12
1926	0.12	0.29	0.21
1927	0.09	0.19	0.13
1928	0.1	0.16	0.12
1929	0.1	0.14	0.07
1930	0.08	0.09	0.07
1931	0.08	0.09	0.05
1932	0.1	0.12	0.07
1933	0.1	0.2	0.17
1934	0.07	0.16	0.15
1935	0.1	0.09	0.07
1936	0.11	0.11	0.06
1937	0.11	0.08	0.05
1938	0.16	0.16	0.05
1939	0.17	0.27	0.11
1940	0.07	0.15	0.1
1941	0.16	0.21	0.11
1942	0.17	0.2	0.07
1943	0.18	0.19	0.05
1944	0.13	0.1	0.05
1945	0.09	0.08	0.04
1946	0.14	0.13	0.06
1947	0.18	0.2	0.15
1948	0.09	0.16	0.07
1949	0.07	0.1	0.05
1950	0.19	0.19	0.09
1951	0.14	0.15	0.1
1952	0.12	0.09	0.05
1953	0.13	0.12	0.08
1954	0.09	0.13	0.08
1955	0.09	0.16	0.07
1956	0.06	0.1	0.05
1957	0.05	0.1	0.05
1958	0.09	0.13	0.07
1959	0.13	0.16	0.11
1960	0.09	0.1	0.07
1961	0.15	0.12	0.08
1962	0.24	0.22	0.14
1963	0.09	0.2	0.09
1964	0.08	0.08	0.06
1965	0.08	0.07	0.05
1966	0.09	0.07	0.1
1967	0.16	0.12	0.15
1968	0.16	0.14	0.16
1969	0.09	0.18	0.13
1970	0.07	0.17	0.15
1971	0.12	0.2	0.11
1972	0.11	0.14	0.07
1973	0.11	0.18	0.12
1974	0.1	0.16	0.1
1975	0.07	0.12	0.04
