# Wilson - Hochzell - PCAB - ITRDB GERM039
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5268
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5268.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ039-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; germ039-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ039.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/germ039.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Wilson - Hochzell - PCAB - ITRDB GERM039
#--------------------
# Investigators
#   Investigators: Wilson, R.J.S.(https://orcid.org/0000-0003-4486-8904)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hochzell
#   Location: Germany
#   Northernmost_Latitude: 49.08
#   Southernmost_Latitude: 49.08
#   Easternmost_Longitude: 13.1
#   Westernmost_Longitude: 13.1
#   Elevation_m: 1208
#--------------------
# Data_Collection
#   Collection_Name: GERM039
#   First_Year: 1812
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HCZ01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ03C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ03C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HCZ15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HCZ15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HCZ01A_raw	HCZ01B_raw	HCZ02A_raw	HCZ02B_raw	HCZ03A_raw	HCZ03B_raw	HCZ03C_raw	HCZ04A_raw	HCZ04B_raw	HCZ05A_raw	HCZ05B_raw	HCZ06A_raw	HCZ06B_raw	HCZ07A_raw	HCZ07B_raw	HCZ08A_raw	HCZ08B_raw	HCZ09A_raw	HCZ09B_raw	HCZ10A_raw	HCZ10B_raw	HCZ11A_raw	HCZ11B_raw	HCZ12A_raw	HCZ12B_raw	HCZ13A_raw	HCZ13B_raw	HCZ14A_raw	HCZ14B_raw	HCZ15A_raw	HCZ15B_raw
1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.098	NA	4.896	NA	NA	NA
1813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.043	NA	5.052	NA	NA	NA
1814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.214	NA	3.611	NA	NA	NA
1815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.616	NA	2.864	NA	NA	NA
1816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.462	NA	3.319	NA	NA	NA
1817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	4.244	NA	NA	NA
1818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.267	NA	3.262	1.856	NA	NA
1819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.787	NA	2.94	3.001	NA	NA
1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.433	NA	1.719	3.347	NA	NA
1821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.247	NA	1.484	2.646	NA	NA
1822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.266	NA	1.959	4.383	NA	NA
1823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.906	NA	2.072	3.144	NA	NA
1824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.938	NA	1.721	2.246	NA	NA
1825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.444	NA	2.522	3.058	NA	NA
1826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.998	NA	2.829	3.293	NA	NA
1827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.88	NA	2.057	2.187	NA	NA
1828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.584	NA	2.448	2.608	NA	NA
1829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.734	NA	2.902	3.01	NA	NA
1830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.366	NA	2.661	2.335	NA	NA
1831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.489	NA	3.43	2.881	NA	NA
1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.584	NA	2.425	2.841	NA	NA
1833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.214	NA	2.253	2.814	NA	NA
1834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.675	NA	2.558	3.428	NA	NA
1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.589	NA	2.136	2.692	NA	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.398	2.286	NA	NA	NA	NA	NA	NA	1.859	NA	2.196	2.639	NA	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.769	2.958	NA	NA	NA	NA	NA	NA	1.708	NA	1.578	1.749	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.898	3.039	NA	NA	NA	NA	NA	NA	1.965	NA	1.609	1.571	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.269	2.818	4.229	NA	NA	NA	NA	NA	NA	2.439	NA	2.174	2.277	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.861	3.928	3.704	NA	NA	NA	NA	NA	NA	2.179	NA	2.457	2.424	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.958	3.853	2.945	3.053	NA	NA	NA	NA	NA	NA	1.992	NA	2.205	2.623	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.729	6.044	3.689	3.504	NA	NA	NA	NA	NA	NA	2.699	NA	3.24	4.349	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.715	4.244	2.465	2.073	NA	NA	NA	NA	NA	NA	1.459	NA	1.711	2.277	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.678	4.314	2.893	2.365	NA	NA	NA	NA	NA	NA	1.54	NA	1.802	2.111	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.765	6.293	2.73	2.778	NA	NA	NA	NA	NA	NA	2.118	NA	2.577	2.442	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.204	3.342	6.709	6.849	3.658	3.885	NA	NA	NA	NA	NA	NA	2.501	NA	3.046	3.327	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.786	4.086	5.882	4.744	4.245	4.366	NA	NA	NA	NA	NA	NA	2.125	NA	2.851	3.31	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.819	4.448	4.853	3.954	3.872	3.407	NA	NA	NA	NA	NA	NA	2.006	NA	2.978	3.521	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.736	3.712	4.893	4.273	3.111	3.492	NA	NA	NA	NA	NA	NA	2.023	NA	1.977	3.25	NA	NA
1850	1.973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.851	4.793	4.77	4.509	3.502	3.55	NA	NA	NA	NA	NA	NA	1.983	NA	1.723	3.251	4.787	NA
1851	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.985	3.6	5.077	4.375	3.234	3.186	NA	NA	NA	NA	NA	NA	1.507	1.747	1.435	2.133	3.812	NA
1852	1.512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.697	3.63	4.571	3.463	2.109	2.478	NA	NA	NA	NA	NA	NA	1.531	2.187	1.518	1.964	4.929	NA
1853	1.878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.649	3.878	5.903	4.249	2.807	3.239	NA	NA	NA	NA	NA	NA	1.19	1.455	2.113	3.069	3.164	NA
1854	2.218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.886	3.976	4.691	4.926	2.472	3.249	NA	NA	NA	NA	NA	NA	1.263	1.26	1.7	2.267	3.013	NA
1855	2.483	NA	NA	NA	1.859	1.605	NA	NA	NA	NA	NA	NA	NA	3.757	3.174	5.051	4.711	2.606	2.776	NA	NA	NA	NA	NA	NA	1.464	1.755	1.974	2.584	2.685	NA
1856	2.277	NA	NA	NA	1.913	2.023	NA	NA	NA	NA	NA	NA	NA	3.986	2.734	4.895	4.103	2.593	2.407	NA	NA	NA	NA	NA	NA	1.447	1.517	1.826	2.596	2.839	NA
1857	2.017	NA	NA	NA	1.983	1.957	NA	NA	NA	NA	NA	NA	NA	4.957	2.98	5.474	5.361	3.03	2.6	NA	NA	NA	NA	NA	NA	1.879	2.001	2.015	2.872	3.235	NA
