# Briffa - Muddas South - PISY - ITRDB SWED306
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2840
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2840.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed306-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed306.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-10
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-10
#--------------------
# Title
#   Study_Name: Briffa - Muddas South - PISY - ITRDB SWED306
#--------------------
# Investigators
#   Investigators: Briffa, K.R.(https://orcid.org/0000-0003-3323-3639)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Muddas South
#   Location: Sweden
#   Northernmost_Latitude: 66.78
#   Southernmost_Latitude: 66.78
#   Easternmost_Longitude: 20.13
#   Westernmost_Longitude: 20.13
#   Elevation_m: 270
#--------------------
# Data_Collection
#   Collection_Name: SWED306
#   First_Year: 1667
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SB01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SB01A_raw	SB01B_raw	SB02A_raw	SB02B_raw	SB03B_raw	SB03A_raw	SB04B_raw	SB04A_raw	SB10A_raw	SB09A_raw	SB08A_raw	SB05A_raw
1667	1.55	1.43	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA
1668	1	1.09	NA	1.14	NA	NA	NA	NA	NA	NA	NA	NA
1669	0.87	1.07	NA	0.94	NA	NA	NA	NA	NA	NA	NA	NA
1670	0.71	0.92	NA	0.92	NA	NA	NA	NA	NA	NA	NA	NA
1671	0.78	1.01	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA
1672	0.43	0.5	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA
1673	0.58	0.52	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA
1674	0.53	0.43	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA
1675	0.61	0.43	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA
1676	0.55	0.58	NA	1.13	NA	NA	NA	NA	NA	NA	NA	NA
1677	0.71	0.56	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA
1678	0.9	0.77	NA	1.56	NA	NA	NA	NA	NA	NA	NA	NA
1679	1.33	1.16	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA
1680	0.92	1.01	1.46	1.11	NA	NA	NA	NA	NA	NA	NA	NA
1681	1.24	1.05	2.05	1.23	NA	NA	NA	NA	NA	NA	NA	NA
1682	1.51	1.29	2.04	1.51	NA	NA	NA	NA	NA	NA	NA	NA
1683	1.11	1.11	2.2	1.31	NA	NA	NA	NA	NA	NA	NA	NA
1684	1.14	1.24	1.99	2	NA	NA	NA	NA	NA	NA	NA	NA
1685	0.99	1.11	1.43	1.56	NA	1.98	NA	NA	NA	NA	NA	NA
1686	1.26	1.27	1.56	1.22	NA	2.27	NA	NA	NA	NA	NA	NA
1687	1.27	1.07	1.62	1.31	NA	2.06	NA	NA	NA	NA	NA	NA
1688	1.15	0.78	1.25	1.21	NA	1.48	NA	NA	NA	NA	NA	NA
1689	1.23	1.12	1.67	1.73	NA	1.66	NA	NA	NA	NA	NA	NA
1690	1.11	1.28	1.59	1.47	NA	1.21	NA	NA	NA	NA	NA	NA
1691	1.24	1.29	1.48	1.53	NA	1.64	NA	NA	NA	NA	NA	NA
1692	1.15	1	1.55	1.18	NA	1.8	NA	NA	NA	NA	NA	NA
1693	1.22	0.94	1.87	1.3	NA	2.11	NA	NA	NA	NA	NA	NA
1694	1.32	0.81	1.56	1.4	NA	2.02	NA	NA	NA	NA	NA	NA
1695	1.15	0.81	1.28	0.98	NA	1.53	NA	NA	NA	NA	NA	NA
1696	0.71	0.69	0.9	0.82	NA	1.18	NA	NA	NA	NA	NA	NA
1697	0.84	0.81	1.23	1.03	NA	1.37	NA	NA	NA	NA	NA	NA
1698	0.83	0.8	1.1	0.82	NA	1.57	NA	NA	NA	NA	NA	NA
1699	0.86	0.76	1.1	0.67	NA	1.67	NA	NA	NA	NA	NA	NA
1700	0.8	0.78	1.21	0.52	NA	1.18	NA	NA	NA	NA	NA	NA
1701	0.65	0.76	1.27	0.87	NA	1.14	NA	NA	NA	NA	NA	NA
1702	0.68	0.91	1.26	0.97	NA	1.2	NA	NA	NA	NA	NA	NA
1703	1.11	1.17	1.49	1.05	NA	1.3	NA	NA	NA	NA	NA	NA
1704	0.72	0.97	0.99	1	NA	1.17	NA	NA	NA	NA	NA	NA
1705	0.7	0.75	0.83	0.84	NA	1.08	NA	NA	NA	NA	NA	NA
1706	0.85	0.88	1.03	0.78	NA	1.33	NA	NA	NA	NA	NA	NA
1707	0.88	0.87	1.5	1.08	NA	1.35	NA	NA	NA	NA	NA	NA
1708	0.73	0.72	1.07	0.62	NA	1.19	NA	NA	NA	NA	NA	NA
1709	0.49	0.58	0.49	0.4	NA	0.8	NA	NA	NA	NA	NA	NA
1710	0.89	0.94	0.69	0.53	NA	0.83	NA	NA	NA	NA	NA	NA
1711	0.76	0.89	0.67	0.52	NA	0.88	NA	NA	NA	NA	NA	NA
1712	0.83	0.98	0.59	0.38	NA	0.82	NA	NA	NA	NA	NA	NA
1713	0.75	0.88	0.84	0.32	NA	0.86	NA	NA	NA	NA	NA	NA
1714	1.09	1.1	1.22	0.38	NA	1.11	NA	NA	NA	NA	NA	NA
1715	1.26	1.29	1.03	0.59	NA	1.04	NA	NA	NA	NA	NA	NA
1716	0.98	0.78	0.9	0.54	NA	1.18	NA	NA	NA	NA	NA	NA
1717	0.97	0.78	0.87	0.35	NA	1.25	NA	NA	NA	NA	NA	NA
1718	1.04	0.86	0.92	0.48	NA	1.27	NA	NA	NA	NA	NA	NA
1719	0.8	0.63	0.81	0.41	NA	1.23	NA	NA	NA	NA	NA	NA
1720	1.07	0.66	0.72	0.34	NA	1.25	NA	1.22	NA	NA	NA	NA
1721	0.78	0.54	0.67	0.35	NA	0.98	NA	1.22	NA	NA	NA	NA
1722	0.76	0.62	0.75	0.4	NA	1.3	NA	0.98	NA	NA	NA	NA
1723	0.89	0.87	0.91	0.43	NA	1.48	NA	1.66	NA	NA	NA	NA
1724	0.65	0.72	0.74	0.36	NA	0.93	NA	1.39	NA	NA	NA	NA
1725	0.74	0.75	0.92	0.48	NA	0.82	NA	1.27	NA	NA	NA	NA
1726	0.79	0.55	1.07	0.43	NA	0.93	NA	1.52	NA	NA	NA	NA
1727	1	0.65	1.01	0.51	NA	1.3	NA	1.64	NA	NA	NA	NA
1728	1.01	0.56	1.12	0.49	NA	0.89	NA	2.54	NA	NA	NA	NA
1729	0.95	0.77	1	0.44	NA	0.95	NA	2.04	NA	NA	NA	NA
