# Maessen - Oisterwijkse Vennen - PISY - ITRDB NETH033
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3917
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3917.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth033-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth033-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth033.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth033.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Maessen - Oisterwijkse Vennen - PISY - ITRDB NETH033
#--------------------
# Investigators
#   Investigators: Maessen, P.P.Th.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oisterwijkse Vennen
#   Location: Netherlands
#   Northernmost_Latitude: 51.58
#   Southernmost_Latitude: 51.58
#   Easternmost_Longitude: 5.25
#   Westernmost_Longitude: 5.25
#   Elevation_m: 8
#--------------------
# Data_Collection
#   Collection_Name: NETH033
#   First_Year: 1804
#   Last_Year: 1989
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 3ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 3ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 4ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 4ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 5ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 5ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 6ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 6ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 7ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 7ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 8ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 8ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 9ISTERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 9ISTERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10STERWK_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10STERWK; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1ISTERWK_raw	2ISTERWK_raw	3ISTERWK_raw	4ISTERWK_raw	5ISTERWK_raw	6ISTERWK_raw	7ISTERWK_raw	8ISTERWK_raw	9ISTERWK_raw	10STERWK_raw
1804	NA	NA	NA	NA	NA	1.85	NA	NA	NA	NA
1805	NA	NA	NA	NA	NA	2.05	NA	NA	NA	NA
1806	NA	NA	NA	NA	NA	2.31	NA	NA	NA	NA
1807	NA	2.92	NA	NA	1.33	2.19	2.55	NA	NA	NA
1808	NA	2.35	3.05	NA	1.65	1.94	1.69	NA	NA	NA
1809	2.6	3.34	2.6	3.2	1.44	2.66	2.95	2.06	NA	NA
1810	2.72	2.06	2.05	2.99	2.89	3.67	1.8	1.68	NA	NA
1811	3.09	2.86	2.21	2.32	1.84	2.93	1.26	2.38	NA	NA
1812	2.21	2.96	3.11	2.46	2.51	2.97	2.14	1.2	NA	NA
1813	3.44	2.3	2.5	3.01	1.75	1.8	1.87	3.44	NA	NA
1814	2.83	1.66	2.44	2.64	1.19	1.49	1.6	2.6	NA	NA
1815	2.04	1.39	2.1	2.49	1.4	1.06	1.43	3.46	NA	NA
1816	2.06	0.92	1.33	2.56	1.41	0.5	1.37	2.46	NA	NA
1817	1.05	0.62	1.27	1.6	1.34	0.9	0.98	1.85	NA	NA
1818	0.58	0.71	1.39	1.73	1.14	1.1	1.44	1.41	NA	NA
1819	0.55	0.89	1.42	1.71	0.83	1.21	0.73	1.28	NA	NA
1820	0.88	0.86	1.6	1.6	1.16	0.7	1.4	1.08	NA	NA
1821	0.93	0.3	1.39	1.28	0.99	1.34	1	1.17	NA	NA
1822	1.15	0.75	0.7	1.28	0.75	1.21	0.3	1.35	NA	NA
1823	0.59	1.03	1.57	0.53	1.39	1.64	0.73	1.29	NA	NA
1824	1.93	1.67	1.19	1.01	1.09	1.28	0.94	1.29	NA	NA
1825	1.6	1.52	1.67	1.5	1.7	1.78	1.83	0.69	NA	NA
1826	1.61	1.28	1.79	2.29	1.71	1.56	2.08	1.42	NA	NA
1827	1.29	1.7	1.95	1.83	1.84	2.52	1.71	1.56	NA	NA
1828	2.11	2.39	2.03	1.51	2.31	1.59	1.78	2.23	NA	NA
1829	1.48	1.58	3.09	1.84	2.31	1.06	2.26	2.96	NA	NA
1830	2.71	1.53	2.81	2.2	1.4	1.41	2.38	1.29	NA	NA
1831	3.42	0.89	2.19	2.06	1.16	1.48	1.1	1.46	NA	NA
1832	1.87	1.2	1.36	1.74	1.3	1.73	1.27	2.86	NA	NA
1833	1.67	1.15	1.33	1.4	1.85	0.97	2.09	3.44	NA	NA
1834	1.85	0.78	2.29	2.83	2.8	1.04	2.13	1.24	NA	NA
1835	1.66	1.05	2.14	1.97	2.86	2.46	1.74	1.95	NA	NA
1836	1.24	1.85	2.13	1.52	2.53	1.93	1.86	2.81	NA	NA
1837	0.9	1.74	2.3	1.67	2.27	1.27	1.87	3.49	NA	NA
1838	1.87	1.05	2.46	2	1.99	1.32	2.53	2.14	NA	NA
1839	1.98	1.43	2.13	2.75	2.31	1.14	1.72	1.55	NA	NA
1840	1.7	1.71	2.63	3.13	3.44	1.07	1.72	1.38	NA	NA
1841	2.07	1.1	2.42	1.09	2.31	0.81	1.24	1.46	NA	NA
1842	1.22	1.03	1.54	1.46	0.73	0.59	0.72	1.39	NA	NA
1843	0.43	0.57	0.8	0.81	0.93	0.47	0.27	1.94	NA	NA
1844	0.34	0.69	1.1	0.45	1.05	0.53	0.57	1.75	NA	NA
1845	0.37	0.57	1.2	0.77	1.52	0.58	0.45	0.6	NA	NA
1846	0.61	1.01	0.81	0.67	0.89	1.3	0.88	0.22	NA	NA
1847	0.68	0.91	0.83	0.65	1.09	0.87	0.79	0.71	NA	NA
1848	0.46	0.94	1.11	0.7	1.26	1.31	1.02	0.61	NA	NA
1849	0.34	1.32	1.53	0.69	1.15	1.2	0.94	0.96	NA	NA
1850	0.54	1	0.73	0.5	0.93	1.87	0.58	0.56	NA	NA
1851	0.29	1.33	0.86	0.31	0.89	1.26	0.64	0.23	NA	NA
1852	0.28	1.14	0.91	0.46	0.89	0.78	0.74	0.62	NA	NA
1853	0.3	0.6	1.04	0.71	1.02	0.58	0.93	0.33	NA	NA
1854	0.47	1	1.45	0.64	1.41	0.51	0.65	0.31	NA	NA
1855	0.4	0.67	1.31	0.73	1.12	1.28	0.54	0.37	NA	NA
1856	0.45	0.83	1.88	0.59	1.62	1.02	0.72	0.28	NA	NA
1857	0.37	0.75	1.39	0.76	1.62	0.61	1.02	0.52	NA	NA
1858	1.08	0.62	1.03	0.62	0.62	1.18	0.82	0.51	NA	2.96
1859	0.71	0.68	0.47	0.8	0.82	0.76	0.81	0.46	NA	2.42
1860	0.6	0.85	0.7	0.64	0.51	0.56	0.67	0.7	NA	2.8
1861	0.94	0.7	0.67	0.68	0.89	0.49	0.6	0.61	NA	1.73
1862	0.36	0.59	1.31	0.49	1.25	0.61	0.71	0.48	NA	1.72
1863	0.36	0.92	1.61	0.67	1.09	0.42	1.12	0.84	NA	1.7
1864	0.6	0.98	2.3	0.77	1.47	1.01	1.19	0.32	3.24	2.6
1865	0.62	1.16	0.7	0.85	0.59	0.95	0.54	0.44	1.77	1.11
1866	0.54	1.3	0.55	0.65	0.75	1	0.84	0.4	1.8	1.24
1867	1.4	1.06	1.32	0.95	1.19	0.96	0.99	0.67	1.04	0.94
1868	1.36	1.03	1.42	1.6	1.72	0.56	1.66	0.71	1.55	1.29
1869	1.52	0.54	0.93	1.54	1.36	0.59	0.95	1.25	1.53	0.31
1870	1.46	0.6	1.44	1.37	1.47	0.98	0.76	1.22	1.77	0.31
1871	1.19	0.45	1.75	0.86	1.49	0.79	1.06	1.38	1.22	0.5
1872	1.45	0.77	1.2	1.03	1.11	1.09	1.51	1.53	1.2	0.63
1873	1.19	0.83	1.67	1.49	1.65	1.32	1.96	1.22	0.82	0.79
1874	2.11	1.19	1.56	2	1.66	1.65	1.31	1.48	1.14	0.65
1875	1.96	1.37	2.27	2.05	2.03	1.93	1.05	1.17	0.46	0.7
1876	1.63	1.55	1.65	2.4	1.67	1.23	1.4	1.93	0.74	2.02
1877	1.23	1.17	1.33	1.96	1.46	1.69	0.8	2.13	0.57	0.9
1878	1.26	1.5	0.94	1.18	1.04	1.09	0.62	1.15	0.68	1.03
1879	0.94	0.88	1.03	0.65	0.84	1.12	0.86	1.3	0.95	1.32
1880	0.62	0.67	1.14	0.96	0.94	1	0.89	1.02	0.98	1.81
1881	0.64	0.67	1.34	1.05	1.46	0.99	0.49	0.72	0.49	1.08
1882	0.71	0.91	1.19	0.6	1.16	1.02	0.61	0.66	0.85	0.88
1883	0.89	1.32	1.2	0.41	1.08	0.63	0.94	0.64	0.62	1.8
1884	1.06	0.59	1.2	0.89	1.19	0.38	1.28	0.69	0.88	1.45
1885	1.17	0.49	0.72	0.96	0.69	0.21	1.09	1.05	1.12	1.09
1886	0.73	0.21	0.45	1.03	0.67	0.39	1.04	1.11	1.14	0.88
1887	0.72	0.27	0.51	1.17	0.6	0.42	1.31	1.34	0.5	0.81
1888	0.66	0.5	1.12	1.2	0.64	0.45	1.4	0.95	0.49	0.87
1889	0.64	0.51	0.89	0.94	1.06	0.33	1.08	0.94	0.63	0.6
1890	0.8	1.14	0.75	0.88	0.95	0.94	0.66	0.63	0.94	0.76
1891	1.14	1.27	0.93	0.73	0.91	0.95	0.72	0.89	0.81	0.51
1892	1.77	1.1	0.65	0.75	0.88	0.67	0.63	0.88	0.83	0.6
1893	0.99	1.6	0.72	0.57	1.05	1.1	0.73	0.92	1.23	0.83
1894	1.56	1.28	0.64	0.75	0.73	0.67	1.32	1.29	0.59	1.47
1895	1.5	0.56	0.87	1.29	0.67	0.55	1.23	0.87	1.12	1.18
1896	0.83	0.7	0.62	1.25	0.9	0.42	1.31	1.04	1.21	1.08
1897	0.61	0.3	0.72	1.42	0.57	0.27	0.44	1.26	0.63	0.6
1898	0.41	0.33	0.64	0.8	0.78	0.31	0.6	0.55	0.82	0.96
1899	0.46	0.33	1.51	0.51	1.36	0.4	0.69	0.39	0.93	0.64
1900	0.43	0.26	1.15	0.71	1.47	0.32	0.58	0.35	1.47	0.72
1901	0.93	0.22	0.86	0.73	1.09	0.17	0.48	0.39	0.9	1.13
1902	0.73	0.31	0.99	0.6	1.44	0.21	0.52	0.52	1.31	0.81
1903	0.85	0.44	1.26	0.54	0.91	0.28	0.79	1.02	0.72	0.75
1904	0.83	0.27	0.98	0.76	0.75	0.33	0.75	0.8	0.85	0.71
1905	0.68	0.52	0.69	0.64	0.84	0.36	0.35	1.84	0.81	0.41
1906	0.42	0.34	0.49	0.31	0.69	0.11	0.38	1.09	0.91	0.74
1907	0.47	0.36	0.33	0.58	0.53	0.35	0.57	0.61	1	0.89
1908	0.6	0.28	0.58	0.42	0.41	0.26	0.56	0.7	0.89	1.05
1909	0.84	0.34	0.46	0.52	0.29	0.35	0.49	0.76	0.74	1.3
1910	0.58	0.77	0.36	0.57	0.33	0.58	0.5	0.82	0.61	1.31
1911	0.46	0.68	0.78	0.46	0.53	1.16	0.72	0.58	0.54	1.63
1912	0.8	0.93	0.46	1.03	0.46	1.58	0.94	0.89	0.65	1.87
1913	1.56	1.2	0.51	0.74	0.41	1.48	1.04	1.34	0.95	2
1914	1.13	1.17	0.68	0.98	0.6	1.8	1.46	1.03	0.81	1.63
1915	1.72	1.17	0.47	1.48	0.72	1.72	1.29	1.15	0.91	1.51
1916	1.56	1.49	0.59	1.14	0.67	1.25	1.29	1.55	1.11	1.17
1917	0.99	0.75	0.65	1.74	0.83	1.38	1.46	1.4	1.56	1.04
1918	0.78	1.06	0.34	1.68	0.69	0.85	0.69	1.01	1.38	0.78
1919	0.2	0.88	0.82	0.53	1.33	0.63	0.89	0.3	1.57	1.48
1920	0.67	0.78	0.93	1.13	1.49	0.64	0.92	0.87	1.27	1.98
1921	0.6	0.46	1.38	0.86	1.4	1.24	0.67	0.64	1.18	2.01
1922	0.58	0.62	1	0.8	1.33	0.63	0.69	0.55	0.98	2.21
1923	0.52	0.57	1.77	0.62	1.49	0.67	0.83	0.42	1.1	3.41
1924	0.6	1.08	2.27	0.88	2.29	0.65	1.6	0.64	0.57	4.05
1925	1.05	0.72	2.76	1.14	2.84	1.2	2.2	0.93	1.32	3.92
1926	2.19	0.63	2.42	1.48	1.84	1.13	1.63	1.46	1.4	3.79
1927	2.61	0.6	2.08	1.23	1.84	0.77	1.98	1.83	1.47	2.89
1928	2.43	0.92	1.45	1.13	1.97	0.88	1.66	2.79	1.05	2.28
1929	2.65	0.91	1.37	1.02	1.48	0.76	1.16	2.56	1.69	1.86
1930	1.7	1.44	0.56	1.14	0.57	0.87	0.17	2.46	1.63	1.2
1931	1.05	1.22	1.12	0.48	1.02	1.06	0.81	1.27	1.71	2.52
1932	1.32	1.07	1.81	0.78	1.66	1.27	1.57	0.95	1.74	2.93
