# Groves - 107 Jermyn Street - QUSP - ITRDB BRIT084
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28321
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28321.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit084-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit084-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit084.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit084.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Groves - 107 Jermyn Street - QUSP - ITRDB BRIT084
#--------------------
# Investigators
#   Investigators: Groves, C.; Locatelli, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: 107 Jermyn Street
#   Location: United Kingdom
#   Northernmost_Latitude: 51.508606
#   Southernmost_Latitude: 51.508606
#   Easternmost_Longitude: -0.135802
#   Westernmost_Longitude: -0.135802
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT084
#   First_Year: 1368
#   Last_Year: 1670
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## JM11627_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JM11627; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	JM11627_raw
1368	1.23
1369	0.88
1370	1.59
1371	2.27
1372	1.11
1373	1.97
1374	1.07
1375	2.01
1376	2.25
1377	1.98
1378	1.65
1379	1.58
1380	1.82
1381	1.41
1382	1.15
1383	1.89
1384	2.47
1385	2.03
1386	1.56
1387	1.9
1388	1.61
1389	1.56
1390	1.35
1391	0.7
1392	1.04
1393	0.85
1394	0.85
1395	0.69
1396	0.92
1397	0.92
1398	0.75
1399	0.52
1400	0.61
1401	1.09
1402	0.72
1403	0.49
1404	1.27
1405	1.34
1406	1.87
1407	0.87
1408	0.54
1409	1.12
1410	1.94
1411	2.24
1412	2.66
1413	1.87
1414	1.41
1415	1.5
1416	1.97
1417	1.79
1418	1.03
1419	1.14
1420	1.27
1421	1.3
1422	0.84
1423	1.03
1424	0.82
1425	0.69
1426	0.62
1427	0.89
1428	1
1429	0.82
1430	1.09
1431	0.96
1432	0.92
1433	0.68
1434	1.33
1435	1.31
1436	1.55
1437	1.47
1438	1.24
1439	1.33
1440	0.74
1441	1.3
1442	0.94
1443	0.81
1444	0.84
1445	0.87
1446	0.91
1447	0.99
1448	0.88
1449	0.97
1450	1
1451	0.71
1452	0.68
1453	0.68
1454	1
1455	0.75
1456	0.52
1457	0.59
1458	0.59
1459	0.66
1460	0.52
1461	0.58
1462	0.78
1463	0.51
1464	0.48
1465	0.59
1466	0.32
1467	0.6
1468	0.69
1469	0.76
1470	0.65
1471	0.47
1472	0.8
1473	0.37
1474	0.36
1475	0.43
1476	0.43
1477	0.38
1478	0.46
1479	0.44
1480	0.44
1481	0.61
1482	0.53
1483	0.49
1484	0.65
1485	0.72
1486	0.44
1487	0.5
1488	0.48
1489	0.55
1490	0.46
1491	0.44
1492	0.43
1493	0.51
1494	0.29
1495	0.3
1496	0.22
1497	0.36
1498	0.27
1499	0.25
1500	0.21
1501	0.26
1502	0.27
1503	0.32
1504	0.31
1505	0.45
1506	0.33
1507	0.29
1508	0.31
1509	0.33
1510	0.42
1511	0.37
1512	0.31
1513	0.34
1514	0.28
1515	0.25
1516	0.21
1517	0.23
1518	0.21
1519	0.22
1520	0.2
1521	0.25
1522	0.28
1523	0.22
1524	0.28
1525	0.27
1526	0.38
1527	0.31
1528	0.29
1529	0.29
1530	0.25
1531	0.24
1532	0.2
1533	0.28
1534	0.42
1535	0.34
1536	0.25
1537	0.23
1538	0.24
1539	0.35
1540	0.26
1541	0.29
1542	0.34
1543	0.28
1544	0.34
1545	0.29
1546	0.29
1547	0.3
1548	0.35
1549	0.31
1550	0.29
1551	0.31
1552	0.31
1553	0.3
1554	0.25
1555	0.44
1556	0.37
1557	0.35
1558	0.34
1559	0.25
1560	0.25
1561	0.28
1562	0.33
1563	0.26
1564	0.19
1565	0.2
1566	0.25
1567	0.25
1568	0.29
1569	0.31
1570	0.34
1571	0.3
1572	0.29
1573	0.26
1574	0.27
1575	0.28
1576	0.38
1577	0.35
1578	0.22
1579	0.17
1580	0.18
1581	0.19
1582	0.18
1583	0.21
1584	0.17
1585	0.21
1586	0.17
1587	0.2
1588	0.17
1589	0.13
1590	0.15
1591	0.16
1592	0.2
1593	0.17
1594	0.14
1595	0.12
1596	0.17
1597	0.2
1598	0.23
1599	0.16
1600	0.22
1601	0.14
1602	0.32
1603	0.35
1604	0.27
1605	0.25
1606	0.16
1607	0.28
1608	0.26
1609	0.35
1610	0.23
1611	0.3
1612	0.32
1613	0.34
1614	0.33
1615	0.32
1616	0.3
1617	0.28
1618	0.3
1619	0.26
1620	0.26
1621	0.38
