# Schneider - Berlin Grünanlage Britz-Süd den04 - PISY - ITRDB DEU307
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/36421
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-36421.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu307-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; deu307-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu307.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu307.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2022-05-11
#--------------------
# File_Last_Modified_Date
#   Date: 2022-05-11
#--------------------
# Title
#   Study_Name: Schneider - Berlin Grünanlage Britz-Süd den04 - PISY - ITRDB DEU307
#--------------------
# Investigators
#   Investigators: Schneider, C.(https://orcid.org/0000-0002-9914-3217); Neuwirth, B.(https://orcid.org/0000-0001-7473-462X); Schneider, S.(https://orcid.org/0000-0003-3761-2054); Balanzategui, D.(https://orcid.org/0000-0002-1153-8637); Elsholz, S.; Fenner, D.(https://orcid.org/0000-0003-0967-8697); Meier, F.(https://orcid.org/0000-0003-0399-2757); Heinrich, I.(https://orcid.org/0000-0001-5800-6999)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2022-05-31.
#--------------------
# Publication
#   Authors: Schneider, Christoph, Burkhard Neuwirth, Sebastian Schneider, Daniel Balanzategui, Stefanie Elsholz, Daniel Fenner, Fred Meier, Ingo Heinrich
#   Journal_Name: Urban Ecosystems
#   Published_Title: Using the dendro‑climatological signal of urban trees as a measure of urbanization and urban heat island
#   Published_Date_or_Year: 2022
#   Volume: 25
#   Pages: 849–865
#   Issue: 
#   Report_Number: 
#   DOI: 10.1007/s11252-021-01196-2
#   Full_Citation: None
#   Abstract: Using dendroclimatological techniques this study investigates whether inner city tree-ring width (TRW) chronologies from eight tree species (ash, beech, fir, larch, lime, sessile and pedunculate oak, and pine) are suitable to examine the urban heat island of Berlin, Germany. Climate-growth relationships were analyzed for 18 sites along a gradient of increasing urbanization covering Berlin and surrounding rural areas. As a proxy for defining urban heat island intensities at each site, we applied urbanization parameters such as building fraction, impervious surfaces, and green areas. The response of TRW to monthly and seasonal air temperature, precipitation, aridity, and daily air-temperature ranges were used to identify climate-growth relationships. Trees from urban sites were found to be more sensitive to climate compared to trees in the surrounding hinterland. Ring width of the deciduous species, especially ash, beech, and oak, showed a high sensitivity to summer heat and drought at urban locations (summer signal), whereas conifer species were found suitable for the analysis of the urban heat island in late winter and early spring (winter signal). The summer and winter signals were strongest in tree-ring chronologies when the urban heat island intensities were based on an area of about 200 m to 3000 m centered over the tree locations, and thus reflect the urban climate at the scale of city quarters. For the summer signal, the sensitivity of deciduous tree species to climate increased with urbanity. These results indicate that urban trees can be used for climate response analyses and open new pathways to trace the evolution of urban climate change and more specifically the urban heat island, both in time and space.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Berlin Grünanlage Britz-Süd den04
#   Location: Germany
#   Northernmost_Latitude: 52.442222
#   Southernmost_Latitude: 52.442222
#   Easternmost_Longitude: 13.440556
#   Westernmost_Longitude: 13.440556
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: DEU307
#   First_Year: 1959
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## den0401m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0401m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0402m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0402m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0403m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0403m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0404m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0404m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0405m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0405m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0406m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0406m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0407m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0407m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0408m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0408m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0409m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0409m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0410m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0410m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0411m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0411m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0412m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0412m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0413m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0413m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0414m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0414m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0415m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0415m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## den0416m_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: den0416m; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	den0401m_raw	den0402m_raw	den0403m_raw	den0404m_raw	den0405m_raw	den0406m_raw	den0407m_raw	den0408m_raw	den0409m_raw	den0410m_raw	den0411m_raw	den0412m_raw	den0413m_raw	den0414m_raw	den0415m_raw	den0416m_raw
1959	NA	NA	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.51	NA
1960	NA	NA	6	NA	NA	3.43	NA	NA	NA	NA	NA	NA	2.12	3.33	4.25	NA
1961	NA	NA	6.23	NA	5.39	8.09	NA	6.36	5.85	NA	NA	NA	6.25	7.8	7.79	NA
1962	NA	NA	5.48	2.44	4.51	6.11	NA	4.88	5.9	NA	NA	NA	4.4	5.08	4.69	4.82
1963	NA	NA	6.54	1.46	2.78	7.2	NA	4.81	3.64	NA	5.96	NA	5.54	5.09	5.46	5.42
1964	NA	NA	6.64	1.65	4.86	6.64	6.41	7.04	7	6.57	7.12	NA	6.8	5.04	7.68	6.33
1965	NA	NA	6.9	3.09	5.48	6.36	8.53	7.04	5.21	5.48	6.84	NA	5.02	6.54	7.58	6.6
1966	10.04	NA	9.64	7.59	10.31	8.06	10.12	4.58	4.53	4.59	7.43	7.47	4.06	6.46	6.95	5.61
1967	10.48	6.7	6.11	5.03	7.17	7.62	15.45	6.54	6.42	7.25	8.34	7.86	3.23	7.12	9.19	7.88
1968	11.11	8.31	8.79	7.04	7.62	8.94	13.55	6.27	5.34	7.73	5.8	8.83	4.9	6.51	10.73	9.74
1969	8.31	7.61	4.92	4.48	5.6	5.5	9.56	5.71	4.38	5.83	3.99	5.9	3.52	5.83	6.64	7.6
1970	6.32	5	4.38	2.96	3.8	3.93	7.24	3.4	2.88	5.24	2.23	4.1	2.79	4.35	3.8	6.16
1971	7.76	6.49	5.59	4.34	3.88	5.57	8.53	4.99	4.18	5.7	4.73	5.38	4.63	5.93	4.99	7.04
1972	6.49	4.65	6.68	3.77	3.54	5.4	7.16	5.72	4.44	5.42	5.36	5.7	3.55	5.56	5.41	6.01
1973	5.46	4.71	5.02	3.4	3.48	5.04	7.08	5.2	3.93	5.92	5.27	4.86	2.56	3.84	5.26	5.43
1974	7.64	5.02	5.68	4.12	3.87	4.6	8.46	5.19	3.1	6.4	5.54	6.19	3.4	5.44	5.8	6.17
1975	7.09	5.86	4.21	3.27	3.17	4.83	6.82	5.19	3.88	3.91	3.26	5.75	3.73	5.19	6.55	5.15
1976	3.82	4.46	1.82	1.47	1.15	2.16	3.19	3.45	2	2.6	1.59	3.49	2.17	2.58	1.94	3.28
1977	6.67	4.48	3.48	1.74	1.87	3.7	4.69	5.34	3.48	4.32	4.46	3.75	3.98	5.45	5.29	5.08
1978	6.68	4.71	4.11	1.66	2.07	5.04	4.47	4.58	2.7	4.68	4.01	3.44	3.76	4.68	6.1	4.84
1979	5.38	5.3	2.99	1.44	1.94	4.34	4.35	4.57	1.98	4.21	3.58	3.42	4.04	3.76	5.04	5.6
1980	4.47	4.21	2.85	1.54	2.31	3.48	4.42	4.12	1.94	2.54	4.07	4.44	4.16	3.59	5.96	5.23
1981	4.08	3.86	2.42	1.74	2.66	3.22	3.97	3.01	1.32	2.15	3.19	2.76	3.04	3.16	4.62	4.48
1982	3.87	2.34	2.88	1.42	2.36	2.68	2.95	2.32	1.38	2.26	2.5	2.18	2.49	2.58	2.91	2.67
1983	2.19	1.19	1.81	1.1	2.19	2.38	2.16	1.63	0.96	2.21	2.35	1.73	1.56	3.63	1.8	3.12
1984	3	1.59	1.91	1.01	2.4	3.04	2.07	1.67	0.91	2.41	2.28	2.48	1.29	5.2	2.11	3.7
1985	3.64	2.93	2.36	0.95	2.1	3.02	1.87	1.27	0.85	1.89	2.14	3.06	1.94	3.96	2.46	3.4
1986	3.7	3.22	2.16	1.06	1.92	2.63	1.67	1.04	0.72	1.44	1.95	1.98	2.19	3.47	2.33	2.6
1987	2.94	3.45	1.99	1.4	2.18	2.26	2.38	1.24	0.83	1.8	1.7	2.18	2.74	3.54	2.87	3.46
1988	4.36	3.25	1.56	2.59	2.4	2.38	2.56	1.33	1	1.97	1.65	2.51	4.21	2.88	1.88	2.55
1989	2.2	2	1.21	2.36	2.02	1.88	1.1	0.87	0.76	1.28	1	1.47	2.61	2.52	1.35	1.39
1990	3	2.35	1.5	2.47	3.34	2.17	1.56	1	1.42	1.26	2.25	1.82	3.81	3.59	1.97	2.61
1991	2.18	1.82	1.65	2.31	2.57	2.58	1.86	1.12	1.6	0.91	2.44	1.94	2.72	2.31	1.08	2.07
1992	3.21	1.76	1.54	1.59	2.79	2.96	2.33	0.82	1.78	1.34	2.63	2.13	2.73	2.03	1.3	1.95
1993	2.89	2	1.65	2.11	3.08	3.58	2.55	0.86	1.59	2.41	2.62	3.18	2.96	2.52	1.97	2.14
1994	3.8	2.06	2.41	3.44	3.25	4.88	3.51	1.45	2.48	2.86	3.03	3.45	3.83	4.35	2.28	3.16
1995	3.38	2.74	2.79	2.72	4.11	3.83	3.11	1.83	2.84	3.43	2.32	3.62	3.68	4.85	3.28	3.73
1996	1.84	1.01	1.3	1.26	1.65	1.71	2.34	1.15	2.18	1.45	1.14	1.97	2.49	2.3	1.7	2.62
1997	2.5	1.35	2.13	2.02	2.52	2.46	1.97	1.94	2.72	2.26	1.5	3.24	4.03	3.48	3.44	2.61
1998	1.58	1.45	1.57	1.76	2.4	2.55	1.16	2.01	2.74	2.4	1.04	2.1	2.79	3.06	1.94	1.96
1999	1.52	1.3	1.61	2.14	3.02	2.99	0.79	1.31	1.78	2.38	0.79	1.87	2.34	2.2	1.97	2.14
2000	2.06	1.48	1.57	2.52	3.65	2.45	1.02	1.93	2.51	2.85	1.4	2.2	1.78	2.93	2.31	2.1
2001	1.08	1.67	2.02	2.63	2.75	2.16	1.38	1.3	2.45	2.82	1.3	1.79	1.88	2.3	1.93	2.35
2002	1.38	3.74	3.06	2.82	4.69	2.68	3.92	1.38	3.12	3.74	2.1	2.78	3.13	4.42	3.21	3.55
2003	1.17	3.26	2.72	1.64	3.18	1.94	2.72	0.88	2.06	2.57	1.6	1.98	2.31	4.17	1.9	2.07
2004	1.66	3.29	4.17	1.96	3.44	1.48	3.06	1.04	2.04	2.99	1.38	2.64	2.86	3.2	2.05	3.74
2005	1.92	2.86	3.12	1.99	3.42	2.06	3.24	1.48	2.63	3.05	1.49	2.42	2.64	5.33	2.16	3.58
2006	1.36	1.28	1.46	0.71	2	1.35	1.51	1.26	1.04	1.91	0.79	1.18	1.61	2.47	0.97	1.59
2007	2.2	2.64	2.37	1.13	3.84	1.51	3.44	2.54	2.52	3.73	1.49	1.92	2.96	4.34	1.64	3.23
2008	2.02	1.88	3.12	1.78	3.66	1.58	2.66	2.57	2.48	2.8	1.52	2.52	2.66	2.67	1.92	2.49
2009	2.66	2.17	2.71	1.33	2.75	1.44	2.61	2.61	1.98	3.58	1.34	2.55	2.26	2.12	1.68	2.2
2010	2.53	1.68	1.66	1.9	3.27	1.44	1.9	2.01	1.72	2.66	1.48	2.27	1.63	1.89	1.74	2.15
2011	2.48	2.81	1.72	1.87	2.68	1.47	2.85	2.82	2.45	2.57	1.51	2.48	2.15	2.83	1.81	2.59
2012	2.34	3.07	2.28	1.94	3.57	1.57	2.26	3.29	2.5	3.05	1.22	2.7	2.21	3.66	1.61	2.7
2013	1.2	1.36	1.19	1.48	1.91	1.47	1.06	1.38	1.37	2.46	0.54	1.54	1.6	1.32	0.54	1.64
2014	1.39	1.71	1.51	1.72	1.79	1.15	1.2	1.72	1.98	2.27	0.64	1.86	2.14	1.2	0.86	1.72
2015	0.92	1.04	1.32	0.88	2.05	0.93	1.28	1.27	1.48	1.26	0.39	1.43	1.14	0.76	0.62	1.2
2016	0.95	1.83	1.32	0.68	3.15	1.1	2.49	1.66	1.85	1.45	0.4	1.67	1.73	1.01	0.67	1.54
2017	NA	3.52	1.7	0.53	3.86	0.96	2.66	2.52	2.35	1.85	0.59	2.1	2.53	1.45	0.91	2.22
