# Bräker - Haslenau - ULSP - ITRDB SWIT252
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14088
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14088.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit252-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit252-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit252.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit252.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Haslenau - ULSP - ITRDB SWIT252
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Haslenau
#   Location: Switzerland
#   Northernmost_Latitude: 47.5828
#   Southernmost_Latitude: 47.5828
#   Easternmost_Longitude: 9.2742
#   Westernmost_Longitude: 9.2742
#   Elevation_m: 507
#--------------------
# Data_Collection
#   Collection_Name: SWIT252
#   First_Year: 1946
#   Last_Year: 1991
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Ulmus spp. L.
#   Common_Name: elm
#   Tree_Species_Code: ULSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GU006021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GU006021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GU006022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GU006022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GU006021_raw	GU006022_raw
1946	1.75	1.77
1947	1.39	1.53
1948	0.93	0.93
1949	0.96	1.16
1950	0.94	0.8
1951	1.3	1.23
1952	1.22	0.74
1953	1.63	0.76
1954	1.13	1.08
1955	1.31	1.08
1956	1.53	1.31
1957	1.2	1.31
1958	1.67	1.62
1959	1.91	1.59
1960	1.28	0.98
1961	1.54	1.2
1962	1.75	1.26
1963	1.92	1.58
1964	1.54	1.18
1965	2.05	1.37
1966	2.13	1.86
1967	2.43	1.93
1968	2.69	2.14
1969	1.78	1.62
1970	1.78	1.43
1971	2.35	1.52
1972	1.74	1.43
1973	2.24	1.66
1974	1.83	1.69
1975	1.48	1.54
1976	2.2	1.79
1977	2.83	2.36
1978	3.31	2.36
1979	2.83	2.11
1980	2.51	2.5
1981	2.11	2.88
1982	2.4	3
1983	1.5	1.96
1984	1.75	1.95
1985	1.99	2.06
1986	1.9	2.05
1987	2.19	1.74
1988	2.04	1.65
1989	1.81	1.5
1990	2.12	1.94
1991	1.91	1.78
