# Hartl - Oberammergau, Laichwald C - ABAL - ITRDB DEU376
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37575
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37575.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu376-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu376.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu376.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-02-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-02-17
#--------------------
# Title
#   Study_Name: Hartl - Oberammergau, Laichwald C - ABAL - ITRDB DEU376
#--------------------
# Investigators
#   Investigators: Hartl, Claudia; Rothe, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Zang, Christian; Claudia Hartl-Meier; Christoph Dittmar; Andreas Rothe; Annette Menzel
#   Published_Date_or_Year: 2014
#   Published_Title: Patterns of drought tolerance in major European temperate forest trees: climatic drivers and levels of variability
#   Journal_Name: Glob Change Biol
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.12637
#   Full_Citation:
#   Abstract:
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Hartl-Meier C, Rothe A (2014) Zuwachsreaktionen des Bergwaldes auf Klimaänderungen. LWF aktuell 99, 42–44. 
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Bavarian State Ministry for Food, Agriculture and Forestry
#   Grant: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:  EU program INTERREG 
#   Grant:   J00183
#--------------------
# Site_Information
#   Site_Name: Oberammergau, Laichwald C
#   Location: Germany
#   Northernmost_Latitude: 47.49
#   Southernmost_Latitude: 47.49
#   Easternmost_Longitude: 11.028
#   Westernmost_Longitude: 11.028
#   Elevation_m: 1020
#--------------------
# Data_Collection
#   Collection_Name: DEU376
#   First_Year: 1805
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OGLC301C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC301C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC301O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC301O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC303C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC303C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC303O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC303O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC304C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC304C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC304O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC304O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC305C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC305C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC305O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC305O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC306C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC306C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC306O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC306O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC308C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC308C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC308O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC308O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC309C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC309C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC309O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC309O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC310C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC310C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC310O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC310O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC312C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC312C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC312O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC312O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC314C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC314C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLC314O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLC314O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OGLC301C_raw	OGLC301O_raw	OGLC303C_raw	OGLC303O_raw	OGLC304C_raw	OGLC304O_raw	OGLC305C_raw	OGLC305O_raw	OGLC306C_raw	OGLC306O_raw	OGLC308C_raw	OGLC308O_raw	OGLC309C_raw	OGLC309O_raw	OGLC310C_raw	OGLC310O_raw	OGLC312C_raw	OGLC312O_raw	OGLC314C_raw	OGLC314O_raw
1805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.24	NA	0.39	NA
1806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81	NA	0.57	NA
1807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	NA	0.41	NA
1808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	NA	NA	NA	2.32	NA	0.33	NA
1809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94	NA	NA	NA	2.76	NA	0.55	NA
1810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25	NA	NA	NA	2.66	NA	0.42	NA
1811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA	NA	NA	3.06	NA	0.29	NA
1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	1.37	3.2	NA	0.25	NA
1813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.23	NA	NA	1.39	2.85	3.67	0.35	NA
1814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.82	NA	NA	1.32	2.15	3.1	0.68	NA
1815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.58	NA	NA	1.18	2.57	2.92	1.17	NA
1816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81	NA	NA	1.35	2.9	2.88	1.03	0.84
1817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	NA	NA	1.51	2.78	2.76	0.94	0.81
1818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	1.21	1.73	2.26	2.6	0.6	0.77
1819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.36	2.39	1.04	1.78	2.21	2.08	0.51	0.72
1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.32	1.94	2.43	1.34	1.83	2.1	2.29	0.88	0.83
1821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	1.71	2.35	0.92	1.59	2.05	1.9	0.79	0.82
1822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.56	2.12	2.13	1.1	1.81	2.52	2.32	0.84	0.87
1823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.63	2.18	2.54	1.64	1.56	2.42	2.25	0.82	0.47
1824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.01	2.29	2.15	1.67	1.71	1.66	2.04	0.94	0.61
1825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.69	3.67	2.29	2.04	1.51	1.71	2.22	1.76	0.9	1.31
1826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11	3.57	2.26	2.05	1.38	1.53	1.95	1.76	0.61	0.93
1827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.81	3.28	2.17	1.78	1.58	1.74	1.92	1.9	0.62	0.76
1828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.42	3.59	2.58	2.04	1.6	1.86	2.46	2.4	0.86	1.48
1829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.49	3.1	2.54	1.98	1.65	1.66	2.44	2.29	0.81	1.31
1830	NA	NA	NA	2.6	NA	NA	NA	NA	NA	NA	3.92	2.46	1.44	0.92	1.12	1.17	1.98	1.49	0.68	1
1831	NA	NA	1.68	3.12	NA	NA	NA	NA	NA	NA	3.86	2.86	2.11	1.42	1.42	1.45	2	1.7	0.94	1.03
1832	NA	NA	1.93	3.34	NA	NA	NA	NA	NA	NA	3.71	2.51	1.8	1.28	1.48	1.7	2.15	2.1	1.32	1.19
1833	NA	NA	1.84	2.56	NA	NA	NA	NA	NA	NA	3.39	2.4	1.69	1.37	1.43	1.5	2.01	1.83	0.79	0.87
1834	NA	NA	1.76	2.54	NA	NA	NA	0.71	NA	NA	3.18	1.83	1.41	1.17	1.65	1.99	1.96	1.52	0.82	0.75
1835	NA	NA	1.58	2.04	NA	NA	NA	0.62	NA	1.53	3.72	2	1.46	1.59	1.49	1.69	2.01	1.78	0.72	0.5
1836	NA	NA	1.43	1.67	NA	NA	NA	0.79	NA	1.59	3.17	1.4	1.13	1.35	1.07	1.2	1.63	1.24	0.86	0.73
1837	NA	NA	1.65	2.07	NA	NA	NA	0.94	NA	1.53	2.21	2.05	1.55	1.89	1.26	1.21	1.72	1.67	0.93	0.79
1838	NA	NA	1.53	2.03	NA	NA	NA	0.86	NA	1.78	3.04	1.8	1.57	1.73	1.33	1.09	1.6	1.36	0.93	1.14
1839	NA	NA	1.55	2.2	NA	NA	NA	0.73	NA	1.59	2.91	1.6	1.94	1.9	1.35	1.1	1.62	1.33	0.64	0.74
1840	NA	NA	0.9	1.48	NA	NA	NA	0.48	NA	1.49	2.71	1.44	1.98	1.75	1.17	1.01	1.38	1.18	0.59	0.57
1841	1.69	NA	1.02	1.5	NA	NA	NA	0.56	NA	1.13	2.41	1.16	1.82	1.59	1.18	0.89	1.13	0.95	0.66	0.65
1842	2.4	NA	1.63	2.01	NA	NA	NA	0.67	NA	1.04	2.28	1.45	2.33	1.92	1.52	1.2	1.34	1.41	0.75	0.79
1843	2.22	NA	1.53	1.63	NA	NA	NA	0.47	NA	1.16	1.97	1.49	2.15	1.9	1.49	1.22	1.3	1.44	0.75	0.63
1844	2.03	NA	1.56	1.76	NA	NA	1.04	0.58	NA	1.21	2.32	1.62	2	1.73	1.2	1.03	1.32	1.6	0.68	0.61
1845	2.18	NA	1.64	1.72	NA	NA	0.97	0.55	NA	1.22	2.26	1.68	2.41	2.22	1.15	1.1	1.72	1.57	0.74	0.63
1846	1.93	NA	1.77	1.87	NA	NA	0.89	0.63	NA	1.13	1.79	1.58	2.37	2.01	1.63	1.24	1.63	1.59	0.75	0.81
1847	1.89	NA	1.35	1.34	NA	NA	0.56	0.39	NA	0.82	1.58	1	2.08	1.77	0.89	0.74	1.21	1.06	0.58	0.63
1848	2.37	NA	1.46	1.34	NA	NA	0.69	0.5	NA	1.14	1.41	1.29	2.14	1.65	1.23	0.9	1.46	1.32	0.62	0.78
1849	2.34	NA	1.8	1.52	NA	NA	0.79	0.68	NA	1.27	1.61	1.33	2.05	1.8	1.2	1	1.74	1.6	0.86	0.75
1850	1.61	NA	1.64	1.4	NA	NA	0.66	0.54	NA	0.98	1.28	1.29	1.76	1.56	1.09	0.99	1.5	1.4	0.76	0.64
1851	2.55	NA	1.65	1.66	NA	NA	0.68	0.57	NA	0.94	1.38	1.3	1.87	1.73	1.19	1.1	1.42	1.21	1.18	0.75
1852	2.4	NA	1.43	1.47	NA	2.12	0.58	0.54	NA	0.7	1.63	1.31	1.96	1.51	1.2	1.18	1.2	1.11	1.06	0.54
1853	2.28	NA	1.79	1.62	NA	2.18	0.61	0.71	NA	0.81	2.14	1.55	1.97	1.53	1.43	1.25	1.68	1.45	1.15	0.74
1854	1.81	NA	1.16	1.19	NA	1.29	0.47	0.47	1.22	0.65	1.63	1.17	1.84	1.3	1.13	1.09	1.49	1.28	0.93	0.66
1855	1.45	NA	1.25	1.47	NA	1.76	0.57	0.53	1.04	0.68	1.63	1.22	1.57	1.35	0.95	0.82	1.33	1.23	0.95	0.82
1856	1.76	1.69	1.39	1.31	1.59	1.52	0.57	0.48	0.69	0.68	1.59	1.22	1.42	1.11	1	0.76	1.28	1.13	0.82	0.68
1857	1.02	1.11	1.16	1.15	1.67	1.48	0.47	0.38	0.89	0.72	1.45	1.05	1.34	0.9	1.04	0.76	1.1	1.18	0.89	0.72
1858	1.34	1.49	1.19	0.96	1.74	1.74	0.44	0.36	0.91	0.75	1.38	0.93	1.14	0.77	0.94	0.61	1.26	1.17	0.74	0.7
