# Bräker - Le Communal de la Sagne - PCAB - ITRDB SWIT278
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/15359
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-15359.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit278-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit278-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit278.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit278.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Le Communal de la Sagne - PCAB - ITRDB SWIT278
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Le Communal de la Sagne
#   Location: Switzerland
#   Northernmost_Latitude: 47.05
#   Southernmost_Latitude: 47.05
#   Easternmost_Longitude: 6.8
#   Westernmost_Longitude: 6.8
#   Elevation_m: 1180
#--------------------
# Data_Collection
#   Collection_Name: SWIT278
#   First_Year: 1853
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LASF1011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LASF1101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LASF1101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LASF1011_raw	LASF1021_raw	LASF1031_raw	LASF1041_raw	LASF1051_raw	LASF1061_raw	LASF1071_raw	LASF1081_raw	LASF1091_raw	LASF1101_raw
1853	NA	NA	NA	NA	NA	NA	4.68	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	3.56	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	2.13	3.83	NA	NA
1856	NA	NA	NA	NA	NA	2.9	2.31	1.84	NA	NA
1857	NA	NA	NA	NA	NA	2.2	2.25	1.7	NA	NA
1858	NA	NA	NA	NA	NA	1.77	2.17	1.82	NA	NA
1859	NA	NA	NA	NA	NA	2.04	2.51	2.26	NA	NA
1860	NA	NA	NA	NA	NA	2.56	2.28	2.1	NA	NA
1861	NA	NA	NA	NA	NA	3.39	2.86	2.77	NA	NA
1862	NA	NA	NA	NA	NA	2.96	3.16	1.89	NA	NA
1863	NA	NA	NA	NA	NA	2.27	3.4	1.87	6.71	NA
1864	NA	NA	NA	NA	NA	2.83	3.24	2.34	3.27	NA
1865	NA	NA	NA	NA	NA	1.91	3.11	2.43	3.52	NA
1866	NA	NA	NA	NA	NA	2.93	3.61	2.55	3.48	NA
1867	NA	NA	NA	NA	NA	4	5.13	2.96	4.04	NA
1868	NA	NA	NA	4.1	NA	2.98	4.31	2.86	3.75	NA
1869	NA	NA	NA	2.68	NA	2.69	2.96	2.66	3.46	NA
1870	NA	NA	NA	2.26	NA	2.4	2.78	2.39	2.86	NA
1871	NA	NA	NA	2.49	NA	1.98	2.99	1.63	3.06	NA
1872	NA	NA	NA	2.95	17.74	2.92	3.31	1.69	3.94	NA
1873	NA	NA	NA	2.83	6.53	2.94	3.87	1.98	4.42	NA
1874	NA	NA	NA	3.44	5.46	3.69	3.64	2.04	3.76	NA
1875	NA	NA	NA	3.38	5	3.64	4.48	2.75	4.86	NA
1876	NA	NA	NA	2.19	3.65	2.32	2.54	2.21	3.03	3.1
1877	NA	NA	NA	2.27	4.5	3.39	4.43	3.35	4.13	3.65
1878	NA	NA	NA	3.52	4.25	3.13	6.93	3.9	4.3	3.28
1879	NA	NA	NA	2.65	3.72	2.68	5.71	3.71	4.11	3
1880	NA	NA	NA	3.17	3.89	3.32	6.78	3.31	4.3	3.98
1881	NA	NA	NA	2.48	3.28	3.06	4.77	3.77	3.22	3.17
1882	10.53	NA	NA	2.75	3.41	3.06	3.87	3.44	3.26	2.17
1883	9.01	NA	NA	2.59	2.43	2.88	3.5	3.5	3.13	2.67
1884	9.25	NA	NA	2.22	2.37	2.55	4.09	3.63	2.97	2.02
1885	5.09	NA	NA	2.18	2.12	1.94	2.89	2.96	2.68	2.35
1886	5.1	NA	NA	2.11	2.2	2.4	2.84	2.23	3.34	2.19
1887	4.73	NA	NA	1.87	1.99	1.93	2.05	2.56	2.79	2.31
1888	5.33	NA	NA	2.5	2.08	2.23	1.77	1.91	2.62	2.58
1889	6.04	NA	NA	2.83	2.38	2.58	3.24	2.8	3.92	2.8
1890	5.23	NA	NA	2.65	2.82	2.54	2.3	3.11	3.34	2.31
1891	6	NA	NA	2.62	2.92	2.25	2.2	2.92	3.3	1.87
1892	5.69	NA	NA	2.64	2.35	2.1	2.2	2.75	2.11	1.55
1893	3.14	NA	NA	1.61	1.68	1.49	1.38	1.24	2.1	0.92
1894	4.75	NA	NA	3.19	2.05	1.89	1.72	2.01	2.81	1.26
1895	5.08	NA	NA	3.13	1.54	2.88	2.29	2.09	3.11	1.33
1896	3.53	NA	NA	2.07	1.27	2.82	1.71	1.95	2.29	1.27
1897	3.87	NA	NA	2.86	1.31	4.63	2.18	2.31	2.34	1.25
1898	2.27	NA	NA	2.31	1.21	3.15	1.9	2.17	2.05	1.45
1899	2.49	NA	6.1	2.11	1.43	3.83	1.87	2.43	2.23	1.31
1900	1.92	NA	3.33	1.56	1.08	2.63	1.35	1.72	1.93	1.39
1901	1.94	NA	3.83	1.68	1.6	2.34	1.46	1.51	2.07	1.71
1902	1.94	2.88	3.07	1.22	1.38	2.19	1.3	0.93	1.31	1.14
1903	1.86	3.35	4.05	1.4	1.42	1.71	1.5	1.32	2.24	1.24
1904	2.59	3.94	2.8	1.72	1.53	2.34	1.53	1.39	2.47	1.33
1905	1.79	3.22	3.35	1.2	1.24	1.64	1.06	0.99	1.97	0.68
1906	1.76	2.71	3.49	1.28	1.08	1.48	0.86	0.98	1.38	0.87
1907	1.53	2.42	2.53	1.31	1.04	2.02	0.61	1.08	1.42	0.91
1908	2.66	3.38	3.74	1.9	1.66	2.85	1.04	1.46	1.95	1.25
1909	2.62	3.4	3.82	3.05	1.69	3.32	0.99	1.31	1.96	1.04
1910	3.79	3.68	3.62	5.52	1.96	5.23	1.1	1.83	2.07	1.79
1911	3.26	3.28	2.66	3.59	1.83	3.18	0.99	1.75	1.87	1.77
1912	2.63	2.8	3.35	2.32	1.45	2.88	0.87	1.68	2.26	1.94
1913	2.89	3.4	3.35	2.67	1.83	3.37	1.33	2.09	1.85	1.67
1914	3.12	3.02	3.33	2.32	1.77	2.72	1.5	1.26	1.77	1.22
1915	2.37	3.37	3.09	2.08	1.76	2.09	1.84	1.48	1.89	1.82
1916	2.61	3.29	2.89	2.16	2.21	2.08	2.26	1.71	2	2.2
1917	1.97	3.84	2.34	1.74	2.03	2.35	2.2	1.4	1.9	1.48
1918	2.05	3.57	3.03	1.87	2.41	1.78	1.7	1.85	1.7	1.62
