brit039,Year < -999; corrected if set long = TRUE
brit037,Year < -999; corrected if set long = TRUE
brit036,Year < -999; corrected if set long = TRUE
ausl024,Year < -999; corrected if set long = TRUE
chin067,Year < -999; corrected if set long = TRUE
chin069,Year < -999; corrected if set long = TRUE
swed334,Year < -999; corrected if set long = TRUE
turk044,Year < -999; corrected if set long = TRUE
turk045,Year < -999; corrected if set long = TRUE
turk046,Year < -999; corrected if set long = TRUE
