XML_FileName,Altitude,altAltitude,geometry
noaa-tree-2926.xml,NA,279,"c(-98.63, 55.93)"
noaa-tree-2927.xml,NA,514,"c(-104.68, 53.92)"
noaa-tree-3254.xml,NA,3171,"c(-118.17, 37.4)"
noaa-tree-3424.xml,NA,42,"c(-0.17, 51.52)"
noaa-tree-3431.xml,NA,42,"c(-0.17, 51.52)"
noaa-tree-3432.xml,NA,87,"c(-1.17, 51.72)"
noaa-tree-3637.xml,NA,6,"c(5.32, 51.68)"
noaa-tree-3749.xml,NA,31,"c(31.25, 58.58)"
noaa-tree-3750.xml,NA,350,"c(-84.75, 44.67)"
noaa-tree-3977.xml,NA,101,"c(28.98, 61.93)"
noaa-tree-3978.xml,NA,111,"c(32.33, 64.77)"
noaa-tree-3979.xml,NA,112,"c(29.32, 63.22)"
noaa-tree-3980.xml,NA,96,"c(28.83, 61.97)"
noaa-tree-3981.xml,NA,100,"c(29.02, 61.9)"
noaa-tree-3983.xml,NA,137,"c(30.97, 62.77)"
noaa-tree-3984.xml,NA,102,"c(28.87, 61.97)"
noaa-tree-3987.xml,NA,101,"c(28.98, 61.93)"
noaa-tree-3988.xml,NA,101,"c(28.98, 61.93)"
noaa-tree-3989.xml,NA,98,"c(29, 61.92)"
noaa-tree-3992.xml,NA,76,"c(28.9, 61.85)"
noaa-tree-3993.xml,NA,185,"c(28.93, 63.28)"
noaa-tree-3994.xml,NA,162,"c(28.48, 68.92)"
noaa-tree-3995.xml,NA,108,"c(28.82, 61.87)"
noaa-tree-3996.xml,NA,101,"c(30.08, 62.07)"
noaa-tree-3997.xml,NA,138,"c(29.52, 63.18)"
noaa-tree-3998.xml,NA,140,"c(29.63, 63.1)"
noaa-tree-3999.xml,NA,76,"c(28.9, 61.85)"
noaa-tree-4000.xml,NA,76,"c(28.88, 61.87)"
noaa-tree-4001.xml,NA,97,"c(29.03, 61.92)"
noaa-tree-4002.xml,NA,77,"c(28.9, 61.87)"
noaa-tree-4003.xml,NA,108,"c(28.82, 61.87)"
noaa-tree-4004.xml,NA,108,"c(29.17, 63.37)"
noaa-tree-4005.xml,NA,248,"c(29.3, 66.37)"
noaa-tree-4008.xml,NA,74,"c(29.3, 61.8)"
noaa-tree-4009.xml,NA,78,"c(29.75, 61.8)"
noaa-tree-4010.xml,NA,113,"c(28.3, 62.05)"
