# Villalba - Piedra Tromphul - AUCH - ITRDB ARGE069
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5179
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5179.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge069-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge069.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge069.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Villalba - Piedra Tromphul - AUCH - ITRDB ARGE069
#--------------------
# Investigators
#   Investigators: Villalba, R.(https://orcid.org/0000-0001-8183-0310)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Piedra Tromphul
#   Location: Neuquen
#   Northernmost_Latitude: -40.12
#   Southernmost_Latitude: -40.12
#   Easternmost_Longitude: -71.43
#   Westernmost_Longitude: -71.43
#   Elevation_m: 1060
#--------------------
# Data_Collection
#   Collection_Name: ARGE069
#   First_Year: 1823
#   Last_Year: 1989
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri
#   Common_Name: Chilean cedar
#   Tree_Species_Code: AUCH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TRC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRC07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRC07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TRC01A_raw	TRC01B_raw	TRC02B_raw	TRC03B_raw	TRC05A_raw	TRC06A_raw	TRC07B_raw	TRC08A_raw	TRC08B_raw	TRC07A_raw
1823	NA	3.19	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	4.01	NA	NA	NA	NA	NA	NA	NA	3.44
1825	NA	3.83	NA	NA	NA	NA	NA	NA	NA	1.41
1826	NA	4.27	NA	NA	NA	NA	NA	NA	NA	2.42
1827	NA	3.41	NA	NA	NA	NA	NA	NA	NA	2.78
1828	NA	2.89	NA	NA	NA	NA	NA	NA	NA	3.09
1829	NA	3.19	NA	NA	NA	NA	NA	NA	NA	1.6
1830	NA	2.52	NA	NA	NA	NA	NA	4.62	NA	1.82
1831	NA	2.49	NA	NA	NA	NA	NA	4.11	NA	1.36
1832	NA	2.36	NA	NA	NA	NA	NA	4.22	NA	1.68
1833	NA	2.55	NA	NA	NA	NA	NA	4.75	NA	1.61
1834	NA	2.86	NA	NA	NA	NA	NA	5.18	NA	1.74
1835	NA	2.54	NA	NA	NA	NA	NA	4.19	NA	1.28
1836	NA	2.01	NA	NA	NA	NA	NA	4.7	NA	1.84
1837	NA	2.57	NA	NA	NA	NA	NA	4.12	NA	2.56
1838	NA	2.79	NA	NA	NA	NA	NA	4.29	NA	3.05
1839	NA	1.94	NA	NA	NA	NA	NA	3.9	NA	2.03
1840	NA	1.97	NA	NA	NA	NA	NA	3.63	NA	2.08
1841	NA	1.94	NA	NA	NA	NA	NA	2.99	NA	1.66
1842	NA	2.21	NA	NA	NA	NA	NA	3	NA	1.75
1843	NA	3.05	NA	NA	NA	NA	3.22	3.48	NA	2.62
1844	NA	2.83	NA	NA	NA	NA	3.16	3.35	NA	3.4
1845	NA	1.92	NA	NA	NA	NA	1.83	2.72	NA	2.1
1846	NA	2.87	NA	NA	NA	NA	3.21	3.6	4.81	1.98
1847	NA	2.02	NA	NA	NA	NA	3.27	2.85	3.37	1.74
1848	NA	2.13	NA	NA	NA	NA	3.88	4.27	4.44	2.21
1849	NA	2.09	NA	NA	NA	NA	3.04	3.49	4.05	2.16
1850	NA	2.15	NA	NA	NA	2.5	2.54	3.12	3.89	2.12
1851	NA	2.69	NA	NA	NA	1.65	1.6	2.3	4.37	1.66
1852	NA	2.73	NA	NA	NA	2.94	2.24	2.84	5.11	1.83
1853	NA	2.58	NA	NA	NA	2.31	1.89	2.73	3.84	2.18
1854	NA	1.98	NA	NA	NA	1.74	1.66	3.04	3.05	1.87
1855	NA	2.34	NA	NA	NA	2.43	1.65	2.97	3.12	1.84
1856	NA	2.46	NA	NA	NA	2.59	1.48	2.22	2.71	2.01
1857	NA	1.74	NA	NA	NA	3.18	1.5	2.2	2.56	2.12
1858	NA	1.88	NA	NA	NA	2.26	1.14	2.14	2.46	1.85
1859	NA	1.41	NA	NA	NA	2.95	0.74	2.15	2.66	2.1
1860	NA	1.29	NA	NA	NA	2.22	1.17	1.94	2.52	1.8
1861	NA	1.16	NA	NA	NA	1.49	0.85	1.24	1.87	1.45
1862	NA	1.62	NA	NA	NA	1.71	1.81	2.05	2.7	1.92
1863	NA	2.36	NA	NA	NA	1.99	2.99	2.17	3.13	2.07
1864	NA	1.63	NA	NA	NA	1.45	3.04	1.73	2.55	1.74
1865	NA	1.1	NA	NA	NA	1.05	1.18	1.26	1.95	1.58
1866	NA	1.7	NA	NA	NA	1.22	1.76	1.49	1.84	1.55
1867	NA	1.45	NA	NA	NA	1.49	2.8	1.91	2.77	2
1868	NA	2.35	NA	NA	NA	1.72	2.79	2.28	4.39	3.09
1869	NA	2.16	NA	NA	NA	1.74	3.47	2.14	3.78	3.23
1870	NA	1.73	NA	NA	NA	2.46	4.05	2.23	4.28	4.14
1871	NA	1.34	NA	NA	NA	1.74	2.95	1.96	3.02	3.26
1872	NA	1.33	NA	NA	NA	1.52	2.45	2.14	2.83	2.77
1873	NA	1.93	NA	NA	NA	2.21	3.02	2.43	3.93	3.14
1874	NA	1.62	NA	NA	NA	2.11	2.57	1.91	3.43	2.86
1875	NA	2.06	NA	NA	NA	2.28	2.57	1.91	4.06	2.4
1876	NA	2.12	NA	NA	NA	1.67	2.38	1.45	2.51	2.25
1877	2.34	1.19	NA	NA	NA	1.37	1.06	1.26	2.25	1.67
1878	3.22	2.49	NA	NA	NA	2.16	2.17	1.88	3.9	2.85
1879	3.7	2.54	NA	NA	NA	3.53	3.17	2.96	6.23	3.74
1880	4.3	2.14	NA	NA	NA	2.66	2.37	3.02	5.03	2.77
1881	3.67	2.23	NA	NA	NA	1.89	1.97	2.16	3.59	2.14
1882	2.33	1.87	NA	NA	NA	1.9	1.88	1.61	2.63	2.04
1883	2	1.27	NA	NA	NA	1.75	1.88	1.7	2.66	1.69
1884	3.6	1.21	NA	NA	NA	1.65	2.38	1.41	2.65	1.83
1885	3.28	1.46	NA	NA	NA	2.2	2.84	2.22	4.57	2.4
1886	2.43	1.69	NA	NA	NA	2.02	2.54	2.22	2.76	2.04
1887	3.35	1.76	NA	NA	NA	1.93	2.2	2.18	2.75	2.22
1888	3.25	1.54	NA	NA	NA	1.72	2.26	2.16	3.01	1.91
1889	4.98	2.06	NA	NA	NA	1.85	3.15	1.88	3.19	2.34
1890	3.94	1.91	NA	NA	NA	2.03	2.77	2.01	3.56	2.27
1891	3.99	1.94	NA	NA	NA	2.52	2.51	2.12	3.41	1.7
1892	5.34	2.12	NA	1.29	NA	2.14	2.86	2.38	3.8	2.01
1893	3.16	1.54	NA	0.97	NA	1.3	1.99	1.85	2.57	1.2
1894	2.31	1.19	NA	0.87	NA	1.59	2.28	1.75	2.9	1.37
1895	4.01	1.56	NA	0.81	NA	1.62	2.09	1.88	3.11	1.43
1896	3.43	1.36	NA	0.74	NA	1.19	1.66	1.63	2.64	1.41
1897	2.66	1.35	NA	1.43	NA	1.36	2.46	2.55	3.11	1.62
1898	4.76	2.25	NA	1.33	NA	1.31	2.77	2.28	3.37	1.82
1899	3.6	2.24	NA	1.92	NA	1.48	2.45	2.72	3.13	1.87
1900	2.63	1.64	NA	1.72	NA	1.23	1.87	2.06	2.35	1.97
1901	3.96	1.68	NA	1.75	NA	1.07	2.16	1.94	2.58	2.02
1902	2.19	1.66	NA	1.13	NA	0.98	2.73	2.15	2.09	1.95
