# Holmes - Rio Kilca - ARAR - ITRDB ARGE014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3548
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3548.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge014-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge014.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge014.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-01-01
#--------------------
# File_Last_Modified_Date
#   Date: 1996-01-01
#--------------------
# Title
#   Study_Name: Holmes - Rio Kilca - ARAR - ITRDB ARGE014
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rio Kilca
#   Location: Neuquen
#   Northernmost_Latitude: -38.92
#   Southernmost_Latitude: -38.92
#   Easternmost_Longitude: -70.77
#   Westernmost_Longitude: -70.77
#   Elevation_m: 1540
#--------------------
# Data_Collection
#   Collection_Name: ARGE014
#   First_Year: 1700
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KL1912_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1912; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1931_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1931; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1932_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1932; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KL1972_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KL1972; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KL1912_raw	KL1931_raw	KL1932_raw	KL1972_raw
1700	0.21	NA	NA	NA
1701	0.24	NA	NA	NA
1702	0.42	NA	NA	NA
1703	0.38	NA	NA	NA
1704	0.27	NA	NA	NA
1705	0.41	NA	NA	NA
1706	0.26	NA	NA	NA
1707	0.24	NA	NA	NA
1708	0.57	NA	NA	NA
1709	0.49	NA	NA	NA
1710	0.39	NA	NA	NA
1711	0.43	NA	NA	NA
1712	0.42	NA	NA	NA
1713	0.38	NA	NA	NA
1714	0.48	NA	NA	NA
1715	0.7	NA	NA	NA
1716	0.48	NA	NA	NA
1717	0.45	NA	NA	NA
1718	0.56	NA	NA	NA
1719	0.31	NA	NA	NA
1720	0.72	NA	NA	NA
1721	0.39	NA	NA	NA
1722	0.39	NA	NA	NA
1723	0.42	NA	NA	NA
1724	0.37	NA	NA	NA
1725	0.47	NA	NA	NA
1726	0.52	NA	NA	NA
1727	0.38	2.8	NA	NA
1728	0.73	2.34	NA	NA
1729	0.44	1.85	NA	NA
1730	0.48	1.98	NA	NA
1731	0.35	1.08	NA	NA
1732	0.44	1.28	NA	NA
1733	0.28	1.56	NA	NA
1734	0.23	2.68	NA	NA
1735	0.32	2.62	NA	NA
1736	0.27	2.7	2.37	NA
1737	0.34	2.37	1.93	NA
1738	0.5	3.15	2.38	NA
1739	0.45	2.38	2.37	NA
1740	0.54	1.95	2.36	NA
1741	0.71	1.86	2.27	NA
1742	0.71	2.23	2.36	NA
1743	0.34	1.38	1.8	NA
1744	0.4	1.45	2.03	NA
1745	0.45	1.41	2.33	NA
1746	0.62	2.04	3.06	NA
1747	0.43	2.69	2.78	NA
1748	0.24	3.43	3.74	NA
1749	0.33	2.51	3.11	NA
1750	0.23	2.52	3.33	NA
1751	0.23	2.88	3.4	NA
1752	0.18	2.61	3.34	NA
1753	0.19	2.54	3.3	NA
1754	0.22	2.12	2.2	NA
1755	0.15	1.82	2.41	NA
1756	0.16	2.27	2.83	NA
1757	0.09	2.53	2.84	NA
1758	0.24	2.53	3.3	NA
1759	0.3	2.81	3.16	NA
1760	0.2	1.68	2.49	0.29
1761	0.26	2.03	3.11	0.41
1762	0.14	1.06	1.92	0.12
1763	0.27	0.58	1.37	0.21
1764	0.28	0.28	0.81	0.26
1765	0.41	0.65	1.1	0.25
1766	0.4	1.06	1.39	0.25
1767	0.31	0.82	1.17	0.23
1768	0.25	0.39	1.14	0.16
1769	0.54	1.16	1.75	0.28
1770	0.48	1.11	1.8	0.39
1771	0.57	1.04	1.48	0.42
1772	0.16	0.33	0.81	0.07
1773	0.39	1.06	1.24	0.34
1774	0.53	1.1	1.12	0.35
1775	0.45	0.98	0.99	0.28
1776	0.52	1.15	0.79	0.48
1777	0.46	0.84	0.83	0.4
1778	0.58	1.5	1.2	0.41
1779	0.35	1.21	1.08	0.21
1780	0.35	1.3	1.45	0.29
1781	0.53	1.25	1.47	0.47
1782	0.59	0.81	1.29	0.28
1783	0.4	0.99	1.48	0.26
1784	0.56	1.09	1.58	0.2
1785	0.43	0.56	1.01	0.33
1786	0.41	0.76	1.53	0.28
1787	0.4	0.83	1.43	0.37
1788	0.61	0.97	1.48	0.35
1789	0.39	0.5	0.79	0.26
1790	0.37	0.83	0.98	0.25
1791	0.49	1.21	1.54	0.28
1792	0.34	0.88	1.14	0.37
1793	0.3	0.88	1.21	0.21
1794	0.54	0.85	1.18	0.41
1795	0.32	0.36	0.86	0.2
1796	0.6	1	1.28	0.22
1797	0.52	0.85	1.05	0.28
1798	0.48	1	1.42	0.32
1799	0.51	0.87	1.2	0.32
1800	0.62	1.12	1.19	0.48
1801	0.39	0.75	0.94	0.26
1802	0.41	0.7	1.11	0.42
1803	0.28	0.35	0.69	0.6
1804	0.31	0.36	0.79	0.63
1805	0.37	0.52	0.88	0.54
1806	0.51	1.02	1.81	0.51
1807	0.44	1.23	1.77	0.35
1808	0.49	1.15	1.51	0.41
1809	0.69	1.4	2.02	0.67
1810	0.47	1.09	1.6	0.5
1811	0.43	1.22	1.77	0.43
1812	0.53	1.71	1.84	0.59
1813	0.17	1.08	1.07	0.23
1814	0.43	1.63	1.87	0.47
1815	0.43	1.13	1.46	0.53
