# Holmes - Copahue - ARAR - ITRDB ARGE002
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3515
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3515.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge002-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge002.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge002.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Holmes - Copahue - ARAR - ITRDB ARGE002
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.; Boninsegna, J.A.; Cobos, D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Copahue
#   Location: Neuquen
#   Northernmost_Latitude: -37.8
#   Southernmost_Latitude: -37.8
#   Easternmost_Longitude: -71.07
#   Westernmost_Longitude: -71.07
#   Elevation_m: 1720
#--------------------
# Data_Collection
#   Collection_Name: ARGE002
#   First_Year: 1640
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CP0192_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0192; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0194_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0194; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0203_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0203; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0204_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0204; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0212_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0212; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0214_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0214; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0224_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0224; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0252_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0252; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP0254_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP0254; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CP0192_raw	CP0194_raw	CP0203_raw	CP0204_raw	CP0212_raw	CP0214_raw	CP0222_raw	CP0224_raw	CP0252_raw	CP0254_raw
1640	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA
1641	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA
1642	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
1643	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA
1644	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA
1645	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
1646	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA
1647	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA
1648	NA	NA	0.56	NA	NA	NA	NA	NA	NA	NA
1649	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1650	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1651	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA
1652	NA	NA	0.92	NA	NA	NA	NA	NA	NA	1.11
1653	NA	NA	0.8	NA	NA	NA	NA	NA	NA	0.88
1654	NA	NA	0.71	NA	NA	NA	NA	NA	NA	1
1655	NA	NA	0.62	NA	NA	NA	NA	NA	NA	0.89
1656	NA	NA	0.68	NA	NA	NA	NA	NA	NA	0.49
1657	NA	NA	0.51	NA	NA	NA	NA	NA	NA	0.32
1658	NA	NA	1.21	NA	NA	NA	NA	NA	NA	0.74
1659	NA	NA	1.09	NA	NA	NA	NA	NA	NA	0.73
1660	NA	NA	0.97	NA	NA	NA	NA	NA	NA	0.79
1661	NA	NA	0.83	NA	NA	NA	NA	NA	NA	0.72
1662	NA	NA	0.79	NA	NA	NA	NA	NA	NA	0.59
1663	NA	NA	0.77	NA	NA	NA	NA	NA	NA	0.99
1664	NA	NA	0.51	NA	NA	NA	NA	2.02	NA	0.48
1665	NA	NA	0.62	NA	NA	NA	NA	2.5	NA	0.94
1666	NA	NA	0.56	NA	NA	NA	NA	2.06	NA	0.68
1667	NA	NA	0.55	NA	NA	NA	NA	1.89	NA	0.59
1668	NA	NA	0.68	NA	NA	NA	NA	1.96	NA	0.76
1669	NA	NA	0.75	NA	NA	NA	NA	1.59	NA	0.73
1670	NA	NA	0.75	NA	NA	NA	NA	2.08	NA	0.97
1671	NA	NA	0.73	NA	NA	NA	NA	2.02	NA	0.99
1672	NA	NA	0.76	NA	NA	NA	NA	2.06	NA	1.02
1673	NA	NA	0.96	NA	NA	NA	NA	2.66	NA	1.02
1674	NA	NA	0.96	NA	NA	NA	NA	2.32	NA	1.1
1675	NA	NA	0.63	NA	NA	NA	NA	1.34	NA	0.56
1676	NA	NA	0.87	NA	NA	NA	NA	2.14	NA	0.89
1677	NA	NA	0.75	NA	NA	NA	NA	2.11	NA	1.02
1678	NA	NA	0.73	NA	NA	NA	NA	2.16	NA	1.35
1679	NA	NA	0.52	NA	NA	NA	NA	1.85	NA	1.15
1680	NA	NA	0.4	NA	NA	NA	NA	1.56	NA	0.56
1681	NA	NA	0.46	NA	NA	NA	NA	1.79	NA	0.73
1682	NA	NA	0.49	NA	NA	NA	NA	1.44	NA	0.84
1683	NA	NA	0.54	NA	NA	NA	NA	1.78	NA	0.78
1684	NA	NA	0.55	NA	NA	NA	NA	1.99	NA	0.82
1685	NA	NA	0.49	NA	NA	NA	NA	1.8	NA	0.75
1686	NA	NA	0.58	NA	NA	NA	NA	1.71	NA	0.78
1687	NA	NA	0.55	NA	NA	NA	NA	1.65	NA	0.94
1688	NA	NA	0.47	NA	NA	NA	NA	1.67	NA	0.71
1689	NA	NA	0.55	NA	NA	NA	NA	1.87	NA	0.63
1690	NA	NA	0.79	NA	NA	NA	NA	2.37	NA	0.76
1691	NA	NA	0.72	NA	NA	NA	NA	2.21	NA	0.99
1692	NA	NA	0.58	0.51	NA	NA	NA	1.85	NA	0.91
1693	NA	NA	0.68	0.62	NA	NA	NA	1.66	NA	1.03
1694	NA	NA	0.83	0.65	NA	NA	NA	2.35	NA	1.32
1695	NA	NA	0.71	0.44	NA	NA	NA	2.13	NA	0.83
1696	NA	NA	0.48	0.47	NA	NA	NA	1.85	NA	0.67
1697	NA	NA	0.72	0.74	NA	NA	NA	1.85	NA	0.49
1698	NA	NA	0.6	0.57	NA	NA	NA	1.92	NA	0.64
1699	NA	NA	0.54	0.45	NA	NA	NA	1.83	NA	0.48
1700	NA	NA	0.7	0.64	NA	NA	NA	2.07	NA	0.75
1701	NA	NA	0.76	0.55	NA	NA	NA	1.79	NA	0.99
1702	NA	NA	0.64	0.28	NA	NA	NA	1.57	NA	1.09
1703	NA	NA	0.76	0.53	NA	NA	NA	2.15	NA	1.1
1704	NA	NA	0.61	0.58	NA	NA	NA	2.71	NA	1.11
1705	NA	NA	0.48	0.75	NA	NA	NA	2.27	NA	0.82
1706	NA	NA	0.37	0.48	NA	NA	NA	2.17	NA	1.28
1707	NA	NA	0.32	0.34	NA	NA	NA	2.1	NA	1.21
1708	NA	NA	0.25	0.4	NA	NA	NA	2.23	NA	1.68
1709	NA	NA	0.29	0.4	NA	NA	NA	1.82	NA	1.39
1710	NA	NA	0.24	0.29	NA	NA	NA	1.54	1.51	1.04
1711	NA	NA	0.16	0.18	NA	NA	NA	1.69	1.25	1.17
1712	NA	NA	0.1	0.11	NA	NA	NA	2.13	1.42	1.04
1713	NA	NA	0.1	0.1	NA	NA	NA	1.67	1.07	0.77
