# Lamarche - Rio Futaleufu - AUCH - ITRDB ARGE
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3847
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3847.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Lamarche - Rio Futaleufu - AUCH - ITRDB ARGE
#--------------------
# Investigators
#   Investigators: Lamarche, V.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rio Futaleufu
#   Location: Argentina
#   Northernmost_Latitude: -43.18
#   Southernmost_Latitude: -43.18
#   Easternmost_Longitude: -71.7
#   Westernmost_Longitude: -71.7
#   Elevation_m: 1804
#--------------------
# Data_Collection
#   Collection_Name: ARGE
#   First_Year: 1842
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri
#   Common_Name: Chilean cedar
#   Tree_Species_Code: AUCH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FU2091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2093_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2093; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2123_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2123; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2144_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2144; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FU2152_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FU2152; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FU2091_raw	FU2093_raw	FU2101_raw	FU2121_raw	FU2122_raw	FU2123_raw	FU2131_raw	FU2142_raw	FU2144_raw	FU2151_raw	FU2152_raw
101	NA	NA	2.74	NA	NA	NA	NA	NA	NA	NA	NA
102	NA	NA	2.97	NA	NA	NA	NA	NA	NA	NA	NA
103	NA	NA	3.09	NA	NA	NA	NA	NA	NA	NA	NA
104	NA	NA	2.78	NA	NA	NA	NA	NA	NA	NA	NA
105	NA	NA	2.55	NA	NA	NA	NA	NA	NA	NA	NA
106	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA	NA
107	NA	NA	2.59	NA	NA	NA	NA	NA	NA	NA	NA
108	NA	NA	2.67	NA	NA	NA	NA	NA	NA	NA	NA
109	NA	NA	2.67	NA	NA	NA	NA	NA	NA	NA	NA
110	NA	NA	2.79	NA	NA	NA	NA	NA	NA	NA	NA
111	NA	NA	2.61	NA	NA	NA	NA	NA	NA	NA	NA
112	NA	NA	2.79	NA	NA	NA	NA	NA	NA	NA	NA
113	NA	NA	2.16	NA	NA	NA	NA	NA	NA	NA	NA
114	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
115	NA	NA	1.26	NA	NA	NA	NA	NA	NA	NA	NA
116	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA
117	NA	NA	1.73	NA	NA	NA	NA	NA	NA	NA	NA
118	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA
119	NA	NA	0.94	NA	NA	NA	NA	NA	NA	NA	NA
120	NA	NA	1.74	NA	NA	NA	NA	NA	NA	NA	NA
121	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA
122	NA	NA	1.21	NA	NA	NA	NA	NA	NA	NA	NA
123	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA
124	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA
125	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA	NA
126	NA	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA
127	NA	NA	1.45	NA	NA	NA	NA	NA	NA	NA	NA
128	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA
129	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA
130	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA
131	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA
132	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA
133	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA	NA
134	NA	NA	1.45	NA	NA	NA	NA	NA	NA	NA	NA
135	NA	NA	1.51	NA	NA	NA	NA	NA	NA	NA	NA
136	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA	NA
137	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA
138	NA	NA	1.26	NA	NA	NA	NA	NA	NA	NA	NA
139	NA	NA	1.29	NA	NA	NA	NA	NA	NA	NA	NA
140	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA
141	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA
142	NA	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA
143	NA	NA	1.51	NA	NA	NA	NA	NA	NA	NA	NA
144	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA	NA
145	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA
146	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA
147	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA
148	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA
149	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA
150	NA	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA
151	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA
152	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA
153	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA
154	NA	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA
155	NA	NA	0.34	NA	NA	NA	NA	NA	NA	NA	NA
156	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA
157	NA	NA	0.31	NA	NA	NA	NA	NA	NA	NA	NA
158	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA	NA
159	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA
160	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA
161	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA
162	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA
163	NA	NA	0.84	NA	NA	NA	NA	NA	NA	NA	NA
164	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA	NA
165	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA
166	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA
167	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA
169	NA	NA	0.7	NA	NA	NA	NA	NA	NA	NA	NA
170	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA
171	NA	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA
172	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA
173	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
174	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
175	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
