# Holmes - Angostura Lago Alumine - ARAR - ITRDB ARGE012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3505
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3505.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge012-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Holmes - Angostura Lago Alumine - ARAR - ITRDB ARGE012
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Angostura Lago Alumine
#   Location: Neuquen
#   Northernmost_Latitude: -38.88
#   Southernmost_Latitude: -38.88
#   Easternmost_Longitude: -71.17
#   Westernmost_Longitude: -71.17
#   Elevation_m: 1160
#--------------------
# Data_Collection
#   Collection_Name: ARGE012
#   First_Year: 1717
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AA1662_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1662; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1672_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1672; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1681_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1681; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1682_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1682; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1683_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1683; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1692_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1692; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1711_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1711; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AA1712_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AA1712; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AA1662_raw	AA1672_raw	AA1681_raw	AA1682_raw	AA1683_raw	AA1692_raw	AA1701_raw	AA1711_raw	AA1712_raw
1717	NA	NA	NA	1.37	NA	NA	NA	NA	NA
1718	NA	NA	NA	1.32	NA	NA	NA	NA	NA
1719	NA	NA	NA	0.24	NA	NA	NA	NA	NA
1720	NA	NA	NA	0.41	NA	NA	NA	NA	NA
1721	NA	NA	NA	0.74	NA	NA	NA	NA	NA
1722	NA	NA	NA	0.74	NA	NA	NA	NA	NA
1723	NA	NA	NA	0.76	0.79	NA	NA	NA	NA
1724	NA	NA	NA	0.94	1.05	NA	NA	NA	NA
1725	NA	NA	NA	0.99	1.18	NA	NA	NA	NA
1726	NA	NA	0.59	1.03	1.16	NA	NA	NA	NA
1727	NA	NA	0.59	0.81	0.91	NA	NA	NA	NA
1728	NA	NA	0.5	0.83	0.82	NA	NA	NA	NA
1729	NA	NA	0.46	0.8	0.95	NA	NA	NA	NA
1730	NA	NA	0.34	0.76	0.8	NA	NA	NA	NA
1731	NA	NA	0.35	0.55	0.68	NA	NA	NA	NA
1732	NA	NA	0.35	0.53	0.59	NA	NA	NA	NA
1733	NA	NA	0.42	0.45	0.56	NA	NA	NA	NA
1734	NA	NA	0.49	0.52	0.6	NA	NA	NA	NA
1735	NA	NA	0.38	0.54	0.59	NA	NA	NA	NA
1736	NA	NA	0.54	0.73	0.8	NA	NA	NA	NA
1737	NA	NA	0.56	0.69	0.79	NA	NA	NA	NA
1738	NA	NA	0.59	0.64	0.76	NA	NA	NA	NA
1739	NA	NA	0.73	0.75	0.91	NA	NA	NA	NA
1740	NA	NA	0.8	0.91	1.03	NA	NA	NA	NA
1741	NA	NA	0.76	0.86	0.92	NA	NA	NA	NA
1742	NA	NA	0.89	1.04	0.95	NA	NA	NA	NA
1743	NA	NA	0.47	0.64	0.72	NA	NA	NA	NA
1744	NA	NA	0.6	0.67	0.74	NA	NA	NA	NA
1745	NA	NA	0.9	0.9	1.08	NA	NA	NA	NA
1746	NA	NA	0.77	1.2	1.43	NA	NA	NA	NA
1747	NA	NA	0.68	1.37	1.57	NA	NA	NA	NA
1748	NA	NA	0.84	1.52	1.82	NA	NA	NA	NA
1749	NA	NA	1	1.59	2.05	NA	NA	NA	NA
1750	NA	NA	0.84	1.5	1.89	NA	NA	NA	NA
1751	NA	NA	0.72	1.15	1.53	NA	NA	NA	NA
1752	NA	NA	0.59	0.99	1.53	NA	NA	NA	NA
1753	NA	NA	0.53	0.85	1.36	NA	NA	NA	NA
1754	NA	NA	0.6	1.08	1.45	NA	NA	NA	NA
1755	NA	NA	0.59	0.99	1.47	NA	NA	NA	NA
1756	NA	NA	0.71	0.98	1.54	NA	NA	NA	NA
1757	NA	NA	0.54	0.91	1.3	NA	NA	NA	NA
1758	NA	NA	0.63	1.14	1.52	NA	NA	NA	NA
1759	NA	NA	0.59	1.19	1.45	NA	NA	NA	NA
1760	NA	NA	0.9	1.21	1.47	NA	NA	NA	NA
1761	NA	NA	0.83	1.39	1.51	NA	NA	NA	NA
1762	NA	NA	0.74	1.26	1.51	NA	NA	NA	NA
1763	NA	NA	0.64	1.41	1.7	NA	NA	NA	NA
1764	NA	NA	0.56	1.24	1.27	NA	NA	NA	NA
1765	NA	NA	0.53	0.94	1.27	NA	NA	NA	NA
1766	NA	NA	0.74	1.12	1.43	NA	NA	NA	NA
1767	NA	NA	0.79	1.12	1.33	NA	NA	NA	NA
1768	NA	NA	0.96	1.62	1.67	NA	NA	NA	NA
1769	NA	NA	1.12	1.76	1.73	NA	NA	NA	NA
1770	NA	NA	1.23	1.63	1.42	NA	NA	NA	NA
1771	NA	NA	1.55	1.96	1.9	NA	NA	NA	NA
1772	NA	NA	1.5	1.76	1.68	NA	NA	NA	NA
1773	NA	NA	1.67	1.85	1.87	1.4	NA	NA	NA
1774	NA	NA	1.8	2.01	1.93	1.54	NA	NA	NA
1775	NA	NA	2.04	1.76	2.06	1.46	NA	NA	NA
1776	NA	NA	1.74	1.68	2.03	1.29	NA	NA	NA
1777	NA	NA	1.41	1.31	1.63	1.24	NA	NA	NA
1778	NA	NA	1.38	1.44	1.82	1.65	NA	NA	NA
1779	NA	NA	1.14	1.51	1.6	1.54	NA	NA	NA
1780	NA	NA	1.11	1.52	1.84	1.81	NA	NA	NA
1781	NA	NA	1.69	2.07	2.23	2.24	NA	NA	NA
1782	NA	NA	1.78	1.95	2.21	1.93	NA	NA	NA
1783	NA	NA	1.46	1.38	1.72	1.81	NA	NA	NA
1784	NA	NA	1.85	1.68	1.73	2.4	NA	NA	NA
1785	NA	NA	1.9	1.71	1.97	2.14	NA	NA	NA
1786	NA	NA	1.31	1.45	1.7	2.29	NA	NA	NA
1787	NA	NA	1.36	1.36	1.51	2.93	NA	NA	NA
1788	NA	NA	1.44	2.08	2.07	2.48	NA	NA	NA
1789	NA	NA	1.28	1.69	1.88	2.28	NA	NA	NA
1790	NA	NA	1.69	2.26	2.42	3.15	NA	NA	NA
1791	NA	NA	1.02	1.26	2.14	3	NA	NA	NA
1792	NA	NA	1.52	1.6	2.28	2.82	NA	NA	NA
1793	NA	NA	1.81	2.06	3.22	2.85	NA	NA	NA
