# Holmes - Puente del Agrio - ARAR - ITRDB ARGE003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3547
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3547.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES LOTRED SA2k, PAGES 2k Network
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge003-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/arge003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Holmes - Puente del Agrio - ARAR - ITRDB ARGE003
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Ambrose, J.E.; Boninsegna, J.A.; Cobos, D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-13. NOAA Template Raw Measurements file added 2019-04-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Puente del Agrio
#   Location: Neuquen
#   Northernmost_Latitude: -37.82
#   Southernmost_Latitude: -37.82
#   Easternmost_Longitude: -70.95
#   Westernmost_Longitude: -70.95
#   Elevation_m: 1515
#--------------------
# Data_Collection
#   Collection_Name: ARGE003
#   First_Year: 1486
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Araucaria araucana (Molina) K. Koch
#   Common_Name: monkey puzzle
#   Tree_Species_Code: ARAR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AG0262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0274_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0274; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0283_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0283; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0291_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0291; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0293_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0293; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0303_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0303; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0304_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0304; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AG0323_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AG0323; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AG0262_raw	AG0274_raw	AG0283_raw	AG0291_raw	AG0293_raw	AG0303_raw	AG0304_raw	AG0323_raw
1486	NA	NA	1.28	NA	NA	NA	NA	NA
1487	NA	NA	1.09	NA	NA	NA	NA	NA
1488	NA	NA	1.04	NA	NA	1.24	NA	NA
1489	NA	NA	1.16	NA	NA	1.56	NA	NA
1490	NA	NA	1.48	NA	NA	1.77	NA	NA
1491	NA	NA	1.41	NA	NA	0.77	NA	NA
1492	NA	NA	1.4	NA	NA	0.5	NA	NA
1493	NA	NA	1.35	NA	NA	0.71	NA	NA
1494	NA	NA	0.87	NA	NA	0.91	NA	NA
1495	NA	NA	1.95	NA	NA	0.52	NA	NA
1496	NA	NA	1.55	NA	NA	0.84	NA	NA
1497	NA	NA	1.31	NA	NA	0.89	NA	NA
1498	NA	NA	1.11	NA	NA	0.77	NA	NA
1499	NA	NA	0.97	NA	NA	0.42	NA	NA
1500	NA	NA	0.89	NA	NA	0.38	NA	NA
1501	NA	NA	1.11	NA	NA	0.63	NA	NA
1502	NA	NA	0.93	NA	NA	0.63	NA	NA
1503	NA	NA	0.89	NA	NA	0.53	NA	NA
1504	NA	NA	0.86	NA	NA	0.95	NA	NA
1505	NA	NA	1.3	NA	NA	1.63	NA	NA
1506	NA	NA	1.13	NA	NA	1.14	NA	NA
1507	NA	NA	1.1	NA	NA	1.21	NA	NA
1508	NA	NA	1	NA	NA	0.94	NA	NA
1509	NA	NA	0.96	NA	NA	0.9	NA	NA
1510	NA	NA	0.99	NA	NA	0.91	NA	NA
1511	NA	NA	0.84	NA	NA	0.65	NA	NA
1512	NA	NA	1.07	NA	NA	0.7	NA	NA
1513	NA	NA	0.81	NA	NA	0.72	NA	NA
1514	NA	NA	0.78	NA	NA	0.56	NA	NA
1515	NA	NA	0.71	NA	NA	0.59	NA	NA
1516	NA	NA	0.56	NA	NA	0.39	NA	NA
1517	NA	NA	0.75	NA	NA	0.48	NA	NA
1518	NA	NA	0.64	NA	NA	0.34	NA	NA
1519	NA	NA	0.66	NA	NA	0.4	NA	NA
1520	NA	NA	0.65	NA	NA	0.7	NA	NA
1521	NA	NA	0.75	NA	NA	0.47	NA	NA
1522	NA	NA	0.83	NA	NA	0.84	NA	NA
1523	NA	NA	0.86	NA	NA	0.62	NA	NA
1524	NA	NA	0.83	NA	NA	0.59	NA	NA
1525	NA	NA	0.8	NA	NA	0.73	NA	NA
1526	NA	NA	0.75	NA	NA	0.71	NA	NA
1527	NA	NA	0.45	NA	NA	0.43	NA	NA
1528	NA	NA	0.65	NA	NA	0.52	NA	NA
1529	NA	NA	0.83	NA	NA	0.66	NA	NA
1530	NA	NA	1.08	NA	NA	0.54	NA	NA
1531	NA	NA	1.03	NA	NA	0.68	NA	NA
1532	NA	NA	0.87	NA	NA	0.63	NA	NA
1533	NA	NA	0.8	NA	NA	0.66	NA	NA
1534	NA	NA	1.1	NA	NA	0.68	NA	NA
1535	NA	NA	1.25	NA	NA	0.52	NA	NA
1536	NA	NA	0.91	NA	NA	0.92	NA	NA
1537	NA	NA	0.6	NA	NA	0.41	NA	NA
1538	NA	NA	1.06	NA	NA	0.3	NA	NA
1539	NA	NA	0.95	NA	NA	0.47	NA	NA
1540	NA	NA	0.8	NA	NA	0.81	NA	NA
1541	NA	NA	0.87	NA	NA	0.87	NA	NA
1542	NA	NA	0.92	NA	NA	0.94	NA	NA
1543	NA	NA	0.84	NA	NA	0.89	NA	NA
1544	NA	NA	0.81	NA	NA	1.06	NA	NA
1545	NA	NA	0.74	NA	NA	0.82	NA	NA
1546	NA	NA	0.7	NA	NA	0.77	NA	NA
1547	NA	NA	0.87	NA	NA	0.69	NA	NA
1548	NA	NA	0.81	NA	NA	0.66	NA	NA
1549	NA	NA	0.79	NA	NA	0.71	NA	NA
1550	NA	NA	0.79	NA	NA	1.07	NA	NA
1551	NA	NA	0.64	NA	NA	1	NA	NA
1552	NA	NA	0.63	NA	NA	1.01	NA	NA
1553	NA	NA	0.58	NA	NA	1.11	NA	NA
1554	NA	NA	0.73	NA	NA	0.82	NA	NA
1555	NA	NA	0.77	NA	NA	1.07	NA	NA
1556	NA	NA	0.65	NA	NA	1.13	NA	NA
1557	NA	NA	0.63	NA	NA	1.25	NA	NA
1558	NA	NA	0.7	NA	NA	1.14	NA	NA
1559	NA	NA	0.67	NA	NA	0.99	NA	NA
1560	NA	NA	0.87	NA	NA	0.96	NA	NA
1561	NA	NA	0.68	NA	NA	1.03	NA	NA
1562	NA	NA	0.64	NA	NA	0.89	NA	NA
1563	NA	NA	0.74	NA	NA	1.08	NA	NA
1564	NA	NA	0.7	NA	NA	0.94	NA	NA
1565	NA	NA	0.6	NA	NA	0.67	NA	NA
1566	NA	NA	0.82	NA	NA	0.79	NA	NA
1567	NA	NA	0.69	NA	NA	1.03	NA	NA
1568	NA	NA	0.53	NA	NA	1	NA	NA
1569	NA	NA	0.62	NA	NA	0.85	NA	NA
1570	NA	NA	0.54	NA	NA	0.76	NA	NA
