# Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16795
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16795.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ240-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ240.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-04-23
#--------------------
# File_Last_Modified_Date
#   Date: 2014-04-23
#--------------------
# Title
#   Study_Name: Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#--------------------
# Investigators
#   Investigators: Buyantuyev, V.; Oskolkov, V.A.; Moritz, R.S.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Shuthulay River
#   Location: Russia
#   Northernmost_Latitude: 52.482311
#   Southernmost_Latitude: 52.482311
#   Easternmost_Longitude: 98.968749
#   Westernmost_Longitude: 98.968749
#   Elevation_m: 2170
#--------------------
# Data_Collection
#   Collection_Name: RUSS240
#   First_Year: 1603
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## shut1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut29_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut29; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	shut1_raw	shut24_raw	shut25_raw	shut26-2_raw	shut26_raw	shut27_raw	shut28_raw	shut29_raw
1603	NA	NA	NA	NA	NA	NA	NA	1.13
1604	NA	NA	NA	NA	NA	NA	NA	1.18
1605	NA	NA	NA	NA	NA	NA	NA	0.99
1606	NA	NA	NA	NA	NA	NA	NA	0.96
1607	NA	NA	NA	NA	NA	NA	NA	1.39
1608	NA	NA	NA	NA	NA	NA	NA	1.64
1609	NA	NA	NA	NA	NA	NA	NA	1.11
1610	NA	NA	NA	NA	NA	NA	NA	0.86
1611	NA	NA	NA	NA	NA	NA	NA	1.08
1612	NA	NA	NA	NA	NA	NA	NA	0.82
1613	NA	NA	NA	NA	NA	NA	NA	1.2
1614	NA	NA	NA	NA	NA	NA	NA	0.84
1615	NA	NA	NA	NA	NA	NA	NA	0.91
1616	NA	NA	NA	NA	NA	NA	NA	0.73
1617	NA	NA	NA	NA	NA	NA	NA	0.99
1618	NA	NA	NA	NA	NA	NA	NA	1.13
1619	NA	NA	NA	NA	NA	NA	NA	0.97
1620	NA	NA	NA	NA	NA	NA	NA	0.88
1621	NA	NA	NA	NA	NA	NA	NA	1.03
1622	NA	NA	NA	NA	NA	NA	NA	0.55
1623	NA	NA	NA	NA	NA	NA	NA	0.39
1624	NA	NA	NA	NA	NA	NA	NA	0.28
1625	NA	NA	NA	NA	NA	NA	NA	0.41
1626	NA	NA	NA	NA	NA	NA	NA	0.73
1627	NA	NA	NA	NA	NA	NA	NA	0.45
1628	NA	NA	NA	NA	NA	NA	NA	0.35
1629	NA	NA	NA	NA	NA	NA	NA	0.24
1630	NA	NA	NA	NA	NA	NA	NA	0.52
1631	NA	NA	NA	NA	NA	NA	NA	0.57
1632	NA	NA	NA	NA	NA	NA	NA	0.58
1633	NA	NA	NA	NA	NA	NA	NA	0.48
1634	NA	NA	NA	NA	NA	NA	NA	0.25
1635	NA	NA	NA	NA	NA	NA	NA	0.97
1636	NA	NA	NA	NA	NA	NA	NA	0.96
1637	NA	NA	NA	NA	NA	NA	NA	1.04
1638	NA	NA	NA	NA	NA	NA	NA	0.65
1639	NA	NA	NA	NA	NA	NA	NA	0.8
1640	NA	NA	NA	NA	NA	NA	NA	0.61
1641	NA	NA	NA	NA	NA	NA	NA	0.92
1642	NA	NA	NA	NA	NA	NA	NA	0.75
1643	NA	NA	NA	NA	NA	NA	NA	0.64
1644	NA	NA	NA	NA	NA	NA	NA	0.3
1645	NA	NA	NA	NA	NA	NA	NA	0.87
1646	NA	NA	NA	NA	NA	NA	NA	0.64
1647	NA	NA	NA	NA	NA	NA	NA	0.34
1648	NA	NA	NA	NA	NA	NA	NA	0.38
1649	NA	NA	NA	NA	NA	NA	NA	0.64
1650	NA	NA	NA	NA	NA	NA	NA	0.53
1651	NA	NA	NA	NA	NA	NA	NA	0.41
1652	NA	NA	NA	NA	NA	NA	NA	0.45
1653	NA	NA	NA	NA	NA	NA	NA	0.36
1654	NA	NA	NA	NA	NA	NA	NA	0.69
1655	NA	NA	NA	NA	0.82	NA	NA	0.36
1656	NA	NA	NA	NA	0.7	NA	NA	0.4
1657	NA	NA	NA	NA	1.01	NA	NA	0.58
1658	NA	NA	NA	NA	1.19	NA	NA	0.58
1659	NA	NA	NA	NA	1.16	NA	NA	0.61
1660	NA	NA	NA	NA	1.15	NA	NA	0.54
1661	NA	NA	1.57	NA	1.2	NA	NA	0.5
1662	NA	NA	1.36	NA	1.26	NA	NA	0.81
1663	NA	NA	1.53	NA	1.1	NA	NA	0.42
1664	NA	NA	1.24	NA	1.05	NA	NA	0.54
1665	NA	NA	0.77	NA	0.82	NA	NA	0.47
1666	NA	NA	1.12	NA	0.93	NA	NA	0.65
1667	NA	NA	1.29	NA	1.13	NA	NA	0.79
1668	NA	NA	0.84	NA	0.96	NA	NA	0.49
1669	NA	NA	0.8	NA	0.87	NA	NA	0.42
1670	NA	NA	0.84	NA	1	NA	NA	0.41
1671	NA	NA	0.57	NA	0.99	NA	NA	0.38
1672	NA	NA	0.67	NA	1.08	NA	NA	0.48
1673	NA	NA	0.8	NA	1.36	NA	NA	0.55
1674	NA	NA	0.33	NA	0.65	NA	NA	0.2
1675	NA	NA	0.52	NA	0.89	NA	NA	0.3
1676	NA	NA	0.4	NA	0.76	NA	NA	0.31
1677	NA	NA	0.49	NA	0.75	NA	NA	0.37
1678	NA	NA	0.62	NA	0.85	NA	NA	0.56
1679	NA	NA	0.67	NA	0.81	NA	NA	0.46
1680	NA	NA	0.52	NA	0.72	NA	NA	0.47
1681	NA	NA	0.74	NA	0.9	NA	NA	0.61
1682	NA	NA	0.93	NA	1.15	NA	NA	0.79
1683	NA	NA	0.74	NA	0.79	NA	NA	0.5
1684	NA	NA	0.96	NA	0.63	NA	NA	0.54
1685	NA	NA	0.7	NA	0.7	NA	NA	0.45
1686	0.88	NA	0.54	NA	0.63	NA	NA	0.3
1687	1.04	NA	0.74	NA	0.68	NA	NA	0.34
1688	1.04	NA	1	NA	0.9	NA	NA	0.56
