# Deck - North Road - BEER - ITRDB RUSS261
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/22662
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-22662.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ261-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ261-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ261.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ261.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2017-09-08
#--------------------
# File_Last_Modified_Date
#   Date: 2017-09-08
#--------------------
# Title
#   Study_Name: Deck - North Road - BEER - ITRDB RUSS261
#--------------------
# Investigators
#   Investigators: Deck, C.; Wiles, G.(https://orcid.org/0000-0001-7977-5383); Frederick, S.E.; Matsovsky, V.; Kuderina, T.; D'Arrigo, R.D.(https://orcid.org/0000-0002-9797-0796); Solomina, O.; Wiesenberg, N.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: Clara Deck, Gregory Wiles, Sarah Frederick, Vladimir Matsovsky, Tatiana Kuderina, Rosanna D’Arrigo, Olga Solomina, Nicholas Wiesenberg
#   Journal_Name: Forests
#   Published_Title: Climate Response of Larch and Birch Forests across an Elevational Transect and Hemisphere-Wide Comparisons, Kamchatka Peninsula, Russian Far East
#   Published_Date_or_Year: 2017
#   Volume: 8
#   Pages: 
#   Issue: 9
#   Report_Number: 
#   DOI: 10.3390/f8090315
#   Full_Citation: None
#   Abstract: Kamchatka's forests span across the peninsula's diverse topography and provide a wide range of physiographic and elevational settings that can be used to investigate how forests are responding to climate change and to anticipate future response. Birch (Betula ermanii Cham.) and larch (Larix gmelinii (Rupr.) Kuzen) were sampled at eight new sites and together with previous collections were compared with monthly temperature and precipitation records to identify their climate response. Comparisons show that tree-ring widths in both species are primarily influenced by May through August temperatures of the current growth year, and that there is a general increase in temperature sensitivity with altitude. The ring-width data for each species were also combined into regional chronologies. The resulting composite larch chronology shows a strong resemblance to a Northern Hemisphere (NH) tree-ring based temperature reconstruction with the larch series tracking NH temperatures closely through the past 300 years. The composite birch ring-width series more closely reflects the Pacific regional coastal late summer temperatures. These new data improve our understanding of the response of forests to climate and show the low frequency warming noted in other, more continental records from high latitudes of the Northern Hemisphere. Also evident in the ring-width record is that the larch and birch forests continue to track the strong warming of interior Kamchatka.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: North Road
#   Location: Russia
#   Northernmost_Latitude: 56.70416
#   Southernmost_Latitude: 56.70416
#   Easternmost_Longitude: 160.95035
#   Westernmost_Longitude: 160.95035
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: RUSS261
#   First_Year: 1823
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Betula ermanii Cham.
#   Common_Name: None
#   Tree_Species_Code: BEER
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NRBO7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRBO7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRB12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRB12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRBO5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRBO5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRBO5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRBO5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRBO4B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRBO4B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRDO5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRDO5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRAO9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRAO9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRC10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRC10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NRD12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NRD12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NRBO7_raw	NRB12_raw	NRBO5B_raw	NRBO5_raw	NRBO4B_raw	NRD16A_raw	NRD16B_raw	NRD01_raw	NRD05A_raw	NRDO5B_raw	NRD14_raw	NRD10_raw	NRAO9_raw	NRD11_raw	NRC06A_raw	NRC06B_raw	NRC09A_raw	NRC09B_raw	NRC17_raw	NRC10A_raw	NRD12A_raw
1823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.333	NA	NA	NA	NA
1824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.276	NA	NA	NA	NA
1825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.541	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.521	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.254	NA	NA	NA	NA
1828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.113	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.453	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.261	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.202	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.275	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.682	0.305	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735	0.453	1.006	NA	NA	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.014	0.711	0.879	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.451	0.762	0.597	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.403	0.674	0.125	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.495	0.489	0.171	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.442	0.071	0.465	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.455	0.219	0.254	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.491	0.603	0.199	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.548	0.333	0.081	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.451	0.436	0.144	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.788	0.434	0.286	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	0.445	0.426	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.332	0.527	0.673	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.159	0.709	0.355	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424	1.041	0.535	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.416	NA	0.36	0.498	0.295	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.508	0.223	0.228	0.615	0.215	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.602	0.329	0.319	0.284	0.354	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.984	0.211	0.291	0.05	0.629	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.821	0.302	0.331	0.425	0.427	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.103	0.038	0.089	0.426	0.764	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.357	0.16	0.15	0.695	0.027	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.161	0.399	0.438	0.401	0.042	NA	NA	NA
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.906	NA	NA	1.348	0.291	0.512	0.786	0.463	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.403	0.256	0.403	0.582	0.176	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.469	NA	NA	0.14	0.132	0.343	0.432	0.029	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989	NA	NA	0.674	0.18	0.437	0.229	0.052	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.427	NA	NA	0.69	0.247	0.554	0.314	0.385	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.264	NA	NA	1.14	0.344	0.731	0.795	0.649	NA	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.945	NA	NA	2.302	0.454	0.975	0.805	0.891	NA	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.122	NA	NA	1.757	1.003	1.658	0.877	0.912	NA	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	1.562	0.528	0.743	0.504	0.371	NA	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.797	NA	NA	1.898	0.841	0.729	0.735	0.69	NA	NA	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.611	NA	NA	1.17	0.347	0.398	0.315	0.122	NA	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.312	NA	NA	1.056	0.297	0.429	0.479	0.466	NA	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.984	NA	NA	1.821	0.324	0.432	0.675	0.48	NA	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.913	NA	NA	2.695	0.256	0.302	0.908	0.746	NA	NA	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.797	NA	NA	1.702	0.411	0.314	1.107	1.106	NA	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.166	NA	NA	1.814	0.565	0.562	1.597	1.232	NA	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.072	NA	NA	1.463	0.37	0.428	0.763	0.727	NA	NA	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.308	NA	NA	0.583	0.123	0.506	0.038	0.073	0.357	0.87	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.349	NA	NA	1.775	0.387	0.513	0.742	0.781	0.205	0.676	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.301	NA	NA	2.941	0.714	0.531	0.834	1.102	0.549	0.371	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.683	NA	NA	2.664	0.797	0.561	0.635	0.927	0.176	0.451	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.356	NA	NA	2.949	0.679	0.564	0.487	0.942	0.49	0.636	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.395	NA	NA	0.847	0.196	0.129	0.243	0.24	0.806	0.602	NA
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.834	NA	NA	1.212	0.297	0.098	0	0.159	0.717	1.007	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.717	NA	NA	2.159	0.276	0.105	0.131	1.211	0.172	0.339	NA
