# Voronin - Angarsk - PISY - ITRDB RUSS294
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32559
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32559.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ294-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ294-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ294.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ294.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-01-28
#--------------------
# File_Last_Modified_Date
#   Date: 2021-01-28
#--------------------
# Title
#   Study_Name: Voronin - Angarsk - PISY - ITRDB RUSS294
#--------------------
# Investigators
#   Investigators: Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Angarsk
#   Location: Russia
#   Northernmost_Latitude: 52.6333
#   Southernmost_Latitude: 52.6333
#   Easternmost_Longitude: 103.8167
#   Westernmost_Longitude: 103.8167
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: RUSS294
#   First_Year: 1856
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Ang1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Ang10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Ang10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Ang1_raw	Ang2_raw	Ang3_raw	Ang4_raw	Ang5_raw	Ang6_raw	Ang7_raw	Ang8_raw	Ang9_raw	Ang10_raw
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.03
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.37
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.77
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.46
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.37
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.82
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.98
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.43
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.01
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.13
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.41
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.49
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.02
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.62
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.64
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.61
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.78
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.94
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.03
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.41
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.21
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.88
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.61
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.37
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.48
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.55
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.79
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.87
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.19
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13
1898	2.86	NA	NA	NA	NA	NA	NA	NA	NA	1.43
1899	3.62	NA	NA	NA	NA	NA	NA	NA	NA	1.32
1900	2.74	NA	NA	NA	NA	NA	NA	NA	NA	1.31
1901	0.36	1.73	NA	NA	NA	NA	NA	NA	NA	1.44
1902	1.2	2.76	NA	NA	NA	NA	NA	NA	NA	2.24
1903	1.77	2.62	NA	NA	NA	NA	NA	NA	NA	2.26
1904	2.22	2.27	NA	NA	NA	NA	NA	NA	NA	1.81
1905	2.71	2.86	NA	NA	NA	NA	NA	NA	NA	2.77
1906	2.96	3.09	NA	NA	NA	NA	NA	NA	NA	2.46
1907	2.47	3.19	NA	NA	NA	NA	NA	NA	NA	2.17
1908	2.99	3.06	4.33	NA	NA	NA	NA	NA	NA	2.92
1909	2.81	2.67	4.31	NA	NA	NA	NA	NA	NA	2.76
1910	3.22	3.1	3.35	NA	NA	NA	NA	NA	NA	2.61
1911	2.38	3.6	4.16	NA	NA	NA	NA	NA	NA	2.18
1912	2.62	3.08	4.3	NA	NA	NA	NA	NA	NA	2.24
1913	2.29	2.83	4.48	NA	NA	NA	NA	NA	NA	1.77
1914	2.84	2.9	6.78	NA	NA	5.8	NA	NA	NA	2.23
1915	3.2	2.33	4.72	NA	NA	5.08	NA	NA	NA	2.37
1916	2.86	2.4	3.65	NA	NA	2.97	NA	NA	NA	1.76
1917	2.34	2.5	3.45	NA	NA	2.99	NA	NA	NA	1.71
1918	4.03	2.9	3.89	NA	NA	3.31	NA	NA	NA	1.94
1919	1.63	1.74	2.69	NA	NA	2.23	NA	NA	NA	1.02
1920	1.73	1.93	1.45	NA	NA	1.55	NA	NA	NA	1.24
1921	1.53	1.31	2.48	NA	NA	1.66	NA	NA	NA	1.4
1922	0.66	0.69	3.68	NA	2.25	2.78	NA	NA	NA	1.3
1923	1.08	1.07	4.22	NA	2.13	2.5	NA	NA	NA	1.45
1924	1.47	1.39	3.19	NA	1.7	2.3	NA	3.02	NA	1.7
1925	2.32	1.83	4.36	NA	1.81	3.06	NA	2.2	NA	1.76
1926	2.98	2.61	4.06	NA	2.88	3.13	NA	2.58	NA	1.65
1927	1.48	2.08	3.75	NA	2.8	2.15	NA	2.5	NA	1.73
1928	1.11	1.66	3.06	NA	2.98	1.9	NA	2.68	NA	1.61
1929	1.03	1.27	2.38	NA	1.63	1.56	NA	2.03	NA	1.58
1930	1.44	1.39	2.56	NA	2.2	1.52	NA	3.54	NA	1.59
1931	1.37	1.04	1.91	NA	1.68	1.33	NA	2.93	3.7	1.48
1932	1.39	1.4	1.77	NA	1.92	1.56	NA	1.77	3.02	NA
1933	2.62	1.99	2.36	NA	2.2	1.99	NA	2.66	3.29	NA
1934	2.32	1.66	2.27	NA	1.8	1.93	NA	2.3	3.05	NA
1935	1.48	1.81	1.42	NA	1.79	1.66	NA	2.17	2.98	NA
1936	1.51	1.35	2.22	NA	0.82	1.15	NA	1.18	2.78	NA
1937	1.59	1.4	1.79	NA	2.36	1.46	NA	1.33	3.1	NA
1938	2.05	2.1	2.56	NA	2.71	1.64	NA	1.57	3.64	NA
1939	2.07	1.81	2.72	NA	2.25	1.82	NA	2.2	3.16	NA
1940	2.73	2.32	2.44	NA	3.4	1.36	NA	2.01	3.26	NA
1941	1.99	1.66	2.37	NA	2.09	1.08	NA	2.38	3.16	NA
1942	2.11	3.07	2.8	NA	2.4	1.53	3.43	2.39	3.93	NA
1943	2.74	2.78	2.5	NA	2.61	1.77	2.94	2.4	3.42	NA
1944	1.75	2	2.19	NA	1.75	2.08	2.92	2.05	2.93	NA
1945	0.78	1.16	1.31	NA	2.29	1.87	2.33	1.75	2.77	NA
1946	0.94	1.24	1.73	5.65	2.28	1.45	2.68	1.84	2.84	NA
1947	0.94	1.07	1.62	4.93	2.07	1.14	3.47	2.01	4	NA
1948	0.94	1.01	1.68	3.8	1.34	1.2	3.53	2.12	2.87	NA
1949	1.7	0.83	1.72	5.31	2	1.12	3.07	1.91	3.44	NA
1950	1.2	0.64	1.19	3.85	1.69	1.26	3.37	1.99	2.96	NA
1951	1.24	0.94	0.83	4	1.64	0.93	3.53	2	3.69	NA
1952	1.42	1.64	1.19	4.98	2.99	1.2	3.8	2.16	4.75	NA
1953	1.34	1.6	1.2	4.39	1.47	1.13	4.29	2.15	5.97	NA
1954	1.23	1.42	1.37	2.8	1.58	1.4	3.54	2.02	5.44	NA
1955	1.2	2.03	1.33	3.17	1.69	1.68	4.13	2.25	5.81	NA
1956	0.83	2.14	1.11	3.55	1.57	1.53	4.72	1.83	5.75	NA
1957	0.8	1.91	1.06	3.53	0.86	1.98	4.95	1.87	3.95	NA
1958	0.46	1.16	0.82	3.62	0.8	1.51	4.26	1.7	3.24	NA
1959	0.43	0.74	0.53	3.41	3.04	0.93	3.56	1.55	2.82	NA
1960	0.58	0.51	0.49	3.71	2.32	0.73	2.36	1.28	2.47	NA
1961	0.74	0.55	0.48	4.04	2.08	0.68	2.39	1.18	1.94	NA
1962	1.48	0.5	0.74	3	1.92	0.82	2.65	1.11	2.03	NA
1963	1.32	0.61	0.78	3.53	2.34	0.58	1.99	1.13	1.19	NA
1964	0.34	0.19	0.17	2.94	1.07	0.22	0.7	0.54	0.34	NA
1965	1.04	0.47	0.33	2.44	1.07	0.16	0.77	1.14	0.32	NA
1966	0.82	1	0.54	2.64	0.92	0.3	0.95	1.33	0.61	NA
1967	0.84	1.54	0.57	2.69	0.84	0.36	1.12	1.78	0.97	NA
1968	1.31	2.52	0.42	3.1	1.38	0.85	3.22	2.45	2.38	NA
1969	0.52	1.42	0.33	3.05	1.17	0.51	2.25	1.69	2.18	NA
1970	0.99	1.1	0.33	2.56	1.6	0.62	1.93	1.6	1.77	NA
1971	0.63	0.88	0.28	2.09	1.47	0.43	1.89	1.28	1.59	NA
1972	0.92	1.23	0.17	2.53	2.01	0.56	1.9	1.42	1.83	NA
1973	0.98	0.76	0.15	2.8	1.9	0.29	0.91	0.86	0.86	NA
1974	1.72	1.56	0.18	2.83	2.23	0.7	2.39	2.2	1.82	NA
1975	1.18	1.71	0.23	2.4	2.81	0.64	2.92	2.16	1.63	NA
1976	0.93	1.68	0.27	1.71	2.55	0.95	2.53	2.38	1.54	NA
1977	1.03	1.51	0.33	1.84	1.63	1.09	1.98	1.81	1.26	NA
1978	1.15	1.57	0.66	1.86	1.77	1.05	2.08	2.25	1.66	NA
1979	0.51	1.17	0.29	1.93	1.62	0.54	1.04	1.58	0.89	NA
1980	0.82	0.94	0.13	1.43	2.3	0.41	1.04	1.38	1.16	NA
1981	1.09	0.82	0.18	1.74	1.92	0.27	0.82	1.34	1.3	NA
1982	1.06	1.1	0.25	2.52	1.64	0.33	0.69	1.05	2.78	NA
1983	1.71	1.6	0.36	2.23	1.01	0.47	0.91	1.78	2.58	NA
1984	0.85	0.94	0.1	2.14	NA	0.36	1	1.63	1.94	NA
1985	0.91	1.12	0.32	2.7	NA	0.5	0.66	1.42	2.11	NA
1986	1.18	1.44	0.37	2.62	NA	0.79	0.8	1.4	1.59	NA
1987	1.63	1.66	0.74	2.82	NA	0.9	1.36	2.44	2.95	NA
1988	1.66	0.95	0.61	2.82	NA	0.82	1.79	2.21	2.31	NA
1989	2.06	1.23	1.07	2.67	NA	1.1	3.25	3.18	2.47	NA
1990	1.64	1.47	NA	2.16	NA	NA	3.47	2.45	2.25	NA
1991	1.73	1.66	NA	2.47	NA	NA	2.49	3.57	1.96	NA
1992	1.18	1.53	NA	2.29	NA	NA	1.03	2.54	1.29	NA
1993	0.74	1.45	NA	2.03	NA	NA	0.57	2.42	1.23	NA
1994	1.29	1.39	NA	2.71	NA	NA	0.95	2.71	1.98	NA
1995	2.09	2.41	NA	2.36	NA	NA	1.84	3.35	2.71	NA
1996	1.05	NA	NA	2.04	NA	NA	2.52	2.08	0.95	NA
1997	0.76	NA	NA	NA	NA	NA	0.62	1.68	0.74	NA
1998	0.81	NA	NA	NA	NA	NA	0.22	0.15	0.39	NA
1999	1.11	NA	NA	NA	NA	NA	0.35	0.64	0.78	NA
2000	1.17	NA	NA	NA	NA	NA	0.29	0.39	1.17	NA
2001	1.42	NA	NA	NA	NA	NA	0.62	0.76	1.56	NA
2002	1.32	NA	NA	NA	NA	NA	0.77	1.13	2.72	NA
2003	0.57	NA	NA	NA	NA	NA	0.29	0.89	1.19	NA
2004	2.3	NA	NA	NA	NA	NA	0.79	1.46	2.05	NA
