# Touchan - Bani Kenana - QUMC - ITRDB JORD003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5508
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5508.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/jord003-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; jord003-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/jord003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/jord003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-05-30
#--------------------
# File_Last_Modified_Date
#   Date: 2007-05-30
#--------------------
# Title
#   Study_Name: Touchan - Bani Kenana - QUMC - ITRDB JORD003
#--------------------
# Investigators
#   Investigators: Touchan, R.; Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bani Kenana
#   Location: Jordan
#   Northernmost_Latitude: 32.65
#   Southernmost_Latitude: 32.65
#   Easternmost_Longitude: 35.7
#   Westernmost_Longitude: 35.7
#   Elevation_m: 350
#--------------------
# Data_Collection
#   Collection_Name: JORD003
#   First_Year: 1906
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrolepis Kotschy
#   Common_Name: Valonia oak
#   Tree_Species_Code: QUMC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ALN01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALN01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALN02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALN02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALN06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALN06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALN4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALN4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WDM08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WDM08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ALN01_raw	ALN02_raw	ALN06_raw	ALN4_raw	WDM01_raw	WDM02_raw	WDM03_raw	WDM04_raw	WDM05_raw	WDM06_raw	WDM07_raw	WDM08_raw
1906	NA	NA	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	NA	0.7	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	NA	NA	0.47	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	1.89	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	2.04	NA	NA	NA	NA	NA	3.78	NA
1921	NA	NA	NA	NA	0.93	NA	NA	2.87	NA	1.25	1.33	NA
1922	NA	NA	NA	NA	1.2	NA	NA	0.62	1.31	0.28	1.26	NA
1923	NA	3.91	NA	NA	1.08	NA	NA	2.28	1.51	0.9	1.58	NA
1924	NA	2.78	NA	NA	1.27	NA	NA	1.94	0.57	1.13	1.09	NA
1925	3.57	1.96	NA	NA	0.72	NA	1.81	0.93	0.28	1.36	0.93	NA
1926	5.07	1.99	NA	NA	0.96	NA	1.51	3.21	1.88	1.57	1.02	NA
1927	4.4	2.6	NA	NA	1.81	NA	2.01	1	1.08	1.62	2.05	NA
1928	2.21	1.65	NA	NA	1.18	6.97	1.76	0.69	0.99	1.5	1.71	NA
1929	3.94	2.5	NA	1.45	1.06	7.82	1.41	1.08	1.54	1.69	1.8	NA
1930	2.73	3.35	NA	3.31	1.48	6.56	2.27	1.87	2.69	2.07	2.78	NA
1931	2.9	4.16	NA	2.57	1.45	6.2	1.23	3.85	2.41	4.04	2.13	NA
1932	2.6	5.59	NA	1.29	1.6	4.2	1	3.95	4.1	5.13	3.39	NA
1933	1.25	3.62	NA	0.33	0.58	1.54	0.99	3.7	2.21	3.8	2.84	NA
1934	2.29	4.68	NA	0.99	1.38	4.2	1.14	3.4	1.82	4.44	3.35	NA
1935	2.82	4.37	NA	1.35	2.83	4.15	1.39	3.88	1.75	2.26	4.32	5.29
1936	1.06	2.48	1.29	1.4	2.08	1.62	1.75	1.6	0.55	2.17	3.19	1.21
1937	1.93	3.9	1.12	6.61	2.17	7.29	1.57	1.01	2.07	2.26	2.44	3.82
1938	1.96	2.66	2.71	4.23	2.71	4.95	1.6	1.23	1.66	2.19	2.57	3.01
1939	2.37	2.55	0.53	4.69	2.78	6.27	2.02	1.34	3.66	2.73	2.6	2.64
1940	8.59	4.1	3.97	2.69	2.69	5.72	2.56	3.36	2.11	3.51	2.47	2.36
1941	7.92	2.46	4.28	2.95	2.26	3.87	2.54	2.65	2.92	3.76	1.95	1.31
1942	5.42	2.3	3.2	3.5	1.7	4.56	2.43	2.12	3.58	3.64	1.75	1.99
1943	4.92	3.67	3.47	3.39	2.52	5.74	2.15	3.98	2.5	3.9	2.27	2.02
1944	4.41	3.3	3.6	1.94	2.5	4.85	2.53	4.49	1.9	4.12	2.39	2.05
1945	2.58	3.7	4.18	1.12	2.32	4.85	2.21	2.74	1.36	2.51	2.41	1.81
1946	3.89	3.28	2.93	0.99	1.94	3.99	2.5	2.95	1.92	3.58	1.47	2.02
1947	2.78	0.94	2.2	0.79	2.16	2.58	1.5	1.44	1.63	3.02	1.41	1.42
1948	2.26	2.9	2.5	1.23	2.6	3.41	1.8	2.7	1.27	2.61	1.42	1.61
1949	2.39	2.29	3.97	1.31	2.72	3.13	1.8	3.36	0.89	3.21	1.66	1.85
1950	4.55	1.71	3.49	1.56	3.25	3.09	2.05	3.99	0.95	4.91	2.44	2.26
1951	2.46	0.56	3.65	1	2.18	1.71	1.22	1.52	0.99	2.46	1.37	0.97
1952	2.54	1.37	5.1	2.44	1.91	2.7	1.46	1.85	2.9	3.94	1.84	1.73
1953	0.54	0.79	4.29	2.42	2.26	2.59	1.01	2.51	1.03	1.96	1.43	1.78
1954	0.71	1.17	5.02	2.69	2.05	2.83	1.17	2.31	2	2.15	1.86	2.35
1955	1.53	0.87	1.97	1.68	1.67	0.64	1.1	0.53	0.98	1.42	1.38	1.48
1956	2.1	1.23	0.45	0.54	3.57	0.78	1.81	1.84	1.18	2.9	3.36	2.1
1957	4.54	1.65	1.23	0.65	2.78	1.04	1.5	1.74	0.94	2.69	2.68	1.97
1958	3.05	1.28	1.16	0.54	1.27	2.33	1.41	3.05	0.68	2.13	2.64	1.74
1959	3.86	1.22	0.77	0.7	1.47	2.22	1.56	1.29	1.06	1.38	1.44	1.03
1960	2.27	1.13	1.11	0.44	0.77	1.09	0.85	0.86	1.11	1.38	0.61	0.64
1961	2.27	1.21	0.93	0.38	1.15	1.77	1.41	1.39	1.01	1.54	0.86	0.79
1962	3.06	2.41	1.95	0.58	1.98	2.04	1.34	2.28	2.81	2.05	2.37	1.48
1963	2.84	1.14	3.6	0.5	2.05	1.41	1.17	1.52	2.32	1.92	1.81	1.8
1964	4.65	2.27	4.52	1.09	3.13	2.48	1.47	3.42	2.53	1.86	2.55	2.93
