# Bunn - Tree Line - LAGM - ITRDB RUSS199
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/9930
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-9930.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ199-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ199-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ199.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ199.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-08-31
#--------------------
# File_Last_Modified_Date
#   Date: 2010-08-31
#--------------------
# Title
#   Study_Name: Bunn - Tree Line - LAGM - ITRDB RUSS199
#--------------------
# Investigators
#   Investigators: Bunn, A.G.(https://orcid.org/0000-0001-9027-2162); Lloyd, A.H.; Berner, L.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: Samples were collected at approximately tree line 
# # near the mouth of the Kolyma River.
# # Locally, this species is referred to as 
# # Larix cajanderi Mayr.  The ITRDB uses the synonym 
# # Larix gmelinii (Rupr.) Kuzen.  NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Tree Line
#   Location: Russia
#   Northernmost_Latitude: 69.2
#   Southernmost_Latitude: 69.2
#   Easternmost_Longitude: 161.4333
#   Westernmost_Longitude: 161.4333
#   Elevation_m: 10
#--------------------
# Data_Collection
#   Collection_Name: RUSS199
#   First_Year: 1821
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TRL001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL001B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL002B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL003B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL004A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL004B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL004B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL005A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL005A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL005B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL005B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL006A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL006A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL006B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL006B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TRL007B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TRL007B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TRL001A_raw	TRL001B_raw	TRL002B_raw	TRL003A_raw	TRL003B_raw	TRL004A_raw	TRL004B_raw	TRL005A_raw	TRL005B_raw	TRL006A_raw	TRL006B_raw	TRL007B_raw
1821	NA	NA	0.206	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	NA	0.057	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	NA	0.269	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	0.555	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	0.325	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	0.126	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	0.244	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	0.114	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	0.175	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	NA	NA	0.185	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	NA	NA	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	NA	NA	0.239	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	NA	NA	0.275	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	NA	NA	0.372	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	0.251	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	0.346	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	0.312	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	0.429	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	0.477	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	0.261	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	0.362	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	0.457	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	0.103	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	0.391	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	NA	0.481	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	NA	0.203	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	NA	0.284	NA	NA	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	0.228	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	0.604	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	0.621	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	0.463	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	0.371	NA	NA	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	0.884	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	0.733	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	NA	NA	0.585	NA	NA	NA	NA	NA	NA	0.392	NA	NA
1860	NA	NA	0.984	NA	NA	NA	NA	NA	NA	0.326	NA	NA
1861	NA	NA	0.508	NA	NA	NA	NA	NA	NA	0.342	NA	NA
1862	NA	NA	0.322	NA	NA	NA	NA	NA	NA	0.267	NA	NA
1863	NA	NA	0.499	NA	NA	NA	NA	NA	NA	0.218	NA	NA
1864	NA	NA	0.291	NA	NA	NA	NA	NA	NA	0.206	NA	NA
1865	NA	NA	0.136	NA	NA	NA	NA	NA	NA	0.166	NA	NA
1866	NA	NA	0.39	NA	NA	NA	NA	NA	NA	0.227	NA	NA
1867	NA	NA	0.555	NA	NA	NA	NA	NA	NA	0.413	NA	NA
1868	NA	NA	0.555	NA	NA	NA	NA	NA	NA	0.472	NA	NA
1869	NA	NA	0.341	NA	NA	NA	NA	NA	NA	0.515	NA	NA
1870	NA	NA	0.646	NA	NA	NA	NA	NA	NA	1.122	NA	NA
1871	NA	NA	0.652	NA	NA	NA	NA	NA	NA	0.741	NA	NA
1872	NA	NA	0.656	NA	NA	NA	NA	NA	NA	0.967	NA	NA
1873	NA	NA	0.64	NA	NA	NA	NA	NA	NA	0.791	NA	NA
1874	NA	NA	0.448	NA	NA	NA	NA	NA	NA	0.609	0.743	NA
1875	NA	NA	0.353	NA	NA	NA	NA	NA	NA	0.562	0.63	NA
1876	NA	NA	0.608	NA	NA	NA	NA	NA	NA	0.644	0.911	NA
1877	NA	NA	0.601	NA	NA	NA	NA	NA	NA	0.794	0.978	NA
1878	NA	0.359	0.389	NA	NA	NA	NA	NA	NA	0.188	0.318	NA
1879	NA	0.286	0.456	NA	NA	NA	NA	NA	NA	0.13	0.183	NA
1880	NA	0.337	0.312	NA	NA	NA	NA	NA	NA	0.355	0.349	NA
1881	NA	0.524	0.434	NA	NA	NA	NA	NA	NA	0.481	0.552	NA
1882	NA	0.435	0.382	NA	NA	NA	NA	NA	NA	0.55	0.391	NA
1883	NA	0.547	0.341	NA	NA	NA	NA	NA	NA	0.884	0.77	NA
1884	NA	0.845	0.219	NA	NA	NA	NA	NA	NA	0.436	0.364	NA
1885	NA	0.443	0.251	NA	NA	NA	NA	NA	NA	0.516	0.421	NA
1886	NA	0.732	0.249	NA	NA	NA	NA	NA	NA	0.495	0.557	NA
1887	NA	0.602	0.268	NA	NA	NA	NA	NA	NA	0.622	0.742	NA
1888	0.394	0.533	0.21	NA	NA	NA	NA	NA	NA	0.508	0.555	NA
1889	0.38	0.701	0.191	NA	NA	NA	NA	NA	NA	0.469	0.351	NA
1890	0.43	0.572	0.144	NA	NA	NA	NA	NA	NA	0.317	0.368	NA
1891	0.544	0.486	0.418	NA	NA	NA	NA	NA	NA	0.499	0.6	NA
1892	0.342	0.91	0.141	NA	NA	NA	NA	NA	NA	0.655	0.582	NA
1893	0.26	0.459	0.215	NA	NA	NA	NA	NA	NA	0.422	0.316	NA
