# Oskolkov - Olkhon HAR - LASI - ITRDB RUSS289
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32554
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32554.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ289-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ289-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ289.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ289.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-01-28
#--------------------
# File_Last_Modified_Date
#   Date: 2021-01-28
#--------------------
# Title
#   Study_Name: Oskolkov - Olkhon HAR - LASI - ITRDB RUSS289
#--------------------
# Investigators
#   Investigators: Oskolkov, V.A.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Olkhon HAR
#   Location: Russia
#   Northernmost_Latitude: 52.8
#   Southernmost_Latitude: 52.8
#   Easternmost_Longitude: 106.4333
#   Westernmost_Longitude: 106.4333
#   Elevation_m: 569
#--------------------
# Data_Collection
#   Collection_Name: RUSS289
#   First_Year: 1877
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## har3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har9s_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har9s; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## har15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: har15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	har3_raw	har4_raw	har5_raw	har7_raw	har8_raw	har9s_raw	har11_raw	har121_raw	har122_raw	har13_raw	har15_raw
1877	NA	NA	NA	NA	NA	NA	1.92	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	NA	2.25	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	NA	2.98	NA	NA	NA	NA
1880	NA	NA	NA	NA	NA	NA	1.53	NA	NA	NA	NA
1881	NA	NA	NA	NA	NA	NA	2.19	NA	NA	NA	NA
1882	NA	NA	NA	NA	NA	2.15	2.7	NA	NA	NA	NA
1883	NA	NA	NA	NA	NA	1.47	3.68	NA	NA	NA	NA
1884	NA	NA	NA	NA	NA	1.28	2.97	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	0.86	3.91	NA	NA	NA	NA
1886	NA	NA	NA	NA	NA	0.87	3.1	NA	NA	NA	NA
1887	NA	NA	NA	NA	NA	2.52	1.41	NA	NA	NA	NA
1888	NA	NA	NA	NA	NA	2.55	1.66	NA	NA	NA	NA
1889	NA	NA	NA	NA	NA	2.76	1.77	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	3.19	3.17	NA	NA	NA	NA
1891	NA	NA	NA	NA	NA	1.92	4.01	NA	NA	NA	NA
1892	NA	NA	NA	NA	NA	1.54	3.05	NA	NA	NA	NA
1893	NA	NA	NA	NA	NA	1.46	2.46	NA	NA	NA	NA
1894	NA	NA	NA	NA	NA	2.42	2.72	NA	NA	NA	NA
1895	NA	NA	NA	3.55	NA	2.85	3.49	NA	NA	NA	NA
1896	NA	NA	NA	4.88	NA	1.42	2.81	NA	NA	NA	NA
1897	NA	NA	NA	4.59	NA	1.72	1.32	NA	NA	NA	NA
1898	NA	NA	NA	3.71	NA	0.61	1.18	NA	NA	NA	NA
1899	NA	NA	NA	3.7	0.48	0.29	2.97	NA	NA	NA	NA
1900	NA	1.75	NA	4.81	0.38	1.13	1.93	NA	NA	NA	NA
1901	NA	2.81	NA	4.11	4.22	3.28	3.85	NA	NA	NA	NA
1902	3.12	3.97	NA	4.21	4.8	1.18	3.53	NA	NA	NA	NA
1903	2.83	3.23	NA	3.72	1.45	2.96	1.46	NA	NA	NA	NA
1904	2.78	2.31	NA	4.35	1.89	1.87	3.55	NA	NA	2.17	NA
1905	2.02	2.29	2.82	4.04	1.05	0.99	3.39	NA	NA	2.73	NA
1906	1.45	2.01	3.85	3.29	2.73	0.65	4.03	NA	NA	4.28	NA
1907	2	3.86	3.2	3.48	4.31	0.37	3.69	NA	NA	3.47	NA
1908	2.9	4.63	3.47	4.5	2.73	2.19	3.35	NA	NA	3.27	NA
1909	2	3.92	3.83	3.81	2.84	2.62	3.29	NA	NA	2.09	NA
1910	2.23	2.62	3.04	3.16	0.55	1.63	1.75	NA	NA	1.86	NA
1911	2.47	3.42	3.24	3.68	3.23	0.56	2.25	NA	NA	2.76	NA
1912	3.23	4.07	4.55	3.47	3.88	0.88	3.42	NA	NA	4.96	NA
1913	1.76	1.47	2.15	4.85	1.99	1.25	1.88	NA	NA	1.96	NA
1914	2.48	4.53	4.16	5.56	3.57	0.29	4.24	NA	NA	5.04	5.13
1915	3.04	5.01	4.59	4.29	2.85	0.26	4.26	NA	NA	4.42	4.82
1916	2.18	3.36	3.17	2.51	1.04	0.08	2.66	NA	2.92	2.54	2.68
1917	2.3	3.88	4.34	3.42	1.19	0.24	4.17	NA	4.32	5.14	4.64
1918	2.93	4.8	3.73	3.33	2.65	1.24	3.72	NA	4.66	4.39	4.33
1919	2.02	3.24	2.71	2.87	2.13	0.51	3.31	NA	4.15	4.26	3.83
1920	2.95	4.69	4.12	3.9	4.17	2.16	4.56	6.14	6.89	4.99	4.53
1921	3.1	4.46	3.36	3.99	2.49	2.05	3.69	3.68	4.29	3.81	3.83
1922	1.92	3.33	2.48	2.73	2.3	0.46	2.51	3.19	3.27	2.98	3.63
1923	1.97	4.26	3.44	2.25	2.63	0.97	2.78	6.1	5.27	4.92	5.31
1924	2.5	5.32	3.34	3.78	3.02	0.94	2.29	6.44	5.03	5.1	4.82
1925	2.39	4.69	2.82	3.51	4.61	1.68	3.3	6.03	5.23	4.88	4.5
1926	1.66	3.19	3.45	3.27	1.39	3.26	2.52	4.55	4.97	4.4	4.35
1927	2.08	3.51	2.18	3.13	4.45	2.39	3.57	5.09	5.07	4.7	4.69
1928	2.08	5.41	4.06	3.32	3.51	1.83	3.37	5.58	4.98	5.58	5.34
1929	1.5	2.71	2.49	2.19	0.69	0.76	1.89	3.14	2.88	3.17	2.6
1930	2.3	3.67	3.16	3.21	3.06	1.57	2.79	4.23	4.41	3.78	4.15
1931	1.88	3.22	1.69	3	2.96	3.06	2.87	4.66	4.23	4.06	4.45
1932	1.61	3.74	2.49	3.13	3.35	1.14	3.57	3.54	2.67	2.39	3.36
1933	1.81	3.89	2.65	1.86	4.25	2.9	3.08	5.31	5.22	4.48	5.5
1934	1.37	3.06	2.19	1.91	1.77	2.35	3.07	4.16	4.53	3.08	4.14
1935	2	2.9	2.32	2.24	3.19	0.97	4.79	3.93	4.47	2.32	3.41
1936	1.82	3.1	2.08	1.89	1.93	0.66	4.08	2.07	3.36	1.87	3.2
1937	3.37	4.84	2.86	2.51	3.15	1.64	2.93	4.46	4.42	3.66	3.43
1938	2.71	4.09	3.46	1.75	4.28	2.15	3.41	4.49	4.85	3.86	5.13
