# Touchan - Atera - PINI - ITRDB SYR004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39335
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-39335.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/syr004-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/syr004.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/syr004.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-04-08
#--------------------
# File_Last_Modified_Date
#   Date: 2024-04-08
#--------------------
# Title
#   Study_Name: Touchan - Atera - PINI - ITRDB SYR004
#--------------------
# Investigators
#   Investigators: Touchan, Ramzi
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Touchan, Ramzi; Kevin J Anchukaitis; Vladimir V Shishov; Fatih Sivrikaya; Jihad Attieh; Muzaffer Ketmen; Jean Stephan; Ioannis Mitsopoulos; Andreas Christou; David M Meko
#   Published_Date_or_Year: 2014
#   Published_Title: Spatial patterns of eastern Mediterranean climate influence on tree growth
#   Journal_Name: The Holocene
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1177/0959683613518594
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Atera
#   Location: Syria
#   Northernmost_Latitude: 35.83
#   Southernmost_Latitude: 35.83
#   Easternmost_Longitude: 36.02
#   Westernmost_Longitude: 36.02
#   Elevation_m: 440
#--------------------
# Data_Collection
#   Collection_Name: SYR004
#   First_Year: 1892
#   Last_Year: 2001
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ATEP01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ATEP09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ATEP09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ATEP01_raw	ATEP02_raw	ATEP04_raw	ATEP05_raw	ATEP07_raw	ATEP08_raw	ATEP09_raw
1892	NA	NA	NA	4.55	NA	NA	NA
1893	NA	NA	NA	4.88	NA	NA	NA
1894	NA	NA	NA	3.02	NA	NA	NA
1895	NA	NA	NA	2.67	NA	NA	NA
1896	NA	NA	NA	4.2	NA	NA	5.19
1897	NA	NA	NA	3.84	NA	NA	4.36
1898	NA	2.17	NA	4.42	NA	NA	4.06
1899	NA	1.27	NA	2.75	NA	NA	1.71
1900	NA	1.37	NA	2.54	1.29	NA	0.5
1901	NA	2.14	NA	4.16	2.84	NA	1.17
1902	NA	1.97	NA	3.07	2.66	NA	1.28
1903	NA	1.04	NA	3.06	2.19	NA	1.79
1904	NA	1.39	NA	1.82	3.12	NA	1.97
1905	NA	1.51	NA	2.79	3.93	NA	2.1
1906	NA	1.77	NA	1.76	2.65	NA	1.61
1907	NA	1.56	NA	2.53	2.44	NA	1.85
1908	NA	1.99	NA	2.28	2.33	NA	2.43
1909	NA	1.78	NA	2.89	2.61	NA	2.98
1910	NA	2.67	3.83	1.71	2.96	NA	2.57
1911	NA	2.24	4.12	1.04	2.83	NA	3.41
1912	NA	2.38	4.31	0.21	2.59	NA	3.36
1913	3.25	2.41	4.19	0.2	2.3	NA	2.13
1914	4.88	3.43	4.25	0.63	2.47	NA	2.26
1915	3.5	3.44	4.06	0.46	3.06	NA	2.51
1916	1.51	2.19	2.06	0.15	1.49	NA	1.78
1917	1.55	2.05	2.1	0.27	1.72	NA	1.88
1918	2.79	3.66	3.9	0.74	2.28	NA	2.76
1919	3.65	4.24	4.42	0.56	2.61	NA	2.71
1920	3.6	3.41	3.34	0.32	2.59	1.38	2.16
1921	3.91	3.97	4.71	0.59	3.15	1.28	2.9
1922	2.96	2.6	2.4	0.76	3.17	1.03	2.72
1923	2.78	2.7	3.64	0.73	2.48	1	3.04
1924	2.02	1.91	2.43	0.62	2.5	1.03	2.28
1925	2.51	1.84	2.02	0.4	1.09	1.25	1.89
1926	2.98	2.99	1.96	0.5	1.74	1.38	2.08
1927	2.15	1.6	1.82	0.7	1.29	1.16	1.79
1928	2.88	1.29	1.76	0.49	1.39	1.83	1.61
1929	3.51	1.33	2.48	0.59	1.51	2.66	1.68
1930	4.89	2.72	3.34	0.7	1.85	2.16	1.91
1931	4.11	2.65	3.4	0.72	2.06	2.41	1.92
1932	2.97	2.06	1.86	0.62	1.68	2.28	1.69
1933	3.67	2.48	2.9	0.83	1.51	2.84	2.06
1934	3.6	2.18	3.51	0.82	2.41	2.59	2.18
1935	2.21	1.89	1.96	0.69	1.47	2.08	2.45
1936	3.94	1.49	2.6	0.69	2.7	3	2.2
1937	3.31	1.38	3.32	0.6	1.73	1.78	2.08
1938	1.83	1.27	2.6	0.44	1.87	1.86	1.79
1939	1.75	1.46	1.81	0.73	1.47	2.27	2.01
1940	2.95	1.92	3.63	0.86	1.82	2.95	2.93
1941	2.21	1.26	2.9	0.74	1.69	1.61	2.29
1942	1.23	1.06	1.78	0.54	1.68	1.46	1.7
1943	1.78	1.33	3.19	1.13	1.67	2.67	2.67
1944	1.88	1.19	3.38	1.12	1.52	1.83	2.35
1945	1.6	1.66	2.23	0.84	1.18	1.86	2.5
1946	2.01	2.55	3.55	1.03	1.92	2.79	2.56
1947	1.55	2.31	3.39	0.8	1.67	2.29	2.34
1948	2.23	2.11	3.12	0.92	2.83	3.11	2.42
1949	1.58	1.83	3.39	0.79	3.67	2.75	2.34
1950	1.89	1.54	3.79	0.23	2.01	2.26	1.74
1951	1.31	1.2	3.12	0	1.91	1.96	2.55
1952	1.82	1.68	3.6	0.33	2.81	2.26	2.52
1953	1.25	1.46	2.25	0.29	3.03	1.9	2.13
1954	1.58	1.87	3.27	0.32	2.54	2.36	2.19
1955	1.66	1.37	2.09	0.37	1.57	1.64	1.99
1956	1.97	2.04	2.85	0.41	1.97	2.13	1.14
1957	1.22	1.41	1.66	0.41	1.85	1.91	1.6
1958	1.66	1.58	2.6	0.52	2.48	2.37	1.71
1959	1.26	1.13	2.78	0.52	2	2	1.61
1960	1.09	1.12	2.08	0.6	2.25	2.25	1.31
1961	0.96	0.82	1.62	0.71	1.98	2.03	1.08
1962	1.38	0.91	2.09	0.83	1.72	2.14	1.41
1963	1.86	0.73	2.44	0.75	1.61	1.61	1.56
1964	0.98	0.61	1.69	0.5	1.15	1.08	0.98
1965	1.09	0.68	2.24	0.47	1.35	1.29	1.23
1966	1.78	0.66	2.85	0.89	1.37	2.35	1.56
1967	1.93	0.71	2.87	0.97	1.15	2.36	1.81
1968	0.94	0.7	2.15	0.61	0.86	1.64	1.82
1969	0.88	0.64	2.49	0.71	0.98	1.8	1.32
1970	0.9	0.54	1.78	0.81	1.09	2.31	1.56
1971	1	0.49	2.17	0.73	1.24	1.56	1.43
1972	1.01	0.43	2.18	0.3	0.51	1.94	1
1973	1.51	0.32	1.31	0.32	0.53	1.56	0.7
1974	1.75	0.37	2.14	0.38	0.54	1.76	0.84
1975	2.49	0.45	2.3	0.75	0.83	1.79	1.21
1976	2.62	0.74	3.42	0.76	1.03	2.15	1.82
1977	2.14	0.5	2.41	0.87	0.85	1.81	1.38
1978	2.15	0.42	1.87	0.74	0.97	1.6	0.99
1979	2.34	0.55	1.73	0.82	0.9	2.56	1.59
1980	2.21	0.61	1.94	0.44	0.68	1.88	1.21
1981	2.55	0.78	1.84	0.47	0.67	1.74	1.03
1982	2.24	0.75	1.59	0.38	0.69	1.7	1.45
1983	1.4	0.75	1.57	0.43	0.7	1.49	1.19
1984	1.86	0.78	1.95	0.41	0.62	1.37	1.04
1985	1.43	0.53	0.96	0.32	0.48	1.15	1.16
1986	1.91	0.97	1.66	0.43	0.68	1.19	1.12
1987	1.69	0.75	1.34	0.41	0.66	1.57	1.36
1988	2.05	0.92	1.85	0.61	1.03	2.01	1.3
1989	1.46	0.71	1.72	0.47	0.72	1.68	0.93
1990	1.28	0.67	1.92	0.62	0.69	1.67	0.98
1991	1.78	0.68	1.72	0.72	0.75	1.08	1.81
1992	1.94	0.7	2.73	0.8	0.76	1.84	1.39
1993	1.59	0.61	1.98	0.82	0.65	1.62	1.73
1994	1.7	0.73	2.1	0.4	0.53	1.57	1.51
1995	1.67	0.96	2.79	0.74	0.54	1.62	1.72
1996	1.45	0.69	2.32	0.6	0.43	1.3	1.25
1997	1.86	0.53	2.67	0.5	0.49	1.55	1.35
1998	1.72	0.45	2.07	0.42	0.52	1.51	1.28
1999	1.94	0.62	1.66	0.39	0.48	1.15	1.47
2000	1.92	0.62	2.03	0.41	0.42	1.2	1.15
2001	1.57	0.39	1.33	0.27	0.36	1.16	0.79
