# Hughes - Sonmarg - ABPI - ITRDB INDI005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3577
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3577.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi005n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi005n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi005n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi005n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Sonmarg - ABPI - ITRDB INDI005
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sonmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 34.58
#   Southernmost_Latitude: 34.58
#   Easternmost_Longitude: 75.55
#   Westernmost_Longitude: 75.55
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI005
#   First_Year: 1732
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 01016_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01016; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 01017_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01017; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 01018_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01018; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 01020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 01021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 01022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 01022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	01016_raw	01017_raw	01018_raw	01020_raw	01021_raw	01022_raw
1764	NA	NA	NA	5	NA	NA
1765	NA	NA	NA	4.4	NA	NA
1766	NA	NA	NA	3.84	NA	NA
1767	NA	NA	NA	3.65	NA	NA
1768	NA	NA	NA	4.36	NA	NA
1769	NA	NA	NA	4.28	NA	NA
1770	2.69	NA	NA	3.92	NA	NA
1771	3.15	NA	NA	3.96	NA	NA
1772	2.79	NA	NA	3.92	NA	NA
1773	3.05	NA	NA	4.08	NA	NA
1774	2.94	NA	NA	3.92	NA	NA
1775	2.79	NA	NA	4.4	NA	NA
1776	2.94	NA	NA	4.04	NA	NA
1777	3.25	NA	NA	4.56	NA	NA
1778	3.15	NA	NA	4.24	NA	NA
1779	3.05	NA	NA	4.16	NA	NA
1780	2.94	NA	NA	4.24	NA	NA
1781	2.89	NA	NA	3.92	NA	NA
1782	3.2	NA	NA	3.73	NA	NA
1783	3.05	NA	NA	3.96	NA	NA
1784	3.2	NA	NA	3.88	NA	NA
1785	3.05	NA	NA	3.96	NA	NA
1786	3.35	NA	NA	4.08	NA	NA
1787	3.05	NA	NA	3.96	NA	NA
1788	2.99	NA	NA	4.16	NA	NA
1789	2.94	NA	NA	4.24	NA	NA
1790	2.94	NA	NA	3.61	NA	NA
1791	2.74	NA	NA	4	NA	NA
1792	2.22	NA	NA	4.12	NA	NA
1793	2.69	NA	NA	4.08	NA	NA
1794	2.74	NA	NA	4.2	NA	NA
1795	3.35	NA	NA	3.61	NA	NA
1796	2.79	NA	NA	3.69	NA	NA
1797	2.94	NA	NA	3.96	NA	NA
1798	2.79	NA	NA	3.84	NA	NA
1799	2.84	NA	NA	4.08	NA	NA
1800	2.84	NA	NA	3.96	NA	NA
1801	2.84	NA	NA	3.84	NA	NA
1802	2.84	NA	NA	3.84	NA	NA
1803	2.69	NA	NA	3.73	NA	NA
1804	2.89	NA	NA	3.33	NA	NA
1805	2.94	NA	NA	3.92	NA	NA
1806	2.74	NA	NA	4.04	NA	NA
1807	2.84	NA	NA	3.88	NA	NA
1808	2.99	NA	NA	3.92	NA	NA
1809	2.79	NA	NA	3.84	NA	NA
1810	2.94	NA	NA	3.88	NA	NA
1811	2.58	NA	NA	4.04	NA	NA
1812	2.74	NA	NA	3.96	NA	NA
1813	2.58	NA	NA	3.96	NA	NA
1814	2.17	NA	NA	3.96	NA	NA
1815	2.12	NA	NA	3.69	NA	NA
1816	2.43	NA	NA	3.92	NA	NA
1817	2.12	NA	NA	4	NA	NA
1818	2.48	NA	NA	3.88	NA	NA
1819	2.43	NA	NA	3.96	NA	NA
1820	2.38	NA	NA	3.81	NA	NA
1821	2.12	NA	NA	3.77	NA	NA
1822	2.33	NA	NA	4.04	NA	NA
1823	2.48	NA	NA	3.92	NA	NA
1824	2.33	NA	NA	3.81	NA	NA
1825	2.48	NA	NA	4.2	NA	NA
1826	2.43	NA	NA	3.61	NA	NA
1827	2.43	NA	NA	4.24	NA	NA
1828	2.79	NA	NA	4.16	NA	NA
1829	2.69	NA	NA	3.96	NA	NA
1830	2.48	NA	NA	3.81	NA	NA
1831	2.58	NA	NA	4.12	NA	NA
1832	2.63	NA	NA	3.77	NA	NA
1833	2.69	NA	NA	4.16	NA	NA
1834	2.69	NA	NA	4.16	NA	NA
1835	2.74	NA	NA	4.24	NA	NA
1836	3.3	NA	NA	4.24	NA	NA
1837	3.46	NA	NA	4.12	NA	NA
1838	3.51	NA	NA	4.2	NA	NA
1839	3.41	NA	NA	3.88	NA	NA
1840	3.41	0.06	NA	3.73	NA	NA
1841	3.61	0.06	NA	3.96	NA	NA
1842	3.56	2.67	NA	4	NA	NA
1843	2.84	2.23	NA	4.12	NA	NA
1844	3.51	2.78	NA	4.2	NA	NA
1845	3.1	2.13	NA	4.48	NA	NA
1846	3.05	2.83	NA	4.24	NA	NA
1847	2.94	2.89	NA	4.36	NA	NA
1848	2.89	2.51	NA	4.36	NA	NA
1849	3.15	2.62	NA	4.28	NA	NA
1850	3.05	2.45	4.09	4.16	2.78	NA
1851	3.3	2.4	3.94	3.96	2.73	NA
1852	3.25	2.72	4.09	4	2.95	NA
1853	3.41	2.07	3.99	3.96	2.86	NA
1854	2.89	2.13	3.99	4.04	2.99	3.1
1855	3.15	2.18	4.14	3.92	2.78	3.05
1856	3.1	2.07	4.09	4	2.99	2.94
1857	2.94	2.13	3.89	4.04	3.12	2.94
1858	3.05	2.45	3.74	3.96	3.07	2.94
1859	3.3	2.34	3.5	3.81	2.82	2.94
