# Schweingruber - Baikalsee, Irkutsk - PISY - ITRDB RUSS020
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4326
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4326.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ020p-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ020p-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ020p.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ020p.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-28
#--------------------
# Title
#   Study_Name: Schweingruber - Baikalsee, Irkutsk - PISY - ITRDB RUSS020
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-09. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Baikalsee, Irkutsk
#   Location: Russia
#   Northernmost_Latitude: 53.6
#   Southernmost_Latitude: 53.6
#   Easternmost_Longitude: 105.0
#   Westernmost_Longitude: 105.0
#   Elevation_m: 700
#--------------------
# Data_Collection
#   Collection_Name: RUSS020
#   First_Year: 1890
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood percent
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 520011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 520062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 520062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	520011_raw	520012_raw	520021_raw	520022_raw	520031_raw	520032_raw	520041_raw	520042_raw	520051_raw	520052_raw	520061_raw	520062_raw
1946	2.75	2.65	3.92	3.63	2.56	2.5	3.6	4.28	3.33	3.22	2.97	2.95
1947	2.61	2.34	4.17	3.6	2.46	3.02	2.8	3.78	3.5	2.65	2.61	2.26
1948	1.96	1.9	2.02	2.19	1.85	1.92	2.68	3.22	2.62	2.22	1.88	1.81
1949	2.43	2.23	3.09	3.06	2.64	2.4	2.39	2.59	2.26	2.57	2.75	2.42
1950	2.2	2.23	2.89	2.51	2.32	2.27	2.32	2.43	3.43	3.48	3.18	2.48
1951	2.15	2.05	2.21	2.5	1.8	2.06	2.48	2.8	2.63	2.65	2.61	1.85
1952	1.53	1.71	2.29	2.39	1.61	1.98	1.47	1.64	2.43	2.16	1.93	1.93
1953	2.61	2.6	2.87	2.93	2.06	2.46	1.98	1.65	3.25	3.19	2.88	2.79
1954	2.06	2.34	3.67	2.96	2.6	2.69	3.02	2.17	3.86	2.88	3.1	3.05
1955	2.57	2.44	2.91	2.55	1.92	2.54	3.94	2.79	3.36	2.79	2.43	2.13
1956	2.85	2.9	3.36	4.81	1.77	2.15	2.84	2.03	3.12	2.58	2.43	2.77
1957	2.45	2.24	2.66	2.15	2.61	2.62	1.84	1.96	2.26	1.98	1.7	1.81
1958	1.99	1.84	1.08	0.98	1.9	1.6	1.23	1.16	1.17	1.26	1.34	1.4
1959	2.31	1.97	2.41	1.71	2.28	2.05	1.93	1.01	2.37	1.98	2.2	2.17
1960	2.72	3.29	3.37	3.15	2.16	1.72	1.98	1.5	3.85	2.66	3.02	3.1
1961	2.21	2.43	2.67	3.19	2.35	2.25	1.62	1.74	3.19	2.8	2.35	2.87
1962	2.68	2.64	2.85	3.12	2.59	2.81	2.04	2.92	3.2	2.81	3	2.52
1963	2.72	2.81	4.22	3.48	2.91	2.37	2.4	2.87	3.41	3.29	4.07	2.58
1964	2.2	2.38	2.14	2.09	2.31	2.38	2.06	2.37	2.86	3.37	2.18	1.1
1965	2.72	2.92	2.1	1.97	3.02	2.82	2.23	2.03	2.99	2.97	3.21	2.24
1966	2.47	2.66	2.88	2.29	2.71	2.64	1.19	1.1	2.75	2.8	3.31	2.64
1967	2.81	3.12	3.44	2.58	1.64	2.11	2.8	2.57	3.87	2.52	3.09	3.03
1968	2.83	2.74	3.33	2.99	2.1	2.3	2.65	1.94	3.42	2.86	3.43	2.63
1969	3.09	3.04	3.9	2.21	2.47	2.93	2.67	1.18	3.33	3.11	3.65	3.08
1970	2.2	2.63	3.42	2.92	2.15	2.78	2.74	2.11	3.26	3.33	3.43	4.11
1971	2.18	2.2	2.21	1.87	1.68	1.96	2.27	1.31	2.21	2.42	2.5	2.7
1972	2.52	3.28	3.71	3.29	2.74	2.78	2.37	2.28	3.7	3.52	3.74	3.8
1973	1.63	3.52	3.08	2.67	2.04	2.9	1.92	2.1	3.14	1.81	2.79	2.7
1974	2.9	2.66	2.45	1.9	2.39	3.06	1.25	1.13	2.95	2.17	3.06	3.09
1975	2.58	2.05	2.79	2.82	1.9	2.68	1.71	1.1	2.97	2.5	2.54	2.74
1976	1.91	1.75	2.55	2.47	1.71	2.44	2	1.27	2.78	2.45	2.07	2.71
1977	2.05	1.86	2.06	1.94	2.18	2.1	1.46	1.54	2.65	2.55	2.26	2.22
1978	3.1	2.8	3.45	3.78	3.31	2.43	2.24	2.39	3.47	2.69	4.12	4.69
