# Hughes - Indigirka - LAGM - ITRDB RUSS184
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3568
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3568.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ184-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ184.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Indigirka - LAGM - ITRDB RUSS184
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Indigirka
#   Location: Sakha
#   Northernmost_Latitude: 70.53
#   Southernmost_Latitude: 70.53
#   Easternmost_Longitude: 148.15
#   Westernmost_Longitude: 148.15
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS184
#   First_Year: 1554
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## IND03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND41A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND41A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND47_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND47; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND54_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND54; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND59_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND59; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	IND03A_raw	IND03B_raw	IND41A_raw	IND47_raw	IND54_raw	IND57A_raw	IND57B_raw	IND59_raw
1554	0.23	NA	NA	NA	NA	NA	NA	NA
1555	0.43	NA	NA	NA	NA	NA	NA	NA
1556	0.19	0.25	NA	NA	NA	NA	NA	NA
1557	0.06	0.07	NA	NA	NA	NA	NA	NA
1558	0.23	0.27	NA	NA	NA	NA	NA	NA
1559	0.14	0.13	NA	NA	NA	NA	NA	NA
1560	0.16	0.19	NA	NA	NA	NA	NA	NA
1561	0.17	0.17	NA	NA	NA	NA	NA	NA
1562	0.16	0.17	NA	NA	NA	NA	NA	NA
1563	0.19	0.23	NA	NA	NA	NA	NA	NA
1564	0.15	0.16	NA	NA	NA	NA	NA	NA
1565	0.12	0.13	NA	NA	NA	NA	NA	NA
1566	0.1	0.09	NA	NA	NA	NA	NA	NA
1567	0.12	0.12	NA	NA	NA	NA	NA	NA
1568	0.31	0.37	NA	NA	NA	NA	NA	NA
1569	0.2	0.21	NA	NA	NA	NA	NA	NA
1570	0.2	0.17	NA	NA	NA	NA	NA	NA
1571	0.29	0.22	NA	NA	NA	NA	NA	NA
1572	0.1	0.06	NA	NA	NA	NA	NA	NA
1573	0.43	0.3	NA	NA	NA	NA	NA	NA
1574	0.29	0.14	NA	NA	NA	NA	NA	NA
1575	0.42	0.27	NA	NA	NA	NA	NA	NA
1576	0.17	0.1	NA	NA	NA	NA	NA	NA
1577	0.17	0.12	NA	NA	NA	NA	NA	NA
1578	0.21	0.18	NA	NA	NA	NA	NA	NA
1579	0.25	0.25	NA	NA	NA	NA	NA	NA
1580	0.08	0.08	NA	NA	NA	NA	NA	NA
1581	0.24	0.2	NA	NA	NA	NA	NA	NA
1582	0.22	0.23	NA	NA	NA	NA	NA	NA
1583	0.22	0.23	NA	NA	NA	NA	NA	NA
1584	0.35	0.38	NA	NA	NA	NA	NA	NA
1585	0.14	0.16	NA	NA	NA	NA	NA	NA
1586	0.45	0.4	NA	NA	NA	NA	NA	NA
1587	0.4	0.27	NA	NA	NA	NA	NA	NA
1588	0.44	0.36	NA	NA	NA	NA	NA	NA
1589	0.12	0.13	NA	NA	NA	NA	NA	NA
1590	0.27	0.28	NA	NA	NA	NA	NA	NA
1591	0.29	0.32	NA	NA	NA	NA	NA	NA
1592	0.36	0.33	NA	NA	NA	NA	NA	NA
1593	0.39	0.36	NA	NA	NA	NA	NA	NA
1594	0.37	0.33	NA	NA	NA	NA	NA	NA
1595	0.49	0.48	NA	NA	NA	NA	NA	NA
1596	0.32	0.36	NA	NA	NA	NA	NA	NA
1597	0.17	0.17	NA	NA	NA	NA	NA	NA
1598	0.33	0.42	NA	NA	NA	NA	NA	NA
1599	0.23	0.34	NA	NA	NA	NA	NA	NA
1600	0.33	0.39	NA	NA	NA	NA	NA	NA
1601	0.22	0.22	NA	NA	NA	NA	NA	NA
1602	0.24	0.24	NA	NA	NA	NA	NA	NA
1603	0.29	0.39	NA	NA	NA	NA	NA	NA
1604	0.32	0.29	NA	NA	NA	NA	NA	NA
1605	0.15	0.11	NA	NA	NA	NA	NA	NA
1606	0.33	0.35	NA	NA	NA	NA	NA	NA
1607	0.3	0.24	NA	NA	NA	NA	NA	NA
1608	0.24	0.22	NA	NA	NA	NA	NA	NA
1609	0.18	0.16	NA	NA	NA	NA	NA	NA
1610	0.3	0.28	NA	NA	NA	NA	NA	NA
1611	0.21	0.18	NA	NA	NA	NA	NA	NA
1612	0.26	0.21	NA	NA	NA	NA	NA	NA
1613	0.3	0.32	NA	NA	NA	NA	NA	NA
1614	0.11	0.17	NA	NA	NA	NA	NA	NA
1615	0.24	0.23	NA	NA	NA	NA	NA	NA
1616	0.21	0.16	NA	NA	NA	NA	NA	NA
1617	0.17	0.14	NA	NA	NA	NA	NA	NA
1618	0.27	0.19	NA	NA	NA	NA	NA	NA
1619	0.15	0.14	NA	NA	NA	NA	NA	NA
1620	0.12	0.13	NA	NA	NA	NA	NA	NA
1621	0.31	0.28	NA	NA	NA	NA	NA	NA
1622	0.12	0.18	NA	NA	NA	NA	NA	NA
1623	0.2	0.37	NA	NA	NA	NA	NA	NA
1624	0.18	0.32	NA	NA	NA	NA	NA	NA
1625	0.3	0.31	NA	NA	NA	NA	NA	NA
1626	0.3	0.31	NA	NA	NA	NA	NA	NA
1627	0.17	0.18	NA	NA	NA	NA	NA	NA
1628	0.16	0.17	NA	NA	NA	NA	NA	NA
1629	0.28	0.29	NA	NA	NA	NA	NA	NA
1630	0.32	0.29	NA	NA	NA	NA	NA	NA
1631	0.32	0.25	NA	NA	NA	NA	NA	NA
1632	0.15	0.12	NA	NA	NA	NA	NA	NA
1633	0.32	0.21	NA	NA	NA	NA	NA	NA
1634	0.23	0.16	NA	NA	NA	NA	NA	NA
1635	0.13	0.15	NA	NA	NA	NA	NA	NA
1636	0.13	0.21	NA	NA	NA	NA	NA	NA
1637	0.16	0.15	NA	NA	NA	NA	NA	NA
1638	0.26	0.24	NA	NA	NA	NA	NA	NA
1639	0.23	0.17	NA	NA	NA	NA	NA	NA
1640	0.29	0.16	NA	NA	NA	NA	NA	NA
1641	0.22	0.15	NA	NA	NA	NA	NA	NA
1642	0.11	0.05	NA	NA	NA	NA	NA	NA
1643	0.05	0.05	NA	NA	NA	NA	NA	NA
1644	0.22	0.17	NA	NA	NA	NA	NA	NA
1645	0.06	0.03	NA	NA	NA	NA	NA	NA
1646	0.16	0.12	NA	NA	NA	NA	NA	NA
1647	0.26	0.19	NA	NA	NA	NA	NA	NA
1648	0.21	0.2	NA	NA	NA	NA	NA	NA
1649	0.24	0.28	NA	NA	NA	NA	NA	NA
1650	0.21	0.24	NA	NA	NA	NA	NA	NA
1651	0.15	0.22	NA	NA	NA	NA	NA	NA
1652	0.23	0.21	NA	NA	NA	NA	NA	NA
1653	0.31	0.34	NA	NA	NA	NA	NA	NA
1654	0.24	0.28	NA	NA	NA	NA	NA	NA
1655	0.36	0.38	NA	NA	NA	NA	NA	NA
1656	0.24	0.22	NA	NA	NA	NA	NA	NA
1657	0.31	0.34	NA	NA	NA	NA	NA	NA
1658	0.35	0.32	NA	NA	NA	NA	NA	NA
1659	0.48	0.27	NA	NA	NA	NA	NA	NA
1660	0.35	0.3	NA	NA	NA	NA	NA	NA
1661	0.1	0.09	NA	NA	NA	NA	NA	NA
1662	0.16	0.18	NA	NA	NA	NA	NA	NA
1663	0.25	0.23	NA	NA	NA	NA	NA	NA
1664	0.31	0.37	NA	NA	NA	NA	NA	NA
1665	0.24	0.2	NA	NA	NA	NA	NA	NA
1666	0.22	0.21	NA	NA	NA	NA	NA	NA
1667	0.23	0.26	NA	NA	NA	NA	NA	NA
1668	0.36	0.22	NA	NA	NA	NA	NA	NA
1669	0.34	0.28	NA	NA	NA	NA	NA	NA
1670	0.42	0.36	NA	NA	NA	NA	NA	NA
1671	0.29	0.26	NA	NA	NA	NA	NA	NA
1672	0.4	0.33	NA	NA	NA	NA	NA	NA
1673	0.38	0.35	NA	NA	NA	NA	NA	NA
1674	0.39	0.32	NA	NA	NA	NA	NA	NA
1675	0.16	0.1	NA	NA	NA	NA	NA	NA
1676	0.3	0.2	NA	NA	NA	NA	NA	NA
1677	0.57	0.29	NA	NA	NA	NA	NA	NA
1678	0.31	0.17	NA	NA	NA	NA	NA	NA
1679	0.29	0.14	NA	NA	NA	NA	NA	NA
1680	0	0	NA	NA	NA	NA	NA	NA
1681	0.25	0.14	NA	NA	NA	NA	NA	NA
1682	0.4	0.24	NA	NA	NA	NA	NA	NA
1683	0.28	0.19	NA	NA	NA	NA	NA	NA
1684	0.17	0.16	NA	NA	NA	NA	NA	NA
1685	0.16	0.11	NA	NA	NA	NA	NA	NA
1686	0.23	0.17	NA	NA	NA	NA	NA	NA
1687	0.18	0.11	NA	NA	NA	NA	NA	NA
1688	0.13	0.13	NA	NA	NA	NA	NA	NA
1689	0.14	0.2	NA	NA	NA	NA	NA	NA
1690	0.08	0.07	NA	NA	NA	NA	NA	NA
1691	0.19	0.2	NA	NA	NA	NA	NA	NA
1692	0.12	0.12	NA	NA	NA	NA	NA	NA
1693	0.21	0.22	NA	NA	NA	NA	NA	NA
1694	0.13	0.12	NA	NA	NA	NA	NA	NA
1695	0.03	0	NA	NA	NA	NA	NA	NA
1696	0.11	0.08	NA	NA	NA	NA	NA	NA
1697	0.19	0.14	NA	NA	NA	NA	NA	NA
1698	0.08	0.05	NA	NA	NA	NA	NA	NA
1699	0.17	0.12	NA	NA	NA	NA	NA	NA
1700	0.12	0.14	NA	NA	NA	NA	NA	NA
1701	0.14	0.16	NA	NA	NA	NA	NA	NA
1702	0.19	0.16	NA	NA	NA	NA	NA	NA
1703	0.18	0.17	NA	NA	NA	NA	NA	NA
1704	0.19	0.17	NA	NA	NA	NA	NA	NA
1705	0.17	0.13	NA	NA	NA	NA	NA	NA
1706	0.16	0.14	NA	NA	NA	NA	NA	NA
1707	0.19	0.17	NA	NA	NA	NA	NA	NA
1708	0.21	0.13	NA	NA	NA	NA	NA	NA
1709	0.17	0.12	NA	NA	NA	NA	NA	NA
1710	0.34	0.11	NA	NA	NA	NA	NA	NA
1711	0.15	0.1	NA	NA	NA	NA	NA	NA
1712	0.25	0.15	NA	NA	NA	NA	NA	NA
1713	0.26	0.12	NA	NA	NA	NA	NA	NA
1714	0.16	0.11	NA	NA	NA	NA	NA	NA
1715	0.17	0.13	NA	NA	NA	NA	NA	NA
1716	0.34	0.29	NA	NA	NA	NA	NA	NA
1717	0.09	0.07	NA	NA	NA	NA	NA	NA
1718	0.19	0.21	NA	NA	NA	NA	NA	NA
1719	0.18	0.15	NA	NA	NA	NA	NA	NA
1720	0.2	0.15	NA	NA	NA	NA	NA	NA
1721	0.18	0.13	NA	NA	NA	NA	NA	NA
1722	0.21	0.14	NA	NA	NA	NA	NA	NA
1723	0.3	0.33	NA	NA	NA	NA	NA	NA
1724	0.17	0.02	NA	NA	NA	NA	NA	NA
1725	0.11	0.04	NA	NA	NA	NA	NA	NA
1726	0.26	0.13	NA	NA	NA	NA	NA	NA
1727	0.29	0.15	NA	NA	NA	NA	NA	NA
1728	0.42	0.16	NA	NA	NA	NA	NA	NA
1729	0.2	0.16	NA	NA	NA	NA	NA	NA
1730	0.04	0	NA	NA	NA	NA	NA	NA
1731	0.24	0.14	NA	NA	NA	NA	NA	NA
1732	0.44	0.27	NA	NA	NA	NA	NA	NA
1733	0.28	0.21	NA	NA	NA	NA	NA	NA
1734	0.26	0.2	NA	NA	NA	NA	NA	NA
1735	0.18	0.11	NA	NA	NA	NA	NA	NA
1736	0.18	0.13	NA	NA	NA	NA	NA	NA
1737	0.08	0.06	NA	NA	NA	NA	NA	NA
1738	0.06	0.07	NA	NA	NA	NA	NA	NA
1739	0.16	0.16	NA	NA	NA	NA	NA	NA
1740	0.04	0.08	NA	NA	NA	0.05	0.04	NA
1741	0.08	0.11	NA	NA	NA	0.14	0.12	NA
1742	0.11	0.16	NA	NA	NA	0.09	0.13	NA
1743	0.08	0.12	NA	NA	NA	0.16	0.27	NA
1744	0.12	0.09	NA	NA	NA	0.24	0.23	NA
1745	0.25	0.24	NA	NA	NA	0.15	0.22	NA
1746	0.13	0.12	NA	NA	NA	0.18	0.17	NA
1747	0.14	0.13	NA	NA	NA	0.23	0.18	NA
1748	0.33	0.27	NA	NA	NA	0.36	0.31	NA
1749	0.42	0.47	NA	NA	NA	0.48	0.52	NA
1750	0.48	0.83	NA	NA	NA	0.65	0.52	NA
1751	0.28	0.43	NA	NA	NA	0.49	0.37	NA
1752	0.53	0.25	NA	NA	NA	0.66	0.43	NA
1753	0.33	0.26	NA	NA	NA	0.63	0.24	NA
1754	0.44	0.58	NA	NA	NA	0.62	0.24	NA
1755	0.74	1.59	NA	NA	NA	0.86	0.55	NA
1756	0.41	1.17	0.33	NA	NA	0.66	0.41	NA
1757	0.72	1.51	0.22	NA	NA	0.96	1.01	NA
1758	0.48	1.03	0.43	NA	NA	0.9	0.83	NA
1759	0.44	1.03	0.29	NA	NA	0.98	0.74	NA
1760	0.28	0.67	0.28	NA	NA	0.66	0.89	NA
