# Krusic - Kauma Karka - ABSB - ITRDB NEPA026
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3783
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3783.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa026-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nepa026-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa026.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nepa026.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Krusic - Kauma Karka - ABSB - ITRDB NEPA026
#--------------------
# Investigators
#   Investigators: Krusic, P.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kauma Karka
#   Location: Nepal
#   Northernmost_Latitude: 27.38
#   Southernmost_Latitude: 27.38
#   Easternmost_Longitude: 87.13
#   Westernmost_Longitude: 87.13
#   Elevation_m: 2900
#--------------------
# Data_Collection
#   Collection_Name: NEPA026
#   First_Year: 1712
#   Last_Year: 1993
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies spectabilis (D. Don) Spach
#   Common_Name: silver fir
#   Tree_Species_Code: ABSB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KKAS06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS06C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS06C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS03F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS03F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KKAS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KKAS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KKAS06B_raw	KKAS06A_raw	KKAS06C_raw	KKAS08A_raw	KKAS08B_raw	KKAS03B_raw	KKAS03F_raw	KKAS07A_raw	KKAS07B_raw	KKAS03A_raw
1712	NA	NA	2.513	NA	NA	NA	NA	NA	NA	NA
1713	NA	NA	2.132	NA	NA	NA	NA	NA	NA	NA
1714	NA	NA	0.794	NA	NA	NA	NA	NA	NA	NA
1715	NA	NA	1.641	NA	NA	NA	NA	NA	NA	NA
1716	NA	NA	1.881	NA	NA	NA	NA	NA	NA	NA
1717	NA	NA	1.486	NA	NA	NA	NA	NA	NA	NA
1718	NA	NA	2.306	NA	NA	NA	NA	NA	NA	NA
1719	NA	NA	2.276	NA	NA	NA	NA	NA	NA	NA
1720	NA	NA	2.259	NA	NA	NA	NA	NA	NA	NA
1721	NA	NA	2.555	NA	NA	NA	NA	NA	NA	NA
1722	NA	NA	2.427	NA	NA	NA	NA	NA	NA	NA
1723	NA	NA	3.743	NA	NA	NA	NA	NA	NA	NA
1724	NA	NA	3.865	NA	NA	NA	NA	NA	NA	NA
1725	NA	NA	2.458	NA	NA	NA	NA	NA	NA	NA
1726	NA	NA	2.044	NA	NA	NA	NA	NA	NA	NA
1727	NA	NA	1.506	NA	NA	NA	NA	NA	NA	NA
1728	NA	NA	1.612	NA	NA	NA	NA	NA	NA	NA
1729	NA	NA	1.663	NA	NA	NA	NA	NA	NA	NA
1730	NA	NA	2.185	NA	NA	NA	NA	NA	NA	NA
1731	NA	NA	1.812	NA	NA	NA	NA	NA	NA	NA
1732	NA	NA	1.079	NA	NA	NA	NA	NA	NA	NA
1733	NA	NA	1.194	NA	NA	NA	NA	NA	NA	NA
1734	NA	NA	1.093	NA	NA	NA	NA	NA	NA	NA
1735	NA	NA	1.461	NA	NA	NA	NA	NA	NA	NA
1736	NA	NA	1.606	NA	NA	NA	NA	NA	NA	NA
1737	NA	NA	1.498	NA	NA	NA	NA	NA	NA	NA
1738	NA	NA	1.645	NA	NA	NA	NA	NA	NA	NA
1739	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA
1740	NA	NA	1.496	NA	NA	NA	NA	NA	NA	NA
1741	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA
1742	NA	NA	2.122	NA	NA	NA	NA	NA	NA	NA
1743	NA	NA	2.255	NA	NA	NA	NA	NA	NA	NA
1744	NA	NA	2.366	NA	NA	NA	NA	NA	NA	NA
1745	NA	NA	2.145	NA	NA	NA	NA	NA	NA	NA
1746	NA	NA	2.14	NA	NA	NA	NA	NA	NA	NA
1747	NA	NA	2.256	NA	NA	NA	NA	NA	NA	NA
1748	NA	NA	1.986	NA	NA	NA	NA	NA	NA	NA
1749	NA	NA	1.48	NA	NA	NA	NA	NA	NA	NA
1750	NA	NA	1.682	NA	NA	NA	NA	NA	NA	NA
1751	NA	NA	2.053	NA	NA	NA	NA	NA	NA	NA
1752	NA	NA	1.472	NA	NA	NA	NA	NA	NA	NA
1753	NA	NA	1.675	NA	NA	NA	NA	NA	NA	NA
1754	NA	NA	1.815	NA	NA	NA	NA	NA	NA	NA
1755	NA	NA	1.848	NA	NA	NA	NA	NA	NA	NA
1756	NA	NA	1.531	NA	NA	NA	NA	NA	NA	NA
1757	NA	NA	1.642	NA	NA	NA	NA	NA	NA	NA
1758	NA	NA	1.308	NA	NA	NA	NA	NA	NA	NA
1759	NA	NA	0.854	NA	NA	NA	NA	NA	NA	NA
1760	NA	NA	0.804	NA	NA	NA	NA	NA	NA	NA
1761	1.93	NA	0.638	NA	NA	NA	NA	NA	NA	NA
1762	2.223	NA	0.662	NA	NA	NA	NA	NA	NA	NA
1763	2.704	NA	0.593	NA	NA	NA	NA	NA	NA	NA
1764	2.895	3.091	0.783	NA	NA	NA	NA	NA	NA	NA
1765	2.846	3.013	1.052	NA	NA	NA	NA	NA	NA	NA
1766	2.638	2.951	0.764	NA	NA	NA	NA	NA	NA	NA
1767	2.768	3.034	1.057	NA	NA	NA	NA	NA	NA	NA
1768	2.894	2.925	1.045	NA	NA	NA	NA	NA	NA	NA
1769	3.054	2.854	0.979	3.193	NA	NA	NA	NA	NA	NA
1770	2.751	3.432	0.954	2.963	NA	NA	NA	NA	NA	NA
1771	3.191	3.592	1.375	3.028	NA	NA	NA	NA	NA	NA
1772	3.263	3.451	1.229	3.461	NA	NA	NA	NA	NA	NA
1773	3.309	3.364	1.201	3.625	NA	NA	NA	NA	NA	NA
1774	3.31	3.316	1.123	3.575	NA	NA	NA	NA	NA	NA
1775	3.892	3.781	0.727	3.906	NA	NA	NA	NA	NA	NA
1776	3.118	2.858	0.608	3.386	NA	NA	NA	NA	NA	NA
1777	2.814	3.132	0.56	3.118	NA	NA	NA	NA	NA	NA
1778	2.369	2.382	0.371	2.44	NA	NA	NA	NA	NA	NA
1779	2.766	2.292	0.376	2.541	NA	NA	NA	NA	NA	NA
1780	3.081	3.091	0.464	3.059	NA	NA	NA	NA	NA	NA
1781	3.772	3.382	0.541	3.724	NA	NA	NA	NA	NA	NA
1782	2.938	2.731	0.345	3.277	NA	NA	NA	NA	NA	NA
1783	3.528	3.513	0.429	3.649	NA	NA	NA	NA	NA	NA
1784	3.06	3.541	0.453	2.942	NA	NA	NA	NA	NA	NA
1785	2.618	3.272	0.414	3.034	3.361	NA	NA	NA	NA	NA
1786	2.68	2.718	0.496	3.016	2.767	NA	NA	NA	NA	NA
