# Hughes - Khillanmarg - ABPI - ITRDB INDI003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3569
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3569.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi003e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi003e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Khillanmarg - ABPI - ITRDB INDI003
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Khillanmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 35.08
#   Southernmost_Latitude: 35.08
#   Easternmost_Longitude: 74.33
#   Westernmost_Longitude: 74.33
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI003
#   First_Year: 1608
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## K3080_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3079_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3077_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3077; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3074_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3074; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3072_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3071_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3070_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3073_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3073; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3075_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3075; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3076_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3076; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3081_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	K3080_raw	K3079_raw	K3077_raw	K3074_raw	K3072_raw	K3071_raw	K3070_raw	K3073_raw	K3075_raw	K3076_raw	K3081_raw
1668	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA
1669	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
1670	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
1671	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
1672	NA	0.63	NA	NA	NA	1.11	NA	NA	NA	NA	NA
1673	NA	0.57	NA	NA	NA	0.24	NA	NA	NA	NA	NA
1674	NA	0.54	NA	NA	NA	0.24	NA	NA	NA	NA	NA
1675	NA	0.57	NA	NA	NA	0.48	NA	NA	NA	NA	NA
1676	NA	0.33	NA	NA	NA	0.33	NA	NA	NA	NA	NA
1677	NA	0.72	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1678	NA	0.66	NA	NA	NA	0.63	NA	NA	NA	NA	NA
1679	NA	0.57	NA	NA	NA	0.39	NA	NA	NA	NA	NA
1680	NA	0.69	NA	NA	NA	0.69	0.45	NA	NA	NA	NA
1681	NA	0.36	NA	NA	NA	1.23	0.78	NA	NA	NA	NA
1682	0.96	0.33	NA	NA	NA	1.44	0.81	NA	NA	NA	NA
1683	1.02	0.45	NA	NA	NA	0.93	0.84	NA	NA	NA	NA
1684	1.08	0.66	NA	NA	NA	0.87	0.72	NA	NA	NA	NA
1685	1.59	0.63	NA	NA	NA	0.36	0.48	NA	NA	NA	NA
1686	1.53	0.39	NA	NA	NA	0.93	1.08	NA	NA	NA	NA
1687	1.41	0.51	NA	NA	NA	0.81	0.69	NA	NA	NA	NA
1688	2.1	0.57	NA	NA	NA	0.6	0.45	NA	NA	NA	NA
1689	2.07	0.33	NA	NA	NA	0.27	0.42	NA	NA	NA	NA
1690	1.89	0.54	NA	NA	NA	0.42	0.57	NA	NA	NA	NA
1691	1.71	0.51	NA	NA	NA	0.57	0.51	NA	NA	NA	NA
1692	1.68	0.45	NA	NA	NA	0.6	0.6	NA	NA	NA	NA
1693	0.99	0.69	NA	NA	NA	1.14	1.11	NA	NA	NA	NA
1694	2.73	0.99	NA	NA	NA	0.72	0.99	NA	NA	NA	NA
1695	1.92	1.44	NA	NA	NA	1.08	1.2	NA	NA	NA	NA
1696	2.52	1.02	NA	NA	NA	1.14	1.65	NA	NA	NA	NA
1697	2.22	1.08	NA	NA	NA	0.9	1.44	NA	NA	NA	NA
1698	2.55	1.17	NA	NA	NA	1.14	1.83	NA	NA	NA	NA
1699	2.22	1.35	NA	NA	NA	1.05	1.2	NA	NA	NA	NA
1700	2.52	1.17	NA	NA	NA	0.57	0.66	NA	NA	NA	NA
1701	2.04	1.26	NA	NA	NA	0.42	0.6	NA	NA	NA	NA
1702	1.83	1.35	NA	NA	NA	0.54	0.6	NA	NA	NA	NA
1703	2.1	1.53	NA	NA	NA	0.54	0.3	NA	NA	NA	NA
1704	1.89	1.38	NA	NA	NA	0.57	0.63	NA	NA	NA	NA
1705	1.8	1.32	NA	NA	NA	0.54	0.66	NA	NA	NA	NA
1706	1.89	1.62	NA	NA	NA	0.84	0.66	NA	NA	NA	NA
1707	1.32	1.47	NA	NA	NA	0.9	0.99	NA	NA	NA	NA
1708	2.13	2.37	NA	NA	NA	1.29	1.59	NA	NA	NA	NA
1709	1.5	2.04	NA	NA	NA	1.41	1.83	NA	NA	NA	NA
1710	1.47	2.19	NA	NA	NA	2.01	2.01	NA	NA	NA	NA
1711	1.71	1.83	NA	NA	NA	1.56	1.8	NA	NA	NA	NA
1712	1.23	1.44	NA	NA	NA	0.87	0.96	NA	NA	NA	NA
1713	1.17	1.59	NA	NA	NA	1.08	1.05	NA	NA	NA	NA
1714	1.44	1.62	NA	NA	NA	1.41	1.23	NA	NA	NA	NA
1715	1.44	1.53	NA	NA	NA	1.44	1.35	NA	NA	NA	NA
1716	1.11	1.71	NA	NA	NA	0.93	0.99	NA	NA	NA	NA
1717	1.17	1.38	NA	NA	NA	0.93	0.81	NA	NA	NA	NA
1718	1.44	1.8	NA	NA	NA	1.05	0.81	NA	NA	NA	NA
1719	1.32	1.95	NA	NA	NA	0.93	0.96	NA	NA	NA	NA
1720	1.5	2.1	NA	NA	NA	0.81	0.84	NA	NA	NA	NA
1721	1.14	1.29	NA	NA	NA	0.42	0.33	NA	NA	NA	NA
1722	1.02	0.24	NA	NA	NA	0.9	0.63	NA	NA	NA	NA
1723	1.08	2.01	NA	NA	NA	0.99	0.87	NA	NA	NA	NA
1724	1.17	1.62	NA	NA	NA	1.05	0.93	NA	NA	NA	NA
1725	1.35	1.86	NA	NA	NA	0.81	1.08	NA	NA	NA	NA
1726	1.29	1.17	NA	NA	NA	0.69	0.75	NA	NA	NA	NA
1727	1.02	1.38	NA	NA	NA	0.51	0.72	NA	NA	NA	NA
1728	1.35	1.29	NA	NA	NA	0.84	0.81	NA	NA	NA	NA
1729	0.87	1.5	NA	NA	NA	0.69	0.6	NA	NA	NA	NA
1730	1.11	1.56	NA	NA	NA	0.72	0.69	NA	NA	NA	NA
1731	1.11	1.59	NA	NA	NA	0.45	0.54	NA	NA	NA	NA
1732	1.23	1.71	NA	NA	NA	0.72	0.75	NA	NA	NA	NA
1733	1.32	1.86	NA	NA	NA	0.51	0.51	NA	NA	NA	NA
1734	1.41	2.13	NA	NA	NA	0.54	0.75	NA	NA	NA	NA
1735	1.47	2.13	NA	NA	NA	0.57	0.81	NA	NA	NA	NA
1736	1.77	2.1	NA	NA	NA	0.54	0.57	NA	NA	NA	NA
1737	1.38	1.68	NA	NA	NA	0.72	0.63	NA	NA	NA	NA
1738	1.41	1.74	NA	NA	NA	0.69	0.42	NA	NA	NA	NA
1739	1.71	2.22	NA	NA	NA	0.9	0.66	NA	NA	NA	NA
1740	1.71	2.37	NA	NA	NA	1.02	0.75	NA	NA	NA	NA
1741	1.92	2.07	NA	NA	NA	1.17	0.81	NA	NA	NA	NA
1742	1.32	1.83	NA	NA	NA	0.99	0.99	NA	NA	NA	NA
1743	1.77	2.22	NA	NA	NA	0.93	0.96	NA	NA	NA	NA
1744	1.8	2.49	NA	NA	NA	1.05	1.14	NA	NA	NA	NA
1745	1.23	1.59	NA	NA	NA	0.72	0.48	NA	NA	NA	NA
1746	1.41	1.77	NA	NA	NA	0.87	0.66	NA	NA	NA	NA
1747	1.2	1.38	NA	NA	NA	0.75	0.78	NA	NA	NA	NA
1748	1.02	1.59	NA	NA	NA	0.84	0.66	NA	1.08	NA	NA
1749	1.2	1.26	NA	NA	NA	0.75	0.78	NA	1.02	NA	NA
1750	0.87	1.17	NA	NA	NA	0.66	0.63	NA	1.02	NA	NA
1751	1.11	1.65	NA	NA	NA	0.87	0.75	NA	1.83	NA	NA
1752	1.11	1.74	NA	NA	NA	1.02	0.57	NA	1.41	NA	NA
1753	1.05	1.65	NA	NA	NA	0.78	0.42	NA	0.93	NA	NA
1754	1.08	1.59	NA	NA	NA	0.72	0.42	NA	1.17	NA	NA
