# Kaiser - Miyajima Hiroshima Bay - PIDE - ITRDB JAPA1
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3659
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3659.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/japa1-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; japa1-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/japa1.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/japa1.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Kaiser - Miyajima Hiroshima Bay - PIDE - ITRDB JAPA1
#--------------------
# Investigators
#   Investigators: Kaiser, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Miyajima  Hiroshima Bay
#   Location: Japan
#   Northernmost_Latitude: 34.3
#   Southernmost_Latitude: 34.3
#   Easternmost_Longitude: 132.3
#   Westernmost_Longitude: 132.3
#   Elevation_m: 50
#--------------------
# Data_Collection
#   Collection_Name: JAPA1
#   First_Year: 1881
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus densiflora Siebold & Zucc.
#   Common_Name: Japanese red pine
#   Tree_Species_Code: PIDE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MIYA0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYA0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYA0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYA0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYA0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYA0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYA0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MIYACH00_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MIYACH00; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MIYA0010_raw	MIYA0020_raw	MIYA0030_raw	MIYA0040_raw	MIYA0050_raw	MIYA0060_raw	MIYACH00_raw
1881	NA	NA	NA	NA	5.44	4.84	5.14
1882	NA	NA	NA	NA	4.29	3.71	4
1883	NA	NA	2.56	NA	4.85	3.09	3.5
1884	NA	NA	2.61	NA	3.39	2.85	2.95
1885	NA	NA	3.41	NA	1.24	2.68	2.44
1886	NA	NA	2.23	NA	2.05	2.66	2.31
1887	NA	1.53	1.43	2.55	1.64	2.47	2.52
1888	NA	1.81	2.05	2.44	1.15	2.01	2.55
1889	NA	1.42	2.27	2.78	1.24	2.53	2.62
1890	5.33	2.15	3.3	2.99	2.04	2.65	3.08
1891	3.99	1.91	2.19	2.57	2.9	2.25	2.64
1892	4.24	1.76	2.69	2.98	2.29	3.77	2.96
1893	3.27	1.97	2.07	2.81	1.91	3.26	2.55
1894	3.84	1.59	2.07	2.41	2.11	2.68	2.45
1895	3.92	1.57	2.79	2.66	1.52	2.44	2.48
1896	4.48	1.11	4.37	2.47	1.8	2.6	2.81
1897	4.34	1.33	3.32	2.37	1.43	2.54	2.56
1898	3.26	1.13	2.66	1.95	1.7	2.18	2.15
1899	4.07	1.26	3.02	2.09	2.26	2.01	2.45
1900	4.69	1.83	3.35	2.65	2.88	2.5	2.98
1901	3.7	1.25	2.58	2.46	3.52	2.46	2.66
1902	3.96	1.84	2.47	2.34	2.42	2	2.51
1903	4.02	2.11	2.35	2.65	1.97	2.14	2.54
1904	3.38	2.28	1.9	1.86	2	1.83	2.21
1905	3.94	2.59	2.02	2.17	1.31	1.59	2.27
1906	2.8	2	1.72	2.05	1.73	1.31	1.94
1907	2.82	2.22	1.48	2.3	1.36	1.37	1.93
1908	1.88	2.45	1.33	1.54	0.95	1.03	1.53
1909	1.76	2.48	1.51	1.65	0.5	1.03	1.49
1910	1.66	2.98	1.93	1.89	0.34	1.14	1.66
1911	1.81	2.56	2.2	1.92	0.44	1.42	1.73
1912	1.45	2.18	2.18	1.39	0.74	1.02	1.49
1913	1.32	2.49	1.35	1.82	1.19	0.8	1.5
1914	1.31	3.27	1.42	2.14	1.57	1.17	1.81
1915	0.93	2.65	1.32	1.96	1.65	0.85	1.56
1916	1.04	2.39	1.4	1.84	0.93	0.76	1.39
1917	1.08	1.93	1.09	1.89	0.88	0.62	1.25
1918	1.5	2.56	1.84	1.7	0.9	0.79	1.55
1919	1.31	2.33	2.17	1.58	1.93	0.99	1.72
1920	1.5	2.17	1.62	1.54	2.04	0.87	1.62
1921	1.38	2.1	0.96	1.4	1.36	0.6	1.3
1922	1.79	2.28	1.21	1.25	1.1	0.75	1.4
1923	1.71	2.77	1.1	1.43	1.47	0.68	1.53
1924	1.77	2.48	1.45	2.04	1.28	0.74	1.63
1925	1.75	2.25	1.45	1.43	0.82	0.6	1.38
1926	1.53	1.91	1.06	1.81	1.07	0.45	1.31
1927	1.67	2.67	1.24	1.42	0.8	0.48	1.38
1928	1.96	2.4	1.18	1.75	1.21	0.58	1.51
1929	1.57	2.14	1.16	1.56	1.17	0.55	1.36
1930	2.42	2.51	1.31	1.33	1.02	0.94	1.59
1931	2.78	2.5	1.2	1.14	1.32	0.7	1.61
1932	2.24	2.26	1.23	1.58	1.48	0.83	1.6
1933	2.25	1.85	1.02	1.29	1.39	0.82	1.44
1934	2.22	2.33	1.08	1.46	0.9	0.9	1.48
1935	2.24	2.46	1.14	1.56	1.09	0.85	1.56
1936	2.09	2.16	0.96	1.05	1.04	0.55	1.31
1937	1.99	2.11	0.85	0.85	0.69	0.87	1.23
1938	1.87	1.21	0.84	0.71	0.97	0.44	1.01
1939	1.26	1.03	0.49	0.52	1.13	0.42	0.81
1940	1.67	1.88	0.71	0.72	1.11	0.22	1.05
1941	1.7	2.29	0.78	0.71	1.48	0.42	1.23
1942	2.06	2.22	0.76	1.01	1.52	0.4	1.33
1943	1.76	1.83	0.59	0.7	1.61	0.43	1.15
1944	2.02	1.25	0.61	0.72	1.02	0.56	1.03
1945	2.11	2.36	0.79	0.54	0.43	0.78	1.17
1946	1.92	2.61	0.6	0.58	0.41	0.83	1.16
1947	1.66	1.74	0.61	0.51	0.49	0.6	0.94
1948	2.25	1.8	0.66	0.55	0.44	0.78	1.08
1949	2.69	2.57	0.87	0.98	0.42	0.91	1.41
1950	3.21	2.63	1.57	1.49	0.71	0.68	1.72
1951	3.12	2.51	1.21	1.77	0.86	0.64	1.69
1952	2.71	2.67	1.16	1.35	0.56	0.35	1.47
1953	2.11	1.58	1.07	1.03	0.28	0.26	1.06
1954	2.88	1.8	1.2	0.97	0.37	0.53	1.29
1955	2.78	1.89	0.71	0.91	0.45	0.36	1.18
1956	2.92	1.89	0.82	1	0.55	0.32	1.25
1957	2.1	1.54	0.3	0.91	0.4	0.35	0.93
