# Oskolkov - Shida - LASI - ITRDB RUSS293
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32558
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32558.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ293-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ293-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ293.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ293.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-01-28
#--------------------
# File_Last_Modified_Date
#   Date: 2021-01-28
#--------------------
# Title
#   Study_Name: Oskolkov - Shida - LASI - ITRDB RUSS293
#--------------------
# Investigators
#   Investigators: Oskolkov, V.A.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Olkhon Shida
#   Location: Russia
#   Northernmost_Latitude: 53.0833
#   Southernmost_Latitude: 53.0833
#   Easternmost_Longitude: 106.7833
#   Westernmost_Longitude: 106.7833
#   Elevation_m: 659
#--------------------
# Data_Collection
#   Collection_Name: RUSS293
#   First_Year: 1952
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## shid1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shid8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shid8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Shid9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Shid9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Shid10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Shid10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	shid1_raw	shid3_raw	shid4_raw	shid5_raw	shid6_raw	shid7_raw	shid8_raw	Shid9_raw	Shid10_raw
1952	NA	4.11	NA	NA	NA	NA	NA	NA	NA
1953	NA	2.76	NA	NA	NA	NA	2.25	NA	NA
1954	NA	2.42	NA	NA	NA	1.59	1.29	NA	NA
1955	NA	2.31	NA	NA	NA	1.4	1.01	NA	NA
1956	NA	1.42	NA	NA	NA	1.55	0.54	NA	NA
1957	1.78	0.78	NA	NA	NA	1.01	1.85	0.83	NA
1958	2.6	2.27	NA	NA	NA	3.89	4.21	3.62	NA
1959	4.9	3.41	NA	NA	6.63	4.6	5.82	6.81	NA
1960	4.43	5	NA	NA	7.82	6.03	4.93	6.67	NA
1961	3.55	3.22	NA	NA	5.3	3.75	3.03	4.17	NA
1962	2.76	2.91	NA	NA	6.41	4.01	3.18	4.64	NA
1963	2.18	2.61	5.08	3.56	4.57	4.21	2.53	4.62	3.32
1964	2.48	4.62	3.63	3.22	4.56	6.39	3.64	6.09	2.58
1965	2.08	2.81	3.11	2.23	2.09	3.92	2.06	2.79	3.46
1966	3.53	5.14	4.04	3.78	4.43	4	4.03	6.72	5.61
1967	2.71	6.46	3.59	5.06	5.92	4.8	3.81	7.38	3.62
1968	0.93	2.42	0.86	2.16	3.3	1.75	1.69	1.8	1.66
1969	1.14	1.41	1.34	1.99	2.95	1.39	1.47	3.36	1.25
1970	0.8	1.44	1.07	1.15	1.29	1.84	1.15	1.23	1.08
1971	1.33	1.49	1.7	1.84	1.45	1.06	1.08	1.45	1.3
1972	1.69	3.54	2.86	1.94	2.09	3.01	2.64	3.54	2.6
1973	1.76	2.74	2.54	2.35	2.35	2.3	2.04	3.48	2.69
1974	2.18	2.54	2.04	1.67	1.53	2.09	1.26	3.2	1.64
1975	1.94	4.12	2.61	2.73	2	2.22	2.44	3.27	2.77
1976	2.19	3.9	3.89	2.27	3.12	3.07	3.25	3.26	2.38
1977	0.91	1.57	1	0.87	0.76	1.11	0.75	2.46	1.17
1978	0.48	0.46	0.31	0.3	0.87	0.81	0.43	1.32	0.67
1979	0.62	0.76	0.67	0.46	0.59	0.71	0.53	1.59	0.92
1980	0.28	0.35	0.3	0.23	0.2	0.32	0.23	0.72	0.35
1981	0.14	0.12	0.15	0.07	0.08	0.17	0.05	0.27	0.12
1982	1.06	0.82	0.85	0.54	0.58	1.14	0.88	1.33	0.89
1983	2.07	1.7	1.23	1.35	0.8	1.36	1.5	2.21	2.11
1984	3.04	3.94	2.33	2.8	1.66	2.64	2.47	4.8	3.6
1985	2.46	4.21	2.52	3.21	2.13	2.44	2.48	3.77	2.97
1986	2.24	3.63	1.91	2.1	1.9	1.91	1.84	4.04	1.9
1987	0.56	0.52	0.47	0.73	0.31	0.21	0.54	0.83	0.41
1988	1.19	1.98	1.2	1.5	1.2	1.24	1.71	1.76	1.33
1989	0.78	1.83	0.7	1.31	0.8	1.02	1.99	2.97	1.06
1990	0.59	0.78	0.85	0.77	0.57	0.52	1.13	2.23	0.78
1991	2.36	3.88	2.76	2.66	3.34	1.99	4.26	3.67	3.75
1992	2.26	4.68	2.37	2.66	3.57	2.59	4.02	5.26	2.99
1993	1.19	1.89	1.39	1.29	1.73	1.18	1.6	3.54	1.61
1994	0.62	0.85	0.95	0.96	1.2	0.67	0.92	1.68	0.77
1995	1.08	0.8	1.46	1.37	1.44	1.49	1.09	3.26	1.65
1996	0.95	1.45	1.38	1.28	2.03	1.41	1.28	5.59	1.3
1997	0.41	1.28	0.5	0.57	0.86	0.66	0.74	3.13	0.91
1998	0.65	1.16	0.79	0.83	0.93	1.08	1.07	3.78	0.99
1999	0.44	0.74	0.81	0.62	0.63	0.62	0.96	2.76	0.65
2000	0.22	0.53	0.53	0.46	0.48	0.4	0.55	1.14	0.33
2001	0.69	1.21	1.08	1.26	1.05	1.11	1.13	3.07	0.9
2002	0.82	1.98	1.22	1.06	1.62	1.69	1.88	3.81	1.29
2003	0.02	0.32	0.36	0.23	0.17	0.32	0.32	0.67	0.15
2004	0.92	1.35	1.36	1.05	0.96	0.61	1.3	2.43	1.39
