# Hughes - Nanjan - LAGM - ITRDB RUSS189
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3573
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3573.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ189-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ189-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ189.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ189.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Nanjan - LAGM - ITRDB RUSS189
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nanjan
#   Location: Sakha
#   Northernmost_Latitude: 69.45
#   Southernmost_Latitude: 69.45
#   Easternmost_Longitude: 150.25
#   Westernmost_Longitude: 150.25
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS189
#   First_Year: 1500
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NAN01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN45A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN45A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NAN45B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NAN45B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NAN01_raw	NAN02A_raw	NAN02B_raw	NAN031_raw	NAN041_raw	NAN051_raw	NAN06_raw	NAN07_raw	NAN081_raw	NAN45A_raw	NAN45B_raw
1500	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
1501	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
1502	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
1503	NA	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
1504	NA	0.75	NA	0.54	NA	NA	NA	NA	NA	NA	NA
1505	NA	0.97	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1506	NA	0.69	NA	0.48	NA	NA	NA	NA	NA	NA	NA
1507	NA	0.76	NA	0.53	NA	NA	NA	NA	NA	NA	NA
1508	NA	1.01	NA	0.9	NA	NA	NA	NA	NA	NA	NA
1509	NA	0.74	NA	1.35	NA	NA	NA	NA	NA	NA	NA
1510	NA	0.65	NA	0.88	NA	NA	NA	NA	NA	NA	NA
1511	NA	0.52	NA	0.76	NA	NA	NA	NA	NA	NA	NA
1512	NA	0.45	NA	0.54	NA	NA	NA	NA	NA	NA	NA
1513	NA	0.44	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1514	NA	0.56	NA	0.47	NA	NA	NA	NA	NA	NA	NA
1515	NA	0.9	NA	0.69	NA	NA	NA	NA	NA	NA	NA
1516	NA	0.83	NA	0.94	NA	NA	NA	NA	NA	NA	NA
1517	NA	0.66	NA	0.8	NA	NA	NA	NA	NA	NA	NA
1518	NA	0.75	NA	1.01	NA	NA	NA	NA	NA	NA	NA
1519	NA	0.6	NA	1.09	NA	NA	NA	NA	NA	NA	NA
1520	NA	0.62	NA	1.23	NA	NA	NA	NA	NA	NA	NA
1521	NA	0.37	NA	0.72	NA	NA	NA	NA	NA	NA	NA
1522	NA	0.54	NA	1.41	NA	NA	NA	NA	NA	NA	NA
1523	NA	0.55	NA	1.14	NA	NA	NA	NA	NA	NA	NA
1524	NA	0.53	NA	1.05	NA	NA	NA	NA	NA	NA	NA
1525	NA	0.64	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1526	NA	0.38	NA	1.26	NA	NA	NA	NA	NA	NA	NA
1527	NA	0.36	NA	1.13	NA	NA	NA	NA	NA	NA	NA
1528	NA	0.22	NA	0.74	NA	NA	NA	NA	NA	NA	NA
1529	NA	0.26	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1530	NA	0.26	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1531	NA	0.18	NA	0.42	NA	NA	NA	NA	NA	NA	NA
1532	NA	0.46	NA	0.62	NA	NA	NA	NA	NA	NA	NA
1533	NA	0.73	NA	0.94	NA	NA	NA	NA	NA	NA	NA
1534	NA	0.4	NA	0.33	NA	NA	NA	NA	NA	NA	NA
1535	NA	0.5	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1536	NA	0.63	NA	0.32	NA	NA	NA	NA	NA	NA	NA
1537	NA	0.42	NA	0.45	NA	NA	NA	NA	NA	NA	NA
1538	NA	0.39	NA	0.33	NA	NA	NA	NA	NA	NA	NA
1539	NA	0.59	NA	0.35	NA	NA	NA	NA	NA	NA	NA
1540	NA	0.81	NA	0.81	NA	NA	NA	NA	NA	NA	NA
1541	NA	0.35	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1542	NA	0.31	NA	0.26	NA	NA	NA	NA	NA	NA	NA
1543	NA	0.33	NA	0.15	NA	NA	NA	NA	NA	NA	NA
1544	NA	0.39	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1545	NA	0.41	NA	0.29	NA	NA	NA	NA	NA	NA	NA
1546	NA	0.42	NA	0.4	NA	NA	NA	NA	NA	NA	NA
1547	NA	0.48	NA	0.72	NA	NA	NA	NA	NA	NA	NA
1548	NA	0.3	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1549	NA	0.34	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1550	NA	0.36	NA	0.73	NA	NA	NA	NA	NA	NA	NA
1551	NA	0.44	NA	0.7	NA	NA	NA	NA	NA	NA	NA
1552	NA	0.67	NA	0.86	NA	NA	NA	NA	NA	NA	NA
1553	NA	0.5	NA	0.66	NA	NA	NA	NA	NA	NA	NA
1554	NA	0.26	NA	0.28	NA	NA	NA	NA	NA	NA	NA
1555	NA	0.37	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1556	NA	0.27	NA	0.24	NA	NA	NA	NA	NA	NA	NA
1557	NA	0.05	NA	0.11	NA	NA	NA	NA	NA	NA	NA
1558	NA	0.41	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1559	NA	0.36	NA	0.32	NA	NA	NA	NA	NA	NA	NA
1560	NA	0.29	NA	0.38	NA	NA	NA	NA	NA	NA	NA
1561	NA	0.29	NA	0.53	NA	NA	NA	NA	NA	NA	NA
1562	NA	0.22	NA	0.32	NA	NA	NA	NA	NA	NA	NA
1563	NA	0.45	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1564	NA	0.31	NA	0.3	NA	NA	NA	NA	NA	NA	NA
1565	NA	0.46	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1566	NA	0.39	NA	0.32	NA	NA	NA	NA	NA	NA	NA
1567	NA	0.26	NA	0.23	NA	NA	NA	NA	NA	NA	NA
1568	NA	0.51	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1569	NA	0.39	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1570	NA	0.21	NA	0.21	NA	NA	NA	NA	NA	NA	NA
1571	NA	0.39	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1572	NA	0.05	NA	0.08	NA	NA	NA	NA	NA	NA	NA
1573	NA	0.32	NA	0.42	NA	NA	NA	NA	NA	NA	NA
