# Oskolkov - Olkhon PR - LASI - ITRDB RUSS291
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32556
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32556.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ291-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ291-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ291.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ291.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-01-28
#--------------------
# File_Last_Modified_Date
#   Date: 2021-01-28
#--------------------
# Title
#   Study_Name: Oskolkov - Olkhon PR - LASI - ITRDB RUSS291
#--------------------
# Investigators
#   Investigators: Oskolkov, V.A.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Olkhon PR
#   Location: Russia
#   Northernmost_Latitude: 53.01667
#   Southernmost_Latitude: 53.01667
#   Easternmost_Longitude: 106.8
#   Westernmost_Longitude: 106.8
#   Elevation_m: 668
#--------------------
# Data_Collection
#   Collection_Name: RUSS291
#   First_Year: 1943
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pr1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pr22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pr22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pr1_raw	pr6_raw	pr7_raw	pr9_raw	pr10_raw	pr11_raw	pr14_raw	pr16_raw	pr18_raw	pr21_raw	pr22_raw
1943	NA	NA	NA	NA	4.09	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	NA	3.37	1.38	NA	NA	NA	NA	NA
1945	NA	NA	NA	NA	2.65	1.58	NA	2.11	NA	NA	NA
1946	NA	NA	NA	NA	2.26	2.57	NA	2.09	NA	NA	NA
1947	NA	NA	NA	NA	2.8	0.68	NA	1.93	NA	NA	NA
1948	NA	NA	NA	NA	3.16	1.62	NA	2.09	NA	NA	NA
1949	NA	NA	NA	NA	0.86	2.73	NA	1.67	NA	NA	NA
1950	NA	NA	NA	4.34	1.41	0.99	NA	0.66	NA	NA	NA
1951	NA	NA	NA	2.97	1.25	1.57	NA	1.11	NA	NA	NA
1952	NA	NA	NA	5.7	0.47	1.95	NA	1.71	NA	NA	1.85
1953	NA	NA	NA	4.02	0.72	1.18	NA	0.8	NA	NA	1.66
1954	NA	3.6	NA	1.94	0.95	0.68	NA	0.63	NA	NA	1.76
1955	NA	3.82	NA	2.22	0.43	1.08	NA	0.8	NA	NA	0.49
1956	NA	2.41	NA	0.95	0.14	0.36	NA	0.07	NA	NA	0.25
1957	NA	1.41	NA	0.35	1.57	0.07	NA	0.06	NA	NA	2
1958	NA	3.27	NA	3.05	0.47	1.41	NA	0.9	NA	NA	2.83
1959	NA	4.58	NA	3.36	2.81	1.32	NA	1	2.23	NA	2.64
1960	NA	4.39	NA	4.88	0.28	3.07	2.7	1.77	2.49	NA	0.31
1961	2.71	2.24	NA	1.28	0.29	0.48	2.72	0.24	1.33	NA	0.48
1962	4.75	3.8	3.54	3.26	2.77	2.75	3.42	1.35	1.74	NA	1.49
1963	5.41	3.3	2.66	3.34	1.47	1.35	2.92	0.88	3.02	3.32	1.85
1964	4.54	4.04	3.01	3.56	1.76	2.18	0.71	1.47	1.67	2.94	2.54
1965	1.43	1.71	1.81	0.94	0.5	0.42	0.75	0.23	0.56	1.34	0.65
1966	3.9	4.17	3.21	2.83	2.16	1.55	1.99	1.05	1.49	2.79	2.4
1967	3.75	4.5	3.71	2.68	1.3	1.7	1.51	1.47	1.82	4.08	2.9
1968	1.81	3.09	3.3	2.77	2.13	1.89	1.52	1.79	1.37	2.44	1.86
1969	1.35	2.37	2	1.62	1.83	1.41	1.37	0.95	1.39	2.05	1.22
1970	1	0.95	1.38	0.48	0.57	0.61	1.18	0.36	0.54	1.5	0.99
1971	0.7	1.35	2.48	0.96	0.79	0.84	1.64	1.11	1.11	1.96	0.77
1972	1.69	2.71	2.83	1.75	0.92	1.43	1.2	1.61	1.94	2.46	1.26
1973	2.26	2	2.78	2.21	1.3	1.35	1.31	1.55	1.87	2.46	1.78
1974	2.06	2.18	2.36	2.05	2.03	1.33	0.85	1.03	1.8	1.56	1.84
1975	2.24	2.63	2.58	2.24	1.91	1.27	1.69	1.41	1.77	1.79	1.88
1976	3.07	3.14	4.4	3.34	1.92	1.98	2.16	1.54	2.84	2.08	2.85
1977	1.54	1.71	2.55	1.07	0.77	0.67	1.05	0.53	0.92	1.02	0.94
1978	1.12	1.31	0.38	0.7	0.01	0.29	1.41	0.01	0.2	0.12	0.92
1979	0.96	1.95	1.34	1.28	0.63	0.64	1.16	0.58	0.64	0.93	0.67
1980	0.14	0.29	1.01	0.46	0.22	0.24	0.94	0.33	0.43	0.32	0.58
1981	0.07	0.19	0.15	0.13	0.05	0.08	0.47	0.12	0.06	0.1	0.07
1982	0.56	0.71	0.74	0.67	0.88	0.61	1.28	0.02	0.71	0.55	0.53
1983	1.63	0.58	1.03	0.62	0.71	0.69	0.51	0.56	1.03	0.74	0.68
1984	4.36	1.51	3.79	1.42	0.96	1.78	1.25	0.4	1.45	1.85	1.68
1985	2.96	1.93	3.28	2.34	1.31	2.41	2.18	0.94	1.95	2.33	2.21
1986	1.55	3.62	2.71	2.36	0.85	1.98	1.91	4.14	1.9	2.18	1.37
1987	0.33	0.66	0.25	0.56	0.26	0.24	0.39	0.21	0.26	0.31	0.18
1988	2.33	2.59	1.58	1.33	1.1	1.03	0.88	1.12	1.35	1.16	1.5
1989	1.94	3.22	1.6	1.79	0.68	1.45	1.51	1.17	1.16	1.51	1.11
1990	0.18	0.71	0.28	0.42	0.19	0.13	1.02	0.11	0.19	0.29	0.16
1991	1.78	1.8	1.88	1.29	0.84	1.27	0.68	0.75	1.37	1.4	1.51
1992	2.57	3.23	2.7	1.79	1.39	1.51	4.23	1.36	1.72	2.39	2.36
1993	1.44	2.53	2.66	1.88	1.26	1.03	2.55	1.15	1.51	2.04	1.43
1994	0.23	0.76	0.69	0.56	0.25	0.29	1.11	0.46	0.49	0.69	0.46
1995	1.27	2.11	2.05	1.71	1.22	0.96	2.13	1.36	1.46	1.63	1.54
1996	1.14	2.75	2.45	2.64	1.01	1.16	1.73	1.8	1.49	1.65	1.22
1997	0.09	0.4	0.21	0.61	0.16	0.28	0.31	0.24	0.13	0.35	0.19
1998	0.21	0.67	0.36	0.59	0.17	0.21	0.19	0.27	0.28	0.41	0.14
1999	0.16	0.25	0.34	0.34	0.1	0.28	0.11	0.24	0.19	0.22	0.12
2000	0.29	0.2	0.45	0.19	0.09	0.14	0.12	0.16	0.19	0.25	0.14
2001	0.39	0.5	0.86	0.5	0.27	0.51	0.28	0.74	0.42	0.38	0.49
