# Krusic - Pun Hill - ABSB - ITRDB NEPA035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3792
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3792.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nepa035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/nepa035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nepa035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-24
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-24
#--------------------
# Title
#   Study_Name: Krusic - Pun Hill - ABSB - ITRDB NEPA035
#--------------------
# Investigators
#   Investigators: Krusic, P.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pun Hill
#   Location: Nepal
#   Northernmost_Latitude: 28.43
#   Southernmost_Latitude: 28.43
#   Easternmost_Longitude: 83.1
#   Westernmost_Longitude: 83.1
#   Elevation_m: 2950
#--------------------
# Data_Collection
#   Collection_Name: NEPA035
#   First_Year: 1872
#   Last_Year: 1993
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies spectabilis (D. Don) Spach
#   Common_Name: silver fir
#   Tree_Species_Code: ABSB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PHA1A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA1A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA2A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA2A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA5C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA5C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA6B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA6B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PHA6A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PHA6A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PHA1A_raw	PHA5A_raw	PHA5B_raw	PHA2A_raw	PHA2B_raw	PHA5C_raw	PHA6B_raw	PHA6A_raw
1872	NA	2.927	NA	NA	NA	NA	NA	NA
1873	NA	2.801	NA	NA	NA	NA	NA	5.311
1874	2.624	2.101	NA	NA	NA	NA	NA	1.787
1875	2.07	2.91	NA	NA	NA	NA	NA	3.658
1876	2.582	3.19	NA	NA	NA	NA	NA	3.563
1877	3.595	3.002	NA	NA	NA	NA	NA	4.637
1878	1.193	2.802	NA	NA	NA	NA	NA	5.934
1879	0.819	2.04	NA	NA	NA	NA	3.325	4.578
1880	0.571	3.239	NA	NA	NA	NA	3.362	4.656
1881	0.566	2.322	NA	NA	NA	NA	1.353	3.207
1882	1.244	2.944	NA	NA	NA	NA	3.464	4.047
1883	0.733	3.463	NA	NA	NA	NA	5.208	4.909
1884	1.176	2.737	NA	NA	NA	NA	3.279	2.315
1885	2.192	2.04	NA	NA	NA	NA	2.457	2.466
1886	2.123	1.919	NA	NA	NA	NA	2.032	2.009
1887	5.742	2.467	NA	NA	NA	NA	4.414	5.605
1888	5.047	2.73	NA	NA	NA	3.018	2.747	5.361
1889	3.082	2.148	NA	NA	NA	1.613	2.266	3.936
1890	3.013	2.305	NA	NA	NA	2.317	3.734	5.495
1891	2.78	2.489	NA	NA	NA	2.136	5.105	7.038
1892	2.893	1.924	NA	NA	NA	2.009	2.812	5.388
1893	1.83	2.237	NA	NA	NA	2.047	1.756	4.206
1894	2.882	3.733	NA	NA	NA	3.163	2.242	3.711
1895	2.694	2.473	NA	NA	NA	1.846	2.953	2.586
1896	3.229	3.221	NA	NA	NA	2.766	5.322	5.268
1897	1.902	2.03	2.08	NA	NA	1.561	4.094	3.849
1898	1.039	1.947	2.464	NA	NA	2.08	2.917	2.691
1899	1.83	2.838	3.05	NA	NA	4.523	7.096	6.223
1900	2.065	2.931	3.204	NA	NA	4.039	4.815	6.171
1901	2.06	2.635	1.968	NA	NA	2.959	4.222	4.727
1902	2.95	3.407	2.439	NA	NA	2.927	5.79	7.159
1903	2.472	2.971	1.968	NA	NA	2.925	3.892	5.471
1904	2.589	3.852	2.369	NA	NA	3.68	3.368	4.953
1905	2.522	4.01	2.284	NA	NA	4.762	4.234	5.271
1906	2.445	2.492	1.465	NA	NA	2.805	3.229	3.303
1907	1.856	2.944	1.805	NA	NA	3.407	3.349	5.836
1908	1.757	2.49	1.746	NA	NA	2.819	3.413	5.867
1909	1.203	1.774	1.227	NA	NA	1.732	2.789	4.29
1910	2.895	2.655	1.813	NA	NA	2.639	2.062	1.633
1911	4.997	3.293	2.679	NA	NA	2.732	2.141	1.955
1912	1.773	2.529	1.994	NA	NA	1.754	1.518	1.297
1913	2.227	3.775	3.304	NA	NA	3.441	2.184	2.855
1914	2.79	4.04	3.7	NA	NA	3.149	1.87	3.492
1915	2.223	2.226	2.442	NA	NA	2.107	1.245	1.646
1916	2.016	2.354	3.307	NA	NA	2.177	1.692	1.273
1917	3.822	2.581	6.732	NA	NA	3.013	2.927	3.812
1918	3.517	4.306	5.373	NA	NA	3.105	2.421	1.746
1919	2.281	4.111	2.869	NA	NA	1.24	3.5	2.96
1920	1.855	2.269	1.451	NA	NA	0.807	2.565	1.574
1921	1.513	3.048	1.298	NA	NA	0.277	3.092	2.723
1922	1.066	1.825	1.617	NA	NA	0.133	1.899	2.151
1923	1.156	2.428	1.619	NA	NA	0.375	0.79	1.044
1924	1.668	2.045	2.772	NA	NA	0.602	1.008	2.861
1925	1.922	1.746	1.543	NA	NA	0.782	1.24	4.347
1926	2.224	1.916	2.222	NA	NA	1.076	2.076	5.754
1927	3.176	1.832	1.661	NA	NA	0.958	3.467	6.222
1928	2.155	1.546	2.079	NA	NA	0.69	2.407	4.054
1929	2.018	1.748	2.239	NA	NA	0.892	2.25	2.112
1930	2.414	1.638	1.82	NA	NA	0.978	2.809	2.142
1931	1.543	1.618	1.686	NA	NA	1.221	1.978	1.521
1932	0.97	1.468	1.311	NA	NA	0.714	1.603	1.373
1933	2.717	1.784	1.703	NA	NA	1.37	2.572	4.08
1934	3.812	2.305	1.663	NA	NA	1.333	2.848	4.815
1935	3.734	2.339	1.347	NA	NA	1.202	3.456	6.646
1936	3.469	2.023	1.505	NA	NA	1.137	3.377	7.842
1937	4.06	1.889	2.088	NA	NA	1.283	2.453	5.439
1938	2.549	1.332	1.863	NA	NA	0.701	1.149	2.493
1939	2.911	1.779	1.643	NA	NA	1.006	1.901	4.498
1940	1.77	1.7	1.592	NA	NA	1.001	1.582	2.548
1941	1.891	2.243	2.706	NA	NA	1.126	1.875	3.664
1942	1.916	1.452	1.742	5.281	NA	0.924	1.065	2.243
1943	0.993	1.027	1.207	2.804	NA	0.683	0.505	1.276
1944	0.245	0.528	0.975	1.551	1.634	0.269	0	0.632
1945	0.426	0.744	1.227	2.837	2.639	0.613	0.465	0.786
1946	0.583	0.675	1.112	5.605	4.871	0.506	0.555	0.943
