# Hughes - Argaa - LAGM - ITRDB RUSS190
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3562
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3562.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ190-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ190-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ190.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ190.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Argaa - LAGM - ITRDB RUSS190
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Argaa
#   Location: Sakha
#   Northernmost_Latitude: 69.12
#   Southernmost_Latitude: 69.12
#   Easternmost_Longitude: 150.27
#   Westernmost_Longitude: 150.27
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS190
#   First_Year: 1259
#   Last_Year: 1930
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RAS05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RAS061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RAS071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RAS08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RAS091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RAS101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RAS101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RAS05_raw	RAS061_raw	RAS071_raw	RAS08_raw	RAS091_raw	RAS101_raw
1431	0.42	0.3	0.52	NA	0.21	0.22
1432	0.21	0.42	0.45	NA	0.36	0.38
1433	0.43	0.48	0.5	NA	0.45	0.21
1434	0.33	0.22	0.36	NA	0.22	0.15
1435	0.39	0.41	0.28	NA	0.24	0.23
1436	0.23	0.21	0.45	NA	0.22	0.17
1437	0.19	0.29	0.43	NA	0.16	0.2
1438	0.18	0.31	0.55	NA	0.19	0.22
1439	0.28	0.39	0.47	NA	0.2	0.31
1440	0.37	0.39	0.57	NA	0.32	0.47
1441	0.44	0.53	0.49	NA	0.25	0.42
1442	0.38	0.28	0.49	NA	0.22	0.26
1443	0.43	0.42	0.71	NA	0.2	0.15
1444	0.36	0.35	0.62	NA	0.33	0.32
1445	0.32	0.4	0.56	NA	0.34	0.33
1446	0.35	0.44	0.55	NA	0.44	0.42
1447	0.14	0.39	0.57	NA	0.42	0.49
1448	0.22	0.52	0.77	NA	0.69	0.47
1449	0.28	0.44	0.57	NA	0.55	0.41
1450	0.14	0.67	0.52	NA	0.56	0.45
1451	0.07	0.46	0.39	NA	0.46	0.34
1452	0.1	0.58	0.41	NA	0.4	0.4
1453	0.09	0.34	0.41	NA	0.4	0.42
1454	0.2	0.75	0.48	NA	0.42	0.66
1455	0.18	0.44	0.43	NA	0.33	0.38
1456	0.12	0.62	0.73	NA	0.43	0.42
1457	0.12	0.57	0.47	NA	0.28	0.48
1458	0.09	0.32	0.3	NA	0.16	0.38
1459	0.13	0.27	0.37	NA	0.18	0.27
1460	0.18	0.42	0.31	NA	0.21	0.36
1461	0.2	0.46	0.31	NA	0.23	0.35
1462	0.22	0.56	0.44	NA	0.26	0.45
1463	0.09	0.03	0.09	NA	0.15	0.18
1464	0.14	0.29	0.27	NA	0.16	0.22
1465	0.19	0.51	0.24	NA	0.18	0.1
1466	0.14	0.47	0.25	NA	0.08	0.18
1467	0.02	0.29	0.19	NA	0.02	0.13
1468	0.06	0.3	0.27	NA	0.09	0.09
1469	0.12	0.47	0.49	NA	0.18	0.26
1470	0.1	0.33	0.35	NA	0.2	0.23
1471	0.18	0.44	0.36	NA	0.23	0.28
1472	0.26	0.58	0.45	NA	0.22	0.33
1473	0.1	0.21	0.12	NA	0.11	0.11
1474	0.14	0.25	0.18	NA	0.12	0.14
1475	0.12	0.54	0.34	NA	0.18	0.3
1476	0.13	0.44	0.31	NA	0.28	0.39
1477	0.07	0.28	0.2	NA	0.15	0.22
1478	0.08	0.39	0.3	NA	0.14	0.34
1479	0.04	0.2	0.22	NA	0.11	0.16
1480	0.13	0.34	0.24	NA	0.21	0.25
1481	0.15	0.17	0.24	NA	0.18	0.19
1482	0.15	0.44	0.29	NA	0.23	0.35
1483	0.18	0.35	0.44	NA	0.25	0.38
1484	0.09	0.39	0.42	NA	0.18	0.27
1485	0.12	0.49	0.37	NA	0.2	0.34
1486	0.12	0.57	0.36	NA	0.15	0.28
1487	0.11	0.37	0.26	NA	0.13	0.27
1488	0.16	0.52	0.31	NA	0.16	0.46
1489	0.14	0.25	0.11	NA	0.08	0.3
1490	0.27	0.43	0.32	NA	0.17	0.69
1491	0.22	0.36	0.3	NA	0.23	0.48
1492	0.2	0.25	0.22	NA	0.21	0.4
1493	0.14	0.34	0.24	NA	0.16	0.31
1494	0.29	0.3	0.3	NA	0.24	0.38
1495	0.09	0.07	0.05	NA	0.06	0.17
1496	0.22	0.33	0.21	NA	0.11	0.46
1497	0.12	0.19	0.15	NA	0.03	0.18
1498	0.17	0.27	0.21	NA	0.11	0.28
1499	0.11	0.29	0.23	NA	0.13	0.31
1500	0.12	0.37	0.22	NA	0.11	0.45
1501	0.1	0.31	0.29	NA	0.11	0.43
1502	0.09	0.36	0.36	NA	0.16	0.59
1503	0.15	0.43	0.31	NA	0.21	0.81
1504	0.04	0.14	0.11	NA	0.07	0.22
1505	0.14	0.37	0.26	NA	0.17	0.49
1506	0.14	0.25	0.22	NA	0.22	0.5
1507	0.12	0.28	0.27	NA	0.24	0.33
1508	0.18	0.36	0.35	NA	0.3	0.49
1509	0.14	0.17	0.26	NA	0.43	0.64
1510	0.11	0.23	0.24	NA	0.26	0.47
1511	0.12	0.17	0.24	NA	0.22	0.54
1512	0.08	0.37	0.3	NA	0.22	0.68
1513	0.11	0.44	0.29	NA	0.26	0.62
1514	0.07	0.21	0.17	NA	0.2	0.5
1515	0.08	0.28	0.23	NA	0.27	0.41
1516	0.14	0.32	0.23	NA	0.32	0.42
1517	0.14	0.25	0.17	NA	0.33	0.4
1518	0.16	0.34	0.19	NA	0.28	0.35
1519	0.19	0.24	0.16	NA	0.25	0.25
1520	0.24	0.25	0.19	NA	0.48	0.34
1521	0.17	0	0.1	NA	0.27	0.19
1522	0.31	0.12	0.23	NA	0.26	0.36
1523	0.27	0.22	0.18	NA	0.25	0.22
1524	0.38	0.19	0.28	NA	0.31	0.36
1525	0.29	0.31	0.4	NA	0.41	0.47
1526	0.45	0.23	0.42	NA	0.39	0.37
1527	0.68	0.32	0.42	NA	0.46	0.5
1528	0.48	0.18	0.14	NA	0.35	0.14
1529	0.46	0.26	0.23	NA	0.39	0.24
1530	0.48	0.11	0.14	NA	0.27	0.19
1531	0.63	0.14	0.17	NA	0.21	0.17
1532	0.54	0.28	0.25	NA	0.27	0.42
1533	0.55	0.43	0.26	NA	0.31	0.36
1534	0.4	0.19	0.17	NA	0.21	0.24
1535	0.32	0.32	0.29	NA	0.34	0.45
1536	0.25	0.28	0.31	NA	0.35	0.33
1537	0.12	0.17	0.11	NA	0.22	0.22
1538	0.1	0.17	0.13	NA	0.22	0.19
1539	0.1	0.12	0.16	NA	0.39	0.28
1540	0.19	0.12	0.19	NA	0.4	0.21
1541	0.1	0.05	0.04	NA	0.19	0.11
1542	0.12	0.04	0.07	NA	0.22	0.25
1543	0.11	0.06	0.1	NA	0.2	0.13
1544	0.18	0.35	0.18	NA	0.27	0.22
1545	0.09	0.25	0.07	NA	0.16	0.18
1546	0.05	0.17	0.05	NA	0.05	0.08
1547	0.15	0.46	0.18	NA	0.31	0.25
1548	0.13	0.37	0.18	NA	0.42	0.21
1549	0.13	0.34	0.15	NA	0.34	0.18
1550	0.12	0.29	0.13	NA	0.5	0.32
1551	0.19	0.18	0.13	NA	0.56	0.39
1552	0.2	0.43	0.23	NA	0.63	0.34
1553	0.16	0.37	0.17	NA	0.55	0.24
1554	0.14	0.34	0.14	NA	0.33	0.17
1555	0.06	0.36	0.13	NA	0.36	0.22
1556	0.09	0.22	0.21	NA	0.38	0.28
1557	0.04	0.12	0.04	NA	0.16	0.24
1558	0.17	0.43	0.36	NA	0.51	0.55
1559	0.09	0.28	0.21	NA	0.26	0.4
1560	0.09	0.37	0.21	NA	0.3	0.42
1561	0.11	0.31	0.19	NA	0.26	0.36
1562	0.12	0.54	0.3	NA	0.31	0.3
1563	0.22	0.35	0.26	NA	0.37	0.58
1564	0.09	0.22	0.14	NA	0.21	0.37
1565	0.17	0.47	0.33	NA	0.25	0.4
1566	0.07	0.47	0.45	NA	0.29	0.27
1567	0.14	0.35	0.42	NA	0.18	0.21
1568	0.18	0.65	0.9	NA	0.34	0.65
1569	0.19	0.51	0.59	NA	0.25	0.47
1570	0.08	0.29	0.12	NA	0.13	0.14
1571	0.18	0.38	0.45	NA	0.3	0.34
1572	0.04	0.06	0.07	NA	0.04	0.05
1573	0.2	0.44	0.49	NA	0.38	0.51
1574	0.12	0.33	0.37	NA	0.28	0.28
1575	0.12	0.41	0.35	NA	0.27	0.35
1576	0.03	0.04	0.03	NA	0.03	0.07
1577	0.07	0.27	0.38	NA	0.3	0.45
1578	0.04	0.31	0.29	NA	0.21	0.32
1579	0.09	0.34	0.34	NA	0.31	0.27
1580	0	0.1	0.06	NA	0.03	0.13
1581	0.04	0.25	0.48	NA	0.32	0.27
1582	0.04	0.08	0.07	NA	0.19	0.13
1583	0.12	0.13	0.1	NA	0.09	0.09
1584	0.03	0.2	0.03	NA	0.02	0.09
1585	0.09	0.08	0.02	NA	0	0.02
1586	0.07	0.2	0.18	NA	0.12	0.22
1587	0.06	0.25	0.16	NA	0.12	0.21
1588	0.1	0.4	0.25	NA	0.13	0.26
1589	0.07	0.21	0.17	NA	0.14	0.18
1590	0.06	0.44	0.33	NA	0.17	0.28
1591	0.06	0.29	0.27	NA	0.19	0.22
1592	0.11	0.39	0.27	NA	0.21	0.18
1593	0.1	0.31	0.45	NA	0.28	0.24
1594	0.15	0.3	0.45	NA	0.33	0.24
1595	0.14	0.37	0.57	NA	0.37	0.31
1596	0.07	0.11	0.21	NA	0.13	0.12
1597	0.11	0.18	0.28	NA	0.23	0.2
1598	0.16	0.25	0.41	NA	0.29	0.3
1599	0.18	0.19	0.39	NA	0.32	0.31
1600	0.2	0.25	0.39	NA	0.29	0.35
1601	0.14	0.16	0.21	NA	0.21	0.12
1602	0.21	0.24	0.17	NA	0.16	0.2
1603	0.19	0.33	0.3	NA	0.33	0.19
1604	0.37	0.17	0.32	NA	0.33	0.28
1605	0.09	0.08	0.09	NA	0.09	0.14
1606	0.13	0.3	0.39	NA	0.34	0.34
1607	0.1	0.25	0.21	NA	0.26	0.13
1608	0.11	0.22	0.21	NA	0.15	0.14
1609	0.11	0.31	0.3	NA	0.14	0.18
1610	0.08	0.4	0.34	NA	0.12	0.15
1611	0.1	0.41	0.46	NA	0.17	0.2
1612	0.11	0.63	0.51	NA	0.18	0.21
1613	0.15	0.61	0.38	NA	0.19	0.27
1614	0.11	0.36	0.26	NA	0.17	0.15
1615	0.15	0.51	0.37	NA	0.21	0.3
1616	0.17	0.33	0.27	NA	0.14	0.18
1617	0.12	0.54	0.3	NA	0.21	0.43
1618	0.29	0.59	0.37	NA	0.35	0.53
1619	0.24	0.32	0.18	NA	0.3	0.48
1620	0.16	0.59	0.22	NA	0.22	0.33
1621	0.05	0.41	0.03	NA	0.05	0.23
1622	0.14	0.74	0.2	NA	0.28	0.41
1623	0.2	0.87	0.37	NA	0.34	0.5
1624	0.26	0.78	0.46	NA	0.38	0.63
1625	0.33	0.52	0.25	NA	0.47	0.47
1626	0.53	0.8	0.38	NA	0.65	0.57
1627	0.37	0.52	0.17	NA	0.39	0.41
1628	0.35	0.37	0.19	NA	0.32	0.5
1629	0.42	0.55	0.28	NA	0.34	0.66
1630	0.37	0.82	0.34	NA	0.22	0.95
1631	0.24	0.93	0.11	NA	0.11	0.88
1632	0.23	0.44	0.21	NA	0.19	0.67
1633	0.22	0.55	0.45	NA	0.35	0.78
1634	0.17	0.6	0.28	NA	0.37	0.59
1635	0.15	0.37	0.36	NA	0.38	0.51
