# Hughes - Sonmarg - ABPI - ITRDB INDI005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3577
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3577.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi005-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi005-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi005.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Sonmarg - ABPI - ITRDB INDI005
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sonmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 34.58
#   Southernmost_Latitude: 34.58
#   Easternmost_Longitude: 75.55
#   Westernmost_Longitude: 75.55
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI005
#   First_Year: 1732
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LI016_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI016; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI017_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI017; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LI016_raw	LI020_raw	LI017_raw	LI022_raw
1732	4.8	NA	NA	NA
1733	5.2	NA	NA	NA
1734	2.6	NA	NA	NA
1735	4.1	NA	NA	NA
1736	5.1	NA	NA	NA
1737	4.5	NA	NA	NA
1738	4	NA	NA	NA
1739	4.8	NA	NA	NA
1740	4.5	NA	NA	NA
1741	3.6	NA	NA	NA
1742	5.3	NA	NA	NA
1743	4.3	NA	NA	NA
1744	6.3	13.9	NA	NA
1745	5.3	17	NA	NA
1746	6	12.1	NA	NA
1747	5.3	18.6	NA	NA
1748	5.6	14.9	NA	NA
1749	5.8	12	NA	NA
1750	4.7	13.4	NA	NA
1751	7.6	15.1	NA	NA
1752	6.2	13.3	NA	NA
1753	7.2	15.3	NA	NA
1754	8	9	NA	NA
1755	7.3	6.6	NA	NA
1756	8.9	9.1	NA	NA
1757	5.6	8.5	NA	NA
1758	6.5	10.8	NA	NA
1759	8.8	20.3	NA	NA
1760	7.9	18	NA	NA
1761	7.3	15.1	NA	NA
1762	5.7	11.3	NA	NA
1763	8	15.3	NA	NA
1764	9.1	16.5	NA	NA
1765	9	13.1	NA	NA
1766	8.8	20.7	NA	NA
1767	7.7	17.7	NA	NA
1768	7.9	16.7	NA	NA
1769	8	15.3	NA	NA
1770	8.9	12.7	NA	NA
1771	7	12.2	NA	NA
1772	9.8	10.8	NA	NA
1773	10.2	8.6	NA	NA
1774	7	18.1	NA	NA
1775	10.4	25.1	NA	NA
1776	9.4	18.4	NA	NA
1777	9	15.3	NA	NA
1778	8.8	14.2	NA	NA
1779	10.3	12.9	NA	NA
1780	8.7	10.7	NA	NA
1781	10	9.7	NA	NA
1782	8.4	10.9	NA	NA
1783	10.5	11.9	NA	NA
1784	8.5	8.6	NA	NA
1785	6.4	9.4	NA	NA
1786	7.1	11.9	NA	NA
1787	8.4	11.2	NA	NA
1788	8.5	8.4	NA	NA
1789	8.1	8.3	22.7	NA
1790	7.5	9	27.2	NA
1791	8.9	12.6	23.9	NA
1792	11.9	16.1	17.2	NA
1793	11.3	10.2	10.8	NA
1794	10.9	9.8	11.6	26.9
1795	7.9	6.6	11.5	26.5
1796	9.9	9.2	19	32.3
1797	9.5	7.2	20.9	21.6
1798	9.5	10.5	37.7	25.8
1799	10.6	9.3	37.7	35
1800	11.7	8.6	31.9	30.5
1801	11.7	10.6	22.4	30.6
1802	9.8	9.4	21.8	24.2
1803	9.9	12.6	23.4	28.3
1804	11.1	12.7	21.8	21.1
1805	8.7	8.4	20.1	26.8
1806	10.5	8.1	17.1	25.3
1807	10.9	10.7	17.7	27.7
1808	11.6	9.8	14.1	32.5
1809	11.3	11.4	14.8	27.3
1810	12.6	10.1	14.7	33.4
1811	12.3	11.5	12.9	34.5
1812	10.7	9.6	18.9	18.2
1813	12.9	9.2	20	22.4
1814	14	9.1	19.7	25.1
1815	12.8	10.8	16.1	7.5
1816	15.1	10.3	14.5	15.1
1817	13.7	7.9	13.7	13
1818	13.3	10.3	15.7	14.8
1819	13.9	9.2	15.3	14.3
1820	13.7	7.2	18.2	17.6
1821	14.4	7.5	14.5	18
1822	16.1	7.2	11.9	15.6
1823	12.7	7.3	10	13.1
1824	14.2	7.4	12.6	15.1
1825	11.3	6.1	12.3	15.8
1826	13.1	6.7	15.6	17.5
1827	13.9	4.7	11.9	21.4
1828	13.1	4.6	16.8	25.6
1829	15.8	6.8	27.2	21.2
1830	14.8	6.8	25.9	26.4
1831	13.7	5.8	24.9	25.8
1832	12.5	6.9	20.1	19.6
1833	9.9	5.6	19.2	19.3
1834	10.4	4.8	15.9	20.1
1835	10.5	4.8	16.6	20.2
1836	9.6	4.5	18.9	22.1
1837	8.9	6.6	16.5	20.9
1838	10.4	6.5	17.8	25.9
1839	10.9	8.2	19.9	21.9
1840	12.2	10.7	23.1	32.5
1841	9.2	10.6	17.5	24.8
1842	11.6	9.5	17.9	19.7
1843	10.7	7.7	12.6	18.8
1844	9.1	5.2	12.2	16.3
1845	8.7	5	10.8	15.4
1846	8	4.8	11.1	14
1847	8	4.5	9.1	13.8
1848	9.9	6	10.4	17
1849	9.2	5.6	11.1	14.1
1850	10.3	5.8	11.6	15.2
1851	12.1	7.4	12.1	18
1852	10.9	7.6	13.5	16.8
1853	10.8	6.6	13.5	15.9
1854	12.8	6.1	13.4	17.6
1855	10.6	6.2	11.9	17.1
1856	11	6.6	12.8	19.7
1857	13.8	7	15.2	21.4
1858	12	8.9	17.8	19.9
1859	7.9	8.8	11.4	20.5
1860	9.9	8.7	13.4	21.4
1861	10.2	6	8.9	18.3
1862	11.9	6.4	10.1	18.7
1863	10.5	5.9	9.9	18.2
1864	9.2	6.6	10	17.4
1865	11.4	4.3	13.2	13.5
1866	9.7	3.9	11.8	15
1867	9	2.9	11.9	14.4
1868	8.9	3	13.1	11.9
1869	7.6	3.4	13.4	15.2
1870	11.2	5.5	13.1	18.7
1871	10.1	6.2	15.4	16.6
1872	9.1	6.3	15.1	15.2
1873	9.9	6.1	14.8	16.2
1874	9.8	5.1	12.7	12.4
1875	10.2	6.9	11.2	15.2
1876	11.8	7.6	16.2	16.4
1877	11.1	6.7	13	17.3
1878	10.2	6.4	14.7	18
1879	10	4.6	12.8	14.5
1880	11.6	6.6	13.5	16.4
1881	10.1	6.3	12.4	20.5
1882	9.2	5.7	11.7	18.8
1883	9	5.8	10.7	18
1884	7.9	5.7	11.3	15.2
1885	7.4	4.4	8.4	14.8
1886	9.7	5.9	12.6	17.3
1887	7.8	6.1	11.7	12.7
1888	9.2	7.1	12.8	13.3
1889	9.8	5.9	13.4	17.7
1890	9	6	13.5	17.5
1891	9.8	5.2	13.7	19.2
1892	9	6.2	10	15.9
1893	9.6	8	13.3	22.7
1894	11	8.4	17	21.1
1895	9	7.6	13.3	15.6
1896	8.3	8.6	12.5	18.2
1897	7	6.5	10.4	13.2
1898	9.6	6.2	13.9	16.3
1899	5.6	6.2	10.4	11.9
1900	7.4	5	13.2	12.2
1901	7.1	6	16.5	15.7
1902	7.1	5.6	14.8	15.1
1903	7.7	6.3	15.6	20.5
1904	8.5	4.9	18.6	25
1905	8.8	4.6	13.9	18.6
1906	7.8	4.2	13.5	17
1907	6.4	4.7	15.1	15.5
1908	7.4	5.7	16.7	16.2
1909	6.2	6.5	13.5	15.9
1910	5.2	6.4	8.1	13
1911	5.5	6.1	7.9	11.7
1912	5	5.3	8.4	14
1913	5.4	6.6	8.8	13.2
1914	5.9	6.4	12.7	17.5
1915	4.2	4.6	9.1	13.1
1916	3.8	4.7	8.2	13.2
1917	4.9	4.1	12	13.4
1918	4.2	3	9.8	12
1919	5.7	4.9	14.7	15
1920	5.3	4.4	16	13.6
1921	5.5	4.8	17.1	15.7
1922	5.4	4.6	18.2	17.4
1923	5	5.6	13.4	17.8
1924	3.7	4.4	11.9	18.1
1925	4.9	4.6	10.3	15.4
1926	4.2	3.8	10	16.4
1927	5.9	3	19.2	17.8
1928	6.4	4.2	22	15.2
1929	7.1	4.7	22.5	18.9
1930	9.3	6.2	24.2	19.1
1931	9.8	5.8	20.9	15.5
1932	13.5	5.8	17.5	14.8
1933	9.5	5.8	15.5	15.9
1934	8.3	4.6	15.9	14.1
1935	9	5.7	15.4	16
1936	10.6	5.7	16.2	16.8
1937	8.9	5	13.6	14.9
1938	10.2	4.3	14.7	13.9
1939	9.2	5.1	9.5	13.7
1940	9.9	5.1	9.4	12
1941	9.5	4.8	9.8	12
1942	11.7	4.9	11.8	13.8
1943	10.7	4.7	11.9	14.1
1944	11.5	5.7	15.5	14.4
1945	10.8	6.3	32.5	13.5
1946	9.8	6	24	11.5
1947	10	8.8	24.6	10.2
1948	12	14.4	30.3	16.9
1949	14.2	18.1	23.6	19
1950	10.7	12.8	15.1	13.7
1951	13.2	9.8	15	18.3
1952	11.2	8.2	14.2	15.3
1953	10.7	7.6	12.1	13.6
1954	9.8	7.8	13.6	14
1955	8.8	5.1	11.7	14.2
1956	9.6	4.9	13.6	11.9
1957	8	4.3	6.1	11
1958	9.5	4.8	8	14
1959	8.7	4.6	12.9	15.2
1960	7.2	4.3	15.4	13.1
1961	9.5	3.7	10.7	10.8
1962	8.1	2.3	11.2	10.6
1963	8.2	2.7	9.7	12
1964	7.4	3.5	9.9	11.4
1965	8.5	4.2	12.2	11.7
1966	7.6	3.8	14.5	14
1967	8.2	6.6	12.9	13.1
1968	7.4	5	10	13.4
1969	8.3	4.6	12	15.5
1970	8.3	5.2	10.6	13.5
1971	10.8	10.8	14	12.1
1972	9	10.5	16.9	9
1973	9.5	10.8	19.8	12.9
1974	8.2	14.1	16.7	13.1
1975	7.2	12.9	13.9	14
1976	7.5	11.2	13.5	14.7
1977	10.7	16.6	10.4	16.2
1978	9.6	19.2	4.3	17.5
1979	9.7	21.3	3.7	17.3
1980	12.6	20.1	3.5	19.5
