# Wang - East Tianmu Mountain - PITW - ITRDB CHIN081
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27451
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27451.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/chin081-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; chin081-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/chin081.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/chin081.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-09-04
#--------------------
# File_Last_Modified_Date
#   Date: 2019-09-04
#--------------------
# Title
#   Study_Name: Wang - East Tianmu Mountain - PITW - ITRDB CHIN081
#--------------------
# Investigators
#   Investigators: Wang, F.(https://orcid.org/0000-0002-9562-4849); Liao, Q.; Pan, B.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: Feng Wang, Dominique Arseneault, Biao Pan, Qian Liao, Junji Sugiyama
#   Journal_Name: Dendrochronologia
#   Published_Title: Pre-1930 unstable relationship between climate and tree-ring width of Pinus taiwanensis hayata in southeastern China
#   Published_Date_or_Year: 2019
#   Volume: 57
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.1016/j.dendro.2019.125629
#   Full_Citation: None
#   Abstract: Although it has been widely recognized that tree-ring response to climate drivers may change over recent decades, often due to anthropogenic environment changes, there are fewer reports of such changes in earlier pre-warming periods. In this paper we report on the pre-1930 unstable relationship between climate and tree-ring width (TRW) of Pinus taiwanensis Hayata in southeastern China based on reliable long-term temperature data. TRW of P. taiwanensis is strongly controlled by temperatures in two seasons, previous spring to summer (March to August, mainly June to July) and previous winter to current spring (December to March). However, TRW are insensitive to previous spring to summer temperature between 1890 and 1930. Reduced summer temperature variability, changing regimes of spring-summer temperature and precipitation, and complicated tree physiological processes behind the complex growth-climate relationship are the more likely causes of this phenomenon. This study adds to the body of knowledge that lower climate sensitivity of tree rings is not specific to the most recent decades.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: East Tianmu Mountain
#   Location: China
#   Northernmost_Latitude: 30.35
#   Southernmost_Latitude: 30.35
#   Easternmost_Longitude: 119.52
#   Westernmost_Longitude: 119.52
#   Elevation_m: 950
#--------------------
# Data_Collection
#   Collection_Name: CHIN081
#   First_Year: 1826
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus taiwanensis Hayata
#   Common_Name: Taiwan pine
#   Tree_Species_Code: PITW
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TMD01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TMD14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TMD14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TMD01_raw	TMD02_raw	TMD03_raw	TMD04_raw	TMD05_raw	TMD06_raw	TMD07_raw	TMD09_raw	TMD10_raw	TMD13_raw	TMD14_raw
1826	NA	NA	NA	4.02	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	4.98	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	NA	4.26	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	NA	5.2	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	NA	1.48	NA	NA	NA	1.99	NA	NA	NA
1831	NA	NA	NA	0.26	NA	NA	NA	2.83	NA	NA	NA
1832	NA	NA	NA	1.03	NA	NA	NA	2.68	NA	NA	NA
1833	NA	NA	NA	1.6	NA	NA	NA	2.58	NA	NA	NA
1834	NA	NA	NA	2.16	NA	NA	NA	2.94	NA	NA	NA
1835	NA	NA	NA	2.21	NA	NA	NA	2.22	NA	NA	NA
1836	NA	NA	NA	2.2	NA	NA	NA	1.31	NA	NA	NA
1837	NA	NA	NA	3.7	NA	NA	NA	1.52	NA	NA	NA
1838	NA	NA	NA	4.29	NA	NA	NA	2.63	NA	NA	NA
1839	NA	NA	NA	3.86	NA	NA	NA	2.37	NA	NA	NA
1840	NA	NA	NA	4.95	NA	NA	NA	2.1	NA	NA	NA
1841	NA	NA	NA	4.06	NA	NA	NA	1.69	NA	NA	NA
1842	NA	NA	NA	3.18	NA	NA	NA	2.21	NA	NA	NA
1843	NA	NA	NA	3.58	NA	NA	NA	2.33	NA	NA	NA
1844	NA	NA	NA	1.04	NA	NA	NA	2.56	NA	NA	NA
1845	NA	NA	NA	0.48	NA	NA	NA	2.58	NA	NA	4.93
1846	NA	NA	NA	1.2	NA	NA	NA	1.8	5.13	2.03	3.57
1847	NA	NA	NA	2.18	NA	NA	NA	1.52	3.52	2.24	3.7
1848	NA	NA	NA	1.5	NA	NA	NA	1.4	5.52	0.91	3.62
1849	NA	NA	NA	1.26	NA	NA	NA	0.76	4.88	1.4	2.34
1850	NA	NA	NA	1.49	NA	NA	NA	0.75	2.96	2.04	2.96
1851	NA	NA	NA	1.72	NA	NA	NA	1.08	2.05	1.62	3.11
1852	NA	NA	NA	1.5	NA	NA	NA	1	4.9	1	2.34
1853	NA	NA	NA	1.9	NA	NA	NA	0.64	2.8	2.16	3.36
1854	NA	NA	NA	1.76	NA	NA	NA	0.47	2.23	2.24	1.94
1855	NA	NA	4.97	0	NA	NA	NA	0.68	0.73	0.36	2.92
1856	NA	NA	5.51	0.13	NA	NA	NA	1.13	1.42	0.67	3.48
1857	NA	NA	4.23	0.23	NA	NA	NA	1.1	2.03	1.46	2.88
1858	NA	NA	4.01	0.22	NA	NA	NA	1.14	2.26	1.58	2.42
1859	NA	NA	3.28	0.38	NA	NA	3.88	0.82	2.66	1.92	2.94
1860	NA	NA	2.62	0.37	NA	NA	3.36	0.33	2.74	2.08	1.52
1861	NA	NA	2.44	0.36	NA	NA	3.21	0.48	2.82	2.53	2.09
1862	NA	NA	3.71	0.66	NA	NA	3.74	0.8	3.96	2.34	3.26
1863	NA	NA	4.04	1.04	NA	NA	4.03	1.05	4.35	2.78	3.5
1864	NA	NA	3.88	1.64	NA	NA	2.8	1.58	2.99	2.89	2.62
1865	NA	NA	2.78	1.48	NA	NA	2.67	0.82	1.9	1.17	2.31
1866	NA	2.43	3.56	1.72	4.06	NA	2.11	0.86	1.9	1.48	2.6
1867	NA	2.47	3.86	1.34	2.42	NA	2.95	0.89	2.39	1.91	2.88
1868	NA	2.67	3.7	2.32	4.18	3.6	3.07	1.43	1.36	2.88	2.82
1869	NA	2.22	2.84	1.06	4	1.33	1.42	1.14	0.63	0.8	1.83
1870	NA	2.24	1.89	0.39	5.58	2.05	1.05	0.11	1.08	0.76	1.12
1871	NA	2.07	3.52	1.42	6.16	2.23	1.45	1.02	3.11	1.2	2.77
1872	NA	2.28	2.02	1.6	5.23	2.92	1.71	1.58	3.48	3	3.48
1873	NA	1.77	1.86	0.66	4.18	2.96	1.3	1.42	2.42	1.51	2.98
1874	NA	2.17	2.32	1.26	5.89	4.37	2.62	1.63	2.28	2.1	2.53
1875	NA	2.33	2.46	1.52	4.28	2.84	2.13	1.46	1.76	1.97	2.45
1876	NA	1.67	2	1.15	3.04	2.44	2.33	0.97	1.87	0.94	1.94
1877	NA	1.58	1.67	0.9	2.27	2.5	1.27	0.92	1.74	0.78	1.58
1878	NA	1.64	1.73	1.53	2.81	2.58	1.68	0.96	1.84	1.38	1.76
1879	NA	1.06	2.72	1.84	2.5	2.21	1.75	1.6	1.64	1.64	2.47
1880	NA	1.43	2.94	1.8	3.66	3.34	2.19	1.7	1.9	1.62	3.1
1881	NA	1.13	1.82	1.05	3.94	2.03	1.98	1.14	1.22	1.08	1.88
1882	NA	1.55	2.38	1.94	4.48	2.72	1.64	1.34	1.93	1.65	1.97
1883	NA	1.59	1.85	2.15	3.76	2.25	1.67	0.96	1.49	0.77	1.56
1884	NA	1.37	1.9	2.53	3.2	2.24	1.62	1.02	1.64	0.95	1.69
1885	NA	0.82	1.14	1.54	1.71	2.02	1.18	0.78	1.4	0.84	1.26
1886	0.48	0.7	1.58	1.28	1.75	2.26	1.76	1.18	2.17	1.24	2.22
1887	0.43	0.28	1.82	1.49	1.06	1.74	1.58	1.09	2.42	1.2	1.92
1888	0.59	0.36	1.42	0.98	0.82	1.44	1.56	0.92	2.2	0.36	1.58
1889	0.58	0.6	1.05	0.58	0.93	1.04	0.46	0.88	1.24	0.32	0.98
1890	1.54	0.88	1.32	0.74	0.81	1.24	0.78	1.05	1.8	0.59	0.85
1891	1.77	1.24	1.92	1.26	1.41	1.48	1.56	1.35	1.84	1.23	1.41
1892	1.59	1.18	1.58	1.08	1.26	1.28	1.4	0.64	1.33	0.91	1.02
1893	1.44	1.24	1.54	1.22	1.7	1.78	1.83	1.02	1.24	1.04	0.95
1894	1.27	1.72	1.65	1.12	0.96	1.42	1.71	0.98	1.02	1.04	0.96
1895	1.66	1.03	1.52	0.87	1.2	1.54	1.44	0.97	1.2	0.86	1.06
1896	1.36	1.35	2.22	1.06	1.53	1.92	1.43	1.3	1.22	0.93	1.18
1897	1.33	1.88	1.92	0.86	1.69	1.68	1.7	1.47	1.22	1.16	0.72
1898	1.12	1.36	1.37	0.49	1.23	1.6	1.2	1.16	1.14	0.95	0.6
1899	1.78	1.44	1.84	0.6	1.32	1.7	1.42	1.03	1.06	1.13	0.54
