# Cook - Altai NCH - LASI - ITRDB RUSS232
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/15348
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-15348.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES Asia 2k
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ232-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ232-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ232.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ232.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2013-07-20
#--------------------
# File_Last_Modified_Date
#   Date: 2013-07-20
#--------------------
# Title
#   Study_Name: Cook - Altai NCH - LASI - ITRDB RUSS232
#--------------------
# Investigators
#   Investigators: Cook, E.R.(https://orcid.org/0000-0001-7478-4176)
#--------------------
# Description_Notes_and_Keywords
#   Description: Purpose of Collection: 
# # Climatology - temperature analyses NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: PAGES 2k Consortium
#   Journal_Name: Nature Geoscience
#   Published_Title: Continental-scale temperature variability during the past two millennia
#   Published_Date_or_Year: 2013
#   Volume: 6
#   Pages: 339-346
#   Issue: 
#   Report_Number: 
#   DOI: 10.1038/NGEO1797
#   Full_Citation: None
#   Abstract: Past global climate changes had strong regional expression. To elucidate their spatio-temporal pattern, we reconstructed past temperatures for seven continental-scale regions during the past one to two millennia. The most coherent feature in nearly all of the regional temperature reconstructions is a long-term cooling trend, which ended late in the nineteenth century. At multi-decadal to centennial scales, temperature variability shows distinctly different regional patterns, with more similarity within each hemisphere than between them. There were no globally synchronous multi-decadal warm or cold intervals that define a worldwide Medieval Warm Period or Little Ice Age, but all reconstructions show generally cold conditions between ad 1580 and 1880, punctuated in some regions by warm decades during the eighteenth century. The transition to these colder conditions occurred earlier in the Arctic, Europe and Asia than in North America or the Southern Hemisphere regions. Recent warming reversed the long-term cooling; during the period ad 1971-2000, the area-weighted average reconstructed temperature was higher than any other time in nearly 1,400 years.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Altai NCH
#   Location: Russia
#   Northernmost_Latitude: 50.1667
#   Southernmost_Latitude: 50.1667
#   Easternmost_Longitude: 87.8333
#   Westernmost_Longitude: 87.8333
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: RUSS232
#   First_Year: 1418
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ALTt01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt05c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt05c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALTt16a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALTt16a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## korc13b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: korc13b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## krmdx_74_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: krmdx_74; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALT0375_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALT0375; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KORC-09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KORC-09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KORC-11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KORC-11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KORC10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KORC10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## korc-12b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: korc-12b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KORC-18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KORC-18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KORC19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KORC19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ALTt01b_raw	ALTt02b_raw	ALTt04b_raw	ALTt05c_raw	ALTt06b_raw	ALTt07b_raw	ALTt10a_raw	ALTt11a_raw	ALTt14a_raw	ALTt15a_raw	ALTt16a_raw	korc13b_raw	krmdx_74_raw	ALT0375_raw	KORC-09A_raw	KORC-11A_raw	KORC10A_raw	korc-12b_raw	KORC-18B_raw	KORC19B_raw
1418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA
1419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA
1420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA	NA	NA	NA	NA	NA
1421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75	NA	NA	NA	NA	NA	NA
1422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA
1423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA
1424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA
1425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA
1426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	NA
1427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA
1428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA
1429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	NA
1430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	NA	NA	NA	NA	NA	NA
1431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34	NA	NA	NA	NA	NA	NA
1432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA	NA
1433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34	NA	NA	NA	NA	NA	NA
1434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA
1435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82	NA	NA	NA	NA	NA	NA
1436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA
1437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA
1438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA
1439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	NA
1440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA
1441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA
1442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA
1443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	NA
1444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45	NA	NA	NA	NA	NA	NA
1445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA
1446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA
1447	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63	NA	NA	NA	NA	NA	NA
1448	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
1449	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA
1450	NA	NA	0.33	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA
1451	NA	NA	0.65	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA
1452	NA	NA	0.51	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA
1453	NA	NA	0.5	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA
1454	NA	NA	0.53	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA	NA	NA	NA	NA
1455	NA	NA	0.85	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA
1456	NA	NA	0.76	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	NA	NA	NA	NA	NA	NA
1457	NA	NA	0.7	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA
1458	NA	NA	0.78	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
1459	NA	NA	0.57	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA
1460	1.5	NA	0.85	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA
1461	1.52	NA	0.73	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA
1462	1.5	NA	0.73	1.45	NA	NA	NA	NA	NA	NA	NA	2.05	NA	1.2	NA	NA	NA	NA	NA	NA
1463	1.02	NA	0.6	1.1	NA	NA	NA	NA	NA	NA	NA	1.24	NA	0.72	NA	NA	NA	NA	NA	NA
1464	0.99	NA	0.83	1.14	NA	NA	NA	NA	NA	NA	NA	1.41	NA	0.96	NA	NA	NA	NA	NA	NA
1465	1.17	NA	0.91	1	NA	NA	NA	NA	NA	NA	NA	1.69	NA	0.91	NA	NA	NA	NA	NA	NA
1466	0.56	NA	0.38	0.6	NA	NA	NA	NA	NA	NA	NA	1.2	NA	0.58	NA	NA	NA	NA	NA	NA
1467	0.77	NA	0.51	0.79	NA	NA	NA	NA	NA	NA	NA	1.61	NA	0.9	NA	NA	NA	NA	NA	NA
1468	0.78	NA	0.58	0.99	NA	NA	NA	NA	NA	NA	NA	1.83	NA	0.87	NA	NA	NA	NA	NA	NA
1469	0.69	NA	0.79	0.9	NA	NA	NA	NA	NA	NA	NA	1.77	NA	0.79	NA	NA	NA	NA	NA	NA
1470	0.55	NA	0.49	0.71	NA	NA	NA	NA	NA	NA	NA	1.71	NA	0.72	NA	NA	NA	NA	NA	NA
1471	0.75	NA	0.62	0.78	NA	NA	NA	NA	NA	NA	NA	1.45	NA	0.64	NA	NA	NA	NA	NA	NA
1472	0.83	NA	0.54	0.55	NA	NA	NA	NA	NA	NA	NA	1.37	NA	0.68	NA	NA	NA	NA	NA	NA
1473	1.19	NA	0.66	1.19	NA	NA	NA	NA	NA	NA	NA	1.22	NA	0.93	NA	NA	NA	NA	NA	NA
1474	1.32	NA	0.71	0.92	NA	NA	NA	NA	NA	NA	NA	1.46	NA	0.61	NA	NA	NA	NA	NA	NA
1475	1.75	NA	1.02	1.26	NA	NA	NA	NA	NA	NA	NA	1.86	NA	0.71	NA	NA	NA	NA	NA	NA
1476	1.73	NA	0.71	1.07	NA	NA	NA	NA	NA	NA	NA	1.64	NA	0.63	NA	NA	NA	NA	NA	NA
1477	1.47	NA	0.64	1.06	NA	NA	NA	NA	NA	NA	NA	1.61	NA	0.76	NA	NA	NA	NA	NA	NA
1478	1.61	NA	0.49	0.82	NA	NA	NA	NA	NA	NA	NA	1.73	NA	0.61	NA	NA	NA	NA	NA	NA
1479	1.5	NA	0.45	0.71	NA	NA	NA	NA	NA	NA	NA	1.34	NA	0.39	NA	NA	NA	NA	NA	NA
