# Hughes - Lakeside south of Chokurdak - LAGM - ITRDB RUSS185
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3571
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3571.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ185-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ185-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ185.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ185.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Lakeside south of Chokurdak - LAGM - ITRDB RUSS185
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lakeside south of Chokurdak
#   Location: Sakha
#   Northernmost_Latitude: 70.5
#   Southernmost_Latitude: 70.5
#   Easternmost_Longitude: 148.13
#   Westernmost_Longitude: 148.13
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS185
#   First_Year: 1522
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LAK02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LAK10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LAK10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LAK02_raw	LAK03_raw	LAK041_raw	LAK05A_raw	LAK06A_raw	LAK06B_raw	LAK07_raw	LAK08_raw	LAK09_raw	LAK10_raw
1412	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA
1413	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA
1414	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA
1415	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA
1416	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA
1417	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA
1418	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA
1419	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA
1420	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA
1421	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA
1422	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA
1423	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1424	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1425	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA
1426	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA
1427	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA
1428	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
1429	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA
1430	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA
1431	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA
1432	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA
1433	NA	0.44	NA	NA	NA	NA	NA	NA	NA	NA
1434	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA
1435	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA
1436	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA
1437	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1438	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1439	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA
1440	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1441	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA
1442	NA	0.45	NA	NA	NA	NA	NA	NA	NA	NA
1443	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1444	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA
1445	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1446	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA
1447	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA
1448	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA
1449	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA
1450	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA
1451	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1452	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA
1453	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA
1454	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA
1455	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA
1456	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA
1457	NA	0.59	NA	NA	NA	NA	NA	NA	NA	NA
1458	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA
1459	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA
1460	NA	0.52	NA	NA	NA	NA	NA	NA	NA	NA
1461	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA
1462	NA	0.54	NA	NA	NA	NA	NA	NA	NA	NA
1463	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA
1464	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA
1465	NA	0.24	NA	NA	NA	NA	NA	NA	NA	NA
1466	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA
1467	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA
1468	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA
1469	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA
1470	NA	0.19	NA	NA	NA	NA	NA	NA	NA	NA
1471	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA
1472	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA
1473	NA	0.07	NA	NA	NA	NA	NA	NA	NA	NA
1474	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA
1475	NA	0.58	NA	NA	NA	NA	NA	NA	NA	NA
1476	NA	1.02	NA	NA	NA	NA	NA	NA	NA	NA
1477	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA
1478	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA
1479	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA
1480	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA
1481	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA
1482	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA
1483	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA
1484	NA	0.45	NA	NA	NA	NA	NA	NA	NA	NA
1485	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA
1486	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA
1487	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA
1488	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA
1489	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA
1490	NA	0.53	NA	NA	NA	NA	NA	NA	NA	NA
1491	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
