# Stefanuk - Algonquin Highlands AL10 - ACSH - ITRDB CANA624
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32601
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32601.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana624-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana624-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana624.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana624.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL10 - ACSH - ITRDB CANA624
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL10
#   Location: Canada
#   Northernmost_Latitude: 45.689022
#   Southernmost_Latitude: 45.689022
#   Easternmost_Longitude: -78.632638
#   Westernmost_Longitude: -78.632638
#   Elevation_m: 512
#--------------------
# Data_Collection
#   Collection_Name: CANA624
#   First_Year: 1825
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 070AL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 070AL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 070AL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 070AL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 071AL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 071AL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 072AL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 072AL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 072AL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 072AL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 073AL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 073AL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 074AL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 074AL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 074AL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 074AL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 075AL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 075AL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 075AL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 075AL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	070AL10A_raw	070AL10B_raw	071AL10A_raw	072AL10A_raw	072AL10B_raw	073AL10B_raw	074AL10A_raw	074AL10B_raw	075AL10A_raw	075AL10B_raw
1825	NA	NA	NA	NA	NA	NA	0.193	NA	NA	NA
1826	NA	NA	NA	NA	NA	NA	0.418	NA	NA	NA
1827	NA	NA	NA	NA	NA	NA	0.03	NA	NA	NA
1828	NA	NA	NA	NA	NA	NA	0.113	NA	NA	NA
1829	NA	NA	NA	NA	NA	NA	0.107	NA	NA	NA
1830	NA	NA	NA	NA	NA	NA	0.084	NA	NA	NA
1831	NA	NA	NA	NA	NA	NA	0.162	NA	NA	NA
1832	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
1833	NA	NA	NA	NA	NA	NA	0.144	NA	NA	NA
1834	NA	NA	NA	NA	NA	NA	0.181	NA	NA	NA
1835	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
1836	NA	NA	NA	NA	NA	NA	0.177	NA	NA	NA
1837	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	0.174	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	0.419	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	0.362	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	0.086	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	0.143	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	0.107	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	0.126	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	0.137	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	0.182	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	0.145	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	0.17	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	0.208	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	0.15	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	0.318	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	0.456	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	0.244	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	0.352	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	0.514	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	0.211	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	0.388	NA	NA	NA
1859	NA	NA	NA	NA	NA	NA	0.566	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	0.699	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	0.762	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	0.748	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	0.704	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	0.629	NA	NA	NA
1865	NA	NA	NA	NA	NA	NA	0.374	NA	NA	NA
1866	NA	NA	NA	NA	NA	NA	0.249	NA	NA	NA
1867	NA	NA	NA	1.007	NA	NA	0.341	NA	NA	NA
1868	NA	NA	NA	0.533	NA	NA	0.145	NA	NA	NA
1869	NA	NA	NA	1.025	NA	NA	0.949	NA	NA	NA
1870	NA	NA	NA	1.107	NA	NA	0.878	NA	NA	NA
1871	NA	NA	NA	0.592	NA	NA	0.724	NA	NA	NA
1872	NA	NA	NA	0.72	NA	NA	0.696	NA	NA	0.961
1873	NA	NA	NA	0.894	0.711	NA	1.02	NA	NA	0.779
1874	NA	NA	NA	0.772	0.614	NA	1.195	NA	NA	0.456
1875	NA	NA	NA	0.956	0.956	NA	1.592	NA	NA	1.184
1876	NA	NA	NA	0.926	0.78	NA	1.36	NA	NA	0.287
1877	NA	NA	NA	1.147	0.95	NA	1.36	NA	NA	0.637
1878	NA	NA	NA	0.911	0.855	NA	1.366	NA	NA	0.493
1879	NA	NA	1.014	0.968	1.078	0.39	1.175	NA	NA	1.136
1880	NA	NA	1.01	0.864	1.19	0.236	1.494	NA	NA	0.856
1881	NA	NA	1.146	0.977	1.132	0.412	1.658	NA	NA	0.671
1882	NA	NA	0.785	1.278	1.15	0.259	1.409	NA	NA	0.452
1883	NA	NA	0.691	0.79	0.74	0.349	1.12	NA	NA	0.458
1884	NA	NA	0.516	0.408	0.597	0.237	0.124	NA	NA	0.569
1885	NA	NA	0.371	1.137	0.976	0.386	1.292	NA	NA	1.08
1886	NA	NA	0.565	0.675	0.775	0.393	1.051	NA	NA	0.68
1887	NA	NA	0.3	1.184	1.181	0.137	0	NA	NA	0.613
1888	NA	NA	0.289	0.479	0.638	0.042	0	NA	NA	0.463
1889	NA	NA	0.115	0.782	1.006	0.555	0	NA	NA	0.197
1890	NA	NA	0.294	0.922	0.745	0.68	0.839	1.983	NA	0.347
1891	NA	NA	0.215	0.695	0.889	0.514	0.864	1.29	NA	0.769
1892	NA	NA	0.08	1.196	1.302	0.251	1.348	1.792	NA	0.414
1893	NA	NA	0.097	1.354	1.426	0.467	1.119	1.252	NA	0.517
1894	NA	NA	0.05	1.512	1.703	0.167	1.46	1.245	NA	0.281
1895	NA	NA	0.09	0.891	1.074	0.19	1.08	0.233	NA	0.539
1896	NA	NA	0.317	2.023	1.513	0.391	1.017	1.122	NA	0.439
1897	NA	NA	0.118	1.625	1.293	0.323	0.111	1.081	NA	0.454
1898	NA	NA	0.267	1.044	0.94	0.549	0.952	1.127	NA	0.406
1899	NA	NA	0.513	1.174	1.157	0.937	0.97	0.936	NA	1.166
1900	NA	NA	0.386	1.724	1.546	0.442	0.864	0.568	NA	0.588
1901	NA	NA	0.478	1.57	0	0.407	0.302	0.521	NA	0.249
