# St. George - Ste. Agathe - QUMA - ITRDB CANA188
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4805
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4805.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana188-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana188-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana188.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana188.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: St. George - Ste. Agathe - QUMA - ITRDB CANA188
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ste. Agathe
#   Location: Manitoba
#   Northernmost_Latitude: 49.55
#   Southernmost_Latitude: 49.55
#   Easternmost_Longitude: -97.2
#   Westernmost_Longitude: -97.2
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA188
#   First_Year: 1856
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## a9901a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9901a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9901b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9901b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9902a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9902a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9903a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9903a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9904a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9904a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9905a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9905a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9906a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9906a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9907a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9907a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9908a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9908a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9909a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9909a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9910a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9910a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## a9911a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: a9911a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	a9901a_raw	a9901b_raw	a9902a_raw	a9903a_raw	a9904a_raw	a9905a_raw	a9906a_raw	a9907a_raw	a9908a_raw	a9909a_raw	a9910a_raw	a9911a_raw
1856	NA	NA	NA	2.026	NA	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	1.559	0.903	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	1.446	1.148	NA	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	1.19	1.223	NA	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	1.374	1.472	NA	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	1.454	1.192	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	1.63	1.493	NA	NA	NA	NA	NA	NA	NA
1863	NA	NA	1.281	1.423	1.055	NA	NA	NA	NA	NA	NA	NA
1864	NA	NA	1.295	1.394	1.027	NA	NA	NA	NA	NA	NA	NA
1865	NA	NA	1.694	1.944	1.389	NA	NA	NA	NA	NA	NA	NA
1866	NA	NA	1.878	2.486	1.907	NA	2.239	NA	NA	NA	NA	NA
1867	NA	NA	2.366	3.069	2.511	NA	3.851	NA	NA	NA	NA	NA
1868	NA	NA	2.442	3.004	2.354	NA	3.676	NA	NA	NA	NA	NA
1869	NA	NA	0.97	1.28	1.076	NA	1.842	NA	NA	NA	NA	NA
1870	NA	NA	2.569	2.234	1.673	NA	2.402	NA	NA	NA	NA	NA
1871	NA	NA	1.553	2.9	1.979	NA	2.059	NA	NA	NA	NA	NA
1872	NA	NA	1.252	3.011	1.989	NA	2.472	NA	NA	NA	NA	NA
1873	NA	NA	1.021	2.611	1.636	NA	1.436	NA	NA	NA	NA	NA
1874	NA	NA	1.124	3.16	1.992	NA	2.188	NA	NA	NA	NA	NA
1875	NA	NA	1.069	2.686	1.847	NA	0.833	NA	NA	NA	NA	NA
1876	NA	NA	1.125	3.881	2.076	NA	1.041	NA	NA	NA	NA	NA
1877	1.809	1.929	1.49	3.866	2.658	NA	0.927	NA	NA	NA	NA	NA
1878	1.479	1.826	1.395	4.164	3.86	NA	1.051	NA	NA	NA	NA	NA
1879	1.581	1.923	1.343	2.874	3.991	NA	1.152	NA	NA	NA	NA	NA
1880	1.258	1.348	1.451	2.605	7.34	NA	0.937	NA	1.139	1.449	NA	NA
1881	1.328	1.315	1.753	3.163	3.312	NA	0.844	NA	0.618	1.778	NA	NA
1882	1.58	1.771	1.59	3.355	3.1	NA	0.908	NA	1.358	1.579	NA	NA
1883	1.117	1.223	0.951	1.74	1.842	NA	0.739	NA	1.236	1.504	NA	NA
1884	1.387	1.428	0.747	2.722	1.882	NA	0.778	NA	1.007	1.344	NA	NA
1885	1.291	1.017	0.95	2.969	2.034	NA	1.07	NA	1.067	2.338	NA	NA
1886	1.277	1.102	0.837	2.047	1.815	NA	0.939	NA	1.107	1.416	NA	NA
1887	1.366	1.382	0.769	3.483	2.226	NA	1.053	NA	1.256	1.307	NA	NA
1888	1.753	2.229	1.977	3.522	2.367	NA	1.224	NA	1.304	2.156	NA	NA
1889	2.057	2.301	1.495	2.202	2.142	NA	1.235	NA	1.391	1.506	NA	1.651
1890	2.31	2.382	2.567	4.411	3.051	1.074	2.229	NA	1.49	2.706	NA	2.308
1891	2.243	1.919	1.527	3.291	2.643	1.01	0.972	NA	0.967	2.373	NA	1.838
1892	3.194	2.535	2.782	4.285	3.412	1.36	1.744	3.301	1.9	3.069	NA	2.612
1893	2.551	2.045	1.947	3.176	3.343	1.052	1.944	2.922	1.611	2.179	NA	2.177
1894	2.385	2.171	1.364	3.211	2.491	0.978	1.142	2.062	1.114	2.189	NA	2.002
1895	2.127	2.135	1.14	2.743	3.265	1.026	0.953	2.243	1.15	1.853	2.138	2.105
1896	2.607	2.431	1.452	3.406	3.025	1.404	1.174	2.579	1.574	2.318	2.432	2.638
1897	1.85	1.543	1.02	2.041	1.98	0.87	0.768	1.795	0.892	1.096	1.513	1.78
1898	2.683	2.333	1.564	2.528	2.115	1.378	1.359	2.531	1.739	1.984	1.77	2.28
1899	2.689	2.655	1.726	2.838	2.099	1.335	1.543	2.284	1.67	2.201	2.358	2.437
1900	2.038	1.969	1.023	2.179	1.226	0.888	1.069	1.904	1.309	0.888	1.449	1.434
1901	2.509	2.361	1.625	3.089	1.734	1.098	1.794	2.366	1.451	1.905	2.144	2.646
1902	2.222	2.031	1.6	2.686	1.681	1.156	1.432	2.271	1.434	1.969	1.843	2.383
1903	1.543	1.439	1.051	1.576	1.573	0.968	0.944	1.58	0.953	1.167	1.044	1.464
1904	1.595	1.57	1.29	2.43	2.318	1.152	0.969	2.3	1.392	1.891	1.613	2.127
1905	1.791	1.682	1.577	2.75	2.549	1.446	1	2.162	1.346	1.874	1.254	2.059
1906	1.335	1.502	1.079	2.407	2.313	1.313	0.916	1.812	0.98	1.423	1.022	1.641
1907	1.423	1.604	1.292	2.166	2.771	1.316	0.907	1.621	1.206	1.445	1.083	1.256
1908	1.229	1.265	1.247	1.694	2.347	1.076	0.625	1.464	0.924	1.194	0.863	1.252
1909	1.329	1.651	1.384	2.057	3.029	1.459	0.983	1.625	1.019	1.801	0.627	1.352
1910	1.377	1.419	1.1	1.122	3.481	1.243	0.989	1.229	0.885	1.398	0.546	1.012
1911	1.376	1.59	1.286	1.914	4.292	1.465	0.922	1.793	1.187	1.463	0.657	1.366
1912	1.561	1.753	1.488	1.963	4.33	1.909	1.315	2.526	1.498	1.894	0.725	1.363
1913	1.525	1.726	1.639	2.386	3.931	1.916	1.259	2.326	1.305	1.719	0.809	1.204
1914	1.307	1.672	1.347	1.947	3.07	1.706	1.215	1.784	1.042	1.372	0.665	1.011
