# Larsen - Wood Buffalo National Park Site PR - PIBN - ITRDB CANA132
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3863
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3863.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana132-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana132-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana132.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana132.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-24
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-24
#--------------------
# Title
#   Study_Name: Larsen - Wood Buffalo National Park Site PR - PIBN - ITRDB CANA132
#--------------------
# Investigators
#   Investigators: Larsen, C.; Moser, K.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wood Buffalo National Park Site PR
#   Location: Alberta
#   Northernmost_Latitude: 59.75
#   Southernmost_Latitude: 59.75
#   Easternmost_Longitude: -112.2
#   Westernmost_Longitude: -112.2
#   Elevation_m: 250
#--------------------
# Data_Collection
#   Collection_Name: CANA132
#   First_Year: 1852
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pars  71_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  71; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  72_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  72; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  73_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  73; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  74_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  74; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  75_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  75; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  77_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  77; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  81_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  81; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  82_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  82; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  86_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  86; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pars  87_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pars  87; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pars  71_raw	pars  72_raw	pars  73_raw	pars  74_raw	pars  75_raw	pars  77_raw	pars  81_raw	pars  82_raw	pars  86_raw	pars  87_raw
1825	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	1.49	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
1828	NA	NA	NA	NA	1.27	NA	NA	NA	NA	NA
1829	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA
1830	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	1.79	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	1.63	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	1.71	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	1.11	NA	NA	NA	1.42	NA
1841	NA	NA	NA	NA	0.84	NA	NA	NA	1.24	NA
1842	NA	NA	NA	NA	1.22	NA	NA	NA	0.77	NA
1843	NA	NA	NA	NA	1.25	NA	NA	NA	1.2	NA
1844	NA	NA	NA	NA	1.16	NA	1.6	NA	1.45	NA
1845	NA	NA	NA	NA	0.79	NA	1.87	NA	2.21	NA
1846	NA	NA	NA	NA	1.4	NA	2.01	NA	1.4	NA
1847	NA	NA	NA	NA	1.76	NA	1.45	NA	0.9	NA
1848	NA	NA	NA	NA	1.52	NA	1.33	NA	1.48	0.82
1849	NA	NA	1.18	NA	1.68	NA	1.56	NA	1.34	1.42
1850	NA	NA	1.34	NA	1.25	NA	1.23	NA	1.79	1.33
1851	NA	NA	1.08	NA	1.02	NA	1.14	NA	1.54	1.68
1852	NA	NA	1.48	NA	0.68	NA	1.65	NA	1.71	1.46
1853	NA	NA	1.41	NA	0.72	NA	1.41	NA	1.02	1.2
1854	NA	NA	1.43	NA	0.59	1.29	1.1	NA	1.37	1.02
1855	NA	NA	1.43	NA	0.58	1.15	1.22	NA	1.72	1.08
1856	NA	NA	1.53	NA	0.7	1.34	1.2	NA	1.59	1.19
1857	NA	NA	2.96	NA	0.58	1.59	1.33	NA	1.49	1.13
1858	NA	NA	4.19	NA	0.43	1.28	1.36	NA	1.13	1.18
1859	NA	NA	2.13	NA	0.47	1.27	1.33	NA	1.57	0.87
1860	NA	NA	1.14	NA	0.41	1.23	1.34	0.66	1.51	0.84
1861	NA	NA	1.45	NA	0.4	1.04	1.33	0.96	1.07	0.85
1862	NA	NA	2.33	NA	0.33	0.81	1.21	0.8	1.12	0.73
1863	NA	NA	1.99	0.89	0.37	1.17	0.9	0.86	0.86	0.9
1864	NA	NA	1.46	0.96	0.27	1.23	1.13	0.59	0.99	0.87
1865	NA	NA	1.53	1.08	0.47	1.84	1.14	0.88	0.78	0.66
1866	NA	NA	1.89	1.37	0.42	1.97	1.36	0.89	0.84	0.58
1867	NA	NA	1.52	1.11	0.46	1.47	1.35	0.76	0.86	0.75
1868	NA	NA	1.65	0.77	0.37	1.27	0.66	0.54	0.74	0.42
1869	NA	NA	2.51	1.27	0.32	0.99	0.47	0.38	0.91	0.34
1870	NA	NA	2.49	2.06	0.45	1.01	0.53	0.47	0.98	0.36
1871	NA	NA	2.51	1.9	0.46	0.8	0.71	0.52	0.64	0.49
1872	NA	NA	1.58	1.31	0.35	0.99	0.79	0.56	0.71	0.38
1873	NA	NA	1.14	0.95	0.29	0.72	0.63	0.57	0.71	0.37
1874	NA	NA	1.26	1.01	0.27	0.54	0.55	0.37	0.45	0.32
1875	NA	NA	1.26	1.29	0.36	0.46	0.46	0.3	0.63	0.27
1876	NA	NA	1.59	1.34	0.32	0.69	0.41	0.16	0.77	0.24
1877	NA	NA	2.29	2.12	0.47	1.22	0.51	0.27	1.04	0.31
1878	NA	NA	2.64	1.93	0.57	1.51	0.79	0.39	0.64	0.44
1879	NA	NA	1.98	2.06	0.45	0.66	0.57	0.24	0.91	0.3
1880	NA	NA	1.6	0.91	0.44	0.68	0.54	0.34	0.94	0.31
1881	NA	NA	1.54	1.53	0.44	0.81	1.01	0.39	1.11	0.41
1882	NA	NA	1.91	1.31	0.46	1	0.74	0.3	1.06	0.62
1883	NA	NA	1.64	1.38	0.45	1.33	0.78	0.46	0.84	0.61
1884	NA	NA	1.54	1.45	0.56	1.12	0.95	0.65	0.61	0.74
1885	NA	NA	1.34	1.14	0.59	0.72	0.62	0.58	0.61	0.52
1886	NA	NA	1.1	0.96	0.5	0.8	0.52	0.65	0.76	0.5
1887	NA	NA	1.91	1.49	0.66	1.12	0.57	0.72	0.98	0.63
1888	NA	NA	1.69	1.6	0.62	1.13	0.78	0.85	1.36	0.68
1889	NA	NA	1.49	2.14	0.6	1.15	0.94	0.74	1.24	0.6
1890	NA	NA	1.25	2	0.58	1	0.89	0.95	0.98	0.7
1891	0.63	NA	1.24	1.47	0.45	0.51	0.66	0.72	0.78	0.53
1892	0.61	NA	1.05	1.1	0.38	0.42	0.6	0.76	0.89	0.43
