# Clyde - Snowwater, West Kootneys - PCEN - ITRDB CAN718
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39120
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-39120.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can718-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can718.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/can718.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-03-12
#--------------------
# File_Last_Modified_Date
#   Date: 2024-03-12
#--------------------
# Title
#   Study_Name: Clyde - Snowwater, West Kootneys - PCEN - ITRDB CAN718
#--------------------
# Investigators
#   Investigators: Clyde, Lori; Harvey, Jill 
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Snowwater, West Kootneys
#   Location: Canada
#   Northernmost_Latitude: 49.388056
#   Southernmost_Latitude: 49.388056
#   Easternmost_Longitude: -117.428333
#   Westernmost_Longitude: -117.428333
#   Elevation_m: 1563
#--------------------
# Data_Collection
#   Collection_Name: CAN718
#   First_Year: 1771
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea engelmannii Parry ex Engelm.
#   Common_Name: Engelmann spruce
#   Tree_Species_Code: PCEN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## snw01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## snw10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: snw10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	snw01b_raw	snw02a_raw	snw03a_raw	snw03b_raw	snw04b_raw	snw05a_raw	snw05b_raw	snw06a_raw	snw06b_raw	snw07a_raw	snw07b_raw	snw08a_raw	snw08b_raw	snw09a_raw	snw09b_raw	snw10a_raw	snw10b_raw
1771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.122	NA	NA	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.246	NA	NA	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.728	NA	NA	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.832	NA	NA	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.594	NA	NA	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.459	NA	NA	NA	NA
1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.518	NA	NA	NA	NA
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.544	NA	NA	NA	NA
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.473	NA	NA	NA	NA
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.767	NA	NA	NA	NA
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.707	NA	NA	NA	NA
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.732	NA	NA	NA	NA
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.854	NA	NA	NA	NA
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.425	NA	NA	NA	NA
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.028	NA	NA	NA	NA
1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.065	NA	NA	NA	NA
1787	NA	NA	NA	NA	0.627	NA	NA	NA	NA	NA	NA	NA	0.887	NA	NA	NA	NA
1788	NA	NA	NA	NA	1.072	NA	NA	NA	NA	NA	NA	NA	0.691	NA	NA	NA	NA
1789	NA	NA	NA	NA	0.219	NA	NA	NA	NA	NA	NA	NA	0.514	NA	NA	NA	NA
1790	NA	NA	NA	NA	0.369	NA	NA	NA	NA	NA	NA	NA	0.795	NA	NA	NA	NA
1791	NA	NA	NA	NA	0.615	NA	NA	NA	NA	NA	NA	NA	0.667	NA	NA	NA	NA
1792	NA	NA	0.69	3.007	0.503	NA	NA	NA	NA	NA	NA	NA	0.687	NA	NA	NA	NA
1793	NA	NA	1.134	1.37	0.592	NA	NA	NA	NA	NA	NA	NA	0.509	NA	NA	NA	NA
1794	NA	NA	1.004	0.982	0.061	NA	NA	NA	NA	NA	NA	0.387	0.721	NA	NA	NA	NA
1795	NA	NA	0.845	1.005	0.241	NA	NA	NA	NA	NA	NA	0.842	0.68	NA	NA	NA	NA
1796	NA	NA	1.037	0.918	0.28	NA	NA	NA	NA	NA	NA	0.821	0.71	NA	NA	NA	NA
1797	NA	NA	0.751	0.676	0.307	NA	NA	NA	NA	NA	NA	0.667	0.852	NA	NA	NA	NA
1798	NA	NA	0.727	0.685	0.081	NA	NA	NA	NA	NA	NA	1.257	0.641	NA	NA	NA	NA
1799	0.216	NA	0.644	0.68	0.152	NA	NA	NA	NA	NA	NA	1.088	0.557	NA	NA	NA	NA
1800	0.494	NA	0.864	0.826	0.233	NA	NA	NA	NA	NA	NA	1.271	0.594	NA	NA	NA	NA
1801	0.367	NA	0.831	0.614	0.11	NA	NA	NA	NA	NA	NA	1.05	0.486	NA	NA	NA	NA
1802	0.588	NA	0.662	0.514	0.088	NA	NA	NA	NA	NA	NA	1.275	0.543	NA	NA	NA	NA
1803	0.763	NA	0.822	0.552	0.113	NA	NA	NA	NA	NA	NA	1.074	0.481	NA	NA	NA	NA
1804	0.591	NA	0.961	0.711	0.145	NA	NA	NA	NA	NA	NA	0.922	0.442	NA	NA	NA	NA
1805	1.107	0.077	1.194	0.923	0.08	NA	NA	NA	NA	NA	NA	1.051	0.58	NA	NA	NA	NA
1806	0.435	0.273	0.923	0.654	0.077	NA	NA	NA	NA	NA	NA	0.746	0.737	NA	NA	NA	NA
1807	0.637	0.321	1.183	0.8	0.106	NA	NA	NA	NA	NA	NA	0.969	1.056	NA	NA	NA	NA
1808	0.731	0.297	1.184	0.916	0.148	NA	NA	NA	NA	NA	NA	1.163	1.215	NA	NA	NA	NA
1809	0.635	0.316	1.28	0.884	0.134	NA	NA	NA	NA	NA	0.189	1.203	1.233	NA	NA	NA	NA
1810	0.659	0.277	0.991	0.777	0.062	NA	NA	NA	NA	NA	0.879	0.872	0.989	NA	NA	NA	NA
1811	0.639	0.392	1.08	0.914	0.08	NA	NA	NA	NA	NA	0.872	0.892	0.981	NA	NA	NA	NA
1812	0.59	0.24	0.983	0.734	0.085	NA	NA	NA	NA	NA	0.754	0.873	0.993	NA	NA	NA	NA
1813	0.721	0.34	0.921	0.674	0.205	NA	NA	NA	NA	NA	0.729	0.912	1.053	NA	NA	NA	NA
1814	0.728	0.36	1.124	0.753	0.109	NA	NA	NA	NA	NA	0.587	0.905	1.014	NA	NA	NA	NA
1815	0.418	0.367	1.02	0.844	0.08	NA	NA	NA	NA	NA	0.681	0.943	0.889	NA	NA	NA	NA
1816	0.456	0.383	0.824	0.922	0.066	NA	NA	NA	NA	NA	0.617	1.053	0.902	NA	NA	NA	NA
1817	0.403	0.365	0.708	0.792	0.129	NA	NA	NA	NA	NA	0.675	1.025	0.934	NA	NA	NA	NA
1818	0.586	0.288	0.691	0.817	0.146	NA	NA	NA	NA	NA	0.624	0.97	0.852	NA	NA	NA	NA
1819	0.485	0.31	0.639	0.749	0.11	NA	NA	NA	NA	NA	0.927	1.121	0.907	NA	NA	NA	NA
1820	0.461	0.244	0.576	0.558	0.08	NA	NA	NA	NA	NA	0.605	1.046	0.897	NA	NA	NA	NA
1821	0.447	0.308	0.768	0.751	0.107	NA	NA	NA	NA	NA	0.672	1.01	0.962	NA	NA	NA	NA
1822	0.51	0.316	0.694	0.692	0.189	NA	NA	NA	NA	NA	0.673	1.048	0.88	NA	NA	NA	NA
1823	0.556	0.278	0.886	0.846	0.235	NA	NA	NA	NA	NA	0.702	1.079	1	NA	NA	NA	NA
1824	0.426	0.218	0.887	0.661	0.17	NA	NA	NA	NA	0.232	0.701	1.105	0.995	NA	NA	NA	NA
