# Campbell - Nelson House - PIBN - ITRDB CANA7
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2926
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2926.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ed-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana7ed-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ed.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana7ed.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Nelson House - PIBN - ITRDB CANA7
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nelson House
#   Location: Manitoba
#   Northernmost_Latitude: 55.93
#   Southernmost_Latitude: 55.93
#   Easternmost_Longitude: -98.63
#   Westernmost_Longitude: -98.63
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA7
#   First_Year: 1939
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NOJ104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ121C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ121C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ168C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ168C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ088C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ088C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ148B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ148B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 0TF141C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 0TF141C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ073C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ073C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ139C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ139C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ045C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ045C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NOJ104C_raw	NOJ121C_raw	NOJ168C_raw	NOJ088C_raw	NOJ148B_raw	0TF141C_raw	NOJ073C_raw	NOJ139C_raw	NOJ045C_raw
1938	NA	NA	25.36	NA	NA	33.05	NA	NA	NA
1939	NA	36.39	34.82	NA	21.33	36.45	NA	NA	NA
1940	NA	39.5	42.6	18.34	40.87	40.29	NA	30.92	NA
1941	36.54	35.51	37.46	35.36	36.56	38.11	NA	32.86	NA
1942	36.03	35.06	39.35	35.37	39.1	49.85	NA	32.78	NA
1943	37.31	35.02	38.89	35.48	37.32	42.86	26	32.74	NA
1944	34.34	35.57	38.16	34.58	37.49	44.19	41.45	32.5	NA
1945	37.2	37.67	39.09	35.36	37.48	42.86	42.92	32.51	NA
1946	36.37	38.13	39.34	36.68	39.26	41.39	42.91	32.93	NA
1947	34.11	38.49	37.32	37.93	40.48	38.63	45.12	33.33	NA
1948	39.36	41.29	41.32	41.98	45.1	41.82	42.97	36.31	NA
1949	35.61	37.63	37.43	40.63	42.18	37.01	43.14	34.72	NA
1950	35.74	38.11	36.6	40.48	42.01	38.01	38.92	35	NA
1951	35.02	38.43	35.76	42.82	41.45	35.44	38.64	35.21	NA
1952	38.82	38.73	38.88	46.17	42.96	38.13	39.88	37.76	NA
1953	35.5	38.37	38.49	44.48	43.86	35.11	41.86	34.61	NA
1954	37.86	42.03	39.37	42.62	42.73	36.25	41.15	37.48	NA
1955	39.62	39.33	36.49	41.61	41.62	34.99	43.55	35.12	19.98
1956	41.64	44.19	38.86	44.58	44.77	37.03	43.69	39.14	41.75
1957	41.38	39.71	36.52	42.79	40.87	34.09	48.02	36.37	41.7
1958	43.05	42.06	39.04	42.43	43.02	36.48	43.37	36.64	42.54
1959	37.76	39.59	37.45	41.08	37.38	35.61	48.87	34.86	39.28
1960	37.16	39.28	36.81	42.26	37.45	36.36	51.27	34.56	43.3
1961	42.55	46.04	39.72	45.69	40.77	40.35	51.44	36.43	39.97
1962	36.48	40.01	37.29	41.45	37.22	37.66	53.46	35.81	39.96
1963	35.91	37.82	37.79	41.62	36.27	36.23	49.95	33.05	40.39
1964	42.46	40.76	42.86	44.88	38.38	42.33	45.73	38.04	41.5
1965	34.56	38.57	38.39	41.24	36.56	37.27	52.14	32.95	39.92
1966	34.37	39.44	40.08	40.6	36.11	38.36	48.13	34.35	41.45
1967	38.63	38.49	37.58	41.96	36.64	41.61	50.37	35.34	39.92
1968	42.59	44.09	38.4	42.66	36.52	41.66	52.93	35.48	44.4
1969	47.13	40.24	40.53	43.84	36.78	39.62	53.43	35.15	38.77
1970	38.51	38.76	37.38	43.34	34.1	38.37	54.71	32.15	38.74
1971	37.18	39.58	37.29	44.81	34.64	37.83	49.86	31.56	36.84
1972	36.16	39.87	37.85	43.15	36.92	39.6	49.58	30.54	38.03
1973	42.64	45.54	39.53	46.61	33.8	43.66	49.45	30.88	40.27
1974	40.89	39.38	37.51	42.28	32.2	40.63	51.04	30.89	37.43
1975	46.12	37.61	37.08	41.46	29.87	36.74	47.41	32.49	35.17
1976	38.89	41.1	39.69	43.72	34.61	41.1	46.39	34.08	40.53
1977	36.31	39	39.55	43.56	33.15	42.15	49.28	33.24	35.14
1978	35.5	37.84	40.77	40.73	32.07	39.89	47.15	31.59	35.82
1979	39.21	39.12	37.16	42.79	32.01	40.34	45.57	29.25	38.58
1980	41.8	41.98	38.3	45.34	32.11	44.64	44.75	33.7	39.03
1981	39.79	44.31	39.47	43.63	34.55	47.97	53.86	38.69	37.53
1982	41.3	45.55	38.79	42.96	34.32	44.47	59.07	36.33	36.55
1983	41.6	43.41	38.8	43.61	35.9	45.52	59.1	35.74	36.83
1984	36.7	42.75	37.71	42.08	34.07	40.57	53.64	34.56	45.65
1985	48.99	39.85	37.72	41.97	35.35	38.8	50.85	32.8	44.51
1986	42.69	40.27	38.22	45.13	36.61	41.73	48.73	38.87	43.72
1987	34.8	42.55	38.35	41.28	32.03	38.12	50.73	33.83	41.91
1988	33.82	40.02	36.88	41.73	32.7	40.09	48.1	33.56	43.1
1989	33.14	38.17	39.02	40.42	33.38	37.42	47.05	33.86	45.68
1990	35.12	39.93	38.43	43.2	33.53	39.12	47.59	36.27	44.4
1991	35.62	37.96	37.81	41.65	32.89	39.41	48.13	34.91	44.25
1992	36.23	39.3	37.78	42.38	32.61	39.46	47.47	34.7	44.52
1993	37.62	37.73	37.32	42.72	33.9	37.29	47.82	32.39	45.8
1994	34.98	36.81	34.87	46.47	32.32	39.6	46.29	30.27	51.99
