# Campbell - Nelson House - PIBN - ITRDB CANA7
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2926
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2926.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ba-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana7ba-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ba.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana7ba.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Nelson House - PIBN - ITRDB CANA7
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nelson House
#   Location: Manitoba
#   Northernmost_Latitude: 55.93
#   Southernmost_Latitude: 55.93
#   Easternmost_Longitude: -98.63
#   Westernmost_Longitude: -98.63
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA7
#   First_Year: 1939
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NOJ104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ121C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ121C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ168C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ168C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ088C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ088C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ148B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ148B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 0TF141C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 0TF141C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ073C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ073C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ139C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ139C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ045C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ045C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NOJ104C_raw	NOJ121C_raw	NOJ168C_raw	NOJ088C_raw	NOJ148B_raw	0TF141C_raw	NOJ073C_raw	NOJ139C_raw	NOJ045C_raw
1938	NA	NA	0.56	NA	NA	5.13	NA	NA	NA
1939	NA	2.56	2.76	NA	4.73	13.19	NA	NA	NA
1940	NA	4.54	6.11	2.64	7.02	17.08	NA	2.87	NA
1941	0.5	12.53	12.71	6.23	16.59	33.27	NA	7.42	NA
1942	1.36	12.38	13.94	11.49	24.95	23.66	NA	12.37	NA
1943	3.39	14.01	17.19	13.35	25.41	24.17	1.3	14.05	NA
1944	6.85	19.43	31.11	15.63	38.71	24.7	2.65	21.25	NA
1945	6.31	15.39	27.1	11.67	34.91	21.9	5.01	19.82	NA
1946	8.07	19.7	32.8	12.04	28.36	23.19	5.47	20.88	NA
1947	10.05	17.41	34.32	10.78	23.24	22.59	5.05	18.79	NA
1948	7.03	11.26	31.78	12.52	17.57	18.43	5.14	18.8	NA
1949	12.35	20.74	41.7	17.15	29.79	27.58	4.76	27.24	NA
1950	10.01	22.29	43.39	15.07	16.88	28.8	8.28	24.59	NA
1951	9.71	19.44	35.35	9.97	14.78	30.35	7.78	22.93	NA
1952	8.6	16.56	33.48	8.49	16.99	24.45	6.4	19.65	NA
1953	11.35	14.55	29.87	8.11	13.76	29.42	7.16	21.26	NA
1954	10.3	17.48	34.38	7.68	10.29	23.91	7.08	20.28	NA
1955	14.56	22.5	39.31	9.86	16.23	22.08	7.29	24.25	0.23
1956	11.53	16.69	40.12	7.76	10.71	17.4	8.68	22.79	1.83
1957	15.68	23.05	47.94	11.08	16.88	24.96	4.73	27.95	3.65
1958	16.28	19.91	40.7	11.41	19.34	26.59	7.24	31.82	4.87
1959	20.32	18.04	43.67	11	15.62	21.62	4.17	36.05	5.26
1960	17.53	16.83	39.41	7.49	15.93	25.99	3.36	34.24	4.09
1961	13.28	13.75	41.67	8.39	21.17	25.64	3.18	29.99	5.24
1962	11.77	18.45	42.91	6.59	27.33	28.29	4.17	23.65	5.1
1963	13.73	24.83	46.45	9.46	28.74	32.66	4.25	36.01	4.94
1964	12.09	20.89	43.68	8.03	32	24.95	6.28	33.91	4.64
1965	22.94	20.44	54.54	13.53	37.98	34.22	6.45	33.81	4.22
1966	12.93	13.56	56.85	15.16	45.76	29.47	7.91	28.91	4.43
1967	10.27	19.72	49.55	11.21	38.16	22.09	5.49	28.39	4.42
1968	8.19	15.06	44.21	11.42	48.97	24.75	4.53	30.23	3.02
1969	6.78	15.29	33.11	12.09	32.22	22.8	6.24	32.15	4.86
1970	11.47	18.64	37.69	10.95	32.94	22.55	5.26	27.78	4.57
1971	17.99	20.04	41.09	9.73	42.57	25.3	6.2	29.59	4.11
1972	16.04	17.16	44.64	10.82	45.26	25.69	6.9	34.14	3.07
1973	8.98	9.77	28.32	6.19	27.75	19.84	7.34	23.39	3.53
1974	9.92	14.25	30.09	7.69	39.28	20.07	6.59	21.67	4.29
1975	12.58	17.77	39.21	8.76	47.45	22.21	7.02	19.19	5.11
1976	10.22	21.44	47.24	10.35	52.82	27.67	8.73	21.49	3.97
1977	15.13	24.13	43.54	6.98	49.08	20.2	9.57	23.16	4.94
1978	15.86	24.58	38.08	9.06	34.52	32.37	11.45	27.04	3.87
1979	8.04	9.48	30.83	5.59	30.66	16.72	11.41	15.11	3.03
1980	8.11	2.98	35.86	5.12	24.83	8.08	5.13	8.69	2.76
1981	9.1	4.18	28.36	2.06	24.2	7.43	2.76	5.81	2.96
1982	10.12	7.19	27.03	3.61	33.57	14.26	2.08	10.21	2.84
1983	9.3	9.64	41.8	3.62	33.11	13.68	2.44	14.68	2.72
1984	17.91	13.36	47.27	6.25	50.5	24.84	3.85	19.25	0.48
1985	6.68	19.66	45.46	9.46	24.67	22.33	5.66	22.43	0.81
1986	6.73	19.92	23.38	5.83	10.51	14.07	7.89	11.31	1.13
1987	12.61	13.84	30.29	8.56	20.17	15.58	5.81	17.46	1.47
1988	18.71	12.69	31.41	8.1	37.87	24.29	6.25	19.91	1.15
1989	25.13	19.87	40.3	8.17	44.34	26	8.57	31.76	0.82
1990	15.35	15.55	20.75	4.39	29.95	18.23	8.7	25.1	1.49
1991	19.74	19.65	26.11	7.17	27.22	24.27	9.22	26.97	0.66
1992	32.92	21.21	29.81	8.34	43.86	28.25	10.15	27.28	0.5
1993	30.49	25.52	39.82	11.8	37.21	39.95	14.74	40.69	0.5
1994	22.22	31.39	19.62	6.81	39.76	25.96	12.2	36.36	0.33
