# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8mxd-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8mxd-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8mxd.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8mxd.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	54.25	NA	NA	NA
1920	NA	NA	52.22	56.02	NA	NA	NA
1921	41.55	NA	55.02	61.33	NA	NA	NA
1922	50	63.83	59.2	63.63	56.92	NA	NA
1923	55.58	69.3	58.78	63.63	63	NA	NA
1924	49.86	58.05	59.67	66.26	65.37	46	NA
1925	55.35	76.33	63.09	65.12	73.99	55.29	NA
1926	57.21	79.12	62.1	65.12	71.1	53.79	53.07
1927	60.11	83.33	63.48	72.06	76.25	62	65.28
1928	52.25	85.65	63.87	74.52	76.76	62.78	61.68
1929	55.5	83.33	69.15	83.25	77.88	67.9	60.62
1930	57.51	89.52	64.26	71.61	76.76	70.48	65.29
1931	60.38	90.42	67.86	103.36	75.28	67.09	69.01
1932	65.14	89.84	67.86	96.01	82.7	66.59	66.18
1933	43.72	80.12	60.07	69.9	71.46	53.9	67.31
1934	50.27	77.11	67.86	93.31	85.85	63.62	67.09
1935	43.59	79.12	70.82	74.52	77.96	65.37	67.31
1936	47.34	73.4	67.38	70.75	69.08	49.15	65.29
1937	62.2	84.44	73.98	94.07	77.28	62.58	59.03
1938	57.21	86.76	69.99	91.37	77.88	60.04	67.65
1939	59.98	83.43	75.47	90.6	78.63	69.27	71.78
1940	56.12	85.54	76.72	76.85	79.69	58.94	71.78
1941	53.78	87.98	68.5	76.85	76.76	53.52	69.35
1942	53.76	88.62	71.47	72.92	73.07	57.64	61.24
1943	52.98	77.11	61.9	75.54	74.32	47.73	56.8
1944	56.91	91.06	69.15	89	76.76	60.37	59.3
1945	51.92	77.11	67.22	78.53	73.47	62.19	45.66
1946	59.18	90.42	71.66	78.53	78.63	62.19	65.63
1947	59.18	89.2	73.98	77.14	77.88	65.15	65.29
1948	59.98	89.84	71.66	69.9	78.48	65.37	66.31
1949	57.21	92.27	65.66	71.61	77.88	69.01	61.45
1950	55.82	97.84	64.26	69.04	75.73	71.46	52.38
1951	55.82	90.42	67.86	69.9	76.76	69.58	49.8
1952	59.18	87.98	66.1	71.61	77.28	70.48	59.92
1953	56.61	86.76	64.74	66.9	71.5	61.31	57.13
1954	58.84	85.54	69.15	62.48	73.07	63.38	49.45
1955	64.92	75.96	75.88	69.71	75.28	68.21	54.36
1956	61.33	67.75	65.87	67.54	72.62	71.12	60.15
1957	61.26	74.86	66.74	67.11	75.73	68.71	60.15
1958	59.58	60.12	69.54	68.4	72.67	73.95	58.24
1959	62.68	77.11	58.57	68.18	73.43	75.51	60.15
1960	64.92	84.44	66.58	69.26	75.8	78.28	65.96
1961	61.26	74.58	62.49	63.72	71.5	58.3	57.31
1962	54.35	61.85	63.09	53.84	73.03	66.86	40.11
1963	56.65	56.85	53.48	57.11	66.98	60.69	41.24
1964	59.71	57.09	58.37	57.33	63.58	59.93	41.68
1965	56.35	52.4	57.5	60.71	64.88	60.72	46.08
1966	54.69	51.94	59.89	62.82	62.6	59.88	48.5
1967	60.11	59.34	63.09	69.04	69.05	73.54	57.67
1968	58.15	66.07	65.13	67.54	65.37	70.8	57.67
1969	58.49	67.09	61.77	63.38	66.98	77.76	60.41
1970	56.91	59.13	55.85	59.69	63.68	72.12	51.98
1971	61.73	62.32	58.98	69.04	67.57	65.24	58.85
1972	59.18	62.09	62.1	66.9	64.14	63.6	61.4
1973	56.61	54.98	58.98	61.33	64.63	68.46	63.66
1974	57.25	49.74	58.76	61.67	61.47	61.09	58.44
1975	59.18	63.54	62.43	62.02	69.05	71.2	55.69
1976	62.76	72.2	66.25	62.82	73.47	74.36	69.35
1977	56.08	64.32	64.65	61.67	71.82	65.89	56.8
1978	45.25	59.46	60.63	50.29	66.45	64.04	43.29
1979	43.32	52.12	52.61	51.43	55	59.28	44.57
1980	48.31	52.93	48.95	58.33	56.25	54.96	46.44
1981	40.46	55.56	49.31	57.11	61.41	46.09	48.16
1982	39.19	52.77	45.89	49.26	51.39	36.93	41.38
1983	43	47.35	41.39	51.97	53.16	39.39	45.48
1984	54.87	58.07	53.13	58.3	65.12	59.09	62.19
1985	52.09	53.42	54.67	58.86	67.28	63.39	54.21
1986	44	49.93	47.83	54.09	62.8	52.6	44.74
1987	45.73	49.67	40.44	53.94	51.58	53.8	44.34
1988	45.09	49.59	54.27	54.56	56.92	54.24	45.74
1989	48.29	48.91	57.26	56.44	60.34	51.4	51.48
1990	46.51	47.32	51.22	55.08	56.79	50.51	47.67
1991	42.21	45.67	52.71	53.66	59.84	52.58	39.39
1992	43.96	45.22	53.8	50.39	61.79	53.59	45.39
1993	41.05	46.87	49.45	49.79	61.66	56.16	41.43
1994	43.33	52.03	56.22	49.16	61.41	61.48	37.01
