# Luckman - Bennington Glacier - PCEN - ITRDB CANA433
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16591
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16591.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana433-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana433-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana433.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana433.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 2014-05-08
#--------------------
# Title
#   Study_Name: Luckman - Bennington Glacier - PCEN - ITRDB CANA433
#--------------------
# Investigators
#   Investigators: Luckman, B.H.(https://orcid.org/0000-0003-0365-6059); Watson, H.
#--------------------
# Description_Notes_and_Keywords
#   Description: Cores are stored at:
# # # University of Western Ontario
# # # 
# # # References:
# # # Watson, H.M.  1983.  
# # # A dendrochronological study of two sites in Mount Robson Provincial Park.  
# # # Unpublished B.A. Thesis, Geography, University of Western Ontario.  NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bennington Glacier
#   Location: British Columbia
#   Northernmost_Latitude: 52.6833
#   Southernmost_Latitude: 52.6833
#   Easternmost_Longitude: -118.3333
#   Westernmost_Longitude: -118.3333
#   Elevation_m: 1765
#--------------------
# Data_Collection
#   Collection_Name: CANA433
#   First_Year: 1698
#   Last_Year: 1981
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea engelmannii Parry ex Engelm.
#   Common_Name: Engelmann spruce
#   Tree_Species_Code: PCEN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## B82-2W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B82-2W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B82-5N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B82-5N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8276W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8276W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8277E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8277E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8277N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8277N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B82-81_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B82-81; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B82-86_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B82-86; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8286S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8286S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8287W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8287W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8287E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8287E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8288W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8288W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8288S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8288S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8290E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8290E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8291N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8291N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8292E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8292E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8293W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8293W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8293N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8293N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8294E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8294E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8296E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8296E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8296N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8296N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8289N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8289N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8289W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8289W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8276S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8276S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8283E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8283E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8284N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8284N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8291S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8291S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8292N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8292N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B8294S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B8294S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	B82-2W_raw	B82-5N_raw	B8276W_raw	B8277E_raw	B8277N_raw	B82-81_raw	B82-86_raw	B8286S_raw	B8287W_raw	B8287E_raw	B8288W_raw	B8288S_raw	B8290E_raw	B8291N_raw	B8292E_raw	B8293W_raw	B8293N_raw	B8294E_raw	B8296E_raw	B8296N_raw	B8289N_raw	B8289W_raw	B8276S_raw	B8283E_raw	B8284N_raw	B8291S_raw	B8292N_raw	B8294S_raw
1698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	NA	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	0.79	NA	NA	NA	NA	NA	NA	NA	0.51	NA	NA
1716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	0.58	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA
1717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	0.45	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA
1718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	0.47	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA
1719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	0.37	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA
1720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0.35	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA
1721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	0.32	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA
1722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	1	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA
1723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	0.46	NA	NA	NA	NA	NA	NA	NA	0.28	NA	0.57
1724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.29	NA	0.81
1725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	0.49	NA	0.54	NA	NA	0.42	NA	NA	NA	NA	0.26	NA	0.88
1726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	0.37	NA	0.54	NA	NA	0.55	NA	NA	NA	NA	0.37	NA	0.76
1727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	0.2	NA	0.42	NA	NA	0.5	NA	NA	NA	NA	0.29	NA	0.63
1728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16	0.21	NA	0.56	NA	NA	0.6	NA	NA	NA	NA	0.31	NA	0.58
1729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.23	NA	0.36	NA	NA	0.55	NA	NA	NA	NA	0.28	NA	0.47
1730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.34	NA	0.63	NA	NA	0.81	NA	NA	NA	NA	0.34	NA	0.68
1731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	0.46	NA	0.63	NA	NA	0.86	NA	NA	NA	NA	0.37	NA	0.67
1732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.61	NA	0.76	NA	NA	1.05	NA	NA	NA	NA	0.29	NA	0.65
1733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.58	NA	0.62	NA	NA	1.14	NA	NA	NA	NA	0.31	NA	0.51
1734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.46	NA	0.49	NA	NA	0.96	NA	NA	NA	NA	0.34	NA	0.43
1735	NA	NA	NA	NA	NA	NA	NA	NA	1.55	NA	NA	NA	NA	NA	0.96	0.77	NA	0.62	NA	NA	1.26	NA	NA	NA	NA	0.39	NA	0.62
1736	NA	NA	NA	1.65	NA	NA	NA	NA	1.53	NA	NA	NA	NA	NA	0.6	0.88	NA	0.65	NA	NA	1.34	NA	NA	NA	NA	0.54	NA	0.63
1737	NA	NA	NA	1.44	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA	0.52	0.84	NA	0.46	NA	NA	1.19	NA	NA	NA	NA	0.36	NA	0.4
1738	NA	NA	NA	1.15	0.82	NA	NA	NA	1.36	NA	NA	NA	NA	NA	0.56	1.15	NA	0.54	NA	NA	1.14	NA	NA	NA	NA	0.51	NA	0.43
1739	NA	NA	NA	1.25	0.85	NA	NA	NA	0.96	NA	NA	NA	NA	NA	0.54	1	NA	0.57	NA	NA	1.2	NA	NA	NA	NA	0.42	NA	0.42
1740	NA	NA	NA	1.1	0.65	NA	NA	NA	0.79	NA	NA	NA	NA	NA	0.53	0.7	NA	0.56	NA	NA	1.05	NA	NA	NA	NA	0.33	NA	0.44
1741	NA	NA	NA	0.9	0.72	NA	NA	NA	0.88	NA	NA	NA	NA	NA	0.47	0.55	NA	0.59	NA	NA	0.91	NA	NA	NA	NA	0.28	NA	0.45
1742	NA	NA	NA	0.98	0.74	NA	NA	NA	0.98	NA	NA	NA	NA	NA	0.47	0.62	NA	0.56	NA	NA	1.08	NA	NA	NA	NA	0.33	NA	0.42
1743	NA	NA	NA	0.81	0.67	NA	NA	NA	0.92	NA	NA	NA	NA	NA	0.71	0.52	NA	0.5	NA	NA	0.79	NA	NA	NA	NA	0.33	NA	0.42
1744	NA	NA	NA	0.73	0.55	NA	NA	NA	0.9	NA	NA	NA	NA	NA	0.54	0.49	NA	0.54	NA	NA	0.6	0.57	NA	NA	NA	0.36	NA	0.36
1745	NA	NA	NA	0.97	0.6	NA	NA	NA	1	NA	NA	NA	NA	NA	0.63	0.57	NA	0.61	NA	NA	0.65	0.67	NA	NA	NA	0.41	NA	0.47
